,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Mattia Zaccagni,26, AM(CL),FW,,2,180,1.5,2,0.5,-,-,0.5,-,-,8.47
1,Luca Gemello,21, Goalkeeper,,,1,90,-,-,-,-,-,-,-,-,7.71
2,Domenico Berardi,27, AM(R),FW,,33,2838,1,0.9,1.6,-,0.7,1.3,0.1,-,7.43
3,Rafael Leão,22, AM(L),FW,,31(3),2621,0.5,0.4,0.7,-,0.2,0.3,-,-,7.37
4,Sergej Milinkovic-Savic,27, AM(C),,,36(1),3111,1.8,0.9,1.5,-,1.1,1,0.2,-,7.36
5,Lorenzo Pellegrini,25, M(C),,,27(1),2300,1.3,1,1.6,-,0.7,1.6,-,-,7.34
6,Dusan Vlahovic,22, FW,,,21,1862,0.2,-,0.9,-,0.7,0.4,0.1,-,7.33
7,Ciro Immobile,32, FW,,,31,2718,0.3,0.1,1.2,-,0.5,0.5,-,-,7.31
8,Luis Muriel,31, AM(CL),FW,,17(10),1543,0.6,0.1,0.5,-,0.2,0.6,-,-,7.3
9,Hakan Çalhanoglu,28, M(CLR),FW,,33(1),2509,1.2,0.7,1.1,-,0.3,0.9,0.1,-,7.28
10,Wisdom Amey,16, Defender,,,1,72,3,3,1,-,1,1,-,-,7.27
11,Victor Osimhen,23, FW,,,23(4),1993,0.4,0.1,1.4,-,0.6,0.1,0.1,-,7.22
12,Ivan Perisic,33, M(CLR),FW,,35,2844,1.1,1.3,0.8,-,0.9,0.6,0.2,-,7.22
13,Paulo Dybala,28, AM(CR),FW,,26(3),2074,1,0.3,0.6,-,0.1,0.9,-,-,7.22
14,Bremer,25, D(C),,,33,2895,1.5,3.2,2,0.6,4,0.3,0.7,-,7.22
15,Gianluca Caprari,28, AM(CLR),FW,,33(2),2755,1.2,0.1,1.2,-,0.1,1,-,-,7.2
16,Juan Cuadrado,34, D(R),M(CLR),FW,28(5),2496,1.5,0.9,0.6,-,0.9,0.8,0.2,-,7.19
17,Lautaro Martínez,24, FW,,,28(7),2302,0.6,0.5,1.1,-,0.2,0.1,-,-,7.18
18,Tammy Abraham,24, FW,,,36(1),3099,0.7,0.1,1,-,0.7,0.4,0.1,-,7.17
19,Theo Hernández,24, D(L),M(L),,30(2),2713,1.7,0.7,1.1,0.3,0.8,0.3,0.1,-,7.16
20,Marcelo Brozovic,29, M(CR),,,35,2951,2.2,1.1,1.2,-,0.9,1,0.3,-,7.13
21,Nicolò Barella,25, AM(C),,,36,2933,1.8,0.6,0.8,-,0.2,0.7,0.1,-,7.13
22,Fabián Ruiz,26, M(CL),,,29(3),2398,1.7,0.7,0.7,-,1,1.2,-,-,7.1
23,Lorenzo Insigne,31, AM(CL),FW,,28(4),2311,0.7,0.6,0.6,-,-,1.1,-,-,7.09
24,Wladimiro Falcone,27, GK,,,9(1),855,-,0.1,-,-,0.8,-,-,-,7.08
25,Kalidou Koulibaly,30, D(C),,,27,2406,1.4,1.1,1,0.7,3.1,0.5,0.9,-,7.08
26,Edin Dzeko,36, FW,,,27(9),2476,0.4,0.1,0.8,-,1,0.5,0.1,-,7.07
27,Duván Zapata,31, FW,,,20(4),1732,0.3,0.1,1.2,-,0.2,0.2,-,-,7.06
28,André-Frank Zambo Anguissa,26, M(C),,,21(4),1925,2,1,1.5,-,1.2,1,0.2,-,7.05
29,Giovanni Di Lorenzo,28, D(CLR),M(R),,33,2873,1.8,1.2,1.1,0.2,1.2,0.8,0.3,-,7.04
30,Gerard Deulofeu,28, AM(CLR),FW,,31(3),2628,0.3,0.3,0.7,-,0.1,0.6,-,-,7.04
31,Sandro Tonali,22, DMC,,,31(5),2608,1.5,0.9,1.3,-,0.5,0.6,0.2,-,7.02
32,Felipe Anderson,29, M(CLR),FW,,33(5),2900,1.9,0.5,1.1,-,0.4,1.9,0.2,-,7.02
33,Nicolás González,24, M(CLR),FW,,26(7),2361,0.6,0.6,0.9,-,0.1,0.6,0.1,-,7.02
34,Mattia Zaccagni,26, AM(CL),FW,,21(8),1881,1.1,0.7,1,-,0.1,0.3,0.1,-,7.01
35,Abdelhamid Sabiri,25, AM(CL),FW,,9(5),895,2.4,0.5,1.5,-,0.2,1.3,0.1,-,7
36,José Luis Palomino,32, D(C),,,30(4),2674,2.3,2.9,1.1,0.7,2.3,0.5,0.6,-,7
37,Henrikh Mkhitaryan,33, M(CLR),FW,,29(2),2505,1.5,0.7,1.3,-,0.8,1.1,0.1,-,6.99
38,Olivier Giroud,35, FW,,,22(7),1905,0.5,0.1,1.1,-,0.7,0.5,0.1,-,6.99
39,Fikayo Tomori,24, D(CR),,,30(1),2719,2.4,1.5,0.6,0.5,2.5,0.3,0.7,-,6.98
