,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
54,Jonas Omlin,28, GK,,,29,2589,0.1,-,-,-,0.7,-,-,1,6.93
55,Danilo Pereira,30, D(C),DMC,,22(5),2039,1.2,1.4,0.8,0.2,1,0.5,0.4,-,6.93
56,Achraf Hakimi,23, D(LR),M(R),,28(4),2486,2.3,0.9,0.6,0.3,0.6,1,0.2,-,6.93
57,Fabien Centonze,26, D(R),M(R),,18(1),1587,1.7,1.7,0.8,0.1,2.4,1,0.4,-,6.92
58,Emerson,27, D(L),M(L),,26(3),2267,1.6,0.9,0.5,0.2,2.1,0.4,0.3,-,6.91
59,Boubacar Kamara,22, D(CL),DMC,,31(3),2779,2,1.4,1.2,0.5,1.2,0.6,0.3,-,6.91
60,Sofiane Diop,21, AM(CLR),,,24(6),1959,1.3,0.8,0.9,-,0.1,1.1,-,-,6.9
61,Flavien Tait,29, M(CLR),,,24(4),2131,1,0.7,1.1,-,0.3,1,0.1,-,6.9
62,Steve Mounié,27, FW,,,25(10),2313,0.5,0.2,1.2,-,0.3,0.7,-,-,6.89
63,Sergio Rico,28, GK,,,0(1),22,-,-,-,-,1,-,-,-,6.89
64,Melvin Bard,21, D(L),,,30(3),2593,1.8,1.5,0.6,0.2,1.3,0.7,0.3,-,6.89
65,Gerson,25, M(CLR),,,29(6),2553,1.2,0.5,1.3,0.1,0.4,0.8,0.1,-,6.89
66,Nayef Aguerd,26, D(C),,,31,2738,0.9,0.8,0.6,0.5,4,0.3,0.5,-,6.88
67,Denis Bouanga,27, M(CLR),FW,,28(6),2449,1.4,0.2,1.5,-,1,1.2,-,-,6.88
68,William Saliba,21, D(C),,,36,3240,1.5,1.3,0.5,0.9,2.2,0.2,0.4,-,6.87
69,Mattéo Guendouzi,23, M(C),,,35(3),3154,1.2,0.4,0.7,-,0.4,0.9,-,-,6.87
70,Jean-Clair Todibo,22, D(C),,,35(1),3116,1.6,1.4,0.7,0.6,3.6,0.6,0.6,-,6.87
71,Brendan Chardonnet,27, D(C),,,31(1),2687,1.4,1.7,0.8,0.3,4.4,0.3,0.9,-,6.87
72,Steve Mandanda,37, GK,,,9,810,-,0.1,-,-,1,0.1,-,-,6.87
73,Anthony Mandréa,25, GK,,,10,900,-,-,-,-,1.7,-,-,-,6.87
74,Idrissa Gueye,32, M(C),,,18(8),1641,2.3,0.9,1.5,-,0.5,1,0.2,-,6.86
75,Marquinhos,28, D(CR),DMC,,32,2862,1.2,0.5,0.2,0.6,3,0.5,0.6,-,6.86
76,Youcef Belaïli,30, AM(L),,,11(2),832,0.2,0.5,0.9,-,0.2,0.5,0.1,-,6.86
77,Christopher Wooh,20, D(C),,,11(3),1051,2.1,1.5,0.6,0.2,2.8,0.5,1,-,6.85
78,Valentin Rongier,27, D(R),M(C),,25(7),2199,2.4,1,1.1,0.1,0.3,1,0.2,-,6.85
79,Predrag Rajkovic,26, GK,,,38,3420,0.1,-,-,-,1.2,-,-,-,6.85
80,Renato Sanches,24, M(CR),,,20(5),1657,0.8,0.6,1.2,-,0.3,0.7,0.1,-,6.85
81,Azor Matusiwa,24, DMC,,,29,2469,2,2.1,1,-,1.3,1,0.7,-,6.84
82,Jonathan Gradit,29, D(CR),,,35,3073,1.7,1.9,1.2,0.3,3,0.6,0.8,-,6.84
83,Ruben Aguilar,29, D(R),M(R),,22(6),2138,2.8,1.6,1.1,0.1,1.9,0.9,0.1,1,6.84
84,Ander Herrera,32, M(C),,,12(7),1093,1.5,0.7,0.7,-,0.4,1.3,0.4,-,6.84
85,Hugo Ekitike,19, FW,,,15(9),1275,0.8,0.3,0.8,-,0.5,0.3,0.1,-,6.83
86,Julien Laporte,28, D(C),,,33,2893,1.9,1.6,0.8,0.3,5.2,1,0.7,-,6.83
87,Mohamed Bayo,24, FW,,,27(5),2426,0.4,0.2,0.6,-,0.4,0.7,-,-,6.83
88,Ghislain Konan,26, D(L),M(L),,28,2422,1.3,1,0.6,0.1,1.4,0.5,0.3,-,6.83
89,Sven Botman,22, D(C),,,25,2250,1,1,0.6,0.4,4.5,0.2,0.8,-,6.83
90,Baptiste Santamaría,27, DMC,,,28(6),2520,1.5,0.9,1,-,1.1,0.6,0.4,-,6.83
91,Cengiz Ünder,24, AM(CLR),,,25(7),2209,0.6,0.4,0.3,-,0.3,0.4,0.1,-,6.82
92,Xherdan Shaqiri,30, M(CLR),,,9(2),686,0.6,0.2,0.7,-,0.1,0.7,-,-,6.82
93,Reinildo,28, D(CL),M(L),,18,1531,2.4,2.1,1.8,0.2,2.6,1.1,0.2,-,6.81
94,Jean Onana,22, DMC,,,23,1846,3,1.6,1.7,-,0.9,2.2,0.2,-,6.81
95,Eiji Kawashima,39, GK,,,1,90,-,-,-,-,-,-,-,-,6.81
96,Aleksandr Golovin,26, M(CLR),,,17(10),1505,1.5,0.4,0.8,-,0.3,0.9,-,-,6.81
97,Angelo Fulgini,25, AM(CLR),FW,,35(1),2947,1,0.6,1,-,0.1,0.8,0.1,-,6.81
98,Nicolas de Préville,31, AM(CLR),FW,,24(3),1982,0.6,0.2,1.7,-,0.4,0.6,0.1,-,6.8
99,Rominigue Kouamé,25, M(C),,,34,2977,1.4,1.4,1.3,-,0.6,1.1,0.1,-,6.8
100,Luan Peres,27, D(CL),,,29(5),2677,1.9,1.3,0.6,0.5,1.5,0.5,0.4,1,6.8
101,Ronaël Pierre-Gabriel,23, D(LR),,,29(1),2555,2.6,1.6,0.9,0.2,2.2,1,0.2,-,6.8
102,Justin Kluivert,23, AM(LR),,,25(3),1883,0.7,0.5,1.4,-,0.2,0.6,-,-,6.79
103,Mario Lemina,28, DMC,,,24(8),1972,1.9,1.5,1.1,-,1.2,0.3,0.3,-,6.79
104,Vanderson,20, D(R),M(R),,12(5),1122,2.1,0.8,1.1,0.1,0.6,0.5,0.2,-,6.79
105,Ryad Boudebouz,32, M(CLR),FW,,27(3),2267,0.9,0.3,0.5,-,0.1,0.6,0.1,-,6.79
106,Steven Fortès,30, D(C),,,1,90,2,-,2,-,4,1,1,-,6.79
107,Kevin Volland,29, AM(CLR),FW,,29(5),2450,0.7,0.1,1.6,-,0.2,0.7,-,1,6.79
108,Ibrahima Sissoko,24, D(C),DMC,,26(9),2306,1.3,1,1.7,-,0.7,0.8,0.3,-,6.79
109,Walter Benítez,29, GK,,,37,3330,-,-,-,-,0.6,0.1,-,-,6.79
110,Romain Thomas,33, D(C),,,29(1),2566,1.6,1.5,1.3,0.4,4.1,0.9,0.7,-,6.78
111,Keylor Navas,35, GK,,,21,1858,-,-,-,-,0.6,-,-,-,6.78
112,Sergio Ramos,36, D(CR),,,8(4),799,1,0.7,0.9,0.4,2.3,0.6,0.2,-,6.78
113,Laurent Abergel,29, DMC,,,34,2963,3.2,1.6,1.2,-,0.3,2.8,-,-,6.78
114,Sanjin Prcic,28, M(C),,,27(5),2197,1.5,1.5,0.8,-,0.5,0.5,0.1,-,6.77
115,Mahdi Camara,23, D(CR),DMC,,34(1),3074,2.9,1.7,1.3,-,0.9,0.9,0.2,-,6.77
116,Alban Lafont,23, GK,,,38,3420,0.1,-,-,-,1.5,0.1,-,-,6.77
117,Kevin Danso,23, D(C),,,32(1),2793,1.2,1.2,1.3,0.4,3.3,0.3,0.8,-,6.77
118,Castello Lukeba,19, D(C),,,24,2097,1.4,1.6,0.8,0.6,2.5,0.3,0.4,-,6.77
119,Fali Candé,24, D(L),M(L),,11,975,2.7,0.5,1,-,1.5,1.6,0.2,-,6.77
120,Benoît Badiashile,21, D(C),,,21(3),1837,1.5,1.2,1,0.3,2.8,0.4,0.5,-,6.77
121,Maxime Le Marchand,32, D(CL),,,9(3),857,1.4,1.2,0.8,0.1,2.4,0.2,0.4,-,6.77
122,Giulian Biancone,22, D(CLR),M(LR),,26(7),2292,2.1,1.6,1,0.2,2,0.9,0.2,-,6.77
123,Gelson Martins,27, M(LR),,,24(8),1921,1.3,0.5,0.7,-,0.1,1.2,-,-,6.77
124,Nabil Bentaleb,27, M(C),,,18,1523,2.3,1.6,1.6,-,0.7,0.7,0.4,-,6.76
125,Presnel Kimpembe,26, D(C),,,29(1),2580,1.1,1.3,0.9,0.7,2.4,0.3,0.5,-,6.76
126,Quentin Merlin,20, D(L),M(L),,21(7),1923,1.6,1,0.4,0.1,0.8,0.8,0.1,-,6.76
127,Wout Faes,24, D(C),,,37,3330,1.1,1.4,0.6,0.3,4.5,0.2,1,-,6.76
128,Yunis Abdelhamid,34, D(C),,,34,2984,1.4,2,1.1,0.2,2.9,0.5,0.7,-,6.76
129,Dimitri Lienard,34, D(L),M(CL),,23(10),2047,2.2,0.6,1,0.2,0.6,0.9,-,-,6.76
130,Rafinha,29, M(CLR),,,3(2),221,2.8,0.8,0.8,-,-,0.8,-,-,6.75
131,Przemyslaw Frankowski,27, M(CLR),,,28(9),2452,1.5,0.8,1,0.1,1.2,1,-,-,6.75
132,Matthieu Udol,26, D(CL),M(L),,11(1),1006,1.9,2.6,0.2,-,2.1,0.5,0.6,-,6.75
133,Alexander Djiku,27, D(CR),DMC,,30(1),2697,1.6,2,1.4,0.2,2.9,0.5,0.4,-,6.74
134,Wahbi Khazri,31, M(CLR),FW,,26(4),2239,1.1,0.4,0.7,-,0.2,0.8,-,-,6.74
135,Enzo Le Fée,22, AM(CLR),,,25(11),2202,1.9,0.8,0.9,-,0.4,1.4,-,-,6.74
136,Anthony Lopes,31, GK,,,34,2984,-,0.1,-,-,0.5,-,-,-,6.74
137,Jordan Amavi,28, D(L),M(L),,4(4),414,2,1.9,0.3,-,0.5,0.9,0.1,-,6.74
138,Caio Henrique,24, D(L),M(CL),,31(3),2670,1.6,0.8,0.6,0.1,1,0.9,0.2,-,6.74
139,Leandro Paredes,27, DMC,,,10(5),842,1.5,0.7,0.7,0.1,0.3,0.8,0.4,-,6.73
140,Guillermo Maripán,28, D(C),,,21(5),1828,1.4,1,0.8,0.5,2.5,0.8,0.5,-,6.73
141,Saïdou Sow,19, D(C),,,11(2),992,2.2,1.8,0.7,0.3,2.5,0.4,0.4,-,6.73
142,Armand Laurienté,23, AM(LR),FW,,28(7),2493,0.9,0.4,1.3,-,0.1,0.5,0.1,-,6.73
143,Arbër Zeneli,27, AM(LR),FW,,4(5),411,0.1,0.1,0.4,-,-,0.4,-,-,6.73
144,Anthony Caci,24, D(CLR),M(L),,26(11),2395,1.8,0.9,0.9,0.1,1.3,0.6,0.1,-,6.73
145,Jonathan David,22, AM(C),FW,,32(6),2811,0.6,0.1,0.7,-,0.4,0.6,0.1,-,6.73
146,Mehmet Zeki Çelik,25, D(R),M(R),,30(2),2698,2,1.3,1.2,0.1,1.6,0.8,0.3,-,6.73
147,Maxence Caqueret,22, DMC,,,26(5),2335,2.4,1.4,1.4,0.1,0.7,1.6,0.3,-,6.73
148,Tiago Djaló,22, D(CLR),,,26(2),2330,2.1,0.9,0.8,0.3,2.3,0.5,0.4,2,6.73
149,Alexis Flips,22, M(CR),,,13(12),1062,1.5,1,0.7,-,0.6,0.9,-,-,6.73
150,Amine Harit,24, AM(CLR),FW,,12(11),1168,0.8,0.2,0.7,-,-,0.3,-,-,6.73
151,Christophe Hérelle,29, D(CR),,,23,1938,2.1,1.9,0.9,0.5,3.5,0.4,0.7,-,6.73
152,Youssouf Fofana,23, DMC,,,23(10),2187,2.1,1,1,-,0.6,0.8,0.2,-,6.72
153,Jean-Charles Castelletto,27, D(C),,,28,2512,1.6,1.1,1.5,0.4,2.6,0.4,1,-,6.72
154,Wylan Cyprien,27, M(C),,,17(7),1494,1.4,0.4,0.8,-,0.6,0.8,0.3,-,6.72
155,Thomas Mangani,35, M(C),,,25(8),2195,1.8,1.1,0.8,0.1,0.8,1.1,0.3,-,6.72
156,Fodé Doucouré,21, Defender,,,1(2),153,4,1.3,0.3,0.3,1.7,0.7,-,-,6.71
157,Dante,38, D(C),,,33(1),2874,1.2,1.4,0.8,0.6,2.7,0.3,0.8,-,6.71
158,Stephy Mavididi,24, AM(LR),FW,,27(3),2313,0.8,0.3,0.8,-,0.3,0.8,0.1,-,6.71
159,Nicolas Pallois,34, D(C),,,29(1),2450,1.7,1.8,0.6,0.4,3.6,0.8,0.6,-,6.71
160,Thomas Monconduit,31, DMC,,,26(8),2254,1.2,0.6,1.4,-,1.4,1.1,0.3,-,6.71
161,Gerzino Nyamsi,25, D(C),,,33(1),2983,1,0.7,1,0.4,2.5,0.2,0.5,-,6.7
162,Jean-Ricner Bellegarde,23, M(CLR),,,26(10),2337,1.4,0.8,1,-,0.4,0.7,0.1,-,6.7
163,José Fonte,38, D(C),,,38,3420,0.6,1.2,0.6,0.2,4.1,0.4,0.8,-,6.7
164,Axel Disasi,24, D(C),,,30(2),2725,1.3,0.8,1.3,0.4,2.3,0.5,0.9,-,6.7
165,Habib Diallo,26, AM(R),FW,,16(15),1537,0.3,0.1,0.5,-,0.3,0.3,0.1,-,6.7
166,Juan Bernat,29, D(L),M(CL),,12(3),965,1.6,0.5,0.3,0.3,0.9,0.3,-,-,6.69
167,Arnaud Kalimuendo-Muinga,20, FW,,,27(5),2165,0.3,0.3,0.4,-,-,0.2,-,-,6.69
168,Gianluigi Donnarumma,23, GK,,,17,1530,-,-,-,-,0.6,-,-,-,6.69
169,Josuha Guilavogui,31, D(C),M(C),,15,1332,2.6,2.4,1.5,0.4,1.4,1,0.5,-,6.69
170,Jonathan Bamba,26, AM(CLR),FW,,28(3),2442,1,0.7,0.4,-,0.2,0.7,-,-,6.69
171,Kalifa Coulibaly,30, FW,,,9(12),848,0.2,-,0.5,-,0.5,0.2,0.1,-,6.69
172,Pedro Chirivella,25, DMC,,,31,2647,1.6,1.2,0.7,-,0.4,1.5,0.1,-,6.69
173,Jérémy Doku,20, AM(LR),,,4(10),467,0.7,0.2,0.6,-,-,0.2,-,-,6.68
174,Julian Pollersbeck,27, GK,,,4(2),435,-,0.2,-,-,0.2,-,-,-,6.68
175,Lucas Perrin,23, D(C),,,29(2),2508,1.4,1.4,1.5,0.3,2,0.6,0.4,-,6.68
176,Pablo Rosario,25, DMC,,,31(5),2736,1.6,1.1,1,0.1,1.2,1.2,0.2,-,6.68
177,Malo Gusto,19, D(R),M(R),,21(9),1884,1.8,1.1,0.8,0.3,1,0.5,0.2,1,6.68
178,Mamadou Sakho,32, D(C),,,29,2578,1.2,1.4,0.3,0.4,4.4,0.3,1.2,-,6.68
179,Lucien Agoume,20, DMC,,,21(6),1869,1.9,1.9,1.1,-,0.9,0.8,0.3,-,6.67
180,Vital N'Simba,28, D(L),,,31(3),2791,1.9,0.9,0.8,0.1,0.8,0.8,0.2,-,6.67
181,Akim Zedadka,27, D(R),,,37(1),3338,1.9,1.5,0.7,0.1,1.1,0.9,0.2,-,6.67
182,Nuno Mendes,19, D(L),M(L),,18(9),1654,1.8,0.8,0.7,0.3,0.5,0.8,0.2,-,6.67
183,Jason Denayer,26, D(CR),DMC,,12(3),1001,0.7,1.1,0.5,0.5,3.2,0.1,0.5,-,6.67
184,Vincent Pajot,31, M(C),,,27(3),2320,2.9,1.7,1.8,-,1.2,0.9,0.2,-,6.67
185,Rémy Cabella,32, M(CLR),FW,,3(2),313,3,1,0.6,-,0.2,2,-,-,6.67
186,Tanguy Ndombele,25, M(C),,,7(4),703,2.3,0.3,1.2,-,0.5,0.6,0.3,-,6.67
187,Facundo Medina,23, D(CL),,,30(1),2597,2,1.2,1.2,0.2,2.4,0.8,0.3,-,6.67
188,Yacine Adli,21, M(C),,,25(11),2265,1.2,1,0.6,-,0.3,1.4,0.1,-,6.67
189,Xeka,27, M(C),,,19(4),1622,2,1,1.4,-,1.1,1.3,0.1,-,6.66
190,Danylo Ignatenko,25, M(C),,,7(4),689,1.5,0.5,1.5,-,1.5,1.3,0.2,-,6.66
191,Léo Jardim,27, GK,,,17,1530,-,0.1,-,-,0.9,-,-,-,6.66
192,Jean-Kévin Duverne,24, D(CLR),,,33(4),3007,1.9,1.4,0.9,0.3,2.3,1.3,0.1,1,6.66
193,Habib Maïga,26, DMC,M(R),,16(1),1274,2.8,0.8,1.7,0.1,0.9,1.4,0.4,-,6.65
194,Didier Lamkel Zé,25, FW,,,8(1),609,0.3,0.1,0.8,-,0.8,0.2,0.1,-,6.65
195,Khéphren Thuram-Ulien,21, DMC,,,20(16),1897,0.9,0.8,0.9,-,0.5,0.5,0.3,-,6.65
196,Elbasan Rashani,29, AM(LR),,,22(7),1769,1.4,0.4,1.3,-,0.6,1.3,0.1,-,6.65
197,Kevin Gameiro,35, FW,,,28(7),2397,0.5,0.2,0.5,-,-,0.3,-,-,6.65
198,Haris Belkebla,28, DMC,,,26(5),2312,1.5,1.5,0.9,-,0.9,0.7,0.2,-,6.64
199,Alberth Elis,26, AM(LR),FW,,16(4),1416,1,0.4,1.1,0.1,0.4,0.7,-,-,6.64
200,Johan Gastien,34, DMC,,,32,2752,1.8,1.7,0.9,-,1.5,1.5,0.3,1,6.64
201,Léo Dubois,27, D(LR),M(R),,20(3),1747,1.9,1,0.8,0.2,1.2,0.8,0.1,-,6.63
202,Renaud Ripart,29, D(R),M(CLR),FW,22(6),1902,1.4,0.7,0.9,0.1,0.6,1.1,-,-,6.63
203,Jason Berthomier,32, AM(C),,,22(7),1744,1,0.3,0.5,-,0.1,0.8,0.1,-,6.63
204,Dan Ndoye,21, Forward,,,2(1),204,-,-,1,-,-,0.7,-,-,6.63
205,Marco Bizot,31, GK,,,38,3420,0.1,-,-,-,1,0.1,-,-,6.63
206,El Bilal Touré,20, FW,,,15(6),1201,0.6,0.3,1,-,0.8,0.2,0.1,-,6.63
207,Jordan Ferri,30, M(C),,,33(1),2920,1.6,0.9,1.4,-,0.9,1.7,0.1,-,6.62
208,Damien Da Silva,34, D(C),,,13(4),1127,0.8,1.3,1.1,0.4,3.1,0.2,0.6,-,6.62
209,Matz Sels,30, GK,,,37,3330,-,-,-,-,1.2,-,-,-,6.62
210,Mihailo Ristic,26, D(L),M(L),,19(10),1808,1.5,0.6,0.9,0.1,1.4,0.6,0.2,-,6.62
211,Loïc Badé,22, D(C),,,11(3),984,0.4,0.9,0.4,0.4,3.3,0.1,0.7,-,6.62
212,Junior Mwanga,19, Defender,,,1,90,5,-,-,-,1,-,-,-,6.62
213,Jonas Martin,32, M(CL),,,24(5),2111,1.2,0.8,1.1,-,0.9,1.2,0.1,-,6.62
214,Mickael Nade,23, D(C),,,29(1),2568,1.9,2,1.5,0.6,2.6,0.5,0.5,-,6.62
215,Bamba Dieng,22, AM(L),FW,,11(14),976,0.7,0.2,0.6,-,0.3,0.4,-,-,6.61
216,Hicham Boudaoui,22, M(CR),,,21(8),1633,1.1,0.6,1,-,0.4,0.8,0.1,-,6.61
217,Lucas Da Cunha,20, AM(R),,,5(5),392,1.3,0.1,0.3,-,0.2,0.5,-,-,6.61
218,Xavier Chavalerin,31, DMC,M(L),,31(3),2724,1.4,1.1,0.9,-,0.9,1.3,0.1,-,6.61
219,Erik Palmer-Brown,25, D(C),,,19(2),1739,1.8,1.6,0.9,0.4,4,0.3,0.9,-,6.61
220,Birger Meling,27, D(LR),DMC,,20(11),1828,1.4,0.7,0.5,0.2,0.9,0.3,0.2,-,6.61
221,Souleyman Doumbia,25, D(L),M(L),,27,2231,1.1,1.4,0.8,0.3,1.5,0.5,0.1,-,6.61
222,Jordan Amavi,28, D(L),M(L),,2,130,3,0.5,1.5,0.5,1,2.5,-,-,6.61
223,Alexander Nübel,25, GK,,,38,3420,-,-,-,-,0.4,-,-,1,6.61
224,Ibrahim Amadou,29, D(C),DMC,,10,815,1.6,1.4,1.1,0.5,2.6,0.7,0.2,-,6.61
225,Paul Lasne,33, M(CLR),,,9(6),847,1.7,1.6,0.7,0.1,0.6,0.7,0.1,-,6.61
226,Toma Basic,25, M(C),,,3,212,0.7,0.7,2,-,-,1.3,0.3,-,6.61
227,Duje Caleta-Car,25, D(C),,,24(2),2062,0.8,0.9,0.4,0.8,2.1,0.1,0.3,-,6.6
228,Lucas Da Cunha,20, AM(R),,,11(4),844,1.1,0.1,0.4,-,0.1,0.6,-,-,6.6
229,Yoann Salmier,29, D(C),,,30(1),2671,1.9,1.3,1.1,0.3,2.8,0.3,0.5,1,6.6
230,Florent Mollet,30, AM(CLR),,,32(3),2649,0.9,0.7,1,-,0.3,1.2,0.1,-,6.6
231,Jens Cajuste,22, DMC,,,4(4),365,1.3,0.6,0.6,-,0.6,1.4,0.3,-,6.6
232,Dogan Alemdar,19, GK,,,12,1080,-,-,-,-,0.9,-,-,-,6.6
233,Thiago Mendes,30, D(CR),M(CR),,21(8),1864,1.2,1.2,0.8,0.3,1.9,0.6,0.2,-,6.59
234,Jérémy Morel,38, D(CL),,,6(3),602,1.4,0.8,0.4,0.1,3.3,-,0.8,-,6.59
235,Bonke Innocent,26, DMC,,,11(1),878,2.3,1.3,1.7,0.1,1.2,1.3,0.3,-,6.59
236,Maxime Busi,22, D(R),M(R),,13(5),1297,1.4,0.9,1.1,0.1,1.4,0.9,0.3,-,6.59
237,Pau López,27, GK,,,29,2610,-,-,-,-,0.7,-,-,-,6.59
238,Jean-Louis Leca,36, GK,,,27,2315,-,-,0.1,-,0.8,-,-,-,6.59
239,Wuilker Fariñez,24, GK,,,11(2),1105,-,-,-,-,0.5,-,-,-,6.59
