,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
152,Benjamin Henrichs,25, D(LR),DMC,M(LR),12(10),1138,1.4,0.9,0.6,0.1,0.6,0.5,-,-,6.69
153,Niko Gießelmann,30, D(CL),M(L),,25(3),2093,0.9,0.6,0.8,-,1,0.8,0.1,-,6.69
154,Diadié Samassékou,26, DMC,,,21(3),1665,1.7,1.2,1.3,0.1,1.1,1,0.5,-,6.68
155,Waldemar Anton,25, D(CR),DMC,,29,2597,1.4,1.1,1,0.4,3.9,0.4,0.6,-,6.68
156,Rani Khedira,28, D(C),DMC,,32,2765,2.3,1.6,1.7,-,0.8,1.1,0.3,-,6.68
157,Matheus Cunha,23, AM(CL),FW,,1,65,-,-,1,-,-,-,-,-,6.68
158,Gregor Kobel,24, GK,,,29,2566,-,-,-,-,1.1,0.1,-,-,6.68
159,Djibril Sow Eintracht,25, DMC,,,28(3),2422,1.8,1.6,1.4,-,0.6,1.2,0.3,-,6.67
160,Kevin Trapp Eintracht,31, GK,,,32,2880,-,-,-,-,0.7,-,-,-,6.67
161,Marc Oliver Kempf,27, D(C),,,10(2),841,1.1,1.3,1.1,0.1,2.1,0.6,1.2,-,6.67
162,Konrad Laimer,25, D(R),M(CR),,15(11),1246,1.5,0.2,1.4,-,0.3,1.1,0.1,-,6.67
163,Charles Aránguiz,33, M(C),,,16(10),1576,1.7,1.3,1,-,0.7,1.2,0.2,-,6.67
164,Santiago Ascacibar,25, DMC,,,27(1),2381,3.3,1.5,1.3,-,1.4,1.8,0.2,-,6.66
165,Chris Richards,22, D(C),,,13(6),1301,1.4,1.2,0.4,0.4,2.5,0.4,0.5,-,6.66
166,Lukas Nmecha,23, AM(CR),FW,,18(7),1633,0.5,0.2,1.2,-,0.4,0.6,-,-,6.66
167,Sebastian Polter,31, AM(R),FW,,26(6),2259,0.3,0.1,2.3,-,0.8,0.3,0.2,-,6.66
168,Georginio Rutter,20, FW,,,13(20),1604,0.5,0.2,1.1,-,0.3,0.3,-,-,6.66
169,Oliver Baumann,32, GK,,,33,2970,-,-,-,-,0.8,0.1,-,-,6.66
170,Gerrit Holtmann,27, D(L),M(LR),,22(6),1765,0.5,0.3,0.8,-,0.1,0.6,0.1,-,6.65
171,Lee Jae-Sung,29, AM(CL),FW,,19(8),1449,1.1,0.7,0.7,-,0.5,0.8,0.1,-,6.65
172,Mitchel Bakker,21, D(L),M(L),,19(6),1825,1.3,0.9,0.6,-,1.6,0.6,0.1,-,6.65
173,Lars Stindl,33, M(CLR),FW,,20(6),1637,0.9,0.4,1.2,-,0.5,0.9,0.1,-,6.64
174,Hiroki Ito,23, D(C),,,26(3),2348,1.5,1.8,0.7,0.2,3,0.6,0.7,1,6.64
175,Kevin Mbabu,27, D(R),M(R),,14(10),1389,1.3,1.5,1,0.1,1.3,0.5,0.3,-,6.64
176,Stevan Jovetic,32, AM(CL),FW,,13(5),1020,0.3,0.1,0.4,-,0.3,0.3,-,-,6.64
177,Robin Zentner,27, GK,,,32,2880,0.1,0.1,-,-,1.1,-,-,-,6.64
178,Max Christiansen,25, DMC,,,22(5),2056,1.7,2.5,0.7,-,2,0.9,0.6,-,6.63
179,Vasilios Lampropoulos,32, D(C),,,13,1169,1.4,1.3,0.5,0.4,4.1,1.1,0.8,1,6.63
180,Bastian Oczipka,33, D(CL),M(L),,9(9),929,1.3,0.7,0.6,0.1,0.9,0.2,0.1,-,6.63
181,Daichi Kamada Eintracht,25, AM(CLR),FW,,23(9),2146,1.3,0.3,0.7,-,0.3,0.9,-,-,6.63
182,Axel Witsel,33, D(C),M(C),,22(7),1946,1.4,0.9,0.9,0.1,1.2,0.4,0.3,-,6.62
183,Erhan Masovic,23, D(C),,,16(3),1461,1.8,1.7,0.7,0.4,3.3,0.6,1,1,6.62
184,Marc Oliver Kempf,27, D(C),,,12,1052,0.8,2.1,1.3,1,4,0.8,0.6,-,6.61
185,Christoph Baumgartner,22, AM(CLR),FW,,23(6),1899,1,0.3,1.3,-,0.5,0.7,0.1,-,6.61
186,André Hahn,31, AM(CLR),FW,,25(7),2112,1.1,0.5,1.8,-,1.3,1,0.2,-,6.61
187,Tiago Tomás,19, AM(CR),FW,,13(1),1080,0.6,0.3,0.4,-,0.1,0.4,-,-,6.61
188,Exequiel Palacios,23, M(C),,,12(11),1094,1.3,1.2,0.5,-,0.4,1,-,-,6.61
189,Maximilian Eggestein,25, M(CR),,,26(5),2205,1.5,1,1,-,1,0.9,0.4,-,6.6
190,Dennis Geiger,23, M(C),,,17(3),1385,1.7,0.7,2,-,0.3,0.7,0.1,-,6.6
191,Amine Adli,22, AM(CL),FW,,13(12),1256,1.1,0.4,1.1,-,0.3,0.3,0.1,-,6.6
192,Maxim Leitsch,24, D(C),,,17(2),1537,0.9,1.6,0.5,0.4,3.7,0.3,1,-,6.6
193,Frederik Rønnow,29, GK,,,7,630,-,-,-,-,0.7,-,-,-,6.6
194,Paulo Otávio,27, D(L),M(L),,5(2),365,2,0.6,0.4,-,0.7,1,0.9,-,6.6
195,Eduard Löwen,25, D(C),M(C),,14(11),1346,1.1,0.3,0.8,-,0.6,1.3,0.1,-,6.6
196,Simon Zoller,30, AM(LR),FW,,6(4),595,0.4,0.4,1.2,-,0.2,0.2,-,-,6.6
197,Leandro Barreiro,22, DMC,,,20(11),1790,2,1,1.3,-,0.7,0.7,0.2,-,6.6
198,Genki Haraguchi,31, M(CLR),,,23(7),1770,1.2,0.9,0.9,-,0.5,1.1,0.1,-,6.6
199,Martin Hinteregger Eintracht,29, D(C),,,25(2),2222,1.7,1.6,1,0.4,2.9,0.6,0.6,-,6.6
200,Josip Stanisic,22, D(R),,,6(7),646,1.6,0.8,0.3,0.2,0.7,0.5,-,-,6.59
201,Frederik Winther,21, Defender,,,3(1),327,1.8,2,0.3,1.3,4.8,0.3,0.3,-,6.59
202,Konstantinos Stafylidis,28, D(LR),DMC,M(L),14(9),1299,1.6,1.2,0.5,0.1,1.7,0.3,0.3,-,6.59
203,Sebastiaan Bornauw,23, D(C),,,23(4),2008,1.1,1.6,0.8,0.6,3.4,0.3,0.3,-,6.59
204,Dejan Ljubicic,24, M(CR),,,22(8),1975,1.1,0.5,1,-,0.3,1.2,-,-,6.59
205,Michaël Cuisance,22, AM(C),,,0(1),12,1,-,-,-,-,-,-,-,6.59
206,Niklas Stark,27, D(C),DMC,,22(4),2028,1.1,1.4,0.7,0.6,4.5,0.2,0.7,-,6.59
207,Emil Forsberg,30, AM(CLR),FW,,20(11),1709,0.7,0.1,0.4,-,0.1,0.5,-,-,6.58
208,Jessic Ngankam,21, FW,,,4(2),342,0.5,-,2,0.2,0.2,0.2,-,-,6.58
209,Yannick Gerhardt,28, D(L),M(CL),,17(10),1577,1.6,0.9,0.7,-,0.8,0.5,-,-,6.58
210,Kevin Kampl,31, M(CLR),,,25(2),1913,1.5,0.9,1.3,0.1,0.5,1.2,0.2,-,6.58
211,Pavel Kaderábek,30, D(R),M(LR),,14(5),1202,0.6,0.7,0.8,0.1,1.1,0.6,0.3,-,6.58
212,Kevin Schade,20, M(R),,,7(14),826,0.4,0.1,1,-,0.6,0.3,0.1,-,6.58
213,Benno Schmitz,27, D(CLR),,,29(2),2433,1.8,1.3,1,0.2,1.2,1.4,0.3,-,6.58
214,Dominik Kohr,28, DMC,,,19(3),1626,1.8,1.6,2.1,-,1,1.2,0.1,-,6.58
215,Péter Gulácsi,32, GK,,,33,2967,-,-,-,-,0.6,-,-,-,6.58
216,Fabian Bredlow,27, GK,,,4,360,-,-,-,-,0.3,-,-,-,6.58
217,Makoto Hasebe Eintracht,38, D(CR),M(CR),,12(6),1184,1.5,1.2,0.7,0.6,1.8,0.9,0.4,-,6.57
218,Arne Maier,23, DMC,,,21(8),1871,0.7,0.5,0.4,-,0.4,0.6,-,-,6.57
219,Branimir Hrgota,29, AM(LR),FW,,33(1),2789,1.4,0.3,1.6,-,0.1,1.5,-,-,6.57
220,Fabian Klos,34, FW,,,14(11),1423,0.3,-,1.2,-,1.2,0.3,0.2,-,6.57
221,Erik Durm Eintracht,30, D(LR),M(LR),,7,478,1.9,1.4,0.3,0.1,1,0.4,0.1,-,6.57
222,Stefan Posch,25, D(CR),,,26(2),2203,1.7,1,1.3,0.6,2.4,0.6,0.6,-,6.57
223,Armel Bella Kotchap,20, D(C),,,19(2),1679,1.6,1.9,1.1,0.5,4,0.5,0.8,2,6.56
224,Ishak Belfodil,30, AM(LR),FW,,17(9),1643,0.3,0.2,0.7,-,0.6,0.2,-,-,6.56
225,Timo Horn,29, GK,,,13,1170,-,-,-,-,0.9,0.1,-,-,6.56
226,Nico Elvedi,25, D(CLR),,,28,2432,1.4,1.2,0.8,1.1,2.9,0.5,0.8,-,6.55
227,Vladimír Darida,31, M(CLR),FW,,23(2),1799,1.3,0.8,0.9,-,0.6,0.8,0.1,-,6.55
228,Luca Kilian,22, D(C),,,25(5),2282,1.4,1.5,0.2,0.6,3.5,0.7,0.4,-,6.55
229,Marco Meyerhöfer,26, D(R),M(R),,25(1),2281,2,1.8,0.6,0.3,2.2,0.5,0.7,1,6.55
230,Odilon Kossounou,21, D(CR),,,20(7),1791,0.9,1,0.6,0.1,2.2,0.4,0.5,-,6.55
231,Yussuf Poulsen,27, AM(R),FW,,12(13),1078,0.5,0.1,0.9,-,0.4,0.4,-,-,6.55
232,Munas Dabbur,30, AM(C),FW,,17(10),1317,0.6,0.2,1.1,-,0.1,0.5,-,-,6.54
233,Hamadi Al Ghaddioui,31, FW,,,7(3),500,0.5,-,1.3,-,0.4,0.4,0.1,-,6.54
