,Name,Age,position1,position2,position3,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
111,Saïd Benrahma,26, AM(CLR),,,26(6),2184,0.9,0.3,0.3,-,0.2,0.7,-,-,6.87
112,Emerson Royal,23, D(R),M(R),,26(5),2291,2.3,0.7,0.9,0.1,2.5,1,0.1,-,6.87
113,Fred,29, M(C),,,24(4),2036,2.3,1.1,1.1,-,0.7,2,0.4,1,6.87
114,Oriol Romeu,30, DMC,,,34(2),2899,2.1,1.4,1.3,0.1,1.1,1.3,0.2,-,6.87
115,Hassane Kamara,28, D(L),M(L),,18(1),1625,2.8,3.6,1.3,0.1,3.2,0.8,0.2,-,6.86
116,Jordan Henderson,31, D(C),M(CLR),,29(6),2604,1,0.7,0.7,0.1,0.3,0.8,-,-,6.86
117,Davinson Sánchez,25, D(C),,,17(6),1626,1.8,1.3,0.7,0.3,2.3,0.4,0.7,-,6.86
118,Josh Brownhill,26, M(CR),,,32(3),2953,2.1,1.9,1.1,-,1.1,0.9,0.3,-,6.86
119,Curtis Jones,21, AM(C),,,10(5),856,0.7,0.4,0.7,-,0.2,0.6,-,-,6.86
120,Gabriel Martinelli,20, AM(L),FW,,21(8),1866,0.9,0.7,0.8,-,0.4,0.7,-,-,6.86
121,Diogo Dalot,23, D(LR),M(R),,19(5),1799,2.3,1.2,0.8,0.2,2.3,1.1,0.5,-,6.86
122,Liam Cooper,30, D(C),,,21,1815,2,2,0.9,0.2,3.4,0.5,0.9,-,6.85
123,Antonio Rüdiger,29, D(CR),,,34,3035,1.4,0.8,1,0.4,2.6,0.4,0.3,-,6.85
124,Kai Havertz,22, M(CR),FW,,22(7),1816,0.6,0.1,1.4,-,1,0.3,-,-,6.85
125,Roberto Firmino,30, M(CLR),FW,,10(10),987,1.2,0.2,0.4,-,0.2,0.7,-,-,6.85
126,Rúben Neves,25, DMC,,,31(2),2663,2.1,1.2,0.8,0.1,1.4,1.9,0.2,-,6.85
127,James McArthur,34, M(CLR),,,15(6),1438,1.6,1.4,1.1,-,1.2,1.3,0.4,-,6.84
128,Romain Saïss,32, D(C),DMC,,31,2709,1.3,1.9,1,0.2,4.8,0.5,0.7,-,6.84
129,Mohammed Salisu,23, D(CL),,,33(1),2972,2.4,2.3,1.1,0.6,4.4,0.7,0.8,1,6.83
130,Kyle Walker-Peters,25, D(LR),M(R),,29(3),2632,1.8,1.2,0.8,0.3,1.3,0.4,0.3,-,6.83
131,Takehiro Tomiyasu,23, D(CR),,,20(1),1682,1.7,1.1,0.8,0.1,2.6,0.5,0.1,-,6.83
132,Joelinton,25, AM(CLR),FW,,30(5),2559,2.1,1,1.8,-,1.3,1,0.3,-,6.83
133,Romelu Lukaku,29, AM(R),FW,,16(10),1586,0.1,-,0.3,-,0.8,0.2,-,-,6.83
134,Lucas Moura,29, AM(CLR),FW,,19(15),1774,0.7,0.5,0.6,-,0.5,0.8,-,-,6.82
135,Nélson Semedo,28, D(LR),M(R),,25,2137,2.3,0.8,0.9,0.1,2.1,1,0.2,-,6.82
136,Charlie Taylor,28, D(L),M(L),,30(1),2731,1.5,1.9,0.5,0.5,2.3,0.6,0.6,-,6.82
137,Ross Barkley,28, M(CLR),,,1(5),176,-,0.2,0.3,-,-,0.2,-,-,6.82
138,César Azpilicueta,32, D(CLR),M(R),,24(3),2075,1.9,0.9,0.9,0.1,2.3,0.7,0.3,-,6.81
139,José Sá,29, GK,,,37,3286,0.1,0.1,0.1,-,1.1,0.1,-,1,6.81
140,Nick Pope,30, GK,,,36,3240,-,0.1,-,-,1.3,0.1,-,-,6.81
141,Jan Bednarek,26, D(C),,,30(1),2633,1,2.3,1,0.3,4.5,0.5,0.9,1,6.81
142,Dan Burn,30, D(CL),M(L),,12(1),1023,1.7,1.8,1.2,0.3,3.6,0.7,0.8,-,6.8
143,Pablo Fornals,26, M(CLR),,,32(4),2804,1.5,0.8,0.7,-,0.4,1.7,0.1,-,6.8
144,David Raya,26, GK,,,24,2160,-,-,-,-,0.7,-,-,-,6.8
145,Joël Veltman,30, D(CR),M(R),,33(1),2881,2.2,1.3,1.1,0.1,2.5,0.9,0.5,-,6.8
146,Lucas Digne,28, D(CL),M(L),,13,1170,2.5,1.1,1.2,0.1,1.9,0.5,0.4,1,6.8
147,Calum Chambers,27, D(CR),DMC,,9(2),829,1.5,0.5,1.1,0.2,3.6,0.2,0.7,-,6.79
148,Pascal Groß,30, M(CR),FW,,24(5),2043,1,0.6,0.5,-,0.7,0.7,0.3,-,6.79
149,Harvey Barnes,24, AM(CL),,,24(8),2107,1,0.2,0.6,-,0.2,0.5,-,-,6.79
150,Naby Keïta,27, M(C),,,14(9),1175,2,0.6,0.9,-,0.1,0.7,0.1,-,6.79
151,Hugo Lloris,35, GK,,,38,3420,-,-,-,-,0.9,-,-,-,6.78
152,Raphaël Varane,29, D(C),,,20(2),1829,1.3,0.8,0.2,0.7,3.5,0.5,0.4,-,6.78
153,Demarai Gray,25, AM(CLR),FW,,28(6),2352,0.9,0.4,0.4,-,0.4,0.4,0.1,-,6.78
154,Stuart Dallas,31, D(LR),M(CLR),,34,2929,2.7,1.7,1,0.3,1.6,1.4,0.4,-,6.78
155,João Pedro,20, AM(L),FW,,15(13),1639,0.7,0.5,0.5,-,0.6,0.6,0.1,-,6.78
156,Daniel Podence,26, AM(CLR),FW,,15(11),1486,0.7,0.4,0.3,-,-,0.5,-,-,6.78
157,Benjamin White,24, D(CR),DMC,,32,2880,1.4,1.3,0.6,0.6,3.2,0.5,0.8,1,6.78
158,Douglas Luiz,24, M(C),,,31(3),2720,1.7,1,1.1,0.1,0.6,1.5,0.2,-,6.77
159,Ben Davies,29, D(CL),M(L),,28(1),2540,1.2,1,1.1,0.3,2.5,0.4,0.7,-,6.77
160,Callum Hudson-Odoi,21, M(CLR),,,11(4),966,0.9,0.1,0.7,-,0.3,1,-,-,6.77
161,Jacob Ramsey,21, AM(C),,,29(5),2477,2,0.7,0.9,-,0.7,1.1,0.2,-,6.77
162,Kieran Tierney,25, D(CL),M(L),,22,1919,0.8,0.7,0.2,0.2,2.2,-,0.2,-,6.77
163,Marc Guéhi,21, D(C),,,36,3223,1,0.8,0.4,0.5,3.5,-,0.7,-,6.76
164,Pontus Jansson,31, D(C),,,37,3322,1.1,1.4,0.4,0.6,5,0.3,0.7,-,6.76
165,Eric Dier,28, D(CR),DMC,,35,3072,0.4,0.8,0.3,0.3,4,0.2,0.9,1,6.76
166,Lukasz Fabianski,37, GK,,,37,3330,-,-,-,-,0.6,-,-,-,6.76
167,Jonny Evans,34, D(CL),,,16(2),1350,1.3,1.1,0.8,0.5,3.3,0.4,0.7,-,6.76
168,Malang Sarr,23, D(CL),,,6(2),546,1.8,1.4,1,0.8,2.4,0.6,0.4,-,6.76
169,Tyrick Mitchell,22, D(L),,,35(1),3103,2.9,1.1,0.4,0.2,2.3,0.6,0.1,-,6.75
170,Alexis Mac Allister,23, M(CL),FW,,22(11),2118,2,0.4,0.9,-,0.5,1.2,0.2,-,6.75
171,Marçal,33, D(CL),M(L),,17(1),1453,2.3,1.6,1.6,0.2,2.2,0.9,0.2,-,6.75
172,Aaron Cresswell,32, D(CL),M(L),,31,2728,0.9,1.1,0.5,0.1,2.1,0.4,0.6,-,6.75
173,Emiliano Buendía,25, M(CLR),,,22(13),1902,1.1,0.3,0.5,-,0.3,0.9,0.1,-,6.75
174,Gabriel Magalhães,24, D(C),,,35,3068,1.4,0.4,0.7,0.6,3.1,0.3,0.7,-,6.74
175,Kurt Zouma,27, D(CR),,,24,2080,0.5,1.4,0.5,0.3,5.5,0.1,1.1,1,6.74
176,Luke Thomas,20, D(L),M(L),,21(1),1912,2.3,1.8,0.7,0.2,2.1,1.7,0.6,-,6.74
177,Emile Smith Rowe,21, AM(CL),,,21(12),1922,0.4,0.5,0.2,-,0.3,0.5,-,-,6.74
178,Pierre-Emerick Aubameyang,32, M(CLR),FW,,12(2),1040,0.8,-,1.1,-,0.3,0.5,0.1,-,6.74
179,Jonny,28, D(CLR),M(LR),,10(3),1023,1.9,1,0.8,0.1,0.6,0.7,0.2,-,6.74
180,Asmir Begovic,34, GK,,,3,270,-,-,-,-,2,-,-,-,6.74
181,Bryan Mbeumo,22, AM(LR),FW,,34(1),2916,0.8,0.3,0.6,-,0.4,0.4,0.2,-,6.74
182,Çaglar Söyüncü,26, D(C),,,28,2498,1.7,1.1,0.9,0.7,4,0.6,1,-,6.74
183,Kasper Schmeichel,35, GK,,,37,3330,-,-,-,-,0.7,0.1,-,-,6.74
184,Tyrone Mings,29, D(CL),,,35(1),3188,0.6,1.3,0.8,0.3,4.2,0.2,0.8,-,6.74
185,Alexandre Lacazette,31, M(CLR),FW,,20(10),1789,0.9,0.2,1.1,-,0.2,0.5,-,-,6.74
186,Valentino Livramento,19, D(R),,,25(3),2203,1.9,1.7,0.4,0.1,1.7,0.6,0.3,-,6.73
187,Lewis Dunk,30, D(C),,,29,2574,0.3,0.9,0.3,0.2,3.8,0.2,1,-,6.73
188,Kyle Walker,32, D(CR),M(R),,20,1756,0.8,0.7,0.4,0.4,0.8,0.5,0.2,-,6.73
189,Kristoffer Ajer,24, D(CR),DMC,,23(1),1987,1.2,1.1,0.5,0.4,3,0.3,0.5,-,6.73
190,Vitaly Janelt,24, DMC,,,27(4),2309,2,0.9,0.8,-,1,0.8,0.2,-,6.73
191,Cheikhou Kouyaté,32, D(CR),DMC,,23(4),1978,1.9,1.4,1.1,-,1.2,0.8,0.5,-,6.73
192,Grant Hanley,30, D(C),,,33,2899,1.3,1.7,0.7,0.4,5.2,0.5,1.4,-,6.73
193,Abdoulaye Doucouré,29, M(C),,,29(1),2538,2.5,0.9,1.3,-,1,1.3,0.3,-,6.72
194,Jeffrey Schlupp,29, D(L),M(CLR),,20(12),1846,1.4,0.6,0.8,0.1,1,0.8,0.3,-,6.72
195,Che Adams,25, AM(CL),FW,,23(7),2043,0.4,0.3,1,-,0.5,0.5,0.1,-,6.72
196,Michael Keane,29, D(CR),,,31(1),2793,1.4,1.9,0.5,0.3,4,0.5,0.9,2,6.72
197,Chris Wood,30, FW,,,15(2),1328,0.1,0.1,1.1,-,0.5,0.1,0.1,-,6.72
198,Joel Ward,32, D(LR),DMC,M(R),27(1),2486,1.6,1.1,0.8,0.3,3.4,1,0.4,-,6.72
199,Adam Webster,27, D(C),,,16(6),1432,1.2,0.8,0.7,0.5,2.8,0.3,0.8,-,6.72
200,Matt Targett,26, D(L),M(L),,17,1434,2,1.4,0.9,0.2,1.3,1.2,0.5,1,6.71
201,Timothy Castagne,26, D(CLR),M(LR),,22(5),2126,2.5,1.1,0.6,0.2,1.7,0.6,0.3,-,6.71
202,Andros Townsend,30, AM(LR),FW,,17(4),1459,1.5,0.7,0.5,-,0.2,1.2,0.1,-,6.71
203,Erik Pieters,33, D(L),M(L),,8(4),727,2.3,0.8,1.2,0.2,3.1,0.9,0.6,-,6.71
204,James Justin,24, D(CLR),M(LR),,11(2),997,1.7,1.3,0.5,0.2,2.5,0.6,0.3,-,6.7
205,Ederson,28, GK,,,37,3330,0.1,-,-,-,0.6,0.1,-,-,6.7
206,Craig Dawson,32, D(CR),,,30(4),2754,0.9,0.9,1.1,0.4,4.1,0.3,1.5,-,6.7
207,Fraser Forster,34, GK,,,19,1710,0.1,-,-,-,1.8,0.1,-,-,6.7
208,Fernandinho,37, D(CR),DMC,,10(9),960,1.1,0.4,0.7,0.2,0.7,0.9,0.1,-,6.7
209,Fabian Schär,30, D(C),,,25,2161,0.6,1.3,1,0.4,3.8,0.3,0.7,-,6.7
210,Anthony Gordon,21, AM(LR),,,25(10),2285,1.5,0.6,0.7,-,0.2,1.1,0.1,-,6.7
211,Leo Fuhr Hjelde,18, D(C),,,0(2),148,2.5,2,0.5,0.5,3.5,-,1.5,-,6.7
212,Vitalii Mykolenko,23, D(CL),M(L),,12(1),1056,1.9,1.2,1,0.2,2.1,0.7,0.2,-,6.69
213,Joshua King,30, AM(CLR),FW,,27(5),2251,0.6,0.3,1.3,-,0.9,0.4,0.1,-,6.69
214,Danny Welbeck,31, AM(CLR),FW,,15(10),1477,0.6,0.2,0.7,0.1,0.7,0.3,0.1,-,6.69
215,João Moutinho,35, M(C),,,34(1),2975,2.1,1,1,-,0.9,2.2,0.2,-,6.69
216,Maxwel Cornet,25, D(L),M(LR),FW,21(5),1778,0.6,0.4,0.8,-,0.5,0.3,0.2,-,6.69
217,Moussa Sissoko,32, M(CR),,,36,3221,1.5,0.8,1,-,1.7,0.4,0.4,-,6.68
218,Vicente Guaita,35, GK,,,30,2656,-,-,-,-,0.7,-,-,-,6.68
219,Arthur Masuaku,28, D(L),M(L),,6(7),645,2.4,0.7,0.6,-,1.2,0.7,0.1,-,6.68
220,Ryan Sessegnon,22, D(L),M(LR),,13(2),1054,1.7,0.5,1.3,0.1,1.5,0.7,0.2,-,6.68
221,Kiernan Dewsbury-Hall,23, M(C),,,23(5),2106,1.4,0.8,0.7,-,0.8,0.8,0.3,-,6.68
222,Christian Pulisic,23, M(CLR),FW,,13(9),1286,0.5,0.2,0.7,-,0.4,0.6,-,-,6.67
223,Jordan Ayew,30, AM(CLR),FW,,23(8),2024,1.5,0.5,1.2,-,0.4,0.5,0.1,-,6.67
224,Granit Xhaka,29, D(L),M(C),,27,2331,1.2,0.8,1.1,0.1,1,0.9,0.2,-,6.67
225,Jack Harrison,25, AM(CLR),FW,,32(3),2652,1.6,0.6,0.8,0.1,0.5,1.3,-,-,6.67
226,Chris Wood,30, FW,,,17,1378,0.4,-,0.8,0.1,0.2,0.4,0.2,-,6.66
227,Joachim Andersen,26, D(C),,,32(2),2915,0.9,1.1,0.6,0.2,3.6,0.3,0.6,1,6.66
228,Angelo Ogbonna,34, D(C),,,11,922,0.6,1,0.5,0.4,2.4,0.4,0.4,-,6.66
229,Raúl Jiménez,31, FW,,,30(4),2640,0.9,0.4,1.3,-,0.8,0.7,0.1,-,6.66
230,Enock Mwepu,24, M(CR),,,12(6),997,1.2,0.7,1,-,0.9,1.2,0.1,-,6.66
231,Michael Olise,20, AM(CLR),,,12(14),1138,0.8,0.2,0.6,-,0.2,0.7,-,-,6.66
232,Odsonne Édouard,24, AM(L),FW,,18(10),1567,0.6,-,0.9,-,0.6,0.5,0.2,-,6.66
233,Jadon Sancho,22, AM(CLR),,,20(9),1904,0.5,0.5,0.1,-,0.2,0.5,-,-,6.66
234,Christian Benteke,31, FW,,,11(14),1136,0.1,0.1,0.6,-,1.3,0.2,0.1,-,6.66
