,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
5,"36Abdelhamid SabiriSampdoria, 25, AM(CL),FW","Abdelhamid Sabiri Sampdoria, 25, AM(CL),FW",9(5),895,2.4,0.5,1.5,-,0.2,1.3,0.1,-,7.0
6,"37José Luis PalominoAtalanta, 32, D(C)","José Luis Palomino Atalanta, 32, D(C)",30(4),2674,2.3,2.9,1.1,0.7,2.3,0.5,0.6,-,7.0
7,"38Henrikh MkhitaryanRoma, 33, M(CLR),FW","Henrikh Mkhitaryan Roma, 33, M(CLR),FW",29(2),2505,1.5,0.7,1.3,-,0.8,1.1,0.1,-,6.99
8,"39Olivier GiroudAC Milan, 35, FW","Olivier Giroud AC Milan, 35, FW",22(7),1905,0.5,0.1,1.1,-,0.7,0.5,0.1,-,6.99
9,"40Fikayo TomoriAC Milan, 24, D(CR)","Fikayo Tomori AC Milan, 24, D(CR)",30(1),2719,2.4,1.5,0.6,0.5,2.5,0.3,0.7,-,6.98
0,"41Mário RuiNapoli, 31, D(L),M(L)","Mário Rui Napoli, 31, D(L),M(L)",34,3002,2,1.2,0.9,0.3,1.3,1.3,0.2,-,6.98
1,"42Milan DjuricSalernitana, 32, FW","Milan Djuric Salernitana, 32, FW",23(10),2173,-,0.1,0.7,-,1,0.1,-,-,6.97
2,"43Luis AlbertoLazio, 29, AM(CL),FW","Luis Alberto Lazio, 29, AM(CL),FW",27(7),2363,0.9,0.4,0.4,-,0.2,1.3,0.1,-,6.96
3,"44Francesco BardiBologna, 30, GK","Francesco Bardi Bologna, 30, GK",2,178,-,-,-,-,-,-,-,-,6.96
4,"45Federico ChiesaJuventus, 24, M(CLR),FW","Federico Chiesa Juventus, 24, M(CLR),FW",11(3),868,1.9,0.3,0.6,-,0.1,1,-,-,6.94
5,"46Bryan CristanteRoma, 27, D(C),M(C)","Bryan Cristante Roma, 27, D(C),M(C)",29(5),2674,2.3,1.2,1.2,0.1,1.3,0.9,0.1,1,6.94
6,"47Antonio CandrevaSampdoria, 35, M(CLR)","Antonio Candreva Sampdoria, 35, M(CLR)",36,3132,0.8,0.9,0.5,-,0.3,1,0.1,-,6.94
7,"48Franck KessiéAC Milan, 25, M(C)","Franck Kessié AC Milan, 25, M(C)",25(6),2312,1.3,0.7,1.2,0.1,0.7,0.3,0.3,-,6.94
8,"49DaniloJuventus, 30, D(CLR),DMC","Danilo Juventus, 30, D(CLR),DMC",22,1895,1.7,1.5,0.9,0.3,2.1,0.5,0.5,-,6.93
9,"50Sergio RomeroVenezia, 35, GK","Sergio Romero Venezia, 35, GK",16,1440,0.1,0.1,0.1,-,1.3,-,-,-,6.93
0,"51Mike MaignanAC Milan, 26, GK","Mike Maignan AC Milan, 26, GK",32,2880,0.1,-,-,-,0.5,-,-,-,6.92
1,"52Robin GosensAtalanta, 27, D(L),M(CL)","Robin Gosens Atalanta, 27, D(L),M(CL)",5(1),462,1.2,1.5,0.5,-,0.2,0.7,-,-,6.92
2,"53Antonin BarakVerona, 27, AM(C)","Antonin Barak Verona, 27, AM(C)",27(2),2348,0.6,0.2,0.9,-,0.8,0.4,0.2,-,6.91
