,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
6,"157WalaceUdinese, 27, DMC","Walace Udinese, 27, DMC",33(3),2972,2.3,1.5,1.3,-,0.9,1.8,0.1,-,6.69
7,"158Jovane CabralLazio, 23, AM(CLR),FW","Jovane Cabral Lazio, 23, AM(CLR),FW",2(1),192,0.7,0.3,1.7,-,0.3,-,0.3,-,6.69
8,"159Danilo D'AmbrosioInter, 33, D(CLR),M(LR)","Danilo D'Ambrosio Inter, 33, D(CLR),M(LR)",9(11),990,1.5,0.4,0.7,0.1,0.9,0.6,0.5,-,6.69
9,"160Tommaso PobegaTorino, 22, AM(C)","Tommaso Pobega Torino, 22, AM(C)",24(9),2240,1.5,0.8,2.3,-,1.1,0.6,0.1,-,6.69
0,"161Nedim BajramiEmpoli, 23, AM(C)","Nedim Bajrami Empoli, 23, AM(C)",23(12),2063,0.6,0.1,0.5,-,0.2,0.3,-,-,6.68
1,"162Alexis SaelemaekersAC Milan, 22, M(R)","Alexis Saelemaekers AC Milan, 22, M(R)",22(14),1869,1.2,0.4,0.8,0.1,0.2,1.0,-,-,6.68
2,"163Ales MatejuVenezia, 26, D(CLR)","Ales Mateju Venezia, 26, D(CLR)",9,731,1.8,1.0,1.4,0.1,1.3,1.8,0.7,-,6.68
3,"164Mattia AramuVenezia, 27, AM(CR)","Mattia Aramu Venezia, 27, AM(CR)",25(7),2112,0.6,0.3,0.9,-,0.6,0.8,0.1,-,6.68
4,"165Mattia VitiEmpoli, 20, D(C)","Mattia Viti Empoli, 20, D(C)",16(4),1489,1.4,1.5,0.8,0.6,3.3,0.5,1.3,1,6.68
5,"166Nahuel MolinaUdinese, 24, D(R),M(R)","Nahuel Molina Udinese, 24, D(R),M(R)",31(4),2650,1.2,0.6,0.9,0.1,1.0,0.9,0.1,-,6.68
6,"167Mohamed FaresGenoa, 26, D(L),M(L)","Mohamed Fares Genoa, 26, D(L),M(L)",6(3),586,0.4,0.9,1.1,0.1,1.0,0.4,0.3,-,6.68
7,"168Andrea RanocchiaInter, 34, D(C)","Andrea Ranocchia Inter, 34, D(C)",3(3),338,1.3,0.7,0.7,0.2,2.7,0.3,0.5,-,6.68
8,"169Simone RomagnoliEmpoli, 32, D(C)","Simone Romagnoli Empoli, 32, D(C)",17(2),1498,1.5,0.5,0.9,0.3,4.5,0.3,1.5,1,6.68
9,"170Francesco CaputoSampdoria, 34, FW","Francesco Caputo Sampdoria, 34, FW",31(5),2799,0.1,0.1,0.6,-,0.3,0.1,-,-,6.68
0,"171Ola AinaTorino, 25, D(CLR),M(LR)","Ola Aina Torino, 25, D(CLR),M(LR)",17(4),1442,1.3,1.3,0.9,0.1,1.2,0.4,0.1,-,6.68
1,"172Bartosz BereszynskiSampdoria, 29, D(CR),M(R)","Bartosz Bereszynski Sampdoria, 29, D(CR),M(R)",35,2956,1.8,1.2,1,0.3,1.5,1.2,0.3,-,6.67
2,"173Nicolò ZanioloRoma, 22, AM(CR),FW","Nicolò Zaniolo Roma, 22, AM(CR),FW",23(5),1985,0.9,0.3,1.9,-,0.2,0.8,-,-,6.67
3,"174Lucas TorreiraFiorentina, 26, DMC","Lucas Torreira Fiorentina, 26, DMC",26(5),2201,1.2,0.8,1.2,-,0.5,0.7,-,-,6.67
4,"175Davide BiraschiGenoa, 27, D(CR),M(R)","Davide Biraschi Genoa, 27, D(CR),M(R)",11(3),935,2.2,1.1,0.9,0.4,1.9,0.5,0.6,-,6.67
5,"176Riccardo OrsoliniBologna, 25, M(CR),FW","Riccardo Orsolini Bologna, 25, M(CR),FW",21(8),1794,0.7,0.2,0.7,-,0.4,0.6,0.1,-,6.67
6,"177Pasquale MazzocchiSalernitana, 26, D(R),M(R)","Pasquale Mazzocchi Salernitana, 26, D(R),M(R)",15,1277,1.9,0.7,1.2,0.3,1.9,1.3,-,-,6.67
7,"178Luigi SepeSalernitana, 31, GK","Luigi Sepe Salernitana, 31, GK",16,1394,-,0.1,-,-,0.4,-,-,-,6.67
8,"179Jakub KiwiorSpezia, 22, DMC","Jakub Kiwior Spezia, 22, DMC",21(1),1963,2.3,1.8,1.2,-,2.2,1.4,0.7,-,6.66
9,"180Emil AuderoSampdoria, 25, GK","Emil Audero Sampdoria, 25, GK",29,2562,0.1,0.1,-,-,0.9,0.1,-,-,6.66
0,"181Morten ThorsbySampdoria, 26, M(CLR)","Morten Thorsby Sampdoria, 26, M(CLR)",35,2952,1.3,0.7,2.3,-,1.1,0.8,0.3,-,6.66
1,"182Omar ColleySampdoria, 29, D(C)","Omar Colley Sampdoria, 29, D(C)",31(1),2749,1.5,2.5,0.8,0.4,4.2,0.3,0.6,-,6.66
2,"183Nicola ZalewskiRoma, 20, M(L)","Nicola Zalewski Roma, 20, M(L)",9(7),799,2.0,1.0,0.6,-,0.1,0.9,0.1,-,6.66
3,"184Luiz FelipeLazio, 25, D(C)","Luiz Felipe Lazio, 25, D(C)",28(3),2494,1.3,1.1,0.9,0.5,3.2,0.5,1.1,-,6.66
4,"185Mattias SvanbergBologna, 23, M(CL)","Mattias Svanberg Bologna, 23, M(CL)",31(5),2576,1.1,0.8,1.0,-,0.8,1.1,0.3,-,6.66
5,"186Koray GünterVerona, 27, D(C)","Koray Günter Verona, 27, D(C)",29(1),2416,1.1,2.3,1.4,0.2,3.5,0.5,0.7,1,6.66
6,"187Mattia CaldaraVenezia, 28, D(C)","Mattia Caldara Venezia, 28, D(C)",30(1),2703,1.5,2.0,0.9,0.4,4.6,0.5,1.2,-,6.66
7,"188Rodrigo BentancurJuventus, 24, M(C)","Rodrigo Bentancur Juventus, 24, M(C)",13(6),1157,1.7,1.4,1.3,-,0.7,0.7,0.1,-,6.65
8,"189Antonio SanabriaTorino, 26, FW","Antonio Sanabria Torino, 26, FW",22(7),1814,0.1,0.1,0.9,-,0.3,0.1,0.1,-,6.65
9,"190Rodrigo BecãoUdinese, 26, D(C)","Rodrigo Becão Udinese, 26, D(C)",35,3132,2.3,1.2,1.6,0.3,2.5,0.7,0.6,-,6.65
0,"191Ivan IlicVerona, 21, M(C)","Ivan Ilic Verona, 21, M(C)",30(2),2537,1.2,0.7,1.4,-,1.7,1.1,0.4,1,6.65
1,"192Mamadou CoulibalySalernitana, 23, M(C)","Mamadou Coulibaly Salernitana, 23, M(C)",9(3),810,1.3,0.9,1.3,-,0.5,1.1,-,-,6.64
2,"193Francesco CaputoSassuolo, 34, FW","Francesco Caputo Sassuolo, 34, FW",2,158,-,-,-,-,-,-,-,-,6.64
3,"194Nahitan NándezCagliari, 26, M(CLR)","Nahitan Nández Cagliari, 26, M(CLR)",16(5),1521,1.9,0.4,1.3,-,0.7,0.7,-,-,6.63
4,"195Alessandro FlorenziAC Milan, 31, D(R),M(CLR)","Alessandro Florenzi AC Milan, 31, D(R),M(CLR)",12(12),1152,1.2,1.1,0.4,0.1,0.3,0.8,0.1,-,6.63
5,"196Stefano SensiSampdoria, 26, AM(C)","Stefano Sensi Sampdoria, 26, AM(C)",10(1),761,1.6,0.5,1.6,-,0.4,1.2,-,-,6.63
6,"197Bram NuytinckUdinese, 32, D(C)","Bram Nuytinck Udinese, 32, D(C)",23(4),2037,1.4,0.8,0.6,0.4,3.5,0.7,1.1,-,6.63
7,"198Silvan HeftiGenoa, 24, D(R)","Silvan Hefti Genoa, 24, D(R)",14(2),1290,3.1,1.3,0.8,0.5,1.8,1.6,0.3,-,6.63
8,"199Davide ZappacostaAtalanta, 29, D(R),M(LR)","Davide Zappacosta Atalanta, 29, D(R),M(LR)",29(5),2360,0.9,0.4,0.9,0.1,0.5,0.5,0.1,-,6.63
9,"200Brahim DíazAC Milan, 22, AM(CLR)","Brahim Díaz AC Milan, 22, AM(CLR)",25(6),1872,0.7,0.3,0.7,-,0.1,0.5,-,-,6.62
0,"201Alexis SánchezInter, 33, M(CLR),FW","Alexis Sánchez Inter, 33, M(CLR),FW",7(20),863,0.3,0.1,0.4,-,0.1,0.3,-,-,6.62
1,"202Igor JulioFiorentina, 24, D(C),M(L)","Igor Julio Fiorentina, 24, D(C),M(L)",23(7),2240,1.8,1,0.9,0.8,1.4,0.3,0.6,-,6.62
2,"203Alex FerrariSampdoria, 27, D(CR)","Alex Ferrari Sampdoria, 27, D(CR)",20(3),1653,1.7,1.7,1.3,0.3,2.7,0.6,1,-,6.62
3,"204Matteo PessinaAtalanta, 25, AM(C)","Matteo Pessina Atalanta, 25, AM(C)",18(9),1444,1,0.5,0.6,-,0.2,0.7,0.1,-,6.62
4,"205Koffi DjidjiTorino, 29, D(CL)","Koffi Djidji Torino, 29, D(CL)",21(4),1738,1.9,1.4,1.0,0.4,2.3,0.2,0.4,-,6.61
5,"206Jérémie BogaSassuolo, 25, AM(CLR),FW","Jérémie Boga Sassuolo, 25, AM(CLR),FW",8(4),672,0.6,0.2,0.1,-,-,0.1,-,-,6.61
6,"207Andrea ConsigliSassuolo, 35, GK","Andrea Consigli Sassuolo, 35, GK",37,3322,-,-,0.1,-,0.8,0.1,-,-,6.61
7,"208Rolando MandragoraTorino, 24, DMC","Rolando Mandragora Torino, 24, DMC",16(5),1319,1,0.5,1.2,-,0.6,0.4,0.2,-,6.61
8,"209Arthur TheateBologna, 22, D(C)","Arthur Theate Bologna, 22, D(C)",28(3),2428,1.1,1.4,0.8,0.5,2,0.5,0.5,-,6.61
9,"210Roberto SorianoBologna, 31, AM(CLR)","Roberto Soriano Bologna, 31, AM(CLR)",32(3),2639,1.6,0.6,1.4,-,0.9,1.1,0.1,-,6.61
0,"211Mattia De SciglioJuventus, 29, D(CLR),M(LR)","Mattia De Sciglio Juventus, 29, D(CLR),M(LR)",13(7),1168,1.2,0.5,0.8,-,1.3,0.7,-,-,6.61
1,"212Pawel DawidowiczVerona, 27, D(C)","Pawel Dawidowicz Verona, 27, D(C)",13(4),1196,1.8,1.2,1.5,0.4,3.0,0.5,0.6,-,6.6
2,"213Pietro TerraccianoFiorentina, 32, GK","Pietro Terracciano Fiorentina, 32, GK",31(1),2860,-,0.1,-,-,1.3,0.1,-,-,6.6
3,"214Berat DjimsitiAtalanta, 29, D(C)","Berat Djimsiti Atalanta, 29, D(C)",25(6),2257,1.4,1,0.7,0.3,1.7,0.5,0.4,1,6.6
4,"215Rui PatrícioRoma, 34, GK","Rui Patrício Roma, 34, GK",38,3420,-,-,-,-,0.3,-,-,-,6.6
5,"216Rick KarsdorpRoma, 27, D(R),M(R)","Rick Karsdorp Roma, 27, D(R),M(R)",32(4),2890,1.5,0.9,0.8,0.2,0.6,0.6,0.1,-,6.59
6,"217Luca PellegriniJuventus, 23, D(L),M(L)","Luca Pellegrini Juventus, 23, D(L),M(L)",15(3),1117,1.3,0.3,1.3,-,0.9,0.4,0.1,-,6.59
7,"218Aleksey MiranchukAtalanta, 26, M(CR),FW","Aleksey Miranchuk Atalanta, 26, M(CR),FW",7(12),769,0.6,0.1,0.7,-,0.3,0.4,-,-,6.59
8,"219Gianluca ManciniRoma, 26, D(C),DMC","Gianluca Mancini Roma, 26, D(C),DMC",33,2884,1.2,1.2,1.8,0.8,2.0,0.5,0.6,-,6.59
9,"220Salvatore SiriguGenoa, 35, GK","Salvatore Sirigu Genoa, 35, GK",37,3330,-,-,-,-,0.6,-,-,1,6.59
0,"221Simon KjaerAC Milan, 33, D(C)","Simon Kjaer AC Milan, 33, D(C)",10(1),806,1.8,0.8,1.8,0.3,3.3,0.5,1.2,1,6.59
1,"222Nicolò CasaleVerona, 24, D(C)","Nicolò Casale Verona, 24, D(C)",30(6),2596,1.3,1.4,1.2,0.1,2.4,0.4,0.3,-,6.58
2,"223Daniele PadelliUdinese, 36, GK","Daniele Padelli Udinese, 36, GK",3,270,-,-,-,-,1.0,-,-,-,6.58
3,"224Marco SportielloAtalanta, 30, GK","Marco Sportiello Atalanta, 30, GK",6,451,-,-,-,-,0.8,-,-,-,6.58
4,"225Kevin AgudeloSpezia, 23, AM(CR),FW","Kevin Agudelo Spezia, 23, AM(CR),FW",12(11),1236,1.9,0.3,1.6,-,0.2,0.6,-,-,6.58
5,"226Adam MarusicLazio, 29, D(CLR),M(LR)","Adam Marusic Lazio, 29, D(CLR),M(LR)",30(3),2720,0.9,1.2,0.8,0.2,1.8,0.6,0.2,-,6.58
6,"227Ricardo RodríguezTorino, 29, D(CL),M(L)","Ricardo Rodríguez Torino, 29, D(CL),M(L)",28(6),2472,1.1,1.2,0.8,0.4,1.4,0.4,0.2,-,6.58
7,"228Alessandro BuongiornoTorino, 23, D(C)","Alessandro Buongiorno Torino, 23, D(C)",12(11),1184,0.9,1.3,1.2,0.1,1.9,0.2,0.3,-,6.58
8,"229Juan MussoAtalanta, 28, GK","Juan Musso Atalanta, 28, GK",33,2932,-,-,0.1,-,0.7,-,-,-,6.58
9,"230Matteo DarmianInter, 32, D(CLR),M(LR)","Matteo Darmian Inter, 32, D(CLR),M(LR)",18(7),1509,1.3,0.8,0.9,0.1,0.9,1,-,-,6.58
0,"231Raoul BellanovaCagliari, 22, M(R)","Raoul Bellanova Cagliari, 22, M(R)",27(4),2498,0.9,0.7,0.3,0.2,1.3,0.7,0.3,-,6.58
1,"232Alex SandroJuventus, 31, D(CL),M(L)","Alex Sandro Juventus, 31, D(CL),M(L)",17(11),1776,1.0,1,1.1,0.2,1.3,0.5,0.2,1,6.57
2,"233Danilo CataldiLazio, 27, M(C)","Danilo Cataldi Lazio, 27, M(C)",19(13),1713,1.1,0.5,0.6,-,0.5,0.8,0.4,-,6.57
3,"234Federico BernardeschiJuventus, 28, M(CLR),FW","Federico Bernardeschi Juventus, 28, M(CLR),FW",16(12),1480,0.6,0.2,0.6,-,0.5,0.3,0.1,-,6.57
4,"235Erick PulgarFiorentina, 28, DMC","Erick Pulgar Fiorentina, 28, DMC",4(2),341,1.0,0.8,0.8,-,0.3,0.8,0.2,-,6.57
5,"236Jérémie BogaAtalanta, 25, AM(CLR),FW","Jérémie Boga Atalanta, 25, AM(CLR),FW",7(8),765,0.5,0.1,0.1,-,0.1,0.1,-,-,6.57
6,"237Dennis PraetTorino, 28, AM(CR)","Dennis Praet Torino, 28, AM(CR)",17(6),1544,0.8,0.1,0.9,-,0.2,0.6,-,-,6.57
7,"238Thomas HenryVenezia, 27, FW","Thomas Henry Venezia, 27, FW",23(10),2122,0.3,0.1,1.5,-,0.8,0.2,0.2,2,6.57
8,"239Samuele RicciEmpoli, 20, M(C)","Samuele Ricci Empoli, 20, M(C)",17(4),1533,1.6,1.5,0.8,-,0.8,0.7,0.2,-,6.57
9,"240Alessio CragnoCagliari, 27, GK","Alessio Cragno Cagliari, 27, GK",35,3150,0.1,-,-,-,0.7,-,-,-,6.57
0,"241Riccardo SaponaraFiorentina, 30, AM(CL)","Riccardo Saponara Fiorentina, 30, AM(CL)",13(16),1287,0.3,-,0.2,-,0.1,0.3,-,-,6.57
1,"242Grigoris KastanosSalernitana, 24, AM(CR)","Grigoris Kastanos Salernitana, 24, AM(CR)",16(11),1346,1.1,0.8,1.0,-,0.3,0.6,0.2,-,6.57
2,"243Matias ViñaRoma, 24, D(L),M(L)","Matias Viña Roma, 24, D(L),M(L)",18(8),1566,1.8,1,0.3,0.1,1.0,1.2,0.1,-,6.57
3,"244Matteo PolitanoNapoli, 28, AM(CLR),FW","Matteo Politano Napoli, 28, AM(CLR),FW",20(13),1659,0.7,0.4,0.4,-,0.1,1.2,0.1,-,6.56
4,"245Jean-Victor MakengoUdinese, 23, AM(CL)","Jean-Victor Makengo Udinese, 23, AM(CL)",26(7),2360,0.9,0.6,0.8,-,0.4,0.4,0.2,-,6.56
5,"246RogerioSassuolo, 24, D(L),M(L)","Rogerio Sassuolo, 24, D(L),M(L)",19(4),1733,0.9,0.8,0.7,0.7,1.7,0.3,0.3,-,6.56
6,"247Ainsley Maitland-NilesRoma, 24, D(LR),M(CLR)","Ainsley Maitland-Niles Roma, 24, D(LR),M(CLR)",7(1),493,1.0,0.8,0.8,0.1,0.4,1.1,-,-,6.56
7,"248Ridgeciano HapsVenezia, 28, D(L),M(L)","Ridgeciano Haps Venezia, 28, D(L),M(L)",24(1),2062,1.4,1.2,0.9,0.2,1.9,0.4,0.5,-,6.56
8,"249Denis ZakariaJuventus, 25, D(C),DMC","Denis Zakaria Juventus, 25, D(C),DMC",6(3),598,1.2,1.2,1.2,-,0.7,0.9,0.3,-,6.56
9,"250Stephan El ShaarawyRoma, 29, AM(CLR),FW","Stephan El Shaarawy Roma, 29, AM(CLR),FW",8(19),1047,0.5,0.4,0.3,0.1,0.2,0.1,0.1,-,6.56
0,"251Marash KumbullaRoma, 22, D(C)","Marash Kumbulla Roma, 22, D(C)",13(4),1030,1.2,0.9,1.3,0.5,1.5,0.4,0.5,-,6.56
1,"252Armando IzzoTorino, 30, D(C)","Armando Izzo Torino, 30, D(C)",6(5),526,1.5,1.5,1.5,0.2,1.9,0.2,0.4,-,6.56
2,"253Kelvin AmianSpezia, 24, D(CLR)","Kelvin Amian Spezia, 24, D(CLR)",31(1),2652,2.1,1,1.1,0.2,2.0,0.3,0.7,-,6.56
3,"254Andrea CambiasoGenoa, 22, D(R),M(L)","Andrea Cambiaso Genoa, 22, D(R),M(L)",21(5),1795,1.8,0.9,0.8,0.2,1.1,0.5,0.3,-,6.56
4,"255Daniele RuganiJuventus, 27, D(C)","Daniele Rugani Juventus, 27, D(C)",9(3),881,0.7,0.9,0.9,0.5,3.8,0.3,0.3,-,6.56
5,"256Lorenzo De SilvestriBologna, 34, D(R),M(R)","Lorenzo De Silvestri Bologna, 34, D(R),M(R)",27(4),2300,0.7,0.8,0.9,0.1,1.5,0.7,0.2,-,6.55
6,"257Marco SilvestriUdinese, 31, GK","Marco Silvestri Udinese, 31, GK",35,3150,-,-,-,-,0.5,-,-,-,6.55
7,"258Thomas StrakoshaLazio, 27, GK","Thomas Strakosha Lazio, 27, GK",23,2070,-,-,0.1,-,0.7,-,-,-,6.55
8,"259Isaac SuccessUdinese, 26, AM(LR),FW","Isaac Success Udinese, 26, AM(LR),FW",11(11),911,0.2,0.1,1.1,-,0.2,0.2,-,-,6.55
9,"260Nehuen PérezUdinese, 21, D(C)","Nehuen Pérez Udinese, 21, D(C)",19(1),1695,2.2,1.1,1.5,0.2,2.2,0.5,0.5,-,6.54
0,"261David ZimaTorino, 21, D(C)","David Zima Torino, 21, D(C)",13(7),1310,1,1.2,0.8,0.1,2.1,0.6,0.7,-,6.54
1,"262Eljif ElmasNapoli, 22, M(CLR)","Eljif Elmas Napoli, 22, M(CLR)",12(25),1601,0.7,0.2,0.7,-,0.4,0.4,0.1,-,6.54
2,"263Alessandro BerardiVerona, 31, Goalkeeper","Alessandro Berardi Verona, 31, Goalkeeper",1,90,-,-,-,-,-,-,-,-,6.54
3,"264Diego GodínCagliari, 36, D(C)","Diego Godín Cagliari, 36, D(C)",9(2),819,1.6,1.2,1.2,0.5,3.9,0.5,0.5,-,6.54
4,"265Rade KrunicAC Milan, 28, M(CL)","Rade Krunic AC Milan, 28, M(CL)",15(13),1414,1.2,0.6,0.8,-,0.5,0.6,0.1,-,6.54
5,"266Emmanuel GyasiSpezia, 28, M(LR),FW","Emmanuel Gyasi Spezia, 28, M(LR),FW",35(1),3045,1.3,0.4,1.3,-,1.1,0.6,0.1,1,6.54
6,"267Ciprian TatarusanuAC Milan, 36, GK","Ciprian Tatarusanu AC Milan, 36, GK",6,540,-,-,-,-,0.5,0.2,-,-,6.54
7,"268Manolo PortanovaGenoa, 22, AM(CL)","Manolo Portanova Genoa, 22, AM(CL)",17(7),1333,1.9,0.7,1.9,-,0.8,0.8,0.1,-,6.53
8,"269Matteo LovatoCagliari, 22, D(C)","Matteo Lovato Cagliari, 22, D(C)",14(2),1243,1.4,1.8,1,0.8,2.6,0.8,0.6,-,6.53
9,"270Niki MäenpääVenezia, 37, GK","Niki Mäenpää Venezia, 37, GK",16(1),1485,-,-,0.1,-,1.2,-,-,-,6.53
0,"271Arthur CabralFiorentina, 24, FW","Arthur Cabral Fiorentina, 24, FW",8(6),750,0.6,0.1,1.1,-,0.6,0.2,0.1,-,6.53
1,"272Gian Marco FerrariSassuolo, 30, D(C)","Gian Marco Ferrari Sassuolo, 30, D(C)",35(1),3127,0.4,1.2,0.7,0.9,3.1,0.4,0.8,-,6.53
2,"273Albin EkdalSampdoria, 32, M(C)","Albin Ekdal Sampdoria, 32, M(C)",19(7),1641,1.7,1.1,1.2,-,0.9,1.2,0.3,-,6.53
3,"274Mattia DestroGenoa, 31, FW","Mattia Destro Genoa, 31, FW",21(6),1754,0.3,0.1,1.5,-,0.6,0.2,-,-,6.53
4,"275Roberto PereyraUdinese, 31, M(CLR),FW","Roberto Pereyra Udinese, 31, M(CLR),FW",22(2),1799,0.8,0.5,1.4,-,0.4,0.7,0.2,-,6.53
5,"276Antonio VaccaVenezia, 32, M(C)","Antonio Vacca Venezia, 32, M(C)",15(6),1070,1.7,1.0,1.0,-,0.6,1.0,0.4,-,6.53
6,"277Maya YoshidaSampdoria, 33, D(CR)","Maya Yoshida Sampdoria, 33, D(CR)",19(7),1823,0.7,1.1,0.8,0.5,2.7,0.3,0.8,1,6.53
7,"278Martin ErlicSpezia, 24, D(C)","Martin Erlic Spezia, 24, D(C)",30,2579,0.9,0.9,0.9,0.3,4.0,0.3,1.3,-,6.53
8,"279Gaetano CastrovilliFiorentina, 25, M(C)","Gaetano Castrovilli Fiorentina, 25, M(C)",16(7),1400,1.1,0.5,0.9,-,0.2,0.5,0.2,-,6.52
9,"280Adrien SilvaSampdoria, 33, M(C)","Adrien Silva Sampdoria, 33, M(C)",12(5),1086,1.4,1.4,0.8,-,1.3,1.4,0.3,-,6.52
0,"281Miguel VelosoVerona, 36, M(C)","Miguel Veloso Verona, 36, M(C)",17(5),1347,1.0,0.5,0.8,-,0.7,0.3,0.2,-,6.52
1,"282Gary MedelBologna, 34, D(C),DMC","Gary Medel Bologna, 34, D(C),DMC",32(1),2831,1.2,1.3,1,0.9,3.4,0.6,0.6,-,6.52
2,"283Aimar SherSpezia, 19, Midfielder","Aimar Sher Spezia, 19, Midfielder",0(1),45,2.0,3,-,-,1.0,1.0,-,-,6.52
3,"284Fabiano ParisiEmpoli, 21, D(L)","Fabiano Parisi Empoli, 21, D(L)",16(9),1474,1.4,0.9,0.9,0.2,1.4,0.7,0.4,-,6.52
4,"285Elseid HysajLazio, 28, D(LR),M(R)","Elseid Hysaj Lazio, 28, D(LR),M(R)",24(5),2031,1.6,0.8,0.6,0.2,0.9,0.6,0.2,-,6.52
5,"286Manuel LazzariLazio, 28, D(R),M(R)","Manuel Lazzari Lazio, 28, D(R),M(R)",16(15),1655,0.9,0.4,0.6,0.2,0.5,0.3,0.1,-,6.51
6,"287Nikola MaksimovicGenoa, 30, D(CR),M(R)","Nikola Maksimovic Genoa, 30, D(CR),M(R)",13(1),1116,1.0,0.9,0.7,0.1,4.1,0.1,0.8,-,6.51
7,"288Petko HristovSpezia, 23, D(C)","Petko Hristov Spezia, 23, D(C)",13(4),1245,1.0,1.1,0.5,0.5,2.7,0.4,1.4,-,6.51
8,"289Felipe CaicedoGenoa, 33, FW","Felipe Caicedo Genoa, 33, FW",1(8),279,0.3,-,0.7,-,0.3,0.1,-,-,6.51
9,"290Juan JesusNapoli, 30, D(CL)","Juan Jesus Napoli, 30, D(CL)",14(7),1273,1.2,0.4,0.7,0.5,1.5,0.3,0.8,1,6.51
0,"291Jacopo DeziVenezia, 30, Midfielder","Jacopo Dezi Venezia, 30, Midfielder",0(1),16,-,1.0,-,-,-,1,-,-,6.51
1,"292Tolgay ArslanUdinese, 31, M(C)","Tolgay Arslan Udinese, 31, M(C)",22(8),1677,1.2,0.4,0.9,-,0.7,1,0.1,-,6.51
2,"293Razvan MarinCagliari, 26, M(C)","Razvan Marin Cagliari, 26, M(C)",31(5),2817,1.2,0.3,1,-,0.3,0.8,0.1,-,6.5
3,"294Adama SoumaoroBologna, 29, D(CR)","Adama Soumaoro Bologna, 29, D(CR)",26(2),2267,0.5,1.2,0.9,0.4,3.3,0.2,0.6,1,6.5
4,"295Diego CoppolaVerona, 18, Defender","Diego Coppola Verona, 18, Defender",3(1),249,2,1.0,0.5,0.8,1.3,-,0.3,-,6.5
5,"296Gianluca BusioVenezia, 20, M(C)","Gianluca Busio Venezia, 20, M(C)",23(6),1956,1.8,0.7,1.1,-,0.9,1.2,0.4,-,6.49
6,"297Lorenzo TonelliEmpoli, 32, D(C)","Lorenzo Tonelli Empoli, 32, D(C)",8(6),868,1.2,1.4,0.6,0.4,2,0.5,0.6,1,6.49
7,"298Lucas LeivaLazio, 35, D(C),M(C)","Lucas Leiva Lazio, 35, D(C),M(C)",19(16),1698,1.6,0.8,1.1,-,1,1.1,0.3,-,6.49
8,"299Tommaso AugelloSampdoria, 27, D(L)","Tommaso Augello Sampdoria, 27, D(L)",25(11),2398,1,0.8,0.3,0.2,1.5,0.3,0.1,-,6.49
9,"300Sofian KiyineVenezia, 24, AM(CL)","Sofian Kiyine Venezia, 24, AM(CL)",14(12),1239,0.9,0.4,1.9,-,0.3,0.8,-,-,6.49
0,"301David OkerekeVenezia, 24, AM(CR),FW","David Okereke Venezia, 24, AM(CR),FW",24(8),2064,0.5,0.3,0.9,-,0.6,0.5,0.1,-,6.49
1,"302Nicolas HaasEmpoli, 26, M(C)","Nicolas Haas Empoli, 26, M(C)",11(5),1007,2.2,0.6,1.1,-,1,1.4,0.3,-,6.49
2,"303Lorenzo MontipòVerona, 26, GK","Lorenzo Montipò Verona, 26, GK",34,3060,-,-,-,-,1,-,-,-,6.49
3,"304Marko PjacaTorino, 27, AM(CL),FW","Marko Pjaca Torino, 27, AM(CL),FW",13(11),1146,0.3,0.2,0.5,-,0.1,0.2,0.1,-,6.48
4,"305Alessandro DeiolaCagliari, 26, M(C)","Alessandro Deiola Cagliari, 26, M(C)",28(5),2147,1.4,0.8,1.4,-,1.3,1.1,0.3,-,6.48
5,"306Lazar SamardzicUdinese, 20, Midfielder","Lazar Samardzic Udinese, 20, Midfielder",1(21),472,0.6,0.1,0.5,-,-,0.9,-,-,6.48
6,"307Leonardo PavolettiCagliari, 33, FW","Leonardo Pavoletti Cagliari, 33, FW",14(19),1508,0.3,0.1,1.4,-,0.4,0.2,0.2,-,6.48
7,"308ArthurJuventus, 25, DMC","Arthur Juventus, 25, DMC",11(9),957,1.3,0.4,1,-,0.4,0.6,0.1,-,6.48
8,"309Cristian AnsaldiTorino, 35, D(CLR),M(CLR)","Cristian Ansaldi Torino, 35, D(CLR),M(CLR)",5(14),678,1.1,0.3,0.7,-,0.5,0.2,0.1,-,6.48
9,"310Ignacio PussettoUdinese, 26, AM(CLR),FW","Ignacio Pussetto Udinese, 26, AM(CLR),FW",11(17),1202,0.6,0.1,1.1,-,0.4,0.3,0.1,-,6.48
0,"311Bartlomiej DragowskiFiorentina, 24, GK","Bartlomiej Dragowski Fiorentina, 24, GK",7,557,-,0.1,0.1,-,0.7,-,-,-,6.48
1,"312Tomás RincónSampdoria, 34, M(CR)","Tomás Rincón Sampdoria, 34, M(CR)",13(4),1171,1.3,1.1,1.3,-,0.6,1.2,0.1,-,6.48
2,"313Pietro CeccaroniVenezia, 26, D(C)","Pietro Ceccaroni Venezia, 26, D(C)",35,3122,1.6,0.9,0.7,0.5,4.0,0.3,0.9,-,6.47
3,"314Arkadiusz RecaSpezia, 26, D(L),M(L)","Arkadiusz Reca Spezia, 26, D(L),M(L)",22(3),1779,1.2,1.3,0.9,0.2,1.7,0.4,0.3,-,6.47
4,"315Roberto GagliardiniInter, 28, DMC","Roberto Gagliardini Inter, 28, DMC",6(12),640,0.7,0.5,1.3,-,0.3,0.7,0.3,-,6.47
