,Player,Player.1,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"1Kylian MbappéPSG, 23, AM(LR),FW",Kylian Mbappé PSG,23, AM(LR),FW,,34(1),3032,28,17,10,-,4.2,82.2,0.1,12,8.04
1,"2Andy DelortMontpellier, 30, AM(R),FW",Andy Delort Montpellier,30, AM(R),FW,,3,270,2,1,-,-,4.7,61,3.7,-,7.82
2,"3Lionel MessiPSG, 34, AM(CR),FW",Lionel Messi PSG,34, AM(CR),FW,,24(2),2153,6,14,-,-,3.4,86.7,0.2,5,7.77
3,"4NeymarPSG, 30, AM(CLR),FW",Neymar PSG,30, AM(CLR),FW,,22,1861,13,6,10,-,2.5,82.2,0.2,2,7.65
4,"5TetêLyon, 22, AM(R)",Tetê Lyon,22, AM(R),,,7(2),585,2,5,1,-,1.9,82.8,0.4,2,7.48
5,"6Gaëtan LabordeMontpellier, 28, AM(CLR),FW",Gaëtan Laborde Montpellier,28, AM(CLR),FW,,4,342,3,-,1,-,3.5,60.2,4.3,-,7.47
6,"7Benjamin BourigeaudRennes, 28, M(CLR)",Benjamin Bourigeaud Rennes,28, M(CLR),,,38,3215,11,12,2,-,1.3,76.9,0.4,4,7.44
7,"8Dimitri PayetMarseille, 35, M(CLR),FW",Dimitri Payet Marseille,35, M(CLR),FW,,28(3),2597,12,10,3,-,2.2,81.8,0.1,6,7.44
8,"9Martin TerrierRennes, 25, AM(CL),FW",Martin Terrier Rennes,25, AM(CL),FW,,37,2805,21,3,1,-,2.4,81.1,1.1,4,7.41
9,"10Téji SavanierMontpellier, 30, M(C)",Téji Savanier Montpellier,30, M(C),,,28(1),2422,8,7,7,2,2.8,72.4,0.5,8,7.4
0,"11Mamadou MbowReims, 22, Defender",Mamadou Mbow Reims,22, Defender,,,1,90,-,-,-,-,-,76,1,-,7.33
1,"12Aurélien TchouaméniMonaco, 22, DMC",Aurélien Tchouaméni Monaco,22, DMC,,,33(2),2933,3,2,9,1,1.6,86.7,2.2,5,7.32
2,"13Sofiane BoufalAngers, 28, AM(CLR),FW",Sofiane Boufal Angers,28, AM(CLR),FW,,28(1),2345,8,4,6,-,2.2,78.3,0.4,5,7.27
3,"14Danilo BarbosaNice, 26, D(C),DMC",Danilo Barbosa Nice,26, D(C),DMC,,1,90,-,-,-,-,-,76.2,4,-,7.26
4,"15Lucas PaquetáLyon, 24, AM(CR),FW",Lucas Paquetá Lyon,24, AM(CR),FW,,32(3),2713,9,6,3,-,2.5,79.6,1.3,4,7.24
5,"16Jonathan ClaussLens, 29, D(R),M(R)",Jonathan Clauss Lens,29, D(R),M(R),,35(2),3063,5,11,3,-,1.1,73.3,0.4,3,7.22
6,"17Marco VerrattiPSG, 29, M(C)",Marco Verratti PSG,29, M(C),,,23(1),1951,2,2,12,-,0.3,91.6,0.2,2,7.21
7,"18Bruno GuimarãesLyon, 24, DMC",Bruno Guimarães Lyon,24, DMC,,,19(1),1642,-,3,2,-,0.6,88,0.6,3,7.21
8,"19Moussa DembeleLyon, 25, FW",Moussa Dembele Lyon,25, FW,,,25(5),2209,21,4,6,-,2.9,66.1,2,4,7.21
9,"20Romain FaivreBrest, 23, AM(CLR)",Romain Faivre Brest,23, AM(CLR),,,20(1),1801,7,5,1,-,1.8,83.3,0.3,3,7.2
0,"21Ángel Di MaríaPSG, 34, M(CLR),FW",Ángel Di María PSG,34, M(CLR),FW,,19(7),1654,5,7,2,-,2,80.3,-,3,7.17
1,"22Karl Toko-EkambiLyon, 29, AM(LR),FW",Karl Toko-Ekambi Lyon,29, AM(LR),FW,,26(4),2305,12,5,3,-,2.5,80.6,1.1,2,7.15
2,"23Gaëtan LabordeRennes, 28, AM(CLR),FW",Gaëtan Laborde Rennes,28, AM(CLR),FW,,32(2),2741,12,8,1,-,2.5,65.7,2.6,4,7.14
3,"24Andrei GirottoNantes, 30, D(C),DMC",Andrei Girotto Nantes,30, D(C),DMC,,36,3150,6,1,8,-,1.3,81.6,3,4,7.13
4,"25Franck HonoratBrest, 25, M(LR)",Franck Honorat Brest,25, M(LR),,,34,2911,11,4,3,-,1.8,74.5,0.5,4,7.13
5,"26Andy DelortNice, 30, AM(R),FW",Andy Delort Nice,30, AM(R),FW,,26(6),2449,16,2,3,-,3.1,61.1,3.1,5,7.09
6,"27Marcin BulkaNice, 22, Goalkeeper",Marcin Bulka Nice,22, Goalkeeper,,,1,90,-,-,-,-,-,83.3,-,-,7.08
7,"28Youcef AtalNice, 26, D(R),M(R)",Youcef Atal Nice,26, D(R),M(R),,13(4),1144,2,1,4,-,0.8,78.8,1.6,2,7.08
8,"29Lovro MajerRennes, 24, AM(CR)",Lovro Majer Rennes,24, AM(CR),,,21(8),1841,6,8,1,-,1.6,81,0.1,1,7.06
9,"30Ludovic AjorqueStrasbourg, 28, FW",Ludovic Ajorque Strasbourg,28, FW,,,31(5),2743,12,8,5,1,1.6,72.9,3.5,4,7.05
0,"31Wissam Ben YedderMonaco, 31, AM(C),FW",Wissam Ben Yedder Monaco,31, AM(C),FW,,29(8),2541,25,5,3,-,1.9,73.5,0.6,1,7.04
1,"32Boubakar KouyatéMetz, 25, D(C)",Boubakar Kouyaté Metz,25, D(C),,,30,2666,1,-,8,1,0.7,81.4,3.1,6,7.04
2,"33Frédéric GuilbertStrasbourg, 27, D(CLR),M(R)",Frédéric Guilbert Strasbourg,27, D(CLR),M(R),,28(5),2521,-,4,4,-,0.7,75.5,0.8,4,7.04
3,"34Romain FaivreLyon, 23, AM(CLR)",Romain Faivre Lyon,23, AM(CLR),,,9(5),889,3,-,-,-,1.4,87.9,0.1,1,7.03
4,"35MarceloLyon, 35, D(C)",Marcelo Lyon,35, D(C),,,2,180,-,-,1,-,1,90.4,7,1,7.02
