,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
3,"34Jarrod BowenWest Ham, 25, AM(CLR),FW",Jarrod Bowen West Ham,25, AM(CLR),FW,,34(2),2993,12,10,6,-,2.2,76.2,1.1,4,7.15
4,"35Cristiano RonaldoMan Utd, 37, M(L),FW",Cristiano Ronaldo Man Utd,37, M(L),FW,,27(3),2459,18,3,8,-,3.7,81.9,1.4,5,7.11
5,"36John StonesMan City, 28, D(CR)",John Stones Man City,28, D(CR),,,12(2),1118,1,-,-,-,0.6,91.5,3.4,-,7.1
6,"37Allan Saint-MaximinNewcastle, 25, AM(CLR),FW",Allan Saint-Maximin Newcastle,25, AM(CLR),FW,,31(4),2812,5,5,6,-,1.8,76.3,0.5,6,7.1
7,"38Declan RiceWest Ham, 23, D(C),DMC",Declan Rice West Ham,23, D(C),DMC,,35(1),3178,1,4,8,-,0.7,91.6,1.2,1,7.1
8,"39ThiagoLiverpool, 31, M(C)",Thiago Liverpool,31, M(C),,,17(8),1538,1,4,2,-,1,89.1,1.3,-,7.1
9,"40Marcos AlonsoChelsea, 31, D(CL),M(L)",Marcos Alonso Chelsea,31, D(CL),M(L),,25(3),2173,4,4,8,-,1.5,81.1,1.4,1,7.09
0,"41Diogo JotaLiverpool, 25, AM(CLR),FW",Diogo Jota Liverpool,25, AM(CLR),FW,,27(8),2373,15,4,3,-,2.6,74.9,1.1,4,7.08
1,"42Conor GallagherCrystal Palace, 22, AM(C)",Conor Gallagher Crystal Palace,22, AM(C),,,33(1),2851,8,3,10,-,1.5,81.2,0.7,4,7.08
2,"43James MaddisonLeicester, 25, AM(CLR)",James Maddison Leicester,25, AM(CLR),,,28(7),2468,12,8,3,-,2.1,80.7,0.1,6,7.07
3,"44Moisés CaicedoBrighton, 20, M(C)",Moisés Caicedo Brighton,20, M(C),,,8,664,1,1,2,-,1.3,82.1,1.1,-,7.07
4,"45Thiago SilvaChelsea, 37, D(C)",Thiago Silva Chelsea,37, D(C),,,28(4),2651,3,-,2,-,0.6,92.8,1.8,1,7.06
5,"46Bukayo SakaArsenal, 20, D(L),M(CLR)",Bukayo Saka Arsenal,20, D(L),M(CLR),,36(2),2996,11,7,6,-,2.6,79.5,0.6,3,7.06
6,"47Oleksandr ZinchenkoMan City, 25, D(L),M(CLR)",Oleksandr Zinchenko Man City,25, D(L),M(CLR),,10(5),1045,-,4,-,-,0.8,90.7,1,-,7.05
7,"48Mateo KovacicChelsea, 28, M(CL)",Mateo Kovacic Chelsea,28, M(CL),,,16(9),1557,2,5,4,-,0.9,88.8,0.2,1,7.04
8,"49Bruno GuimarãesNewcastle, 24, DMC",Bruno Guimarães Newcastle,24, DMC,,,11(6),1034,5,1,4,-,1.4,85.7,0.2,4,7.04
9,"50Bruno FernandesMan Utd, 27, M(CLR)",Bruno Fernandes Man Utd,27, M(CLR),,,35(1),3120,10,6,10,-,2.5,78.3,0.5,3,7.03
0,"51Trevoh ChalobahChelsea, 22, D(CR),DMC",Trevoh Chalobah Chelsea,22, D(CR),DMC,,17(3),1451,3,1,2,-,0.5,90.6,1.7,1,7.03
1,"52Konstantinos TsimikasLiverpool, 26, D(L)",Konstantinos Tsimikas Liverpool,26, D(L),,,9(4),874,-,2,3,-,0.6,81.3,0.9,-,7.03
2,"53Caoimhin KelleherLiverpool, 23, GK",Caoimhin Kelleher Liverpool,23, GK,,,2,180,-,-,-,-,-,89.7,0.5,-,7.02
3,"54Kepa ArrizabalagaChelsea, 27, GK",Kepa Arrizabalaga Chelsea,27, GK,,,4,360,-,-,-,-,-,78.9,0.3,-,7.02
4,"55James Ward-ProwseSouthampton, 27, M(CR)",James Ward-Prowse Southampton,27, M(CR),,,36,3217,10,5,3,1,1.5,86.3,0.8,4,7.01
5,"56TotiWolves, 23, D(C)",Toti Wolves,23, D(C),,,4,360,-,-,1,-,0.3,75.6,3.3,-,7.01
6,"57Christian NørgaardBrentford, 28, D(C),DMC",Christian Nørgaard Brentford,28, D(C),DMC,,35,3059,3,4,8,-,0.8,79.9,1.4,1,7
7,"58N'Golo KantéChelsea, 31, DMC",N'Golo Kanté Chelsea,31, DMC,,,21(5),1778,2,4,2,-,0.7,86.7,0.5,2,7
8,"59FabinhoLiverpool, 28, D(CR),DMC",Fabinho Liverpool,28, D(CR),DMC,,26(3),2316,5,1,7,-,0.7,87.5,1.5,1,7
9,"60Riyad MahrezMan City, 31, AM(CLR),FW",Riyad Mahrez Man City,31, AM(CLR),FW,,15(13),1493,11,5,-,-,2.2,90,0.3,2,7
0,"61Paul PogbaMan Utd, 29, M(CL)",Paul Pogba Man Utd,29, M(CL),,,16(4),1355,1,9,7,1,1.6,83.5,1.8,1,7
1,"62Yves BissoumaBrighton, 25, M(C)",Yves Bissouma Brighton,25, M(C),,,25(1),2117,1,2,10,-,0.8,89.2,0.6,2,6.99
2,"63Matt TargettNewcastle, 26, D(L),M(L)",Matt Targett Newcastle,26, D(L),M(L),,16,1440,-,-,1,-,0.4,74.4,1.2,1,6.99
3,"64Wilfried ZahaCrystal Palace, 29, AM(LR),FW",Wilfried Zaha Crystal Palace,29, AM(LR),FW,,31(2),2761,14,1,4,1,2.1,79.9,0.4,5,6.99
4,"65Mason GreenwoodMan Utd, 20, AM(R),FW",Mason Greenwood Man Utd,20, AM(R),FW,,16(2),1281,5,1,1,-,2.7,83.8,0.2,-,6.98
5,"66Dan BurnNewcastle, 30, D(CL),M(L)",Dan Burn Newcastle,30, D(CL),M(L),,16,1440,-,1,4,-,0.7,78.3,4.3,-,6.98
6,"67Tomas SoucekWest Ham, 27, DMC",Tomas Soucek West Ham,27, DMC,,,34(1),3062,5,1,3,-,1.3,76.6,3.8,1,6.98
7,"68Ethan PinnockBrentford, 29, D(C)",Ethan Pinnock Brentford,29, D(C),,,32,2698,1,1,1,-,0.5,75.4,4.5,1,6.97
8,"69James TarkowskiBurnley, 29, D(C)",James Tarkowski Burnley,29, D(C),,,35,3107,1,2,11,-,0.6,68.8,4.4,1,6.97
9,"70RaphinhaLeeds, 25, AM(LR),FW",Raphinha Leeds,25, AM(LR),FW,,34(1),2923,11,3,7,-,2.5,69.3,0.7,4,6.97
0,"71Matt DohertyTottenham, 30, D(LR),M(LR)",Matt Doherty Tottenham,30, D(LR),M(LR),,9(6),874,2,4,-,-,1.1,83.6,1.1,-,6.96
1,"72RicharlisonEverton, 25, AM(CLR),FW",Richarlison Everton,25, AM(CLR),FW,,28(2),2528,10,5,9,-,2.4,63.4,2.2,3,6.96
2,"73Philippe CoutinhoAston Villa, 29, M(CLR)",Philippe Coutinho Aston Villa,29, M(CLR),,,16(3),1339,5,3,-,-,2.3,83.3,0.3,1,6.96
3,"74JorginhoChelsea, 30, DMC",Jorginho Chelsea,30, DMC,,,26(3),2279,6,2,5,-,0.6,89.3,0.4,3,6.96
4,"75Rayan Aït-NouriWolves, 21, D(L),M(L)",Rayan Aït-Nouri Wolves,21, D(L),M(L),,20(3),1828,1,2,4,-,0.6,76.7,0.7,1,6.96
5,"76Rúben DiasMan City, 25, D(C)",Rúben Dias Man City,25, D(C),,,27(2),2404,2,4,5,-,0.6,93.4,1.8,1,6.96
6,"77Thomas ParteyArsenal, 28, D(R),M(CR)",Thomas Partey Arsenal,28, D(R),M(CR),,23(1),2032,2,1,5,-,1.8,85.6,1,1,6.96
7,"78Dwight McNeilBurnley, 22, M(LR)",Dwight McNeil Burnley,22, M(LR),,,35(3),3114,-,1,1,-,1.4,77.7,0.3,1,6.96
8,"79Sergio ReguilónTottenham, 25, D(L),M(L)",Sergio Reguilón Tottenham,25, D(L),M(L),,22(3),1923,2,3,4,-,0.8,78.7,1.2,-,6.95
9,"80Wilfred NdidiLeicester, 25, D(C),DMC",Wilfred Ndidi Leicester,25, D(C),DMC,,18(1),1619,-,-,4,-,0.7,80.2,2.2,-,6.95
0,"81Jamie VardyLeicester, 35, AM(L),FW",Jamie Vardy Leicester,35, AM(L),FW,,20(5),1806,15,2,2,-,2.2,72.5,1,2,6.95
1,"82Marc CucurellaBrighton, 23, D(CL),M(L)",Marc Cucurella Brighton,23, D(CL),M(L),,35,3092,1,1,6,-,0.5,82,1.1,1,6.94
