,Player,Player.1,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
5,"166Eric DierTottenham, 28, D(CR),DMC",Eric Dier Tottenham,28, D(CR),DMC,,35,3072,-,-,1,-,0.4,88.1,2,-,6.76
6,"167Lukasz FabianskiWest Ham, 37, GK",Lukasz Fabianski West Ham,37, GK,,,37,3330,-,-,2,-,-,59.2,0.3,1,6.76
7,"168Jonny EvansLeicester, 34, D(CL)",Jonny Evans Leicester,34, D(CL),,,16(2),1350,1,1,3,-,0.2,83.2,2.7,-,6.76
8,"169Malang SarrChelsea, 23, D(CL)",Malang Sarr Chelsea,23, D(CL),,,6(2),546,-,-,2,-,0.1,88.2,1.6,-,6.76
9,"170Tyrick MitchellCrystal Palace, 22, D(L)",Tyrick Mitchell Crystal Palace,22, D(L),,,35(1),3103,-,2,1,-,0.1,71.9,0.8,1,6.75
0,"171Alexis Mac AllisterBrighton, 23, M(CL),FW",Alexis Mac Allister Brighton,23, M(CL),FW,,22(11),2118,5,2,4,-,1.8,84.4,0.8,1,6.75
1,"172MarçalWolves, 33, D(CL),M(L)",Marçal Wolves,33, D(CL),M(L),,17(1),1453,-,-,3,-,0.6,77.7,1.4,-,6.75
2,"173Aaron CresswellWest Ham, 32, D(CL),M(L)",Aaron Cresswell West Ham,32, D(CL),M(L),,31,2728,2,3,3,-,0.6,82.6,1,-,6.75
3,"174Emiliano BuendíaAston Villa, 25, M(CLR)",Emiliano Buendía Aston Villa,25, M(CLR),,,22(13),1902,4,6,1,-,1.3,81.6,0.5,4,6.75
4,"175Gabriel MagalhãesArsenal, 24, D(C)",Gabriel Magalhães Arsenal,24, D(C),,,35,3068,5,-,6,1,0.8,89.5,1.6,1,6.74
5,"176Kurt ZoumaWest Ham, 27, D(CR)",Kurt Zouma West Ham,27, D(CR),,,24,2080,1,-,1,-,0.3,87.7,2.1,-,6.74
6,"177Luke ThomasLeicester, 20, D(L),M(L)",Luke Thomas Leicester,20, D(L),M(L),,21(1),1912,-,1,2,-,0.2,80.3,1.1,-,6.74
7,"178Emile Smith RoweArsenal, 21, AM(CL)",Emile Smith Rowe Arsenal,21, AM(CL),,,21(12),1922,10,2,1,-,1.2,87.4,0.2,1,6.74
8,"179Pierre-Emerick AubameyangArsenal, 32, M(CLR),FW",Pierre-Emerick Aubameyang Arsenal,32, M(CLR),FW,,12(2),1040,4,1,3,-,2.5,70.1,1.8,1,6.74
9,"180JonnyWolves, 28, D(CLR),M(LR)",Jonny Wolves,28, D(CLR),M(LR),,10(3),1023,2,-,1,-,0.8,83,0.8,-,6.74
0,"181Asmir BegovicEverton, 34, GK",Asmir Begovic Everton,34, GK,,,3,270,-,-,-,-,-,43.8,1.7,1,6.74
1,"182Bryan MbeumoBrentford, 22, AM(LR),FW",Bryan Mbeumo Brentford,22, AM(LR),FW,,34(1),2916,4,7,4,-,2.2,69,0.8,1,6.74
2,"183Çaglar SöyüncüLeicester, 26, D(C)",Çaglar Söyüncü Leicester,26, D(C),,,28,2498,1,-,5,-,0.3,84.6,3.3,1,6.74
3,"184Kasper SchmeichelLeicester, 35, GK",Kasper Schmeichel Leicester,35, GK,,,37,3330,-,-,2,-,-,69.7,0.3,2,6.74
4,"185Tyrone MingsAston Villa, 29, D(CL)",Tyrone Mings Aston Villa,29, D(CL),,,35(1),3188,1,3,11,-,0.6,79.6,2.3,2,6.74
5,"186Alexandre LacazetteArsenal, 31, M(CLR),FW",Alexandre Lacazette Arsenal,31, M(CLR),FW,,20(10),1789,4,7,-,-,1.5,76.4,0.7,2,6.74
6,"187Valentino LivramentoSouthampton, 19, D(R)",Valentino Livramento Southampton,19, D(R),,,25(3),2203,1,1,2,-,0.4,78.6,0.9,1,6.73
7,"188Lewis DunkBrighton, 30, D(C)",Lewis Dunk Brighton,30, D(C),,,29,2574,1,-,2,1,0.7,88.4,2.8,1,6.73
8,"189Kyle WalkerMan City, 32, D(CR),M(R)",Kyle Walker Man City,32, D(CR),M(R),,20,1756,-,2,1,-,0.4,90.3,1,-,6.73
9,"190Kristoffer AjerBrentford, 24, D(CR),DMC",Kristoffer Ajer Brentford,24, D(CR),DMC,,23(1),1987,1,3,5,-,0.3,69.7,2,-,6.73
0,"191Vitaly JaneltBrentford, 24, DMC",Vitaly Janelt Brentford,24, DMC,,,27(4),2309,4,-,3,-,1,77.9,1.1,2,6.73
1,"192Cheikhou KouyatéCrystal Palace, 32, D(CR),DMC",Cheikhou Kouyaté Crystal Palace,32, D(CR),DMC,,23(4),1978,-,1,3,-,0.3,82,1.9,-,6.73
2,"193Grant HanleyNorwich, 30, D(C)",Grant Hanley Norwich,30, D(C),,,33,2899,1,-,2,-,0.6,83.1,3.1,3,6.73
3,"194Abdoulaye DoucouréEverton, 29, M(C)",Abdoulaye Doucouré Everton,29, M(C),,,29(1),2538,2,4,6,-,1.1,79.6,1.2,1,6.72
4,"195Jeffrey SchluppCrystal Palace, 29, D(L),M(CLR)",Jeffrey Schlupp Crystal Palace,29, D(L),M(CLR),,20(12),1846,4,1,1,-,1,76.3,1,1,6.72
5,"196Che AdamsSouthampton, 25, AM(CL),FW",Che Adams Southampton,25, AM(CL),FW,,23(7),2043,7,3,-,-,1.6,65.7,2.1,1,6.72
6,"197Michael KeaneEverton, 29, D(CR)",Michael Keane Everton,29, D(CR),,,31(1),2793,3,2,2,1,0.6,76.5,3,1,6.72
7,"198Chris WoodNewcastle, 30, FW",Chris Wood Newcastle,30, FW,,,15(2),1328,2,-,-,-,1.2,52.5,6.6,-,6.72
8,"199Joel WardCrystal Palace, 32, D(LR),DMC,M(R)",Joel Ward Crystal Palace,32, D(LR),DMC,M(R),27(1),2486,-,-,8,-,0.4,79.2,2.1,-,6.72
9,"200Adam WebsterBrighton, 27, D(C)",Adam Webster Brighton,27, D(C),,,16(6),1432,2,-,5,-,0.4,81,2.5,2,6.72
0,"201Matt TargettAston Villa, 26, D(L),M(L)",Matt Targett Aston Villa,26, D(L),M(L),,17,1434,1,1,2,-,0.4,73.7,1.9,-,6.71
1,"202Timothy CastagneLeicester, 26, D(CLR),M(LR)",Timothy Castagne Leicester,26, D(CLR),M(LR),,22(5),2126,1,-,1,-,0.3,82,1.4,-,6.71
2,"203Andros TownsendEverton, 30, AM(LR),FW",Andros Townsend Everton,30, AM(LR),FW,,17(4),1459,3,2,3,-,1,78.1,0.3,2,6.71
3,"204Erik PietersBurnley, 33, D(L),M(L)",Erik Pieters Burnley,33, D(L),M(L),,8(4),727,-,1,1,-,0.6,67.7,1,-,6.71
4,"205James JustinLeicester, 24, D(CLR),M(LR)",James Justin Leicester,24, D(CLR),M(LR),,11(2),997,-,-,-,-,0.4,80.6,1,-,6.7
5,"206EdersonMan City, 28, GK",Ederson Man City,28, GK,,,37,3330,-,-,3,-,-,88.8,0.3,-,6.7
6,"207Craig DawsonWest Ham, 32, D(CR)",Craig Dawson West Ham,32, D(CR),,,30(4),2754,2,2,4,1,0.7,80.9,2.8,-,6.7
7,"208Fraser ForsterSouthampton, 34, GK",Fraser Forster Southampton,34, GK,,,19,1710,-,-,1,-,-,54.7,0.4,1,6.7
8,"209FernandinhoMan City, 37, D(CR),DMC",Fernandinho Man City,37, D(CR),DMC,,10(9),960,2,1,1,-,0.9,88.8,1.2,-,6.7
9,"210Fabian SchärNewcastle, 30, D(C)",Fabian Schär Newcastle,30, D(C),,,25,2161,2,2,4,-,0.8,69.6,1.8,1,6.7
0,"211Anthony GordonEverton, 21, AM(LR)",Anthony Gordon Everton,21, AM(LR),,,25(10),2285,4,2,4,-,1.3,74.2,0.5,2,6.7
1,"212Leo Fuhr HjeldeLeeds, 18, D(C)",Leo Fuhr Hjelde Leeds,18, D(C),,,0(2),148,-,-,-,-,-,68.8,1.5,-,6.7
2,"213Vitalii MykolenkoEverton, 23, D(CL),M(L)",Vitalii Mykolenko Everton,23, D(CL),M(L),,12(1),1056,1,-,-,-,0.6,73.4,0.8,1,6.69
3,"214Joshua KingWatford, 30, AM(CLR),FW",Joshua King Watford,30, AM(CLR),FW,,27(5),2251,5,3,5,-,1.6,72.9,3.1,2,6.69
4,"215Danny WelbeckBrighton, 31, AM(CLR),FW",Danny Welbeck Brighton,31, AM(CLR),FW,,15(10),1477,6,2,-,-,1.7,77.7,1.9,-,6.69
5,"216João MoutinhoWolves, 35, M(C)",João Moutinho Wolves,35, M(C),,,34(1),2975,2,1,4,-,0.6,86.7,0.4,2,6.69
6,"217Maxwel CornetBurnley, 25, D(L),M(LR),FW",Maxwel Cornet Burnley,25, D(L),M(LR),FW,21(5),1778,9,1,2,-,1.8,70.6,0.9,1,6.69
7,"218Moussa SissokoWatford, 32, M(CR)",Moussa Sissoko Watford,32, M(CR),,,36,3221,2,1,5,-,0.7,78.3,1.8,-,6.68
8,"219Vicente GuaitaCrystal Palace, 35, GK",Vicente Guaita Crystal Palace,35, GK,,,30,2656,-,-,2,-,-,74.9,0.3,1,6.68
9,"220Arthur MasuakuWest Ham, 28, D(L),M(L)",Arthur Masuaku West Ham,28, D(L),M(L),,6(7),645,1,1,1,-,0.3,79.9,1.2,-,6.68
0,"221Ryan SessegnonTottenham, 22, D(L),M(LR)",Ryan Sessegnon Tottenham,22, D(L),M(LR),,13(2),1054,-,2,2,-,0.4,76.8,0.7,-,6.68
1,"222Kiernan Dewsbury-HallLeicester, 23, M(C)",Kiernan Dewsbury-Hall Leicester,23, M(C),,,23(5),2106,1,2,4,-,0.8,81.2,0.6,1,6.68
2,"223Christian PulisicChelsea, 23, M(CLR),FW",Christian Pulisic Chelsea,23, M(CLR),FW,,13(9),1286,6,2,2,-,1.3,80.3,0.5,1,6.67
3,"224Jordan AyewCrystal Palace, 30, AM(CLR),FW",Jordan Ayew Crystal Palace,30, AM(CLR),FW,,23(8),2024,3,3,2,-,1.1,83.6,1,-,6.67
4,"225Granit XhakaArsenal, 29, D(L),M(C)",Granit Xhaka Arsenal,29, D(L),M(C),,27,2331,1,2,10,1,1,86.8,1,1,6.67
5,"226Jack HarrisonLeeds, 25, AM(CLR),FW",Jack Harrison Leeds,25, AM(CLR),FW,,32(3),2652,8,1,3,-,1.2,70.5,0.5,3,6.67
6,"227Chris WoodBurnley, 30, FW",Chris Wood Burnley,30, FW,,,17,1378,3,-,1,-,1.8,58.6,5.5,-,6.66
7,"228Joachim AndersenCrystal Palace, 26, D(C)",Joachim Andersen Crystal Palace,26, D(C),,,32(2),2915,-,3,4,-,0.2,81.6,1.6,-,6.66
8,"229Angelo OgbonnaWest Ham, 34, D(C)",Angelo Ogbonna West Ham,34, D(C),,,11,922,1,-,1,-,0.3,85.2,2.5,1,6.66
9,"230Raúl JiménezWolves, 31, FW",Raúl Jiménez Wolves,31, FW,,,30(4),2640,6,4,5,2,1.7,71.8,1.9,1,6.66
0,"231Enock MwepuBrighton, 24, M(CR)",Enock Mwepu Brighton,24, M(CR),,,12(6),997,2,4,2,-,1.1,74.5,0.5,2,6.66
1,"232Michael OliseCrystal Palace, 20, AM(CLR)",Michael Olise Crystal Palace,20, AM(CLR),,,12(14),1138,2,5,4,-,0.7,81.4,0.3,1,6.66
2,"233Odsonne ÉdouardCrystal Palace, 24, AM(L),FW",Odsonne Édouard Crystal Palace,24, AM(L),FW,,18(10),1567,6,3,4,-,1.4,73.7,1.4,-,6.66
3,"234Jadon SanchoMan Utd, 22, AM(CLR)",Jadon Sancho Man Utd,22, AM(CLR),,,20(9),1904,3,3,-,-,0.9,83.5,0.1,1,6.66
4,"235Christian BentekeCrystal Palace, 31, FW",Christian Benteke Crystal Palace,31, FW,,,11(14),1136,4,1,3,-,1.6,64.4,3.4,3,6.66
5,"236Édouard MendyChelsea, 30, GK",Édouard Mendy Chelsea,30, GK,,,34,3060,-,-,3,-,-,82,0.3,1,6.65
6,"237Ben JohnsonWest Ham, 22, D(LR),M(L)",Ben Johnson West Ham,22, D(LR),M(L),,16(4),1401,1,-,1,-,0.3,70.8,0.8,-,6.65
7,"238Martin DúbravkaNewcastle, 33, GK",Martin Dúbravka Newcastle,33, GK,,,26,2340,-,-,1,-,-,59.4,0.2,1,6.65
8,"239Pablo MaríArsenal, 28, D(C)",Pablo Marí Arsenal,28, D(C),,,2,180,-,-,1,-,0.5,85.9,2.5,-,6.65
9,"240Aaron RamsdaleArsenal, 24, GK",Aaron Ramsdale Arsenal,24, GK,,,34,3060,-,-,1,-,-,62.6,0.2,2,6.65
0,"241Manuel LanziniWest Ham, 29, M(CLR)",Manuel Lanzini West Ham,29, M(CLR),,,19(11),1789,5,3,2,-,0.5,91.9,0.2,1,6.65
1,"242Harry MaguireMan Utd, 29, D(C)",Harry Maguire Man Utd,29, D(C),,,28(2),2514,1,-,7,1,0.8,86.4,2.5,-,6.65
2,"243Danny IngsAston Villa, 29, AM(C),FW",Danny Ings Aston Villa,29, AM(C),FW,,22(8),1906,7,6,4,-,1.6,69.3,0.9,2,6.65
3,"244Jean-Philippe MatetaCrystal Palace, 24, FW",Jean-Philippe Mateta Crystal Palace,24, FW,,,13(9),1152,5,1,2,-,1.7,67.8,1.8,1,6.64
4,"245David de GeaMan Utd, 31, GK",David de Gea Man Utd,31, GK,,,38,3420,-,-,-,-,-,68.9,0.2,1,6.64
5,"246Ademola LookmanLeicester, 24, AM(CLR),FW",Ademola Lookman Leicester,24, AM(CLR),FW,,16(10),1459,6,-,2,-,1,78.3,0.1,1,6.64
6,"247Conor CoadyWolves, 29, D(CR),DMC",Conor Coady Wolves,29, D(CR),DMC,,38,3364,4,-,5,-,0.3,89.7,0.8,-,6.64
7,"248Luke ShawMan Utd, 26, D(CL),M(L)",Luke Shaw Man Utd,26, D(CL),M(L),,19(1),1603,-,3,8,-,0.3,84.1,1,-,6.64
8,"249Robert SánchezBrighton, 24, GK",Robert Sánchez Brighton,24, GK,,,37,3330,-,-,4,1,-,67.4,0.5,-,6.63
9,"250Nemanja MaticMan Utd, 33, DMC",Nemanja Matic Man Utd,33, DMC,,,16(7),1384,-,4,3,-,0.3,87.1,1.2,-,6.63
0,"251Emiliano MartínezAston Villa, 29, GK",Emiliano Martínez Aston Villa,29, GK,,,36,3240,-,-,4,-,-,70.4,0.3,-,6.63
1,"252Juraj KuckaWatford, 35, M(CLR)",Juraj Kucka Watford,35, M(CLR),,,22(4),1924,1,1,3,1,1.8,68.7,2.2,1,6.63
2,"253Alex McCarthySouthampton, 32, GK",Alex McCarthy Southampton,32, GK,,,17,1530,-,-,1,-,-,56.5,0.4,-,6.63
3,"254Wout WeghorstBurnley, 29, FW",Wout Weghorst Burnley,29, FW,,,17(3),1457,2,3,3,-,1.5,64.3,2.8,-,6.62
4,"255Adam MasinaWatford, 28, D(L),M(L)",Adam Masina Watford,28, D(L),M(L),,13(2),1077,-,1,-,-,0.3,69.7,1.9,-,6.62
5,"256Mohamed ElyounoussiSouthampton, 27, AM(CLR),FW",Mohamed Elyounoussi Southampton,27, AM(CLR),FW,,23(7),2046,4,2,4,-,1.4,70.7,1.3,-,6.62
6,"257Yerry MinaEverton, 27, D(C)",Yerry Mina Everton,27, D(C),,,11(2),847,-,-,3,-,0.5,80.1,2.3,-,6.61
7,"258Fabian DelphEverton, 32, D(L),M(CL)",Fabian Delph Everton,32, D(L),M(CL),,8(3),666,-,-,2,-,0.2,84.3,0.5,-,6.61
8,"259Séamus ColemanEverton, 33, D(CR),M(R)",Séamus Coleman Everton,33, D(CR),M(R),,30,2658,1,-,4,-,0.3,74.2,0.8,1,6.61
9,"260Dimitris GiannoulisNorwich, 26, D(L),M(L)",Dimitris Giannoulis Norwich,26, D(L),M(L),,14(4),1169,-,1,2,-,0.1,76.5,0.4,-,6.61
0,"261Illan MeslierLeeds, 22, GK",Illan Meslier Leeds,22, GK,,,38,3385,-,-,2,-,-,69,0.4,-,6.61
1,"262Connor RobertsBurnley, 26, D(LR),M(R)",Connor Roberts Burnley,26, D(LR),M(R),,19(2),1693,1,1,2,-,0.3,72.9,0.6,-,6.61
2,"263Jordan PickfordEverton, 28, GK",Jordan Pickford Everton,28, GK,,,35,3150,-,-,2,-,-,48.1,0.3,3,6.6
3,"264Eddie NketiahArsenal, 23, FW",Eddie Nketiah Arsenal,23, FW,,,8(13),825,5,1,3,-,1.4,77.7,0.4,2,6.6
4,"265James MilnerLiverpool, 36, D(LR),M(CLR)",James Milner Liverpool,36, D(LR),M(CLR),,9(15),851,-,1,2,-,0.4,86,0.5,-,6.6
5,"266Divock OrigiLiverpool, 27, AM(LR),FW",Divock Origi Liverpool,27, AM(LR),FW,,0(7),127,3,-,-,-,1.4,75.7,0.3,-,6.6
6,"267Benjamin MendyMan City, 27, D(L),DMC,M(L)",Benjamin Mendy Man City,27, D(L),DMC,M(L),1,79,-,-,-,-,-,92.2,-,-,6.6
7,"268Nathan RedmondSouthampton, 28, AM(CLR),FW",Nathan Redmond Southampton,28, AM(CLR),FW,,20(7),1834,1,5,-,-,1,73.1,0.5,1,6.6
8,"269Hamza ChoudhuryLeicester, 24, DMC",Hamza Choudhury Leicester,24, DMC,,,4(2),287,-,-,1,-,0.2,82.6,1.7,-,6.6
9,"270Armando BrojaSouthampton, 20, FW",Armando Broja Southampton,20, FW,,,21(11),1981,6,-,2,-,1.4,61.4,2.8,1,6.59
0,"271Joseph WillockNewcastle, 22, M(C)",Joseph Willock Newcastle,22, M(C),,,24(5),2047,2,-,-,-,1.2,81.6,0.6,1,6.59
1,"272Solly MarchBrighton, 27, M(CLR)",Solly March Brighton,27, M(CLR),,,17(14),1739,-,2,1,-,0.6,77.4,0.5,-,6.59
2,"273Emil KrafthNewcastle, 27, D(CR)",Emil Krafth Newcastle,27, D(CR),,,18(2),1638,-,1,5,-,0.3,73.3,1.1,-,6.59
3,"274Matthew LowtonBurnley, 32, D(LR),M(R)",Matthew Lowton Burnley,32, D(LR),M(R),,20(5),1772,1,2,3,1,0.4,67.4,1,-,6.59
4,"275Diego LlorenteLeeds, 28, D(C),DMC",Diego Llorente Leeds,28, D(C),DMC,,28,2344,3,-,7,-,0.4,81.4,1.8,1,6.58
5,"276Callum WilsonNewcastle, 30, FW",Callum Wilson Newcastle,30, FW,,,16(2),1395,8,-,4,-,1.9,68.2,1.6,3,6.58
6,"277Ismaïla SarrWatford, 24, AM(LR),FW",Ismaïla Sarr Watford,24, AM(LR),FW,,21(1),1865,5,2,2,-,1.8,77.5,0.5,1,6.58
7,"278Alexander IwobiEverton, 26, M(CLR)",Alexander Iwobi Everton,26, M(CLR),,,22(6),2037,2,2,1,-,0.9,79.6,0.3,1,6.58
8,"279TrincãoWolves, 22, AM(CR)",Trincão Wolves,22, AM(CR),,,16(12),1340,2,1,-,-,1.1,80.8,0.2,1,6.58
9,"280Kortney HauseAston Villa, 26, D(CL)",Kortney Hause Aston Villa,26, D(CL),,,4(3),397,1,-,-,-,0.3,78.8,2.9,1,6.58
0,"281Willy BolyWolves, 31, D(C)",Willy Boly Wolves,31, D(C),,,10,900,-,-,1,-,0.2,84,2,-,6.58
1,"282Francisco SierraltaWatford, 25, D(C)",Francisco Sierralta Watford,25, D(C),,,5,428,-,-,-,-,0.2,78,3,-,6.57
2,"283RodrigoLeeds, 31, M(CLR),FW",Rodrigo Leeds,31, M(CLR),FW,,27(4),2275,6,1,9,-,1.5,75.5,0.5,1,6.57
3,"284Oliver SkippTottenham, 21, DMC",Oliver Skipp Tottenham,21, DMC,,,14(4),1349,-,-,6,-,0.2,90.1,0.7,-,6.57
4,"285Jonjo ShelveyNewcastle, 30, M(C)",Jonjo Shelvey Newcastle,30, M(C),,,22(2),1986,2,1,5,1,1.3,81.3,0.4,1,6.57
5,"286Vladimír CoufalWest Ham, 29, D(R),M(R)",Vladimír Coufal West Ham,29, D(R),M(R),,25(3),2211,-,4,3,1,0.4,71.4,1.2,-,6.57
6,"287Harvey ElliottLiverpool, 19, AM(CR)",Harvey Elliott Liverpool,19, AM(CR),,,4(2),346,-,-,-,-,1.7,84.2,0.3,-,6.57
7,"288Kalvin PhillipsLeeds, 26, D(C),DMC",Kalvin Phillips Leeds,26, D(C),DMC,,18(2),1596,-,1,4,-,0.8,82,0.9,-,6.56
8,"289Angus GunnNorwich, 26, GK",Angus Gunn Norwich,26, GK,,,9,810,-,-,-,-,-,62.8,0.2,-,6.56
9,"290Alex Oxlade ChamberlainLiverpool, 28, M(CLR)",Alex Oxlade Chamberlain Liverpool,28, M(CLR),,,9(8),787,2,1,-,-,1.2,82.3,0.3,-,6.56
0,"291Joe GomezLiverpool, 25, D(CLR)",Joe Gomez Liverpool,25, D(CLR),,,4(4),331,-,1,2,-,0.1,83.3,1.3,-,6.56
1,"292Alphonse AreolaWest Ham, 29, GK",Alphonse Areola West Ham,29, GK,,,1,90,-,-,-,-,-,48.6,-,-,6.56
2,"293Anthony ElangaMan Utd, 20, AM(LR)",Anthony Elanga Man Utd,20, AM(LR),,,14(7),1217,2,2,-,-,1,78.2,1.1,-,6.56
3,"294Mathias NormannNorwich, 26, M(C)",Mathias Normann Norwich,26, M(C),,,20(3),1653,1,2,6,-,1.1,71.8,1.2,1,6.56
4,"295Nathaniel ClyneCrystal Palace, 31, D(LR),M(R)",Nathaniel Clyne Crystal Palace,31, D(LR),M(R),,15(1),1351,-,1,1,-,0.2,79.2,0.6,-,6.55
5,"296ChiquinhoWolves, 22, AM(R)",Chiquinho Wolves,22, AM(R),,,1(7),204,-,3,-,-,0.6,73.3,0.5,-,6.55
6,"297Charlie GoodeBrentford, 26, D(C)",Charlie Goode Brentford,26, D(C),,,4(2),448,-,-,3,-,0.3,70,2.5,-,6.55
7,"298Marc AlbrightonLeicester, 32, D(R),M(LR)",Marc Albrighton Leicester,32, D(R),M(LR),,11(6),1128,1,2,3,-,0.2,67.2,0.2,-,6.54
8,"299Yan ValerySouthampton, 23, D(CR),M(R)",Yan Valery Southampton,23, D(CR),M(R),,3(2),369,-,-,-,-,0.4,72.7,2.2,-,6.54
9,"300Imrân LouzaWatford, 23, M(CLR)",Imrân Louza Watford,23, M(CLR),,,17(3),1423,-,-,6,-,0.9,77.5,0.6,-,6.54
0,"301Brandon WilliamsNorwich, 21, D(L),M(L)",Brandon Williams Norwich,21, D(L),M(L),,23(3),2123,-,1,8,-,0.2,81.8,0.5,-,6.54
1,"302Rico HenryBrentford, 24, D(L),M(L)",Rico Henry Brentford,24, D(L),M(L),,33(1),2784,3,-,2,-,0.4,74.4,0.8,-,6.54
2,"303Tariq LampteyBrighton, 21, D(R),M(R)",Tariq Lamptey Brighton,21, D(R),M(R),,16(14),1558,-,2,4,-,0.6,85.8,0.2,-,6.54
3,"304Dele AlliTottenham, 26, M(CL),FW",Dele Alli Tottenham,26, M(CL),FW,,8(2),658,1,-,1,-,0.4,78.9,0.7,-,6.53
4,"305Timo WernerChelsea, 26, AM(CLR),FW",Timo Werner Chelsea,26, AM(CLR),FW,,15(6),1286,4,1,1,-,2.1,78.2,0.3,-,6.53
5,"306Mason HolgateEverton, 25, D(CR),DMC,M(R)",Mason Holgate Everton,25, D(CR),DMC,M(R),23(2),2134,2,1,7,1,0.3,68.4,2.5,-,6.53
6,"307Eberechi EzeCrystal Palace, 23, AM(CLR)",Eberechi Eze Crystal Palace,23, AM(CLR),,,6(7),603,1,1,1,-,0.8,82.4,0.5,-,6.53
7,"308SamirWatford, 27, D(CL)",Samir Watford,27, D(CL),,,19,1676,-,-,4,-,0.4,80.7,2.5,-,6.53
8,"309Hwang Hee-ChanWolves, 26, AM(CLR),FW",Hwang Hee-Chan Wolves,26, AM(CLR),FW,,20(10),1822,5,1,2,-,0.9,81,0.3,1,6.53
9,"310Daniel JamesMan Utd, 24, AM(LR),FW",Daniel James Man Utd,24, AM(LR),FW,,2,128,-,-,-,-,2,69,0.5,-,6.53
0,"311Will HughesCrystal Palace, 27, M(CLR)",Will Hughes Crystal Palace,27, M(CLR),,,13(3),1058,-,1,6,-,0.4,85.6,0.7,-,6.53
1,"312Andrew OmobamideleNorwich, 19, D(C)",Andrew Omobamidele Norwich,19, D(C),,,4(1),381,1,-,1,-,0.4,84.1,1,-,6.53
2,"313Cédric SoaresArsenal, 30, D(LR),M(R)",Cédric Soares Arsenal,30, D(LR),M(R),,16(5),1487,1,1,3,-,0.6,83.5,0.6,1,6.53
3,"314Yoane WissaBrentford, 25, AM(L),FW",Yoane Wissa Brentford,25, AM(L),FW,,12(18),1275,7,1,-,-,1.1,68.1,0.7,-,6.52
4,"315Kelechi IheanachoLeicester, 25, AM(C),FW",Kelechi Iheanacho Leicester,25, AM(C),FW,,13(13),1263,4,5,1,-,1.2,77.4,0.6,1,6.52
5,"316Japhet TangangaTottenham, 23, D(CR)",Japhet Tanganga Tottenham,23, D(CR),,,10(1),740,-,-,2,1,0.6,84.1,1.4,-,6.52
6,"317Paul DummettNewcastle, 30, D(CL)",Paul Dummett Newcastle,30, D(CL),,,2(1),194,-,-,2,-,-,73.1,1.7,-,6.52
7,"318Cucho HernándezWatford, 23, AM(LR),FW",Cucho Hernández Watford,23, AM(LR),FW,,11(14),1143,5,2,3,-,1.4,65.6,1.3,2,6.51
8,"319Stuart ArmstrongSouthampton, 30, AM(CLR)",Stuart Armstrong Southampton,30, AM(CLR),,,15(10),1470,2,-,1,-,1.5,82,0.2,-,6.51
9,"320Ben GodfreyEverton, 24, D(CLR)",Ben Godfrey Everton,24, D(CLR),,,23,2031,-,-,6,-,0.8,76.6,1.6,-,6.51
0,"321Albert Sambi LokongaArsenal, 22, DMC",Albert Sambi Lokonga Arsenal,22, DMC,,,12(7),1133,-,-,5,-,1.1,88.4,0.8,-,6.51
1,"322Adam LallanaBrighton, 34, M(CLR)",Adam Lallana Brighton,34, M(CLR),,,18(6),1561,-,1,4,-,0.8,87.1,0.6,-,6.5
2,"323Jamaal LascellesNewcastle, 28, D(C)",Jamaal Lascelles Newcastle,28, D(C),,,22(4),2055,1,-,5,-,0.7,74.6,3.4,-,6.5
3,"324AllanEverton, 31, DMC",Allan Everton,31, DMC,,,25(3),2188,-,2,7,1,0.3,80,0.4,-,6.5
4,"325Jack StephensSouthampton, 28, D(CR)",Jack Stephens Southampton,28, D(CR),,,9(2),811,-,-,3,-,-,77.3,1.2,-,6.5
5,"326Victor LindelöfMan Utd, 27, D(CR)",Victor Lindelöf Man Utd,27, D(CR),,,26(2),2355,-,2,4,-,0.1,87.8,1.9,-,6.5
6,"327Daniel BachmannWatford, 27, GK",Daniel Bachmann Watford,27, GK,,,12,1080,-,-,-,-,-,54.3,0.2,-,6.49
7,"328Junior FirpoLeeds, 25, D(L),M(L)",Junior Firpo Leeds,25, D(L),M(L),,19(5),1716,-,2,11,-,0.5,81.4,1.1,-,6.49
8,"329Liam DelapMan City, 19, Forward",Liam Delap Man City,19, Forward,,,0(1),9,-,-,-,-,-,100,-,-,6.49
9,"330Saúl ÑíguezChelsea, 27, D(CL),M(CLR)",Saúl Ñíguez Chelsea,27, D(CL),M(CLR),,5(5),480,-,-,1,-,0.5,88.9,0.8,-,6.49
0,"331Sergi CanósBrentford, 25, M(LR)",Sergi Canós Brentford,25, M(LR),,,25(6),2094,3,2,6,1,1.1,62.9,0.3,1,6.49
1,"332Neal MaupayBrighton, 25, AM(C),FW",Neal Maupay Brighton,25, AM(C),FW,,25(7),2276,8,2,7,-,1.9,77.8,0.7,-,6.49
2,"333Luke AylingLeeds, 30, D(CR),M(R)",Luke Ayling Leeds,30, D(CR),M(R),,26,2275,2,2,4,1,0.7,77.4,1.3,-,6.48
3,"334Rob HoldingArsenal, 26, D(CR)",Rob Holding Arsenal,26, D(CR),,,9(6),840,1,-,2,1,0.3,86.8,1.9,1,6.48
4,"335Pierre Lees-MelouNorwich, 29, M(CLR)",Pierre Lees-Melou Norwich,29, M(CLR),,,27(6),2273,1,-,5,-,1,79.6,0.4,-,6.48
