,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"31Danilo SoaresBochum, 30, D(L),M(L)",Danilo Soares Bochum,30, D(L),M(L),,30,2568,-,1,4,-,0.4,75.8,1.6,2,7.06
1,"32Timo HübersFC Koln, 25, D(C)",Timo Hübers FC Koln,25, D(C),,,20,1742,1,-,7,-,0.5,82.9,2.6,1,7.06
2,"33Willi OrbanRBL, 29, D(C)",Willi Orban RBL,29, D(C),,,30,2646,2,1,1,-,0.7,89.2,3.3,2,7.06
3,"34Konstantinos MavropanosStuttgart, 24, D(C)",Konstantinos Mavropanos Stuttgart,24, D(C),,,31,2711,4,-,3,-,1.1,80.1,2.9,5,7.05
4,"35Josko GvardiolRBL, 20, D(CL)",Josko Gvardiol RBL,20, D(CL),,,28(1),2413,2,2,7,-,0.8,84,1.8,-,7.04
5,"36Max KruseUnion Berlin, 34, M(CLR),FW",Max Kruse Union Berlin,34, M(CLR),FW,,16,1283,5,4,1,-,1.8,74.3,0.9,1,7.03
6,"37Jeremiah St. JusteMainz, 25, D(CR),DMC",Jeremiah St. Juste Mainz,25, D(CR),DMC,,7(1),605,1,-,-,-,1.5,78.3,3,1,7.03
7,"38Borna SosaStuttgart, 24, D(L),M(L)",Borna Sosa Stuttgart,24, D(L),M(L),,28,2500,1,8,4,-,0.9,77.9,0.7,3,7.02
8,"39Lennart GrillLeverkusen, 23, GK",Lennart Grill Leverkusen,23, GK,,,1,90,-,-,-,-,-,67.5,-,-,7.01
9,"40Mark UthFC Koln, 30, AM(CR),FW",Mark Uth FC Koln,30, AM(CR),FW,,24(6),2041,5,8,3,-,2.3,75.6,0.7,2,7
0,"41Kouadio KonéBorussia M.Gladbach, 21, DMC",Kouadio Koné Borussia M.Gladbach,21, DMC,,,25(1),2107,2,-,9,-,1.1,85.5,0.8,1,6.99
1,"42Maximilian ArnoldWolfsburg, 28, M(CR)",Maximilian Arnold Wolfsburg,28, M(CR),,,34,2996,4,2,4,-,1.1,83.2,1,2,6.99
2,"43Ellyes SkhiriFC Koln, 27, DMC",Ellyes Skhiri FC Koln,27, DMC,,,20(2),1820,4,1,3,-,1,84.6,1.6,2,6.98
3,"44Kerem DemirbayLeverkusen, 28, M(C)",Kerem Demirbay Leverkusen,28, M(C),,,23(6),2053,1,4,10,-,1.3,81.6,0.4,2,6.98
4,"45Dayot UpamecanoBayern, 23, D(C)",Dayot Upamecano Bayern,23, D(C),,,25(3),2210,1,6,4,-,0.4,90.1,2.2,2,6.98
5,"46Alexander HackMainz, 28, D(C)",Alexander Hack Mainz,28, D(C),,,24(4),2078,3,1,6,1,0.8,79.3,2.4,2,6.97
6,"47Jonas HectorFC Koln, 32, D(L),M(CL)",Jonas Hector FC Koln,32, D(L),M(CL),,30,2556,-,6,3,-,0.6,77.7,1.7,1,6.97
7,"48Christopher TrimmelUnion Berlin, 35, D(CR),M(R)",Christopher Trimmel Union Berlin,35, D(CR),M(R),,23(2),1996,2,-,5,-,0.8,68.1,1.2,1,6.97
8,"49Benjamin HübnerHoffenheim, 32, D(C)",Benjamin Hübner Hoffenheim,32, D(C),,,5,378,1,-,2,-,1.6,84.6,2.8,-,6.96
9,"50Anthony LosillaBochum, 36, D(C),DMC",Anthony Losilla Bochum,36, D(C),DMC,,32,2847,2,-,5,-,1.1,76.9,3.7,2,6.96
0,"51AngeliñoRBL, 25, D(L),M(L)",Angeliño RBL,25, D(L),M(L),,26(3),2299,2,5,3,-,0.4,76.7,0.4,-,6.95
1,"52Omar MarmoushStuttgart, 23, AM(L),FW",Omar Marmoush Stuttgart,23, AM(L),FW,,19(2),1584,3,5,3,-,2.3,71.2,1.3,1,6.95
2,"53Jamal MusialaBayern, 19, M(CL)",Jamal Musiala Bayern,19, M(CL),,,12(18),1458,5,5,2,-,1.4,84.8,0.2,-,6.94
3,"54Jonathan TahLeverkusen, 26, D(C)",Jonathan Tah Leverkusen,26, D(C),,,33,2882,2,3,4,-,0.5,88.2,2.9,2,6.94
4,"55Lucas HernándezBayern, 26, D(CL)",Lucas Hernández Bayern,26, D(CL),,,25,2041,-,1,7,-,0.2,89.6,1.6,-,6.94
5,"56Max KruseWolfsburg, 34, M(CLR),FW",Max Kruse Wolfsburg,34, M(CLR),FW,,14,1138,7,1,-,-,1.5,74.7,0.7,1,6.94
6,"57Anton StachMainz, 23, DMC",Anton Stach Mainz,23, DMC,,,20(9),1864,1,6,6,-,1.7,72.7,1.9,4,6.93
7,"58Marcel HalstenbergRBL, 30, D(CL),M(L)",Marcel Halstenberg RBL,30, D(CL),M(L),,5(3),506,1,-,-,-,0.6,87.3,1,-,6.93
8,"59Wataru EndoStuttgart, 29, DMC",Wataru Endo Stuttgart,29, DMC,,,33,2902,4,2,4,-,1.4,80.7,2.3,-,6.93
9,"60Patrick WimmerArminia Bielefeld, 21, AM(R)",Patrick Wimmer Arminia Bielefeld,21, AM(R),,,27(4),2067,3,6,7,-,1.8,58.6,1.4,4,6.92
0,"61Alassane PleaBorussia M.Gladbach, 29, AM(CLR),FW",Alassane Plea Borussia M.Gladbach,29, AM(CLR),FW,,23(9),1983,9,6,4,-,1.9,75.4,0.5,5,6.91
1,"62Breel EmboloBorussia M.Gladbach, 25, AM(CR),FW",Breel Embolo Borussia M.Gladbach,25, AM(CR),FW,,23(5),2076,8,3,3,-,1.6,74.2,1.3,1,6.91
2,"63Donyell MalenBorussia Dortmund, 23, AM(L),FW",Donyell Malen Borussia Dortmund,23, AM(L),FW,,20(7),1696,5,3,2,-,1.7,75.5,0.3,2,6.9
3,"64Andrej KramaricHoffenheim, 30, AM(CLR),FW",Andrej Kramaric Hoffenheim,30, AM(CLR),FW,,30(2),2710,6,9,2,-,2.9,81.2,0.4,3,6.89
4,"65Thomas MeunierBorussia Dortmund, 30, D(R),M(R)",Thomas Meunier Borussia Dortmund,30, D(R),M(R),,17,1406,2,4,4,-,1.1,78,1.4,-,6.88
5,"66Mohamed SimakanRBL, 22, D(CR)",Mohamed Simakan RBL,22, D(CR),,,23(5),2013,1,-,5,-,0.4,86.6,2.3,2,6.88
6,"67Jeremie FrimpongLeverkusen, 21, D(R),M(R)",Jeremie Frimpong Leverkusen,21, D(R),M(R),,25,2062,1,6,6,-,0.4,81.5,0.8,1,6.88
7,"68Maximilian MittelstädtHertha Berlin, 25, D(L),M(CL)",Maximilian Mittelstädt Hertha Berlin,25, D(L),M(CL),,16(8),1494,-,5,3,-,0.4,70.6,1,3,6.88
8,"69Mats HummelsBorussia Dortmund, 33, D(C)",Mats Hummels Borussia Dortmund,33, D(C),,,20(3),1768,1,2,4,-,0.5,87.3,2.8,-,6.88
9,"70Florian KainzFC Koln, 29, AM(CLR)",Florian Kainz FC Koln,29, AM(CLR),,,31(1),2347,4,4,2,1,1.2,70.1,0.3,4,6.88
0,"71Florian GrillitschHoffenheim, 26, D(C),M(CL)",Florian Grillitsch Hoffenheim,26, D(C),M(CL),,16(2),1495,-,-,7,-,0.4,89.4,1.3,2,6.87
1,"72Benjamin PavardBayern, 26, D(CLR),M(R)",Benjamin Pavard Bayern,26, D(CLR),M(R),,24(1),2080,-,1,2,1,0.7,88.1,1.8,1,6.87
2,"73Philipp LienhartFreiburg, 25, D(C)",Philipp Lienhart Freiburg,25, D(C),,,32,2871,5,-,2,-,0.6,85.3,2.2,1,6.87
3,"74Emre CanBorussia Dortmund, 28, D(CLR),DMC",Emre Can Borussia Dortmund,28, D(CLR),DMC,,19(5),1691,5,1,5,-,0.5,85.5,1.3,1,6.86
4,"75Reece OxfordAugsburg, 23, D(C),DMC",Reece Oxford Augsburg,23, D(C),DMC,,30,2694,2,1,9,-,0.5,79.7,2.9,3,6.86
5,"76Ramy BensebaïniBorussia M.Gladbach, 27, D(CL),DMC,M(L)",Ramy Bensebaïni Borussia M.Gladbach,27, D(CL),DMC,M(L),21(1),1930,4,1,6,-,1.4,81.6,2.5,-,6.86
6,"77Mahmoud DahoudBorussia Dortmund, 26, M(C)",Mahmoud Dahoud Borussia Dortmund,26, M(C),,,20(2),1665,2,3,5,1,1,79.8,0.5,1,6.85
7,"78Karim OnisiwoMainz, 30, AM(LR),FW",Karim Onisiwo Mainz,30, AM(LR),FW,,28(3),2376,5,8,-,-,2.1,62.4,1.9,2,6.84
8,"79Edmond TapsobaLeverkusen, 23, D(C)",Edmond Tapsoba Leverkusen,23, D(C),,,19(3),1813,1,-,1,-,0.3,88.4,1.9,-,6.84
9,"80Taiwo AwoniyiUnion Berlin, 24, FW",Taiwo Awoniyi Union Berlin,24, FW,,,29(2),2200,15,1,1,-,2.2,67.2,1.7,5,6.84
0,"81Aarón MartínMainz, 25, D(L),M(L)",Aarón Martín Mainz,25, D(L),M(L),,25(3),2296,1,1,7,-,0.6,75.1,0.4,1,6.84
1,"82Maxence LacroixWolfsburg, 22, D(C)",Maxence Lacroix Wolfsburg,22, D(C),,,29,2497,-,-,3,3,0.6,81.4,2.6,1,6.83
2,"83Paul JaeckelUnion Berlin, 23, D(C),DMC",Paul Jaeckel Union Berlin,23, D(C),DMC,,22(2),2045,-,-,5,-,0.1,79.5,2,-,6.83
3,"84Chris FührichStuttgart, 24, M(CLR),FW",Chris Führich Stuttgart,24, M(CLR),FW,,21(4),1725,3,2,3,-,1.2,83.9,0.1,-,6.83
4,"85Jamie Bynoe-GittensBorussia Dortmund, 17, Midfielder",Jamie Bynoe-Gittens Borussia Dortmund,17, Midfielder,,,1(3),133,-,-,-,-,0.3,68.3,0.5,-,6.83
5,"86Jonathan BurkardtMainz, 21, AM(CR),FW",Jonathan Burkardt Mainz,21, AM(CR),FW,,32(2),2632,11,3,-,-,2.3,70.3,1.1,3,6.82
6,"87Josip BrekaloWolfsburg, 23, AM(CLR),FW",Josip Brekalo Wolfsburg,23, AM(CLR),FW,,0(1),20,-,1,-,-,-,80,-,-,6.82
7,"88Dominik SzoboszlaiRBL, 21, AM(CL)",Dominik Szoboszlai RBL,21, AM(CL),,,15(16),1538,6,8,2,-,1.3,81,0.6,4,6.82
8,"89Tony JantschkeBorussia M.Gladbach, 32, D(CR),DMC",Tony Jantschke Borussia M.Gladbach,32, D(CR),DMC,,3,227,-,-,-,-,0.3,73.3,2,-,6.82
9,"90Amadou HaïdaraRBL, 24, M(CLR)",Amadou Haïdara RBL,24, M(CLR),,,15(5),1327,3,1,2,-,0.7,84.1,1,-,6.82
0,"91Raphaël GuerreiroBorussia Dortmund, 28, D(L),M(CL)",Raphaël Guerreiro Borussia Dortmund,28, D(L),M(CL),,21(2),1803,4,2,1,-,1.4,85.5,0.2,-,6.82
1,"92Ridle BakuWolfsburg, 24, D(R),M(CR)",Ridle Baku Wolfsburg,24, D(R),M(CR),,28(6),2450,3,5,4,-,1.1,76.5,0.8,-,6.81
2,"93Niklas SüleBayern, 26, D(CR)",Niklas Süle Bayern,26, D(CR),,,19(9),1835,1,2,2,-,0.6,90.1,1.4,-,6.81
3,"94Daniel CaligiuriAugsburg, 34, D(R),M(CLR),FW",Daniel Caligiuri Augsburg,34, D(R),M(CLR),FW,24(4),2014,4,2,4,-,1.3,71.5,1.1,2,6.81
4,"95Manuel RiemannBochum, 33, GK",Manuel Riemann Bochum,33, GK,,,30,2700,-,1,2,-,-,60.6,0.3,3,6.81
5,"96Lukas KüblerFreiburg, 29, D(R),M(R)",Lukas Kübler Freiburg,29, D(R),M(R),,27(2),2338,2,-,2,-,0.4,74.9,1.3,-,6.8
6,"97Sheraldo BeckerUnion Berlin, 27, AM(CLR),FW",Sheraldo Becker Union Berlin,27, AM(CLR),FW,,22(6),1770,4,6,4,-,1.3,71.3,0.4,4,6.8
7,"98Lukás HrádeckyLeverkusen, 32, GK",Lukás Hrádecky Leverkusen,32, GK,,,32,2880,-,-,1,-,-,73.8,0.3,1,6.8
8,"99Denis ZakariaBorussia M.Gladbach, 25, D(C),DMC",Denis Zakaria Borussia M.Gladbach,25, D(C),DMC,,15(1),1395,2,1,4,-,1.1,90.1,0.9,1,6.8
9,"100Silvan WidmerMainz, 29, D(R),M(R)",Silvan Widmer Mainz,29, D(R),M(R),,33,2925,4,5,1,-,0.7,74.4,1.1,-,6.79
0,"101Amos PieperArminia Bielefeld, 24, D(C)",Amos Pieper Arminia Bielefeld,24, D(C),,,27,2382,-,-,2,-,0.5,78.1,2.1,1,6.79
1,"102Rafael BorréEintracht Frankfurt, 26, FW",Rafael Borré Eintracht Frankfurt,26, FW,,,28(3),2391,8,4,5,-,1.7,72.3,1.5,1,6.79
2,"103Salih ÖzcanFC Koln, 24, M(C)",Salih Özcan FC Koln,24, M(C),,,26(5),2310,2,-,5,-,0.9,84.1,1.7,1,6.79
3,"104Michael GregoritschAugsburg, 28, AM(CR),FW",Michael Gregoritsch Augsburg,28, AM(CR),FW,,15(10),1394,9,-,3,-,1.7,59,3.2,1,6.78
4,"105Marvin SchwäbeFC Koln, 27, GK",Marvin Schwäbe FC Koln,27, GK,,,21,1890,-,-,1,-,-,81.4,0.2,1,6.78
5,"106Robert AndrichLeverkusen, 27, M(C)",Robert Andrich Leverkusen,27, M(C),,,21(5),1821,4,2,5,1,1.2,81.1,1.2,-,6.78
6,"107Karim BellarabiLeverkusen, 32, M(CLR),FW",Karim Bellarabi Leverkusen,32, M(CLR),FW,,9(7),687,3,2,2,-,1.8,79.6,-,1,6.78
7,"108Christian GünterFreiburg, 29, D(L),M(L)",Christian Günter Freiburg,29, D(L),M(L),,34,3060,2,9,2,-,0.7,70.6,0.3,2,6.78
8,"109Florian NeuhausBorussia M.Gladbach, 25, M(C)",Florian Neuhaus Borussia M.Gladbach,25, M(C),,,23(5),2038,4,4,2,-,1.6,80.8,0.4,-,6.78
9,"110Guilherme RamosArminia Bielefeld, 24, D(C)",Guilherme Ramos Arminia Bielefeld,24, D(C),,,9(4),903,-,-,1,-,0.5,68.6,2.4,1,6.77
0,"111Cédric BrunnerArminia Bielefeld, 28, D(CR)",Cédric Brunner Arminia Bielefeld,28, D(CR),,,26(1),2188,-,1,6,-,0.4,70.9,1.7,1,6.77
1,"112Matthias GinterBorussia M.Gladbach, 28, D(CR),DMC",Matthias Ginter Borussia M.Gladbach,28, D(CR),DMC,,26(1),2268,1,-,2,-,1.1,83.6,2.7,1,6.77
2,"113Wout WeghorstWolfsburg, 29, FW",Wout Weghorst Wolfsburg,29, FW,,,17(1),1552,6,1,2,-,2.1,70.9,2.5,1,6.76
3,"114Jesper LindstrømEintracht Frankfurt, 22, AM(C),FW",Jesper Lindstrøm Eintracht Frankfurt,22, AM(C),FW,,26(3),1996,5,4,-,-,1.9,74.5,0.2,1,6.76
4,"115Ansgar KnauffEintracht Frankfurt, 20, M(R)",Ansgar Knauff Eintracht Frankfurt,20, M(R),,,8(4),760,1,1,-,-,1,62.6,0.6,1,6.76
5,"116IagoAugsburg, 25, D(L),M(L)",Iago Augsburg,25, D(L),M(L),,26(2),2179,2,5,3,-,0.4,69.1,0.9,-,6.75
6,"117Robin KnocheUnion Berlin, 30, D(C)",Robin Knoche Union Berlin,30, D(C),,,33,2970,-,-,6,-,0.3,78.6,1.9,1,6.75
7,"118Marvin PlattenhardtHertha Berlin, 30, D(L),M(L)",Marvin Plattenhardt Hertha Berlin,30, D(L),M(L),,19(2),1638,-,3,3,-,0.3,75,0.8,-,6.75
8,"119Nordi MukieleRBL, 24, D(CR),M(R)",Nordi Mukiele RBL,24, D(CR),M(R),,21(7),1846,1,3,3,-,0.8,74,1.7,-,6.75
9,"120TutaEintracht Frankfurt, 22, D(C)",Tuta Eintracht Frankfurt,22, D(C),,,26,2189,4,-,2,1,0.6,79,2.1,2,6.75
0,"121Grischa PrömelUnion Berlin, 27, M(C)",Grischa Prömel Union Berlin,27, M(C),,,28(1),2428,8,1,5,-,1.3,75.9,1.2,2,6.75
1,"122Yann SommerBorussia M.Gladbach, 33, GK",Yann Sommer Borussia M.Gladbach,33, GK,,,32,2880,-,1,2,-,-,73.5,0.3,3,6.75
2,"123André SilvaRBL, 26, FW",André Silva RBL,26, FW,,,24(9),2081,11,3,1,-,1.8,73.1,1.1,1,6.74
3,"124Niklas DorschAugsburg, 24, DMC",Niklas Dorsch Augsburg,24, DMC,,,27(3),2328,1,-,8,-,0.4,83.4,0.5,1,6.74
4,"125Manuel NeuerBayern, 36, GK",Manuel Neuer Bayern,36, GK,,,28,2511,-,-,-,-,-,86.2,0.2,-,6.74
5,"126Stefan BellMainz, 30, D(CR)",Stefan Bell Mainz,30, D(CR),,,33,2869,2,-,9,-,0.7,77.3,3.2,1,6.74
6,"127Thorgan HazardBorussia Dortmund, 29, M(CLR),FW",Thorgan Hazard Borussia Dortmund,29, M(CLR),FW,,14(9),1337,4,1,2,-,1,78.3,1,2,6.73
7,"128Atakan KarazorStuttgart, 25, D(C),DMC",Atakan Karazor Stuttgart,25, D(C),DMC,,23(1),1906,-,1,7,1,0.4,82.1,2.4,-,6.73
8,"129Josuha GuilavoguiWolfsburg, 31, D(C),M(C)",Josuha Guilavogui Wolfsburg,31, D(C),M(C),,10(5),943,-,-,4,-,0.5,82.2,2.7,-,6.73
9,"130Joakim NilssonArminia Bielefeld, 28, D(C)",Joakim Nilsson Arminia Bielefeld,28, D(C),,,31,2739,2,-,5,-,0.2,80.4,2.6,1,6.73
0,"131John BrooksWolfsburg, 29, D(C)",John Brooks Wolfsburg,29, D(C),,,29(2),2619,1,-,2,-,0.4,83.4,2.2,1,6.73
1,"132Stefan Ortega MorenoArminia Bielefeld, 29, GK",Stefan Ortega Moreno Arminia Bielefeld,29, GK,,,33,2970,-,-,1,-,-,69,0.1,2,6.73
2,"133Jordan TorunarighaHertha Berlin, 24, D(CL)",Jordan Torunarigha Hertha Berlin,24, D(CL),,,6(1),484,-,1,1,-,0.3,81.4,2.1,-,6.72
3,"134Giovanni ReynaBorussia Dortmund, 19, AM(CLR)",Giovanni Reyna Borussia Dortmund,19, AM(CLR),,,6(4),442,2,1,-,-,1.1,83.5,0.5,-,6.72
4,"135Cristian GamboaBochum, 32, D(R)",Cristian Gamboa Bochum,32, D(R),,,20(3),1725,1,-,6,-,0.2,72.3,0.9,1,6.72
5,"136Moussa NiakhatéMainz, 26, D(CL)",Moussa Niakhaté Mainz,26, D(CL),,,29(1),2567,4,-,1,-,0.4,78.7,1.9,-,6.72
6,"137Corentin TolissoBayern, 27, D(R),M(CR)",Corentin Tolisso Bayern,27, D(R),M(CR),,8(7),705,2,1,-,-,1.1,87.6,0.8,-,6.72
7,"138Dani OlmoRBL, 24, AM(CLR),FW",Dani Olmo RBL,24, AM(CLR),FW,,7(12),740,3,3,2,-,1.2,78.4,0.2,2,6.71
8,"139Mark FlekkenFreiburg, 28, GK",Mark Flekken Freiburg,28, GK,,,32,2880,-,-,-,-,-,66.1,0.1,-,6.71
9,"140Manuel AkanjiBorussia Dortmund, 26, D(CR)",Manuel Akanji Borussia Dortmund,26, D(CR),,,25(1),2263,1,-,3,-,0.5,90.6,2,-,6.71
0,"141Xaver SchlagerWolfsburg, 24, M(C)",Xaver Schlager Wolfsburg,24, M(C),,,13(1),1047,-,1,2,-,0.7,76.6,0.9,-,6.71
1,"142PaulinhoLeverkusen, 21, AM(CLR)",Paulinho Leverkusen,21, AM(CLR),,,14(10),1219,4,2,1,-,1.1,82,0.3,1,6.71
2,"143Louis Jordan BeyerBorussia M.Gladbach, 22, D(CR)",Louis Jordan Beyer Borussia M.Gladbach,22, D(CR),,,14(2),1294,-,-,5,-,0.4,88.2,1.7,-,6.71
3,"144Timo BaumgartlUnion Berlin, 26, D(C)",Timo Baumgartl Union Berlin,26, D(C),,,25,2169,1,2,5,-,0.5,79.3,2.2,-,6.71
4,"145Philipp KlementStuttgart, 29, M(C)",Philipp Klement Stuttgart,29, M(C),,,3(3),338,1,-,-,-,1,83.4,0.2,-,6.7
5,"146Koen CasteelsWolfsburg, 29, GK",Koen Casteels Wolfsburg,29, GK,,,28,2520,-,-,1,-,-,75.4,0.3,2,6.7
6,"147Marvin FriedrichUnion Berlin, 26, D(C)",Marvin Friedrich Union Berlin,26, D(C),,,13,1170,-,-,2,1,1.1,74,3,-,6.7
7,"148Suat SerdarHertha Berlin, 25, M(CLR)",Suat Serdar Hertha Berlin,25, M(CLR),,,27(3),2230,3,-,6,-,1.1,71.4,0.6,3,6.7
8,"149Jeffrey GouweleeuwAugsburg, 30, D(C)",Jeffrey Gouweleeuw Augsburg,30, D(C),,,29,2578,2,-,9,-,0.4,72.3,1.5,1,6.7
9,"150Ihlas BebouHoffenheim, 28, M(CLR),FW",Ihlas Bebou Hoffenheim,28, M(CLR),FW,,25(3),2106,7,2,-,-,1.6,70.3,1.4,1,6.69
0,"151Lukas KlostermannRBL, 26, D(CLR),M(R)",Lukas Klostermann RBL,26, D(CLR),M(R),,17(6),1648,-,1,1,-,0.3,86.2,1,-,6.69
1,"152Piero HincapiéLeverkusen, 20, D(CL)",Piero Hincapié Leverkusen,20, D(CL),,,20(7),1752,1,2,5,-,0.3,81.5,2.1,-,6.69
2,"153Benjamin HenrichsRBL, 25, D(LR),DMC,M(LR)",Benjamin Henrichs RBL,25, D(LR),DMC,M(LR),12(10),1138,3,3,3,-,0.7,79.8,0.3,-,6.69
3,"154Niko GießelmannUnion Berlin, 30, D(CL),M(L)",Niko Gießelmann Union Berlin,30, D(CL),M(L),,25(3),2093,3,6,3,-,1,73.2,0.9,-,6.69
4,"155Diadié SamassékouHoffenheim, 26, DMC",Diadié Samassékou Hoffenheim,26, DMC,,,21(3),1665,2,-,7,-,0.6,80.3,1.3,1,6.68
5,"156Waldemar AntonStuttgart, 25, D(CR),DMC",Waldemar Anton Stuttgart,25, D(CR),DMC,,29,2597,2,1,6,1,0.8,84.8,2.1,1,6.68
6,"157Rani KhediraUnion Berlin, 28, D(C),DMC",Rani Khedira Union Berlin,28, D(C),DMC,,32,2765,-,1,6,-,0.4,73.8,1.2,1,6.68
7,"158Matheus CunhaHertha Berlin, 23, AM(CL),FW",Matheus Cunha Hertha Berlin,23, AM(CL),FW,,1,65,-,1,-,-,2,84.6,-,-,6.68
8,"159Gregor KobelBorussia Dortmund, 24, GK",Gregor Kobel Borussia Dortmund,24, GK,,,29,2566,-,-,-,-,-,79.4,0.1,1,6.68
9,"160Djibril SowEintracht Frankfurt, 25, DMC",Djibril Sow Eintracht Frankfurt,25, DMC,,,28(3),2422,2,3,5,-,0.5,82.9,0.9,-,6.67
