,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
0,"251Iván BalliuRayo Vallecano, 30, D(R)",Iván Balliu Rayo Vallecano,30, D(R),,,35,3148,1,2,10,1,0.4,76.3,0.7,-,6.56
1,"252Raúl GarcíaAthletic Bilbao, 35, M(CLR),FW",Raúl García Athletic Bilbao,35, M(CLR),FW,,24(11),1816,6,2,4,-,1.3,62,1.6,-,6.56
2,"253Mikel BalenziagaAthletic Bilbao, 34, D(L)",Mikel Balenziaga Athletic Bilbao,34, D(L),,,23(3),2027,-,-,2,-,0.3,77.6,1.3,-,6.55
3,"254Manu SánchezOsasuna, 21, D(L)",Manu Sánchez Osasuna,21, D(L),,,25(8),2260,1,3,5,-,0.2,74.7,0.3,1,6.55
4,"255Borja IglesiasReal Betis, 29, FW",Borja Iglesias Real Betis,29, FW,,,18(15),1574,10,-,4,-,1.2,71.1,0.7,3,6.55
5,"256Rafa MirSevilla, 24, FW",Rafa Mir Sevilla,24, FW,,,18(16),1804,10,-,6,-,1.8,67.6,1.7,1,6.54
6,"257Luis SuárezAtletico, 35, AM(CLR),FW",Luis Suárez Atletico,35, AM(CLR),FW,,20(15),1837,11,2,7,-,1.5,73.7,0.6,2,6.54
7,"258Ander BarrenetxeaReal Sociedad, 20, AM(LR)",Ander Barrenetxea Real Sociedad,20, AM(LR),,,6(5),549,1,1,-,-,0.7,73.3,0.4,-,6.54
8,"259Luuk de JongBarcelona, 31, AM(C),FW",Luuk de Jong Barcelona,31, AM(C),FW,,6(15),643,6,-,1,-,1.1,72,1.6,-,6.54
9,"260Takefusa KuboMallorca, 21, AM(CLR),FW",Takefusa Kubo Mallorca,21, AM(CLR),FW,,17(11),1610,1,-,4,-,1.7,74.9,0.4,-,6.54
0,"261MarianoReal Madrid, 28, FW",Mariano Real Madrid,28, FW,,,3(6),340,1,1,2,-,1.6,70,1,-,6.54
1,"262Enis BardhiLevante, 26, M(CLR)",Enis Bardhi Levante,26, M(CLR),,,17(13),1699,3,3,3,-,1.4,76.9,0.2,1,6.54
2,"263Lluís RecasensEspanyol, 20, Defender",Lluís Recasens Espanyol,20, Defender,,,0(1),45,-,-,-,-,-,54.5,1,-,6.54
3,"264Álex FernándezCadiz, 29, AM(CL)",Álex Fernández Cadiz,29, AM(CL),,,22(10),2051,3,2,2,-,0.7,81.8,0.6,1,6.54
4,"265Javier PuadoEspanyol, 24, AM(LR),FW",Javier Puado Espanyol,24, AM(LR),FW,,26(4),2258,4,1,5,-,1.3,83.7,0.4,1,6.54
5,"266FaliCadiz, 28, D(C),DMC",Fali Cadiz,28, D(C),DMC,,23(5),1813,-,2,6,-,0.5,76.7,1.1,-,6.54
6,"267Mario HermosoAtletico, 26, D(CL)",Mario Hermoso Atletico,26, D(CL),,,22(5),1872,2,1,6,1,0.6,87,1.8,1,6.54
7,"268Serge AurierVillarreal, 29, D(CLR),M(R)",Serge Aurier Villarreal,29, D(CLR),M(R),,10(9),1003,-,1,4,-,0.6,85.9,1.1,-,6.53
8,"269Esteban SaveljichRayo Vallecano, 31, D(C)",Esteban Saveljich Rayo Vallecano,31, D(C),,,21,1708,-,-,4,-,0.4,82.5,2.7,-,6.53
9,"270Sime VrsaljkoAtletico, 30, D(LR),M(R)",Sime Vrsaljko Atletico,30, D(LR),M(R),,10(11),910,1,2,4,-,0.2,77.2,1.6,1,6.53
0,"271Roger MartíLevante, 31, FW",Roger Martí Levante,31, FW,,,25(4),2124,7,3,8,-,1.7,69.6,1.1,1,6.53
1,"272Samuel UmtitiBarcelona, 28, D(CL)",Samuel Umtiti Barcelona,28, D(CL),,,1,90,-,-,1,-,-,87.2,3,-,6.53
2,"273Matheus CunhaAtletico, 23, AM(CL),FW",Matheus Cunha Atletico,23, AM(CL),FW,,8(21),1053,6,4,3,-,1.3,71,0.7,-,6.53
3,"274Nico GonzálezBarcelona, 20, M(C)",Nico González Barcelona,20, M(C),,,12(15),1111,2,1,6,-,0.6,90,0.2,-,6.53
4,"275Sergi RobertoBarcelona, 30, D(R),M(CR)",Sergi Roberto Barcelona,30, D(R),M(CR),,4(5),400,2,1,1,-,0.4,92,0.2,-,6.53
5,"276Antonio RaílloMallorca, 30, D(C)",Antonio Raíllo Mallorca,30, D(C),,,17,1530,2,-,8,-,0.5,85.6,1.6,-,6.53
6,"277Kike PérezElche, 25, AM(C)",Kike Pérez Elche,25, AM(C),,,5(7),518,2,-,1,-,0.8,74.9,1.2,-,6.53
7,"278Jonás RamalhoOsasuna, 28, D(CR)",Jonás Ramalho Osasuna,28, D(CR),,,3,245,-,-,-,-,0.7,79.6,2.3,-,6.52
8,"279Ferran JutglàBarcelona, 23, Forward",Ferran Jutglà Barcelona,23, Forward,,,4(2),303,1,-,1,-,1.7,85,1,-,6.52
9,"280FelipeAtletico, 33, D(C)",Felipe Atletico,33, D(C),,,15(11),1499,2,1,5,1,0.4,81.8,1.7,-,6.52
0,"281Salva SevillaMallorca, 38, M(CL)",Salva Sevilla Mallorca,38, M(CL),,,17(11),1510,5,3,2,-,0.9,84.2,0.1,-,6.52
1,"282Sergi GómezEspanyol, 30, D(CR)",Sergi Gómez Espanyol,30, D(CR),,,31,2724,1,2,1,1,0.3,84.8,1.3,-,6.52
2,"283Pervis EstupiñánVillarreal, 24, D(L)",Pervis Estupiñán Villarreal,24, D(L),,,17(11),1574,-,1,3,-,0.5,81.5,0.8,-,6.52
3,"284Pere MillaElche, 29, AM(CL),FW",Pere Milla Elche,29, AM(CL),FW,,18(15),1640,8,3,5,-,0.9,72.4,1,2,6.51
4,"285Nemanja GudeljSevilla, 30, D(C),M(C)",Nemanja Gudelj Sevilla,30, D(C),M(C),,9(12),1040,-,-,5,-,0.2,89.3,1.4,-,6.51
5,"286Néstor AraújoCelta Vigo, 30, D(C)",Néstor Araújo Celta Vigo,30, D(C),,,29(5),2617,-,-,4,-,0.2,85.6,1.9,-,6.51
6,"287Óscar RodríguezGetafe, 23, AM(CLR)",Óscar Rodríguez Getafe,23, AM(CLR),,,9(9),946,-,1,3,-,1.4,79,0.5,-,6.51
7,"288Marc-André ter StegenBarcelona, 30, GK",Marc-André ter Stegen Barcelona,30, GK,,,35,3150,-,-,3,-,-,85.9,0.2,-,6.51
8,"289Rubén SánchezEspanyol, 21, Defender",Rubén Sánchez Espanyol,21, Defender,,,1(3),148,-,1,-,-,0.3,71.7,1.3,1,6.51
9,"290Sergio EscuderoGranada, 32, D(L),M(L)",Sergio Escudero Granada,32, D(L),M(L),,15(12),1429,2,1,6,-,0.8,71.5,1.2,-,6.5
0,"291Gonzalo MeleroLevante, 28, AM(C),FW",Gonzalo Melero Levante,28, AM(C),FW,,20(9),1697,7,2,5,-,0.8,85,1,2,6.5
1,"292Aridane HernándezOsasuna, 33, D(C)",Aridane Hernández Osasuna,33, D(C),,,12(3),1159,-,-,1,-,0.1,79.7,1.5,-,6.5
2,"293Florian LejeuneDeportivo Alaves, 31, D(C)",Florian Lejeune Deportivo Alaves,31, D(C),,,30,2700,-,-,7,1,0.7,78,2.4,-,6.5
3,"294Domingos DuarteGranada, 27, D(C)",Domingos Duarte Granada,27, D(C),,,19(2),1689,1,-,7,1,0.3,77.3,1.9,-,6.5
4,"295Rubén SobrinoCadiz, 30, AM(LR),FW",Rubén Sobrino Cadiz,30, AM(LR),FW,,19(14),1856,4,1,4,-,1,73.6,1.2,1,6.5
5,"296Víctor LaguardiaDeportivo Alaves, 32, D(C)",Víctor Laguardia Deportivo Alaves,32, D(C),,,34,3044,3,2,9,-,0.4,75.2,1.9,1,6.5
6,"297Okay YokusluGetafe, 28, D(C),DMC",Okay Yokuslu Getafe,28, D(C),DMC,,5(6),463,-,-,1,-,0.4,79.5,0.9,1,6.49
7,"298JosanElche, 32, D(R),M(R)",Josan Elche,32, D(R),M(R),,10(21),1200,2,3,2,-,0.4,78.7,0.1,-,6.49
8,"299Fernando PachecoDeportivo Alaves, 30, GK",Fernando Pacheco Deportivo Alaves,30, GK,,,34,3054,-,-,1,-,-,59.7,0.1,1,6.49
9,"300Jorge MiramónLevante, 33, D(R),M(R)",Jorge Miramón Levante,33, D(R),M(R),,22(7),1976,1,-,5,-,0.2,74.7,0.6,-,6.49
0,"301Héctor HerreraAtletico, 32, M(C)",Héctor Herrera Atletico,32, M(C),,,8(13),852,-,-,4,-,0.4,84.8,1.1,-,6.49
1,"302QuiniGranada, 32, D(LR)",Quini Granada,32, D(LR),,,27(5),2305,-,1,11,-,0.5,69.6,0.8,-,6.49
2,"303Hugo DuroValencia, 22, AM(L),FW",Hugo Duro Valencia,22, AM(L),FW,,22(8),1847,7,1,2,1,1,71.8,1.3,-,6.49
3,"304Martin ValjentMallorca, 26, D(C)",Martin Valjent Mallorca,26, D(C),,,36,3183,-,-,4,-,0.3,81.2,1.7,-,6.49
4,"305Óscar MinguezaBarcelona, 23, D(CR)",Óscar Mingueza Barcelona,23, D(CR),,,9(10),892,-,1,2,-,0.1,89.3,0.5,-,6.49
5,"306Varazdat HaroyanCadiz, 29, D(C)",Varazdat Haroyan Cadiz,29, D(C),,,16(1),1439,1,-,9,-,0.2,77.1,1.7,-,6.49
6,"307Sergi GuardiolaRayo Vallecano, 31, FW",Sergi Guardiola Rayo Vallecano,31, FW,,,20(12),1716,8,2,3,-,1.6,69,0.8,1,6.49
7,"308Luis HernándezCadiz, 33, D(CR)",Luis Hernández Cadiz,33, D(CR),,,15(1),1366,-,-,5,-,0.4,84.5,1,-,6.49
8,"309Aitor FernándezLevante, 31, GK",Aitor Fernández Levante,31, GK,,,13,1167,-,-,1,1,-,65.1,0.2,1,6.49
9,"310Carlos NevaGranada, 25, D(L),M(L)",Carlos Neva Granada,25, D(L),M(L),,24(2),2115,-,-,1,-,0.2,72.2,0.8,-,6.48
0,"311Antonio SiveraDeportivo Alaves, 25, GK",Antonio Sivera Deportivo Alaves,25, GK,,,3(1),276,-,-,1,-,-,58.2,-,-,6.48
1,"312Unai VencedorAthletic Bilbao, 21, DMC",Unai Vencedor Athletic Bilbao,21, DMC,,,29(5),2397,-,-,4,-,0.6,80.1,0.7,-,6.48
2,"313Aihen MuñozReal Sociedad, 24, D(L)",Aihen Muñoz Real Sociedad,24, D(L),,,15(5),1345,-,-,2,1,0.4,78.6,1.3,-,6.48
3,"314Enzo RocoElche, 29, D(C)",Enzo Roco Elche,29, D(C),,,29(1),2555,1,-,10,-,0.4,82.4,2,-,6.48
4,"315Germán SánchezGranada, 35, D(C)",Germán Sánchez Granada,35, D(C),,,25(7),2298,2,1,9,1,0.4,74.5,2,-,6.47
5,"316Kike GarcíaOsasuna, 32, FW",Kike García Osasuna,32, FW,,,18(15),1860,5,1,2,-,1.6,67.6,2.3,1,6.47
6,"317Karim RekikSevilla, 27, D(CL)",Karim Rekik Sevilla,27, D(CL),,,11(7),1095,-,2,2,-,0.2,90.4,1.3,-,6.47
7,"318RodriReal Betis, 22, AM(R)",Rodri Real Betis,22, AM(R),,,10(11),882,1,2,-,-,0.7,82.9,-,-,6.47
8,"319Mario GilaReal Madrid, 21, Defender",Mario Gila Real Madrid,21, Defender,,,0(2),24,-,-,-,-,-,86.4,-,-,6.47
9,"320Vicente IborraVillarreal, 34, M(C)",Vicente Iborra Villarreal,34, M(C),,,12(8),1032,-,1,4,-,0.4,85.8,1.3,-,6.47
0,"321Renan LodiAtletico, 24, D(L),M(L)",Renan Lodi Atletico,24, D(L),M(L),,13(16),1181,2,2,5,-,0.3,81.6,1,2,6.47
1,"322Tete MorenteElche, 25, AM(CR)",Tete Morente Elche,25, AM(CR),,,18(14),1636,3,3,4,-,0.9,74.4,0.7,2,6.47
2,"323Manolo ReinaMallorca, 37, GK",Manolo Reina Mallorca,37, GK,,,23,1892,-,-,5,1,-,60.3,0.3,3,6.47
3,"324Juan CruzOsasuna, 29, D(CL)",Juan Cruz Osasuna,29, D(CL),,,22(1),1935,-,-,4,-,0.1,82.9,1,-,6.46
4,"325Dimitri FoulquierValencia, 29, D(CLR),M(R)",Dimitri Foulquier Valencia,29, D(CLR),M(R),,25(4),2337,-,1,11,-,0.6,67.7,0.7,1,6.46
5,"326Gerard GumbauElche, 27, DMC",Gerard Gumbau Elche,27, DMC,,,20(11),1891,-,4,8,1,0.7,84.1,0.6,1,6.46
6,"327Carlos DomínguezCelta Vigo, 21, D(C)",Carlos Domínguez Celta Vigo,21, D(C),,,3(5),341,-,-,1,-,0.1,79.4,1.3,-,6.46
7,"328Chimy AvilaOsasuna, 28, AM(LR),FW",Chimy Avila Osasuna,28, AM(LR),FW,,22(14),1875,6,1,7,1,1.8,60,1.4,1,6.46
8,"329Oussama IdrissiSevilla, 26, AM(LR)",Oussama Idrissi Sevilla,26, AM(LR),,,2(3),127,-,-,1,-,0.8,82.2,-,-,6.46
9,"330Philippe CoutinhoBarcelona, 29, M(CLR)",Philippe Coutinho Barcelona,29, M(CLR),,,5(7),500,2,-,1,-,2,86.8,0.2,-,6.46
0,"331Pathé CissRayo Vallecano, 28, DMC",Pathé Ciss Rayo Vallecano,28, DMC,,,11(20),1087,2,1,5,-,0.6,83.3,1.1,1,6.46
1,"332Raúl TorrenteGranada, 21, D(C)",Raúl Torrente Granada,21, D(C),,,15(3),1283,-,-,5,-,0.2,72.4,1.2,-,6.46
2,"333Dimitri FoulquierGranada, 29, D(CLR),M(R)",Dimitri Foulquier Granada,29, D(CLR),M(R),,2,180,-,-,-,-,-,60.5,0.5,-,6.46
3,"334Jon PachecoReal Sociedad, 21, D(C)",Jon Pacheco Real Sociedad,21, D(C),,,4(6),376,-,-,1,-,-,84.5,1.2,-,6.45
4,"335Hugo GuillamónValencia, 22, D(C),DMC",Hugo Guillamón Valencia,22, D(C),DMC,,28(3),2368,1,-,8,2,0.2,80.5,1.5,-,6.45
5,"336Óliver TorresSevilla, 27, M(CLR)",Óliver Torres Sevilla,27, M(CLR),,,11(15),1008,2,3,2,-,0.5,82.1,0.2,-,6.45
6,"337Rúben VezoLevante, 28, D(CR)",Rúben Vezo Levante,28, D(CR),,,27(5),2420,-,-,4,-,0.6,83.6,1.6,-,6.45
7,"338Renato TapiaCelta Vigo, 26, D(C),DMC",Renato Tapia Celta Vigo,26, D(C),DMC,,13(16),1406,-,-,10,-,0.4,80,1,1,6.45
8,"339Gonzalo MontielSevilla, 25, D(CR),M(R)",Gonzalo Montiel Sevilla,25, D(CR),M(R),,15(3),1073,1,2,7,-,0.3,78.4,0.6,-,6.45
9,"340Manu GarcíaDeportivo Alaves, 24, M(CL)",Manu García Deportivo Alaves,24, M(CL),,,10(14),1075,-,1,3,-,0.3,78.7,0.1,-,6.45
0,"341Darío BenedettoElche, 32, FW",Darío Benedetto Elche,32, FW,,,6(8),585,2,1,1,-,1.3,68.3,0.9,1,6.45
1,"342Stefan MitrovicGetafe, 32, D(C)",Stefan Mitrovic Getafe,32, D(C),,,31(1),2673,-,-,8,1,0.1,78.6,1.8,-,6.45
2,"343Paco AlcácerVillarreal, 28, AM(R),FW",Paco Alcácer Villarreal,28, AM(R),FW,,10(8),792,1,3,1,-,1,71.2,0.6,-,6.45
3,"344Asier IllarramendiReal Sociedad, 32, M(C)",Asier Illarramendi Real Sociedad,32, M(C),,,6(2),379,-,-,1,-,-,87.4,1.5,-,6.44
4,"345Carlos ClercLevante, 30, D(L),M(L)",Carlos Clerc Levante,30, D(L),M(L),,18(1),1518,-,-,6,-,0.1,77.4,0.8,1,6.44
5,"346Tonny VilhenaEspanyol, 27, D(L),M(CL)",Tonny Vilhena Espanyol,27, D(L),M(CL),,13(4),937,1,1,4,-,0.9,74,0.6,1,6.44
6,"347Radamel FalcaoRayo Vallecano, 36, FW",Radamel Falcao Rayo Vallecano,36, FW,,,8(14),832,6,-,1,-,1.5,77.8,1.2,-,6.44
7,"348Claudio BravoReal Betis, 39, GK",Claudio Bravo Real Betis,39, GK,,,17,1457,-,-,2,-,-,62.3,0.4,-,6.44
8,"349Nikola MarasRayo Vallecano, 26, D(C)",Nikola Maras Rayo Vallecano,26, D(C),,,11(5),1041,-,-,4,-,0.1,81.1,1.9,-,6.44
9,"350Pedro OrtizSevilla, 21, Midfielder",Pedro Ortiz Sevilla,21, Midfielder,,,0(1),6,-,-,-,-,1,100,-,-,6.44
0,"351Robert NavarroReal Sociedad, 20, Midfielder",Robert Navarro Real Sociedad,20, Midfielder,,,3(3),199,-,-,-,-,1.2,85.2,0.2,-,6.44
1,"352Tomás AlarcónCadiz, 23, DMC",Tomás Alarcón Cadiz,23, DMC,,,16(7),1425,-,1,5,-,0.7,76.2,0.7,-,6.44
2,"353Alberto PereaCadiz, 31, AM(LR)",Alberto Perea Cadiz,31, AM(LR),,,8(10),776,-,1,2,-,0.9,80.7,0.1,-,6.44
3,"354Carles AleñáGetafe, 24, AM(CLR)",Carles Aleñá Getafe,24, AM(CLR),,,30(3),2344,1,2,6,1,1.4,81.5,0.4,-,6.44
4,"355CokeLevante, 35, D(CLR),M(R)",Coke Levante,35, D(CLR),M(R),,1(5),114,1,-,1,-,0.2,80.7,0.7,-,6.44
5,"356Daniel CárdenasLevante, 25, GK",Daniel Cárdenas Levante,25, GK,,,24,2160,-,-,3,-,-,64.4,0.1,-,6.43
6,"357Toni LatoValencia, 24, D(L)",Toni Lato Valencia,24, D(L),,,7(4),591,-,1,5,-,-,76.5,0.4,-,6.43
7,"358Brian OlivánMallorca, 28, D(CL)",Brian Oliván Mallorca,28, D(CL),,,24(4),2189,1,-,7,-,0.7,68.2,0.8,-,6.43
8,"359SusoSevilla, 28, AM(CLR),FW",Suso Sevilla,28, AM(CLR),FW,,6(2),390,-,1,-,-,0.8,80.4,-,-,6.43
9,"360Kike BarjaOsasuna, 25, AM(LR)",Kike Barja Osasuna,25, AM(LR),,,9(12),863,2,-,2,-,0.8,77.7,0.4,-,6.43
0,"361Dani GarcíaAthletic Bilbao, 32, DMC",Dani García Athletic Bilbao,32, DMC,,,27(5),2194,-,-,9,-,0.4,78.1,1.1,-,6.43
1,"362CoteOsasuna, 32, D(L)",Cote Osasuna,32, D(L),,,12(11),1083,1,1,2,1,0.5,78.7,0.4,-,6.43
2,"363Álex SolaReal Sociedad, 22, Defender",Álex Sola Real Sociedad,22, Defender,,,0(2),39,-,-,-,-,0.5,68.4,-,-,6.43
3,"364Manu MorlanesEspanyol, 23, DMC",Manu Morlanes Espanyol,23, DMC,,,11(16),1143,2,-,6,1,0.3,86.4,0.7,-,6.42
4,"365Victor ChustCadiz, 22, D(C)",Victor Chust Cadiz,22, D(C),,,20(5),1830,-,-,2,-,0.4,84.3,1.2,-,6.42
5,"366Mouctar DiakhabyValencia, 25, D(C)",Mouctar Diakhaby Valencia,25, D(C),,,21(8),1945,-,1,11,-,0.3,74.7,1.1,-,6.42
6,"367Alex TirleaDeportivo Alaves, 22, Defender",Alex Tirlea Deportivo Alaves,22, Defender,,,0(1),14,-,-,-,-,-,71.4,-,-,6.42
7,"368Gonzalo VerdúElche, 33, D(C)",Gonzalo Verdú Elche,33, D(C),,,17(3),1388,-,-,11,-,0.2,84.2,1.4,-,6.42
8,"369Antonio SánchezMallorca, 25, AM(CR)",Antonio Sánchez Mallorca,25, AM(CR),,,19(10),1622,1,-,3,-,0.6,79.3,0.4,1,6.42
9,"370Martín AguirregabiriaDeportivo Alaves, 26, D(LR),M(R)",Martín Aguirregabiria Deportivo Alaves,26, D(LR),M(R),,17(7),1619,-,1,4,-,0.2,68.4,1.3,-,6.42
0,"371Cristian TelloReal Betis, 30, M(LR)",Cristian Tello Real Betis,30, M(LR),,,5(18),807,2,2,2,-,1.3,78.1,0.2,-,6.42
1,"372Igor ZubeldiaReal Sociedad, 25, D(C),DMC",Igor Zubeldia Real Sociedad,25, D(C),DMC,,19(7),1649,-,1,7,-,0.3,87.6,1.6,-,6.41
2,"373Fernando CaleroEspanyol, 26, D(C)",Fernando Calero Espanyol,26, D(C),,,13(3),1092,-,-,3,-,0.1,83.2,1.3,-,6.41
3,"374Marcos AndréValencia, 25, FW",Marcos André Valencia,25, FW,,,8(21),963,1,3,3,-,1,68.2,1.4,-,6.41
4,"375Keidi BareEspanyol, 24, DMC",Keidi Bare Espanyol,24, DMC,,,18(7),1488,1,1,9,-,0.2,86.9,0.5,-,6.41
5,"376Moi GómezVillarreal, 27, M(CLR)",Moi Gómez Villarreal,27, M(CLR),,,13(16),1280,2,2,2,-,0.4,82.8,0.4,-,6.41
6,"377Lee Kang-InMallorca, 21, AM(CR),FW",Lee Kang-In Mallorca,21, AM(CR),FW,,15(15),1411,1,2,1,1,1.2,77.8,0.5,-,6.41
7,"378Óscar RodríguezSevilla, 23, AM(CLR)",Óscar Rodríguez Sevilla,23, AM(CLR),,,4(7),416,-,-,1,-,1.3,83.2,0.3,-,6.41
8,"379Thiago GalhardoCelta Vigo, 32, AM(CL),FW",Thiago Galhardo Celta Vigo,32, AM(CL),FW,,9(22),1135,2,2,5,-,1,63.8,1.5,-,6.4
9,"380Víctor DíazGranada, 33, D(CLR)",Víctor Díaz Granada,33, D(CLR),,,19(4),1506,1,-,5,-,0.6,74.8,1.3,-,6.4
0,"381Joseba ZalduaReal Sociedad, 29, D(R)",Joseba Zaldua Real Sociedad,29, D(R),,,14(10),1173,-,-,6,-,0.3,79.1,0.8,-,6.4
1,"382Randy NtekaRayo Vallecano, 24, AM(C),FW",Randy Nteka Rayo Vallecano,24, AM(C),FW,,16(18),1462,3,-,3,-,0.9,67.3,1.8,1,6.4
2,"383Mario GasparVillarreal, 31, D(CR),M(R)",Mario Gaspar Villarreal,31, D(CR),M(R),,7(5),622,-,-,1,-,0.3,79.2,0.7,-,6.4
3,"384Ludwig AugustinssonSevilla, 28, D(L),M(L)",Ludwig Augustinsson Sevilla,28, D(L),M(L),,9(10),790,-,1,3,-,0.2,84.8,0.8,-,6.4
4,"385Nemanja RadojaLevante, 29, DMC",Nemanja Radoja Levante,29, DMC,,,17(2),1224,-,-,3,-,0.3,84.1,0.9,-,6.4
5,"386Yunus MusahValencia, 19, M(CR)",Yunus Musah Valencia,19, M(CR),,,13(16),1262,1,-,5,-,0.2,77.4,0.6,-,6.4
6,"387Andrés GuardadoReal Betis, 35, D(L),M(CL)",Andrés Guardado Real Betis,35, D(L),M(CL),,17(11),1394,-,1,4,-,0.5,84.8,0.4,-,6.4
7,"388Uros RacicValencia, 24, DMC",Uros Racic Valencia,24, DMC,,,13(15),1201,-,-,1,1,0.6,73.5,1.2,-,6.4
8,"389Rober PierLevante, 27, D(C),DMC",Rober Pier Levante,27, D(C),DMC,,21(6),2009,1,-,3,1,0.3,79.9,1,-,6.4
9,"390Lucas PérezElche, 33, AM(CR),FW",Lucas Pérez Elche,33, AM(CR),FW,,16(2),1279,2,1,-,-,0.8,78.8,0.1,-,6.4
0,"391FlorentinoGetafe, 22, M(C)",Florentino Getafe,22, M(C),,,9(13),986,-,1,2,-,0.1,78.9,0.8,-,6.4
1,"392David LópezEspanyol, 32, D(C),DMC",David López Espanyol,32, D(C),DMC,,8(10),744,-,-,1,-,0.3,82.9,1.2,-,6.4
2,"393RoberReal Betis, 21, Forward",Rober Real Betis,21, Forward,,,1(3),132,-,-,-,-,0.5,80,0.3,-,6.39
3,"394Guido CarrilloElche, 31, FW",Guido Carrillo Elche,31, FW,,,11(18),1157,2,-,3,-,0.8,70.2,2.9,-,6.39
4,"395Darko BrasanacOsasuna, 30, M(CR)",Darko Brasanac Osasuna,30, M(CR),,,27(8),2412,1,2,9,-,0.5,76.4,0.9,-,6.39
5,"396Aleix VidalEspanyol, 32, D(R),M(LR)",Aleix Vidal Espanyol,32, D(R),M(LR),,21(10),1908,2,-,10,-,0.2,82.7,0.3,-,6.39
6,"397JoaquínReal Betis, 40, M(CLR),FW",Joaquín Real Betis,40, M(CLR),FW,,2(19),455,-,1,-,-,0.5,85,0.1,-,6.39
7,"398SonLevante, 28, D(LR)",Son Levante,28, D(LR),,,22(4),1979,1,-,5,1,0.5,73.2,0.4,-,6.39
8,"399Fernando NiñoMallorca, 21, FW",Fernando Niño Mallorca,21, FW,,,9(14),879,2,-,2,-,1,67.9,2,1,6.39
9,"400Dani CeballosReal Madrid, 25, M(CL)",Dani Ceballos Real Madrid,25, M(CL),,,2(9),269,-,-,1,-,0.9,91.9,-,-,6.39
0,"401Ángel RodríguezMallorca, 35, FW",Ángel Rodríguez Mallorca,35, FW,,,19(10),1551,4,2,4,-,1,73.3,0.7,-,6.37
1,"402Óscar MelendoEspanyol, 24, AM(CR),FW",Óscar Melendo Espanyol,24, AM(CR),FW,,14(7),999,-,-,-,-,0.4,91.1,0.3,-,6.37
2,"403Ander GuevaraReal Sociedad, 24, DMC",Ander Guevara Real Sociedad,24, DMC,,,11(6),872,-,-,2,-,0.1,86.5,0.9,-,6.37
3,"404Unai DufurOsasuna, 23, Defender",Unai Dufur Osasuna,23, Defender,,,1,90,-,-,-,-,1,71.4,2,-,6.37
4,"405Mickaël MalsaLevante, 26, DMC",Mickaël Malsa Levante,26, DMC,,,11(15),1137,1,2,7,-,0.5,80.7,0.4,-,6.37
5,"406BebéRayo Vallecano, 31, AM(LR),FW",Bebé Rayo Vallecano,31, AM(LR),FW,,6(23),852,1,2,2,-,1.7,76.7,0.3,-,6.37
6,"407Pablo MartínezLevante, 24, M(C)",Pablo Martínez Levante,24, M(C),,,7(6),655,-,1,2,-,0.8,72,0.8,-,6.37
7,"408Ilaix MoribaValencia, 19, M(C)",Ilaix Moriba Valencia,19, M(C),,,9(5),819,-,-,7,1,1,77,1,-,6.37
8,"409Nico WilliamsAthletic Bilbao, 19, M(R)",Nico Williams Athletic Bilbao,19, M(R),,,11(23),1330,-,-,4,-,1,78.1,0.3,-,6.36
9,"410Toni MoyaDeportivo Alaves, 24, DMC",Toni Moya Deportivo Alaves,24, DMC,,,17(11),1386,-,1,2,-,0.4,75,0.4,1,6.36
0,"411JasonDeportivo Alaves, 27, M(R)",Jason Deportivo Alaves,27, M(R),,,10(4),683,-,1,1,-,0.6,58.8,0.6,1,6.36
1,"412Diego GonzálezElche, 27, D(CL)",Diego González Elche,27, D(CL),,,19(9),1790,-,-,3,1,0.1,82.7,1,-,6.36
2,"413Njegos PetrovicGranada, 22, DMC",Njegos Petrovic Granada,22, DMC,,,10(5),918,-,1,5,-,0.5,80,0.8,-,6.36
3,"414Ezequiel PonceElche, 25, AM(L),FW",Ezequiel Ponce Elche,25, AM(L),FW,,5(8),664,1,-,1,1,1.2,77.7,1.3,-,6.36
4,"415Santiago AriasGranada, 30, D(R)",Santiago Arias Granada,30, D(R),,,4(8),434,1,-,1,-,0.3,78.3,0.8,-,6.36
5,"416Jan OblakAtletico, 29, GK",Jan Oblak Atletico,29, GK,,,38,3420,-,-,1,-,-,51.9,0.2,-,6.35
6,"417Franco RussoMallorca, 27, D(C)",Franco Russo Mallorca,27, D(C),,,17(2),1465,1,-,3,2,0.3,76.4,1.5,1,6.35
7,"418Giovanni GonzálezMallorca, 27, D(R)",Giovanni González Mallorca,27, D(R),,,3(6),364,1,-,1,-,0.3,75.8,0.7,-,6.35
8,"419Bryan GilValencia, 21, AM(CLR)",Bryan Gil Valencia,21, AM(CLR),,,9(4),758,-,1,3,-,0.8,74.9,0.2,-,6.35
9,"420Hélder CostaValencia, 28, AM(CLR)",Hélder Costa Valencia,28, AM(CLR),,,13(9),1119,-,1,3,-,0.4,70.8,0.4,-,6.34
0,"421Anthony MartialSevilla, 26, AM(LR),FW",Anthony Martial Sevilla,26, AM(LR),FW,,7(2),495,-,1,1,-,0.8,84.1,0.7,-,6.34
1,"422Okay YokusluCelta Vigo, 28, D(C),DMC",Okay Yokuslu Celta Vigo,28, D(C),DMC,,1(7),133,-,-,-,-,0.3,90,0.8,-,6.34
