,Player,Player.1,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
7,"138Alexander IsakReal Sociedad, 22, FW",Alexander Isak Real Sociedad,22, FW,,,26(6),2157,6,2,6,-,2.3,74.3,0.9,-,6.73
8,"139Carlos AkapoCadiz, 29, D(LR)",Carlos Akapo Cadiz,29, D(LR),,,21(4),1847,-,-,4,-,0.4,75.2,1.5,1,6.72
9,"140Víctor RuizReal Betis, 33, D(C)",Víctor Ruiz Real Betis,33, D(C),,,17(1),1425,-,-,2,-,0.4,87,2.6,-,6.72
0,"141Stole DimitrievskiRayo Vallecano, 28, GK",Stole Dimitrievski Rayo Vallecano,28, GK,,,30(1),2771,-,-,-,-,-,50.3,0.4,1,6.72
1,"142Jorge CuencaGetafe, 22, D(C)",Jorge Cuenca Getafe,22, D(C),,,31(1),2686,1,-,6,2,0.5,68,2.5,1,6.72
2,"143Manu TriguerosVillarreal, 30, M(CLR),FW",Manu Trigueros Villarreal,30, M(CLR),FW,,27(8),2191,6,4,3,-,1.2,80.3,0.5,-,6.72
3,"144Iñaki WilliamsAthletic Bilbao, 27, AM(CLR),FW",Iñaki Williams Athletic Bilbao,27, AM(CLR),FW,,32(6),2787,8,5,4,-,2.5,67.7,1.3,1,6.71
4,"145Sergio HerreraOsasuna, 29, GK",Sergio Herrera Osasuna,29, GK,,,36,3240,-,-,3,-,-,54.8,0.3,2,6.71
5,"146Gerónimo RulliVillarreal, 30, GK",Gerónimo Rulli Villarreal,30, GK,,,32,2880,-,-,2,-,-,79.2,0.4,1,6.71
6,"147Jorge MolinaGranada, 40, FW",Jorge Molina Granada,40, FW,,,19(16),1958,10,5,2,-,1.3,64.1,2.6,5,6.71
7,"148Giorgi MamardashviliValencia, 21, GK",Giorgi Mamardashvili Valencia,21, GK,,,18,1620,-,-,2,-,-,51.3,0.3,2,6.71
8,"149Franco CerviCelta Vigo, 28, AM(CL)",Franco Cervi Celta Vigo,28, AM(CL),,,22(12),1811,4,3,6,-,0.6,80.1,0.5,1,6.71
9,"150Mamadou LoumDeportivo Alaves, 25, DMC",Mamadou Loum Deportivo Alaves,25, DMC,,,26(6),2317,2,-,10,-,1,72.9,3.1,1,6.7
0,"151MarceloReal Madrid, 34, D(L),M(L)",Marcelo Real Madrid,34, D(L),M(L),,5(7),521,-,2,-,-,0.7,85.8,0.3,-,6.7
1,"152Marko DmitrovicSevilla, 30, GK",Marko Dmitrovic Sevilla,30, GK,,,7,541,-,-,1,-,-,80.7,0.1,-,6.7
2,"153Rubén GarcíaOsasuna, 28, AM(CLR),FW",Rubén García Osasuna,28, AM(CLR),FW,,30(7),2399,1,6,1,-,0.9,77.9,0.8,3,6.7
3,"154Antonio BlancoReal Madrid, 21, Midfielder",Antonio Blanco Real Madrid,21, Midfielder,,,0(1),31,-,-,-,-,-,90,-,-,6.7
4,"155Álex RemiroReal Sociedad, 27, GK",Álex Remiro Real Sociedad,27, GK,,,35,3150,-,-,1,-,-,73.1,0.1,1,6.7
