Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Obite Evan Ndicka Eintracht Frankfurt,22, D(CL),,,32,4,4,0.8,0.3,0.4,0.4,0.1,0.2,0.7,7.06,2858
Danilo Soares Bochum,30, D(L),M(L),,30,-,1,0.4,0.6,1.2,1.4,-,0.7,1.3,7.06,2568
Timo Hübers FC Koln,25, D(C),,,20,1,-,0.5,-,0.3,1.2,-,0.2,1,7.06,1742
Willi Orban RBL,29, D(C),,,30,2,1,0.7,0.2,0.1,1,0.1,0.1,0.5,7.06,2646
Konstantinos Mavropanos Stuttgart,24, D(C),,,31,4,-,1.1,0.3,0.6,0.6,0.1,0.3,0.8,7.05,2711
Josko Gvardiol RBL,20, D(CL),,,28(1),2,2,0.8,0.4,1.3,1.2,-,0.7,1,7.04,2413
Max Kruse Union Berlin,34, M(CLR),FW,,16,5,4,1.8,1.7,0.9,0.4,0.1,0.4,2.1,7.03,1283
Jeremiah St. Juste Mainz,25, D(CR),DMC,,7(1),1,-,1.5,0.4,0.1,1,-,0.3,0.5,7.03,605
Borna Sosa Stuttgart,24, D(L),M(L),,28,1,8,0.9,2.2,1.3,0.9,-,0.5,1.4,7.02,2500
Lennart Grill Leverkusen,23, GK,,,1,-,-,-,-,-,-,-,-,-,7.01,90
Mark Uth FC Koln,30, AM(CR),FW,,24(6),5,8,2.3,1.8,0.8,1.5,0.4,1,2.4,7,2041
Kouadio Koné Borussia M.Gladbach,21, DMC,,,25(1),2,-,1.1,0.5,2.6,2.2,-,1.8,2.5,6.99,2107
Maximilian Arnold Wolfsburg,28, M(CR),,,34,4,2,1.1,1.7,0.4,1.7,-,0.5,0.9,6.99,2996
Ellyes Skhiri FC Koln,27, DMC,,,20(2),4,1,1,0.7,0.5,1,0.1,0.8,0.6,6.98,1820
Kerem Demirbay Leverkusen,28, M(C),,,23(6),1,4,1.3,1.6,1,1,0.1,0.8,1.2,6.98,2053
Dayot Upamecano Bayern,23, D(C),,,25(3),1,6,0.4,0.4,0.4,0.4,-,0.3,0.6,6.98,2210
Alexander Hack Mainz,28, D(C),,,24(4),3,1,0.8,0.4,0.3,1.2,0.1,-,0.5,6.97,2078
Jonas Hector FC Koln,32, D(L),M(CL),,30,-,6,0.6,1.2,0.5,1.8,-,0.4,0.9,6.97,2556
Christopher Trimmel Union Berlin,35, D(CR),M(R),,23(2),2,-,0.8,1.2,0.8,0.2,-,0.5,1.2,6.97,1996
Benjamin Hübner Hoffenheim,32, D(C),,,5,1,-,1.6,-,0.2,0.4,-,0.2,0.2,6.96,378
Anthony Losilla Bochum,36, D(C),DMC,,32,2,-,1.1,0.5,0.6,0.6,0.1,0.5,1,6.96,2847
Angeliño RBL,25, D(L),M(L),,26(3),2,5,0.4,1.8,0.5,1.2,0.1,0.7,1,6.95,2299
Omar Marmoush Stuttgart,23, AM(L),FW,,19(2),3,5,2.3,1.5,2.1,2.7,0.3,2,4.1,6.95,1584
Jamal Musiala Bayern,19, M(CL),,,12(18),5,5,1.4,0.9,1.9,0.7,0.1,1.3,2,6.94,1458
Jonathan Tah Leverkusen,26, D(C),,,33,2,3,0.5,0.3,0.5,0.3,-,0.3,0.6,6.94,2882
Lucas Hernández Bayern,26, D(CL),,,25,-,1,0.2,0.4,0.7,1.4,-,0.2,0.6,6.94,2041
Max Kruse Wolfsburg,34, M(CLR),FW,,14,7,1,1.5,1.1,0.6,0.9,0.4,0.6,1.8,6.94,1138
Anton Stach Mainz,23, DMC,,,20(9),1,6,1.7,1.1,1,1.5,-,0.7,1.8,6.93,1864
Marcel Halstenberg RBL,30, D(CL),M(L),,5(3),1,-,0.6,0.5,0.9,0.5,0.1,0.1,0.6,6.93,506
Wataru Endo Stuttgart,29, DMC,,,33,4,2,1.4,0.7,1,1.8,-,1.3,1.5,6.93,2902
Patrick Wimmer Arminia Bielefeld,21, AM(R),,,27(4),3,6,1.8,1.4,2.3,1.2,0.2,1.5,2.2,6.92,2067
Alassane Plea Borussia M.Gladbach,29, AM(CLR),FW,,23(9),9,6,1.9,1.8,1,0.8,0.4,0.7,1.3,6.91,1983
Breel Embolo Borussia M.Gladbach,25, AM(CR),FW,,23(5),8,3,1.6,1.2,1.5,2.4,0.7,2.1,3.2,6.91,2076
Donyell Malen Borussia Dortmund,23, AM(L),FW,,20(7),5,3,1.7,0.8,1.3,1.1,0.3,1,2,6.9,1696
Andrej Kramaric Hoffenheim,30, AM(CLR),FW,,30(2),6,9,2.9,1.3,0.9,0.9,0.3,1.2,2,6.89,2710
Thomas Meunier Borussia Dortmund,30, D(R),M(R),,17,2,4,1.1,0.9,0.6,0.4,0.1,0.6,1.5,6.88,1406
Mohamed Simakan RBL,22, D(CR),,,23(5),1,-,0.4,0.3,0.6,1.2,-,0.3,0.9,6.88,2013
Jeremie Frimpong Leverkusen,21, D(R),M(R),,25,1,6,0.4,1.2,1.9,1.8,-,1,1.9,6.88,2062
Maximilian Mittelstädt Hertha Berlin,25, D(L),M(CL),,16(8),-,5,0.4,0.9,1.3,1.5,-,0.8,1,6.88,1494
Mats Hummels Borussia Dortmund,33, D(C),,,20(3),1,2,0.5,0.1,0.3,0.5,-,0.1,0.5,6.88,1768
Florian Kainz FC Koln,29, AM(CLR),,,31(1),4,4,1.2,1.5,0.9,1.4,-,0.7,1.1,6.88,2347
Florian Grillitsch Hoffenheim,26, D(C),M(CL),,16(2),-,-,0.4,0.6,0.3,1.3,-,0.3,0.5,6.87,1495
Benjamin Pavard Bayern,26, D(CLR),M(R),,24(1),-,1,0.7,0.7,0.1,0.4,0.1,0.2,0.4,6.87,2080
Philipp Lienhart Freiburg,25, D(C),,,32,5,-,0.6,0.1,0.1,0.8,-,0.1,0.6,6.87,2871
Emre Can Borussia Dortmund,28, D(CLR),DMC,,19(5),5,1,0.5,0.3,0.8,0.9,-,0.4,0.9,6.86,1691
Reece Oxford Augsburg,23, D(C),DMC,,30,2,1,0.5,0.1,0.1,0.7,-,-,0.6,6.86,2694
Ramy Bensebaïni Borussia M.Gladbach,27, D(CL),DMC,M(L),21(1),4,1,1.4,0.6,0.7,1.9,0.2,0.6,1.3,6.86,1930
Mahmoud Dahoud Borussia Dortmund,26, M(C),,,20(2),2,3,1,1.3,1.2,0.6,-,0.6,1.4,6.85,1665
Karim Onisiwo Mainz,30, AM(LR),FW,,28(3),5,8,2.1,1.3,1.6,1,0.9,1.5,4.1,6.84,2376
Edmond Tapsoba Leverkusen,23, D(C),,,19(3),1,-,0.3,-,0.5,0.3,-,0.1,0.7,6.84,1813
Taiwo Awoniyi Union Berlin,24, FW,,,29(2),15,1,2.2,0.9,1.1,0.7,0.7,1.3,4.5,6.84,2200
Aarón Martín Mainz,25, D(L),M(L),,25(3),1,1,0.6,1.6,1,0.6,-,0.5,1.2,6.84,2296
Maxence Lacroix Wolfsburg,22, D(C),,,29,-,-,0.6,0.2,1.1,0.9,-,0.4,0.9,6.83,2497
Paul Jaeckel Union Berlin,23, D(C),DMC,,22(2),-,-,0.1,0.3,0.8,0.5,-,0.2,0.8,6.83,2045
Chris Führich Stuttgart,24, M(CLR),FW,,21(4),3,2,1.2,1.2,1.6,0.8,0.1,0.9,1.7,6.83,1725
Jamie Bynoe-Gittens Borussia Dortmund,17, Midfielder,,,1(3),-,-,0.3,0.5,3.3,1.5,-,1.3,1.5,6.83,133
Jonathan Burkardt Mainz,21, AM(CR),FW,,32(2),11,3,2.3,0.9,1.2,1.2,0.3,1.8,3.4,6.82,2632
Josip Brekalo Wolfsburg,23, AM(CLR),FW,,0(1),-,1,-,1,1,-,-,2,1,6.82,20
Dominik Szoboszlai RBL,21, AM(CL),,,15(16),6,8,1.3,1.3,0.6,0.7,0.2,0.9,1.4,6.82,1538
Tony Jantschke Borussia M.Gladbach,32, D(CR),DMC,,3,-,-,0.3,-,-,1,-,-,-,6.82,227
Amadou Haïdara RBL,24, M(CLR),,,15(5),3,1,0.7,0.4,1,0.7,-,0.8,0.8,6.82,1327
Raphaël Guerreiro Borussia Dortmund,28, D(L),M(CL),,21(2),4,2,1.4,1.2,1.1,0.3,-,0.6,1.3,6.82,1803
Ridle Baku Wolfsburg,24, D(R),M(CR),,28(6),3,5,1.1,1.1,1.1,1.1,0.3,0.7,1.8,6.81,2450
Niklas Süle Bayern,26, D(CR),,,19(9),1,2,0.6,0.4,0.3,-,-,0.1,0.3,6.81,1835
Daniel Caligiuri Augsburg,34, D(R),M(CLR),FW,24(4),4,2,1.3,0.8,1.4,1.5,-,1.3,2.5,6.81,2014
Manuel Riemann Bochum,33, GK,,,30,-,1,-,0.2,-,0.2,-,-,-,6.81,2700
Lukas Kübler Freiburg,29, D(R),M(R),,27(2),2,-,0.4,0.5,0.3,0.7,0.1,0.2,0.8,6.8,2338
Sheraldo Becker Union Berlin,27, AM(CLR),FW,,22(6),4,6,1.3,1.5,0.9,0.9,0.4,0.7,1.6,6.8,1770
Lukás Hrádecky Leverkusen,32, GK,,,32,-,-,-,-,-,0.1,-,-,-,6.8,2880
Denis Zakaria Borussia M.Gladbach,25, D(C),DMC,,15(1),2,1,1.1,0.6,1.8,0.7,0.1,0.7,1.1,6.8,1395
Silvan Widmer Mainz,29, D(R),M(R),,33,4,5,0.7,0.6,0.6,0.6,-,0.4,0.8,6.79,2925
Amos Pieper Arminia Bielefeld,24, D(C),,,27,-,-,0.5,0.2,0.2,0.6,-,-,0.3,6.79,2382
Rafael Borré Eintracht Frankfurt,26, FW,,,28(3),8,4,1.7,0.9,0.9,0.8,0.5,1,3.1,6.79,2391
Salih Özcan FC Koln,24, M(C),,,26(5),2,-,0.9,0.6,0.8,1.7,-,0.9,0.8,6.79,2310
Michael Gregoritsch Augsburg,28, AM(CR),FW,,15(10),9,-,1.7,0.3,0.2,0.5,0.2,0.6,1.6,6.78,1394
Marvin Schwäbe FC Koln,27, GK,,,21,-,-,-,-,-,0.1,-,-,-,6.78,1890
Robert Andrich Leverkusen,27, M(C),,,21(5),4,2,1.2,0.5,0.5,0.6,0.1,0.3,0.5,6.78,1821
Karim Bellarabi Leverkusen,32, M(CLR),FW,,9(7),3,2,1.8,0.6,1.1,0.4,0.1,0.8,1.2,6.78,687
Christian Günter Freiburg,29, D(L),M(L),,34,2,9,0.7,2,0.6,0.4,0.1,0.2,1.1,6.78,3060
Florian Neuhaus Borussia M.Gladbach,25, M(C),,,23(5),4,4,1.6,0.7,1.3,1,-,0.9,1.4,6.78,2038
Guilherme Ramos Arminia Bielefeld,24, D(C),,,9(4),-,-,0.5,0.1,0.3,0.4,0.1,0.5,1,6.77,903
Cédric Brunner Arminia Bielefeld,28, D(CR),,,26(1),-,1,0.4,0.6,0.6,0.9,-,0.4,0.7,6.77,2188
Matthias Ginter Borussia M.Gladbach,28, D(CR),DMC,,26(1),1,-,1.1,0.6,0.2,1,0.1,0.1,0.4,6.77,2268
Wout Weghorst Wolfsburg,29, FW,,,17(1),6,1,2.1,0.9,0.4,1.7,0.8,1,2.7,6.76,1552
Jesper Lindstrøm Eintracht Frankfurt,22, AM(C),FW,,26(3),5,4,1.9,1.6,1.1,0.6,0.1,1.1,2.9,6.76,1996
Ansgar Knauff Eintracht Frankfurt,20, M(R),,,8(4),1,1,1,0.8,1.5,0.7,0.1,0.7,1.3,6.76,760
Iago Augsburg,25, D(L),M(L),,26(2),2,5,0.4,1.1,0.4,0.6,0.1,0.7,1.3,6.75,2179
Robin Knoche Union Berlin,30, D(C),,,33,-,-,0.3,0.1,0.4,0.4,-,0.2,0.5,6.75,2970
Marvin Plattenhardt Hertha Berlin,30, D(L),M(L),,19(2),-,3,0.3,1.9,0.4,1,-,0.3,0.7,6.75,1638
Nordi Mukiele RBL,24, D(CR),M(R),,21(7),1,3,0.8,0.5,0.7,0.9,0.3,0.8,1.3,6.75,1846
Tuta Eintracht Frankfurt,22, D(C),,,26,4,-,0.6,0.2,0.6,0.5,-,0.3,0.9,6.75,2189
Grischa Prömel Union Berlin,27, M(C),,,28(1),8,1,1.3,0.5,0.6,2,0.1,1,1.8,6.75,2428
Yann Sommer Borussia M.Gladbach,33, GK,,,32,-,1,-,-,-,0.2,-,-,-,6.75,2880
André Silva RBL,26, FW,,,24(9),11,3,1.8,0.5,0.7,0.8,0.5,1.4,2.7,6.74,2081
Niklas Dorsch Augsburg,24, DMC,,,27(3),1,-,0.4,0.5,1.1,1.6,-,0.8,0.7,6.74,2328
Manuel Neuer Bayern,36, GK,,,28,-,-,-,-,-,-,-,-,-,6.74,2511
Stefan Bell Mainz,30, D(CR),,,33,2,-,0.7,0.3,0.2,0.2,0.2,0.1,0.4,6.74,2869
Thorgan Hazard Borussia Dortmund,29, M(CLR),FW,,14(9),4,1,1,1,1,0.8,0.5,0.7,1,6.73,1337
Atakan Karazor Stuttgart,25, D(C),DMC,,23(1),-,1,0.4,0.7,0.5,1.6,-,0.6,1,6.73,1906
Josuha Guilavogui Wolfsburg,31, D(C),M(C),,10(5),-,-,0.5,0.2,0.5,0.4,0.1,0.6,0.8,6.73,943
Joakim Nilsson Arminia Bielefeld,28, D(C),,,31,2,-,0.2,0.1,0.1,0.5,0.1,-,0.4,6.73,2739
John Brooks Wolfsburg,29, D(C),,,29(2),1,-,0.4,0.2,0.3,0.5,-,0.2,0.7,6.73,2619
Stefan Ortega Moreno Arminia Bielefeld,29, GK,,,33,-,-,-,0.2,-,0.1,-,-,-,6.73,2970
Jordan Torunarigha Hertha Berlin,24, D(CL),,,6(1),-,1,0.3,0.3,0.3,0.6,0.1,0.1,0.6,6.72,484
Giovanni Reyna Borussia Dortmund,19, AM(CLR),,,6(4),2,1,1.1,1.5,0.6,1.1,0.1,1.3,1.2,6.72,442
Cristian Gamboa Bochum,32, D(R),,,20(3),1,-,0.2,0.6,0.6,0.5,0.1,0.3,0.7,6.72,1725
Moussa Niakhaté Mainz,26, D(CL),,,29(1),4,-,0.4,0.4,0.4,0.8,0.1,0.4,0.7,6.72,2567
Corentin Tolisso Bayern,27, D(R),M(CR),,8(7),2,1,1.1,1.1,0.1,0.4,0.2,0.2,0.8,6.72,705
Dani Olmo RBL,24, AM(CLR),FW,,7(12),3,3,1.2,0.6,1.3,1.2,0.1,0.8,1.2,6.71,740
Mark Flekken Freiburg,28, GK,,,32,-,-,-,-,0.1,-,-,-,-,6.71,2880
Manuel Akanji Borussia Dortmund,26, D(CR),,,25(1),1,-,0.5,0.1,0.3,0.9,-,-,0.3,6.71,2263
Xaver Schlager Wolfsburg,24, M(C),,,13(1),-,1,0.7,0.4,0.8,0.7,0.1,0.7,1.3,6.71,1047
Paulinho Leverkusen,21, AM(CLR),,,14(10),4,2,1.1,0.9,1.1,0.7,0.1,0.8,1.6,6.71,1219
Louis Jordan Beyer Borussia M.Gladbach,22, D(CR),,,14(2),-,-,0.4,0.3,0.6,1.3,-,0.3,0.4,6.71,1294
Timo Baumgartl Union Berlin,26, D(C),,,25,1,2,0.5,0.3,0.2,0.5,-,0.3,0.6,6.71,2169
Philipp Klement Stuttgart,29, M(C),,,3(3),1,-,1,1.3,0.7,0.2,0.2,0.2,0.8,6.7,338
Koen Casteels Wolfsburg,29, GK,,,28,-,-,-,-,0.1,0.1,-,-,-,6.7,2520
Marvin Friedrich Union Berlin,26, D(C),,,13,-,-,1.1,0.4,0.4,0.2,-,0.4,0.8,6.7,1170
Suat Serdar Hertha Berlin,25, M(CLR),,,27(3),3,-,1.1,0.8,2,1.6,0.1,1.6,2.2,6.7,2230
Jeffrey Gouweleeuw Augsburg,30, D(C),,,29,2,-,0.4,0.3,0.5,0.3,-,0.2,0.8,6.7,2578
Ihlas Bebou Hoffenheim,28, M(CLR),FW,,25(3),7,2,1.6,0.7,0.6,0.8,0.4,1.1,2.2,6.69,2106
Lukas Klostermann RBL,26, D(CLR),M(R),,17(6),-,1,0.3,0.2,0.1,0.2,-,0.2,0.4,6.69,1648
Piero Hincapié Leverkusen,20, D(CL),,,20(7),1,2,0.3,0.4,0.6,0.6,0.1,0.5,1,6.69,1752
Benjamin Henrichs RBL,25, D(LR),DMC,M(LR),12(10),3,3,0.7,0.6,0.5,0.6,-,0.6,0.6,6.69,1138
Niko Gießelmann Union Berlin,30, D(CL),M(L),,25(3),3,6,1,1,0.1,1.2,-,0.3,0.9,6.69,2093
Diadié Samassékou Hoffenheim,26, DMC,,,21(3),2,-,0.6,0.4,0.3,1,-,0.2,0.7,6.68,1665
Waldemar Anton Stuttgart,25, D(CR),DMC,,29,2,1,0.8,0.2,0.6,0.6,-,0.4,0.9,6.68,2597
Rani Khedira Union Berlin,28, D(C),DMC,,32,-,1,0.4,0.3,0.3,1.1,-,0.4,0.9,6.68,2765
Matheus Cunha Hertha Berlin,23, AM(CL),FW,,1,-,1,2,1,1,3,-,2,3,6.68,65
Gregor Kobel Borussia Dortmund,24, GK,,,29,-,-,-,-,-,0.2,-,-,0.1,6.68,2566
Djibril Sow Eintracht Frankfurt,25, DMC,,,28(3),2,3,0.5,0.6,0.4,1.2,-,0.5,1.4,6.67,2422
Kevin Trapp Eintracht Frankfurt,31, GK,,,32,-,-,-,-,-,0.1,-,-,-,6.67,2880
Marc Oliver Kempf Stuttgart,27, D(C),,,10(2),3,-,1.1,0.4,0.4,0.7,-,0.2,0.8,6.67,841
Konrad Laimer RBL,25, D(R),M(CR),,15(11),4,4,0.6,0.7,0.8,0.3,-,0.8,1.2,6.67,1246
Charles Aránguiz Leverkusen,33, M(C),,,16(10),1,3,0.4,0.7,0.3,0.5,-,0.3,0.8,6.67,1576
Santiago Ascacibar Hertha Berlin,25, DMC,,,27(1),-,1,0.5,0.4,0.4,1.1,0.1,0.5,0.9,6.66,2381
Chris Richards Hoffenheim,22, D(C),,,13(6),1,1,0.5,0.2,0.2,0.1,-,0.1,0.4,6.66,1301
Lukas Nmecha Wolfsburg,23, AM(CR),FW,,18(7),8,-,2.1,0.6,0.9,1.2,0.2,1.1,3,6.66,1633
Sebastian Polter Bochum,31, AM(R),FW,,26(6),10,1,1.7,0.9,0.1,1.1,0.2,1.1,2.3,6.66,2259
Georginio Rutter Hoffenheim,20, FW,,,13(20),8,2,1.6,0.5,1.1,1.1,0.6,0.7,2.3,6.66,1604
Oliver Baumann Hoffenheim,32, GK,,,33,-,-,-,-,-,0.1,-,-,-,6.66,2970
Gerrit Holtmann Bochum,27, D(L),M(LR),,22(6),5,4,1.5,1,1.4,0.5,0.2,1.4,2,6.65,1765
Lee Jae-Sung Mainz,29, AM(CL),FW,,19(8),4,3,1,0.7,0.4,0.5,0.1,1,1.9,6.65,1449
Mitchel Bakker Leverkusen,21, D(L),M(L),,19(6),1,4,0.4,0.6,1.1,0.8,-,0.6,1.4,6.65,1825
