Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
M'Bala Nzola Spezia,25, FW,,,10(11),2,1,1,0.5,0.8,0.3,0.7,1,2.5,6.32,1061
Leo Stulac Empoli,27, M(C),,,8(15),2,2,0.4,0.4,0.1,0.7,-,0.2,0.3,6.32,822
Mitchell Dijks Bologna,29, D(L),M(L),,7(9),-,1,0.3,0.4,0.8,0.6,-,0.3,0.8,6.32,688
Bosko Sutalo Verona,22, D(C),,,6(18),-,-,0.2,-,0.4,0.4,-,0.3,0.8,6.31,912
Ebrima Darboe Roma,21, DMC,,,1,-,-,1,-,-,-,-,-,1,6.31,64
Abdoulaye Touré Genoa,28, DMC,,,6(2),-,-,0.5,0.1,0.8,1.1,-,0.5,0.5,6.31,435
Ivor Pandur Verona,22, GK,,,3,-,-,-,-,-,0.3,-,-,-,6.31,270
Jens Stryger Larsen Udinese,31, D(CLR),M(LR),,8(3),-,1,0.8,0.9,0.4,0.3,0.1,0.5,0.6,6.31,686
Karol Linetty Torino,27, M(CLR),,,11(5),-,1,0.8,1,0.3,0.6,-,0.4,1.8,6.3,899
Tiemoué Bakayoko AC Milan,27, DMC,,,5(9),-,-,0.3,0.2,0.3,0.7,-,0.3,0.2,6.3,496
Andreas Skov Olsen Bologna,22, M(R),,,6(12),-,2,0.4,0.4,0.3,0.8,-,0.3,1.1,6.3,744
Carlo Pinsoglio Juventus,32, Goalkeeper,,,0(1),-,-,-,-,-,-,-,-,-,6.3,45
Mato Jajalo Udinese,34, M(C),,,6(16),-,1,0.2,0.4,0.1,0.3,-,0.2,0.5,6.3,621
Pasquale Mazzocchi Venezia,26, D(R),M(R),,15(3),-,-,0.3,0.3,0.9,0.3,-,0.7,1.9,6.3,1246
Kevin Strootman Cagliari,32, DMC,,,7(3),-,-,0.1,0.3,0.4,1,-,0.2,0.6,6.29,645
Amadou Diawara Roma,24, DMC,,,2(2),-,-,0.3,0.3,0.3,-,-,-,-,6.29,169
José Callejón Fiorentina,35, M(LR),FW,,16(14),1,2,0.6,0.7,0.2,0.6,0.1,0.4,0.6,6.29,1302
Albert Gudmundsson Genoa,24, AM(CLR),FW,,6(6),1,-,0.8,1,0.6,0.8,0.3,0.8,2.3,6.29,607
Kristoffer Askildsen Sampdoria,21, Midfielder,,,7(12),-,-,0.4,0.1,0.2,0.7,-,0.3,0.5,6.29,749
Keita Baldé Cagliari,27, AM(LR),FW,,14(12),3,1,1,0.4,0.2,1.2,0.3,0.4,1.9,6.29,1233
Andrea Masiello Genoa,36, D(CR),,,6(1),-,-,0.3,0.1,-,0.6,-,0.4,0.6,6.29,517
Pablo Galdames Genoa,25, M(C),,,11(8),-,-,0.6,0.7,0.4,0.6,0.2,0.9,0.5,6.29,1032
Radu Dragusin Salernitana,20, D(C),,,5(2),-,-,-,0.1,-,0.6,-,-,0.4,6.29,486
Ruan Sassuolo,23, D(C),,,0(10),-,-,-,0.1,0.7,0.8,-,0.2,0.2,6.28,207
Diego Perotti Salernitana,33, M(CLR),FW,,1(10),-,-,0.9,0.5,0.7,0.9,-,0.5,0.6,6.28,278
Andrea Schiavone Salernitana,29, M(C),,,5(9),1,-,0.1,0.8,0.1,0.4,-,0.1,0.6,6.28,569
Faouzi Ghoulam Napoli,31, D(L),,,3(11),-,-,0.2,0.5,0.1,0.1,-,0.1,0.1,6.28,325
Francesco Di Mariano Venezia,26, Forward,,,1,-,-,-,1,-,1,-,-,-,6.28,63
Marko Rog Cagliari,26, M(C),,,2(6),-,1,0.9,0.5,0.5,1.8,-,0.9,0.8,6.28,307
