Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Jonathan Tah,26, D(C),,,33,2,3,0.5,0.3,0.5,0.3,-,0.3,0.6,6.94,2882
Lucas Hernández,26, D(CL),,,25,-,1,0.2,0.4,0.7,1.4,-,0.2,0.6,6.94,2041
Max Kruse,34, M(CLR),FW,,14,7,1,1.5,1.1,0.6,0.9,0.4,0.6,1.8,6.94,1138
Anton Stach,23, DMC,,,20(9),1,6,1.7,1.1,1,1.5,-,0.7,1.8,6.93,1864
Marcel Halstenberg,30, D(CL),M(L),,5(3),1,-,0.6,0.5,0.9,0.5,0.1,0.1,0.6,6.93,506
Wataru Endo,29, DMC,,,33,4,2,1.4,0.7,1,1.8,-,1.3,1.5,6.93,2902
Patrick Wimmer,21, AM(R),,,27(4),3,6,1.8,1.4,2.3,1.2,0.2,1.5,2.2,6.92,2067
Alassane Plea,29, AM(CLR),FW,,23(9),9,6,1.9,1.8,1,0.8,0.4,0.7,1.3,6.91,1983
Breel Embolo,25, AM(CR),FW,,23(5),8,3,1.6,1.2,1.5,2.4,0.7,2.1,3.2,6.91,2076
Donyell Malen,23, AM(L),FW,,20(7),5,3,1.7,0.8,1.3,1.1,0.3,1,2,6.9,1696
Andrej Kramaric,30, AM(CLR),FW,,30(2),6,9,2.9,1.3,0.9,0.9,0.3,1.2,2,6.89,2710
Thomas Meunier,30, D(R),M(R),,17,2,4,1.1,0.9,0.6,0.4,0.1,0.6,1.5,6.88,1406
Mohamed Simakan,22, D(CR),,,23(5),1,-,0.4,0.3,0.6,1.2,-,0.3,0.9,6.88,2013
Jeremie Frimpong,21, D(R),M(R),,25,1,6,0.4,1.2,1.9,1.8,-,1,1.9,6.88,2062
Maximilian Mittelstädt,25, D(L),M(CL),,16(8),-,5,0.4,0.9,1.3,1.5,-,0.8,1,6.88,1494
Mats Hummels,33, D(C),,,20(3),1,2,0.5,0.1,0.3,0.5,-,0.1,0.5,6.88,1768
Florian Kainz,29, AM(CLR),,,31(1),4,4,1.2,1.5,0.9,1.4,-,0.7,1.1,6.88,2347
Florian Grillitsch,26, D(C),M(CL),,16(2),-,-,0.4,0.6,0.3,1.3,-,0.3,0.5,6.87,1495
Benjamin Pavard,26, D(CLR),M(R),,24(1),-,1,0.7,0.7,0.1,0.4,0.1,0.2,0.4,6.87,2080
Philipp Lienhart,25, D(C),,,32,5,-,0.6,0.1,0.1,0.8,-,0.1,0.6,6.87,2871
Emre Can,28, D(CLR),DMC,,19(5),5,1,0.5,0.3,0.8,0.9,-,0.4,0.9,6.86,1691
Reece Oxford,23, D(C),DMC,,30,2,1,0.5,0.1,0.1,0.7,-,-,0.6,6.86,2694
Ramy Bensebaïni,27, D(CL),DMC,M(L),21(1),4,1,1.4,0.6,0.7,1.9,0.2,0.6,1.3,6.86,1930
Mahmoud Dahoud,26, M(C),,,20(2),2,3,1,1.3,1.2,0.6,-,0.6,1.4,6.85,1665
Karim Onisiwo,30, AM(LR),FW,,28(3),5,8,2.1,1.3,1.6,1,0.9,1.5,4.1,6.84,2376
Edmond Tapsoba,23, D(C),,,19(3),1,-,0.3,-,0.5,0.3,-,0.1,0.7,6.84,1813
Taiwo Awoniyi,24, FW,,,29(2),15,1,2.2,0.9,1.1,0.7,0.7,1.3,4.5,6.84,2200
Aarón Martín,25, D(L),M(L),,25(3),1,1,0.6,1.6,1,0.6,-,0.5,1.2,6.84,2296
Maxence Lacroix,22, D(C),,,29,-,-,0.6,0.2,1.1,0.9,-,0.4,0.9,6.83,2497
Paul Jaeckel,23, D(C),DMC,,22(2),-,-,0.1,0.3,0.8,0.5,-,0.2,0.8,6.83,2045
Chris Führich,24, M(CLR),FW,,21(4),3,2,1.2,1.2,1.6,0.8,0.1,0.9,1.7,6.83,1725
Jamie Bynoe-Gittens,17, Midfielder,,,1(3),-,-,0.3,0.5,3.3,1.5,-,1.3,1.5,6.83,133
Jonathan Burkardt,21, AM(CR),FW,,32(2),11,3,2.3,0.9,1.2,1.2,0.3,1.8,3.4,6.82,2632
Josip Brekalo,23, AM(CLR),FW,,0(1),-,1,-,1,1,-,-,2,1,6.82,20
Dominik Szoboszlai,21, AM(CL),,,15(16),6,8,1.3,1.3,0.6,0.7,0.2,0.9,1.4,6.82,1538
Tony Jantschke,32, D(CR),DMC,,3,-,-,0.3,-,-,1,-,-,-,6.82,227
Amadou Haïdara,24, M(CLR),,,15(5),3,1,0.7,0.4,1,0.7,-,0.8,0.8,6.82,1327
Raphaël Guerreiro,28, D(L),M(CL),,21(2),4,2,1.4,1.2,1.1,0.3,-,0.6,1.3,6.82,1803
