Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Hugo Guillamón,22, D(C),DMC,,28(3),1,-,0.2,0.4,0.3,2,0.1,0.7,0.9,6.45,2368
Óliver Torres,27, M(CLR),,,11(15),2,3,0.5,0.5,0.6,0.7,0.1,0.8,0.7,6.45,1008
Rúben Vezo,28, D(CR),,,27(5),-,-,0.6,0.2,0.2,0.9,-,0.2,0.4,6.45,2420
Renato Tapia,26, D(C),DMC,,13(16),-,-,0.4,0.1,0.2,0.9,-,0.4,0.4,6.45,1406
Gonzalo Montiel,25, D(CR),M(R),,15(3),1,2,0.3,0.6,0.2,0.7,0.2,0.3,0.8,6.45,1073
Manu García,24, M(CL),,,10(14),-,1,0.3,0.8,1.3,1.4,-,0.9,1.3,6.45,1075
Darío Benedetto,32, FW,,,6(8),2,1,1.3,0.3,0.7,0.4,0.2,0.3,1.1,6.45,585
Stefan Mitrovic,32, D(C),,,31(1),-,-,0.1,0.1,0.1,0.1,-,0.1,0.3,6.45,2673
Paco Alcácer,28, AM(R),FW,,10(8),1,3,1,0.4,0.3,0.4,0.4,0.4,1.1,6.45,792
Asier Illarramendi,32, M(C),,,6(2),-,-,-,0.5,0.4,0.1,-,0.8,0.5,6.44,379
Carlos Clerc,30, D(L),M(L),,18(1),-,-,0.1,0.6,1.2,0.9,-,0.3,0.8,6.44,1518
Tonny Vilhena,27, D(L),M(CL),,13(4),1,1,0.9,0.6,0.7,0.6,0.1,0.7,1.4,6.44,937
Radamel Falcao,36, FW,,,8(14),6,-,1.5,0.2,0.1,0.8,0.7,0.5,1.4,6.44,832
Claudio Bravo,39, GK,,,17,-,-,-,0.1,-,0.1,-,-,-,6.44,1457
Nikola Maras,26, D(C),,,11(5),-,-,0.1,0.2,0.1,0.3,-,-,0.3,6.44,1041
Pedro Ortiz,21, Midfielder,,,0(1),-,-,1,1,-,-,-,-,-,6.44,6
Robert Navarro,20, Midfielder,,,3(3),-,-,1.2,0.2,1.2,0.3,0.2,0.8,1.5,6.44,199
Tomás Alarcón,23, DMC,,,16(7),-,1,0.7,0.6,0.2,0.4,-,0.4,0.7,6.44,1425
Alberto Perea,31, AM(LR),,,8(10),-,1,0.9,0.7,1.6,1.1,-,1,1.6,6.44,776
Carles Aleñá,24, AM(CLR),,,30(3),1,2,1.4,0.6,0.5,1.1,-,1,1.4,6.44,2344
Coke,35, D(CLR),M(R),,1(5),1,-,0.2,0.3,0.3,0.2,-,-,0.2,6.44,114
