Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Germán Valera,20, Forward,,,0(3),-,-,0.3,-,0.7,-,-,0.3,1.3,6.2,49
Roberto Soldado,37, FW,,,7(11),3,2,0.9,0.4,0.2,0.3,0.5,0.2,0.7,6.2,664
Loren Morón,28, FW,,,4(17),1,-,0.5,0.2,0.2,0.7,0.3,0.4,0.8,6.2,556
Matías Arezo,19, Forward,,,1(7),-,-,0.6,0.8,0.3,0.1,-,0.4,1.1,6.2,156
Miguel De la Fuente,22, FW,,,10(12),1,1,1,0.2,0.6,0.9,0.2,0.5,1.5,6.19,828
Jordi Mboula,23, AM(R),,,5(6),-,-,0.5,0.3,0.6,0.8,0.5,0.7,1,6.19,433
Peter,19, Midfielder,,,0(3),-,-,0.7,0.7,0.3,0.7,-,0.3,0.3,6.19,25
Sergio Postigo,33, D(C),,,10(3),-,-,0.2,0.2,-,0.2,-,0.1,0.2,6.19,849
Monchu,22, M(C),,,7(7),-,-,0.6,0.2,0.4,0.8,-,0.6,0.9,6.18,665
Facundo Pellistri,20, AM(R),,,6(15),-,-,0.3,0.3,0.5,1,0.1,0.6,1.1,6.18,665
José Pozo,26, AM(C),,,0(5),-,-,0.6,0.6,-,0.4,-,0.4,0.4,6.18,68
Diego Conde,23, Goalkeeper,,,0(1),-,-,-,-,-,-,-,-,-,6.18,5
Isma Ruiz,21, Midfielder,,,3(5),-,-,0.5,0.3,0.3,0.4,0.1,0.1,0.1,6.18,282
Enric Franquesa,25, Defender,,,6(10),-,-,0.1,0.2,0.6,0.4,0.1,0.5,0.6,6.18,618
Daniel Villahermosa,21, Midfielder,,,0(1),-,-,-,-,1,1,-,1,1,6.17,22
Daniel Wass,33, D(LR),M(CLR),,0(1),-,-,-,-,1,1,1,-,-,6.17,45
Saul García,27, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6.17,3
Koba Koindredi,20, Midfielder,,,1(9),-,-,0.1,0.2,0.2,0.6,-,0.3,0.6,6.16,175
Diego Lainez,21, AM(R),,,1(6),-,-,0.1,0.4,0.9,0.1,-,1.1,0.4,6.16,136
José Macías,22, Forward,,,2(5),-,-,0.6,-,0.7,1.6,0.6,0.3,1.4,6.16,202
Pere Pons,29, M(C),,,17(10),1,-,0.6,0.4,0.1,0.6,0.1,0.4,1.3,6.16,1376
Manu Vallejo,25, FW,,,2(9),1,1,0.3,0.4,0.1,0.3,-,0.4,1.2,6.15,366
José Fontán,22, D(CL),,,3(6),-,-,0.1,0.2,0.1,-,-,0.1,-,6.15,274
Kévin Rodrigues,28, D(L),M(L),,5(8),-,-,0.3,0.2,0.2,0.5,-,0.4,0.8,6.15,434
Iván Chapela,23, Forward,,,4(5),-,-,0.3,0.2,0.3,1,0.1,0.3,0.9,6.15,400
Alex Petxarroman,25, Defender,,,1(16),-,-,0.1,0.1,0.2,0.7,-,0.2,0.5,6.15,401
Oier Sanjurjo,36, D(CR),M(C),,9(17),1,-,0.3,0.1,0.1,0.2,0.1,0.2,0.3,6.15,751
Orbelín Pineda,26, Midfielder,,,0(7),-,-,0.7,0.1,0.1,0.6,-,0.4,0.3,6.14,94
Balde,18, Defender,,,2(3),-,-,0.2,0.2,0.2,0.8,-,0.6,0.8,6.14,188
Dídac Vilá,32, D(L),M(L),,1(8),-,-,-,0.3,0.1,0.1,-,-,0.7,6.14,197
Augusto Solari,30, AM(CR),,,4(22),-,-,0.3,0.2,0.3,0.4,-,0.5,0.7,6.14,700
Sergio Rico,28, GK,,,14,-,-,-,0.1,-,-,-,-,-,6.13,1260
Wu Lei,30, AM(CLR),FW,,4(19),1,-,0.3,0.3,-,0.2,0.2,-,0.3,6.13,461
Álvaro Bastida,18, Midfielder,,,2(4),-,-,-,-,-,-,-,-,-,6.13,195
Jaime Mata,33, FW,,,5(18),1,-,0.4,0.3,0.2,0.7,0.4,0.3,1.5,6.13,664
John Guidetti,30, FW,,,2(8),-,-,1,0.4,0.4,0.3,0.3,0.2,0.6,6.12,274
Javier López,20, D(L),,,4(5),-,-,-,0.4,0.2,1.3,-,0.7,0.7,6.12,458
Alejandro Cantero,21, FW,,,4(21),-,1,0.6,0.1,0.3,0.2,-,0.3,0.6,6.12,597
Hugo Álvarez,18, Midfielder,,,0(1),-,-,1,-,-,-,-,-,2,6.12,10
Landry Dimata,24, FW,,,4(13),-,-,0.5,0.3,0.4,1.2,0.2,0.6,1.4,6.12,537
Marcos Mauro,31, D(C),,,1(2),-,-,-,-,-,0.3,-,-,-,6.12,136
Jaume Grau,25, DMC,,,0(1),-,-,-,-,-,-,-,-,-,6.11,2
Loren Morón,28, FW,,,0(1),-,-,-,-,-,-,-,-,1,6.11,3
Mamadou Sylla,28, FW,,,4(9),-,-,0.2,0.2,0.2,0.5,0.5,0.2,1.2,6.11,391
Josema,26, D(CL),,,1(5),-,-,-,0.2,-,0.7,-,-,0.7,6.11,181
Luismi Cruz,21, Midfielder,,,0(2),-,-,-,-,0.5,-,-,-,-,6.1,12
Jonathan Silva,27, D(CL),M(L),,1(8),-,-,0.1,0.2,0.1,0.6,-,0.4,0.2,6.1,222
Yan Eteki,24, DMC,,,2(10),-,-,0.1,0.1,0.1,0.4,-,0.6,0.5,6.1,337
Dani Raba,26, AM(CR),,,0(7),-,-,-,0.6,0.1,0.7,0.1,0.3,0.7,6.1,83
Marc Pubill,18, Defender,,,5(6),-,1,0.5,0.5,0.4,0.7,-,0.3,1.4,6.1,512
Martín Cáceres,35, D(CLR),M(R),,9(1),-,-,-,0.3,0.1,0.8,-,0.1,0.4,6.09,670
Juan Cala,32, D(C),,,11(4),-,-,0.3,0.1,0.1,0.5,0.1,0.2,0.2,6.09,948
Unai Ropero,20, Midfielder,,,0(1),-,-,-,-,-,1,-,1,1,6.08,11
Víctor Camarasa,28, M(CR),,,0(7),-,-,0.1,-,-,0.4,-,-,0.7,6.08,102
Rubén Iranzo,19, Defender,,,1(3),-,-,0.3,-,-,-,-,-,-,6.08,134
Mamadou Sylla,28, FW,,,1(11),-,-,0.9,0.2,0.3,0.3,0.2,0.2,0.8,6.07,247
Estanis Pedrola,18, Forward,,,0(1),-,-,-,-,-,-,-,-,1,6.07,10
Manu Vallejo,25, FW,,,0(9),-,-,0.3,0.1,-,0.1,0.1,0.3,0.2,6.07,90
Eray Cömert,24, D(C),,,5(3),-,-,0.4,0.1,-,-,-,-,0.4,6.07,408
Milutin Osmajic,22, Forward,,,2(8),-,-,0.4,-,0.2,0.7,0.5,0.3,1.4,6.06,251
Aleix Febas,26, AM(C),,,1(3),-,-,-,0.3,0.3,1.3,-,0.3,0.8,6.06,115
Florin Andone,29, FW,,,1(4),-,-,0.6,0.6,0.4,0.4,0.6,0.6,1.8,6.06,174
Álvaro Vadillo,27, AM(LR),,,0(3),-,-,-,-,-,0.3,-,-,-,6.06,6
Iker Benito,19, Forward,,,1(3),-,-,0.8,0.3,0.5,0.8,-,1,1,6.06,117
Carlo García,21, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.05,6
Joan Sastre,25, D(R),,,2(5),-,-,0.3,-,0.4,0.9,-,0.3,0.3,6.05,255
Lago Junior,31, M(L),,,1(5),-,-,1,-,0.5,1.2,-,1,0.5,6.05,175
Dani Raba,26, AM(CR),,,0(2),-,-,-,-,-,0.5,-,1.5,1.5,6.05,24
Tomás Mendes,17, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6.04,8
Víctor Gómez,22, D(R),M(R),,0(1),-,-,-,-,-,-,-,-,-,6.04,3
Yacine Qasmi,31, Forward,,,0(1),-,-,-,-,-,-,-,-,1,6.03,3
Aleksander Sedlar,30, D(C),,,3(7),-,-,-,0.2,-,0.6,-,-,0.3,6.02,401
Erick Cabaco,27, D(C),,,6(5),-,1,0.1,0.2,-,0.4,-,-,0.1,6.02,405
Alejandro Asensio,21, Forward,,,0(2),-,-,0.5,0.5,-,-,-,-,1,6.02,12
Mario Dominguez,18, Midfielder,,,0(2),-,-,-,-,-,-,-,-,-,6.02,23
David Timor,32, D(C),M(C),,3(4),-,-,1.1,0.1,0.1,0.3,-,0.7,0.1,6.01,339
Álvaro Sanz,21, Midfielder,,,0(2),-,-,-,0.5,-,0.5,-,-,-,6.01,27
Ander Capa,30, D(R),M(R),,0(1),-,-,1,-,-,-,-,-,-,6.01,3
Omar Faraj,20, Forward,,,0(1),-,-,-,-,-,-,-,-,1,6.01,3
Adrián Butzke,23, FW,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Benjamin Lecomte,31, GK,,,1,-,-,-,-,-,-,-,-,-,6,1
Giuliano Simeone,19, Forward,,,0(1),-,-,-,-,-,2,-,-,-,6,1
Luca Koleosho,17, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Miguel Baeza,22, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Mika Mármol,20, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Nikita Iosifov,21, Midfielder,,,0(1),-,-,-,-,1,-,-,-,-,6,1
Peru Nolaskoain,23, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Raúl García,21, Forward,,,0(1),-,-,-,-,-,-,-,-,-,6,1
Valentino Fattore,20, Defender,,,0(1),-,-,-,-,-,-,-,1,-,6,1
Gori,20, Midfielder,,,0(1),-,-,-,1,-,-,-,-,-,5.99,8
Iván Martín,23, Midfielder,,,2(4),-,-,0.2,-,-,0.2,-,1,0.5,5.99,166
Álvaro Aguirre,22, Forward,,,0(1),-,-,-,-,-,-,-,-,1,5.98,8
Matthew Hoppe,21, FW,,,1(4),-,1,0.4,0.6,-,0.2,0.4,0.8,0.6,5.98,130
Javier Serrano,19, Midfielder,,,1(4),-,-,-,-,-,0.2,-,-,0.6,5.97,67
Barbero,23, Forward,,,0(6),-,-,-,-,-,0.2,-,0.3,0.8,5.97,16
Andrés Martín,22, Forward,,,1(6),-,-,0.7,-,0.1,0.3,0.4,0.7,0.6,5.96,182
Jesús Santiago,18, Midfielder,,,0(3),-,-,-,-,-,0.3,-,0.3,0.7,5.96,81
Jon Morcillo,23, AM(L),,,0(7),-,-,0.1,-,-,0.1,-,0.1,0.6,5.96,49
Javi Díaz,25, Goalkeeper,,,1,-,-,-,-,-,-,-,-,-,5.94,90
Juan Latasa,21, Forward,,,0(1),-,-,1,-,-,-,-,-,1,5.94,8
Cristhian Mosquera,17, Defender,,,3(3),-,-,0.2,-,-,-,-,-,0.3,5.91,211
Hugo Sotelo,18, Midfielder,,,0(1),-,-,-,-,-,-,-,-,-,5.91,1
Chema Rodríguez,30, D(CL),,,2,-,-,0.5,0.5,-,-,-,-,-,5.89,47
Juanlu Sánchez,18, Midfielder,,,0(1),-,-,-,-,-,-,-,-,1,5.89,4
Marc Tenas,21, Forward,,,0(3),-,-,-,0.3,0.3,0.3,-,0.3,1.3,5.88,51
Dominik Greif,25, GK,,,1,-,-,-,-,-,-,-,-,-,5.86,90
Jesús Areso,22, Defender,,,2(1),-,-,-,0.3,-,1.3,-,1.3,1.7,5.83,189
Javier Ontiveros,24, AM(LR),,,0(3),-,-,0.7,-,0.3,0.3,-,0.3,-,5.81,36
Pedro Benito,22, Forward,,,0(1),-,-,-,-,-,-,-,-,2,5.81,31
Sergio Barcia,21, Midfielder,,,1,-,-,-,-,-,-,-,1,-,5.62,77
Juan Pérez,25, GK,,,2,-,-,-,-,-,-,-,-,-,5.44,180
Joan García,21, Goalkeeper,,,1(1),-,-,-,-,-,-,-,-,-,5,107
Josep Gayá,21, Defender,,,1,-,-,-,-,-,-,-,-,1,4.74,59
