Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Maxime Busi,22, D(R),M(R),,13(5),1,-,0.3,0.9,0.8,0.4,-,0.5,1.7,6.59,1297
Pau López,27, GK,,,29,-,1,-,-,-,0.1,-,-,-,6.59,2610
Jean-Louis Leca,36, GK,,,27,-,-,-,-,-,0.1,-,-,-,6.59,2315
Wuilker Fariñez,24, GK,,,11(2),-,-,-,-,-,-,-,-,0.1,6.59,1105
Arnaud Souquet,30, D(CR),M(R),,27(7),1,3,0.5,0.5,0.6,0.7,-,0.5,1.3,6.59,2341
Ibrahima Koné,22, FW,,,6(10),5,1,0.9,0.9,0.6,0.6,0.3,1.2,1.6,6.59,728
Ismael Traoré,35, D(CR),,,36(1),4,1,0.7,0.2,0.1,0.2,-,0.1,0.6,6.59,3215
Ivo Grbic,26, GK,,,21,-,-,-,-,-,0.3,-,0.1,-,6.58,1890
Kamory Doumbia,19, Midfielder,,,2(6),2,1,0.5,0.8,0.8,0.5,0.1,1,2.3,6.58,349
Arkadiusz Milik,28, AM(C),FW,,15(8),7,2,2.3,0.7,0.1,0.3,0.3,0.6,1.6,6.58,1419
Paul Bernardoni,25, GK,,,13,-,-,-,-,-,0.2,-,-,0.1,6.58,1170
Warmed Omari,22, D(C),,,31(3),-,-,0.1,0.1,0.1,0.5,-,0.2,0.5,6.58,2798
Yohann Magnin,24, DMC,,,19(5),1,-,0.8,0.3,0.3,1,0.2,0.6,1.1,6.58,1717
Jérôme Boateng,33, D(CR),,,19(5),-,1,0.2,0.3,0.1,0.1,-,-,0.2,6.58,1627
Tristan Dingomé,31, M(C),,,12(13),2,4,0.8,1,0.4,0.6,-,0.6,0.6,6.58,1073
Jessy Moulin,36, GK,,,8,-,-,-,-,-,0.3,-,-,0.1,6.58,631
Javairô Dilrosun,23, AM(CLR),,,19(13),2,6,1.3,1,1.4,0.9,-,0.8,1.2,6.57,1738
Terem Moffi,23, AM(R),FW,,34(3),8,4,1.6,0.9,0.9,0.5,0.4,1.2,2.7,6.57,2736
Kasper Dolberg,24, FW,,,20(7),6,2,1.5,0.6,0.4,1.1,0.1,0.7,2,6.57,1503
Moreto Cassamá,24, DMC,,,11(6),2,-,0.6,0.5,0.6,1.3,-,0.5,1.1,6.57,808
Nicolas Cozza,23, D(CL),,,32(2),2,2,0.2,0.3,0.5,0.6,-,0.4,1.4,6.57,2778
Adrien Truffert,20, D(L),,,18(12),3,2,0.6,0.4,0.6,0.7,-,0.5,1.2,6.56,1635
Gauthier Gallon,29, GK,,,31,-,-,-,-,-,0.2,-,-,-,6.56,2790
Thomas Delaine,30, D(L),M(LR),,26(3),1,2,0.6,1,0.8,0.5,-,0.6,2,6.56,2317
Thilo Kehrer,25, D(CLR),M(R),,16(11),2,-,0.3,0.1,0.1,0.2,-,0.4,0.2,6.56,1505
Ilan Kebbal,23, AM(C),FW,,21(10),1,4,0.9,1.1,0.9,1.6,0.2,1.2,1.7,6.56,1785
Pedro Mendes,31, D(CR),,,0(1),-,-,-,1,-,-,-,-,-,6.56,16
Jonathan Ikoné,24, AM(CLR),FW,,13(5),1,-,1.2,0.9,1.4,0.4,0.1,1,1.6,6.55,1077
Romain Del Castillo,26, AM(LR),FW,,13(6),-,6,0.6,0.8,1.1,1.1,-,1.2,2.5,6.55,985
Enock Kwateng,25, D(CR),M(R),,22(7),1,-,0.2,0.6,0.8,0.6,-,0.1,0.9,6.55,2002
Sikou Niakaté,22, D(C),,,8(4),-,-,0.3,0.2,0.3,0.4,-,0.3,0.2,6.54,661
Marc-Aurèle Caillard,28, GK,,,17(2),-,-,-,-,-,0.2,-,-,-,6.54,1540
Martin Adeline,18, Midfielder,,,2(6),-,-,0.5,0.4,0.8,0.3,-,0.8,1,6.54,347
Mathias Pereira Lage,25, M(CLR),,,11(13),4,2,0.8,0.4,0.5,0.6,-,0.3,0.9,6.54,1038
Hwang Ui-Jo,29, AM(CLR),FW,,29(3),11,2,1.7,0.4,0.3,0.7,0.7,0.7,2.2,6.54,2526
Florent Ogier,33, D(C),,,29(1),1,-,0.2,0.1,0.1,0.4,-,-,0.3,6.54,2434
Pape Sarr,19, AM(C),,,22(11),1,3,0.9,0.6,0.9,0.7,-,0.8,1.4,6.54,2130
Anel Ahmedhodzic,23, D(C),,,15,-,1,0.5,0.7,0.1,0.7,-,0.3,0.5,6.54,1350
Alfred Gomis,28, GK,,,25,-,-,-,-,-,0.1,-,-,0.1,6.54,2250
Farid Boulaya,29, AM(CLR),FW,,18(6),4,2,0.8,1.3,0.8,0.7,-,1,1,6.54,1534
Henrique,28, D(L),M(L),,12(6),-,1,0.3,0.4,0.6,0.8,-,0.4,0.7,6.53,1105
David da Costa,21, AM(C),,,16(17),3,5,0.8,1.2,0.7,0.4,-,0.7,0.9,6.53,1463
Martín Satriano,21, FW,,,11(4),4,-,1.6,0.1,0.6,0.9,0.1,0.9,1.8,6.53,941
Remi Oudin,25, M(CLR),FW,,20(13),4,5,1.7,0.6,0.6,0.4,0.1,0.4,0.9,6.53,1744
Strahinja Pavlovic,21, D(C),,,5(2),-,-,0.7,0.1,0.4,1,-,0.1,0.9,6.53,450
Joris Chotard,20, DMC,,,33(3),1,1,0.5,0.3,0.2,0.3,-,0.1,0.8,6.53,2942
Pablo Sarabia,30, D(L),M(CLR),FW,0(2),1,-,0.5,-,0.5,0.5,-,-,1,6.53,21
Leonardo Balerdi,23, D(C),,,10(7),-,-,0.1,0.1,0.6,0.3,-,0.4,0.5,6.52,950
Konrad De la Fuente,20, AM(L),,,9(7),-,2,0.9,0.6,1.3,0.4,0.1,1.3,1.1,6.52,788
Lilian Brassier,22, D(CL),,,23(8),1,-,0.4,0.3,0.2,0.5,-,0.1,0.6,6.52,2258
Amadou Mvom Onana,20, DMC,,,11(21),1,-,0.5,0.5,0.4,0.8,0.1,0.3,0.6,6.52,1352
Jean Lucas,23, M(C),,,18(10),1,1,0.9,0.6,1,0.9,0.1,0.9,1.6,6.52,1451
Thomas Foket,27, D(R),M(R),,26(3),1,-,0.3,0.7,0.4,0.9,0.2,0.6,1.2,6.52,2243
Fábio,31, D(LR),M(R),,21(6),-,2,0.4,0.4,0.5,0.7,-,0.3,0.7,6.52,1679
Flavius Daniliuc,21, D(CR),,,14(10),-,-,0.2,0.1,0.3,0.2,-,0.1,0.5,6.52,1291
Iké Ugbo,23, FW,,,11(3),5,-,1.1,0.4,0.2,1.1,0.1,0.6,1.4,6.51,820
Valère Germain,32, AM(LR),FW,,22(12),4,3,0.9,0.6,0.1,0.8,0.2,0.6,0.9,6.51,1978
Gaël Kakuta,30, M(CLR),FW,,20(9),3,2,1.4,0.7,0.9,1.1,0.2,1.2,2.2,6.51,1685
Ismail Jakobs,22, D(L),M(L),,10(18),-,1,0.2,0.6,0.2,0.3,-,0.2,0.6,6.51,1193
Vincent Le Goff,32, D(L),M(L),,34,1,1,0.8,0.8,0.4,0.6,0.1,0.5,1,6.51,3060
Leo Petrot,25, D(C),,,21(1),1,-,0.2,0.1,-,0.5,-,0.1,0.4,6.5,1820
Stian Gregersen,27, D(C),,,22(2),1,1,0.3,0.1,0.2,1,-,0.3,0.3,6.5,1955
Cédric Hountondji,28, D(C),,,23,1,-,0.3,-,-,0.3,-,-,0.1,6.5,2035
Issa Kaboré,21, D(R),M(R),,26(5),-,1,0.2,0.6,1.5,1.4,0.1,0.8,1.9,6.5,2261
Dimitry Bertaud,24, GK,,,9(2),-,-,-,-,-,0.1,-,-,-,6.5,832
Timothy Weah,22, AM(LR),FW,,17(12),3,4,1.2,0.9,0.7,0.7,0.2,0.7,1.2,6.5,1620
Pape Gueye,23, DMC,,,17(11),-,1,1.1,0.3,0.1,1.4,0.1,0.6,0.7,6.5,1528
Samuel Kalu,24, M(LR),,,3(8),1,1,1.2,0.2,0.9,0.6,-,0.7,1.1,6.49,326
Stefan Bajic,20, GK,,,4(3),-,-,-,-,-,-,-,-,-,6.49,508
Sinaly Diomandé,21, D(C),,,5(6),-,-,0.3,0.1,0.1,0.3,-,-,0.5,6.49,577
Jordan Lotomba,23, D(LR),M(R),,19(11),-,-,0.3,0.5,0.7,0.8,0.1,0.6,1,6.49,1782
Timothée Kolodziejczak,30, D(CL),M(L),,30,2,3,0.5,0.7,0.2,0.1,0.1,0.1,0.7,6.49,2568
Adil Rami,36, D(C),,,14(3),3,-,0.3,0.1,0.2,0.3,-,0.2,0.5,6.49,1173
Julian Draxler,28, AM(CLR),FW,,5(13),2,1,0.5,0.5,0.6,0.1,0.1,0.4,0.3,6.49,542
Arnaud Nordin,23, AM(CLR),FW,,20(16),4,4,1.3,0.6,0.8,1.3,0.1,0.8,1.8,6.48,1876
Edon Zhegrova,23, AM(R),,,5(8),2,1,1.2,0.6,1.2,0.3,-,0.8,1.1,6.48,479
Lorenz Assignon,21, D(R),,,5(15),-,2,0.3,0.4,0.3,0.6,0.1,0.3,0.5,6.48,603
Dénys Bain,28, D(C),,,2,-,-,-,-,-,1,-,-,-,6.48,180
Myziane Maolida,23, AM(LR),FW,,0(1),-,-,1,-,2,-,1,-,1,6.48,33
Pol Lirola,24, D(R),M(LR),,19(15),1,2,0.4,0.8,0.7,0.4,0.3,0.5,1.1,6.48,1769
Stéphane Diarra,23, Midfielder,,,5(10),-,-,0.9,0.8,1,0.5,0.1,0.7,0.8,6.48,522
Sepe Elye Wahi,19, AM(L),FW,,21(12),10,2,1.3,0.4,0.3,0.8,0.6,0.5,1.6,6.48,1770
Falaye Sacko,27, D(CR),M(R),,8(1),-,-,0.1,0.2,-,0.2,-,0.1,0.9,6.48,667
Jere Uronen,27, D(L),M(L),,10(5),-,-,0.3,0.1,0.2,0.6,-,0.1,0.5,6.48,878
Miguel Trauco,29, D(L),M(L),,12(5),1,-,0.6,0.5,0.4,0.5,-,0.3,0.5,6.47,1113
Fabien Lemoine,35, M(C),,,13(8),-,1,0.2,0.5,0.4,0.9,-,0.4,0.4,6.47,1120
Dylan Bronn,26, D(C),,,28(2),1,2,0.5,0.1,0.2,0.4,0.1,0.2,0.3,6.47,2545
Amine Bassi,24, AM(C),,,2(3),-,-,0.8,1.4,0.6,0.8,-,0.6,1,6.47,183
Krépin Diatta,23, M(LR),FW,,3(5),1,-,0.4,0.4,0.8,1,-,0.4,1.1,6.47,283
Alexandre Oukidja,33, GK,,,21,-,-,-,-,-,0.6,-,-,-,6.47,1877
Marcelo,35, D(C),,,11,-,-,0.3,0.3,0.2,0.2,-,0.1,0.7,6.46,902
Serhou Guirassy,26, AM(L),FW,,7(30),9,-,1.2,0.1,0.2,0.9,0.1,0.4,1,6.46,1005
Dennis Appiah,29, D(CLR),,,22(10),-,-,0.1,0.1,0.4,0.1,0.1,0.2,0.7,6.46,2094
Osman Bukari,23, M(R),FW,,10(14),2,4,0.8,0.8,0.9,0.3,0.2,0.9,1.3,6.46,1008
Hassane Kamara,28, D(L),M(L),,7(4),-,-,1.2,0.3,0.4,0.4,0.3,0.5,0.5,6.46,546
Andreaw Gravillon,24, D(C),,,24(2),-,-,0.6,0.4,0.2,0.8,-,0.3,1,6.45,2141
Hugo Magnetti,24, DMC,,,16(12),-,1,0.6,0.3,0.5,0.7,-,0.5,0.9,6.45,1462
Laurent Koscielny,36, D(C),,,11,-,1,-,0.2,0.2,0.8,-,0.1,0.3,6.45,936
Samuel Loric,21, Defender,,,3,-,-,0.3,-,1,1.7,0.3,0.3,1.7,6.45,270
Otávio,28, DMC,,,13(3),-,-,0.8,0.4,0.4,0.6,-,0.2,0.6,6.45,1150
Oualid El Hajjam,31, D(CR),,,12(7),1,1,0.5,0.3,0.2,0.6,-,0.3,0.5,6.44,1075
Isaac Lihadji,20, Forward,,,2(11),1,3,0.2,1,0.5,0.4,-,0.8,0.7,6.44,228
Wesley Saïd,27, AM(CLR),FW,,7(14),5,-,1.2,0.7,0.5,0.3,0.1,0.3,0.9,6.44,650
Batista Mendy,22, D(C),DMC,,27(7),1,1,0.4,0.3,0.6,0.3,-,0.6,0.5,6.43,2417
Colin Dagba,23, D(R),,,2(1),-,-,-,0.7,0.7,0.7,-,1,0.3,6.43,166
Alidu Seidu,22, D(C),,,16(5),-,-,0.4,0.3,0.4,1.3,-,0.6,0.4,6.43,1410
Maxime Estève,20, D(C),,,20(4),-,-,0.2,0.1,0.1,0.3,-,0.1,0.5,6.43,1856
Gaëtan Poussin,23, GK,,,13,-,-,-,-,-,0.1,-,-,0.1,6.43,1170
Salis Abdul Samed,22, DMC,,,29(2),1,-,0.6,0.5,0.8,1.2,-,1,1.4,6.43,2472
Sada Thioub,27, M(LR),,,11(6),-,1,0.3,0.7,0.7,0.3,-,0.6,0.8,6.43,954
Gabriel Gudmundsson,23, D(L),M(LR),,15(15),1,-,0.6,0.4,0.7,0.7,0.2,0.7,1,6.43,1341
Azzedine Ounahi,22, M(C),,,16(16),2,1,0.8,0.6,0.8,0.8,-,1,1.6,6.43,1627
Georginio Wijnaldum,31, M(CLR),,,18(13),1,3,0.7,0.4,0.4,0.5,-,0.7,0.9,6.42,1654
Burak Yilmaz,36, AM(L),FW,,25(6),4,3,2.3,0.8,0.2,0.7,1.3,0.8,2.3,6.42,2219
Boubacar Traore,20, M(C),,,17(10),1,1,0.8,0.6,1,0.6,-,0.9,1.6,6.42,1721
Matthieu Dreyer,33, GK,,,16,-,-,-,-,-,0.1,-,-,-,6.42,1440
Dion Lopy,20, DMC,,,19(7),-,-,0.6,0.3,0.7,0.7,-,1,1.5,6.42,1647
Mama Baldé,26, D(R),M(CLR),FW,20(10),3,2,1.6,0.6,1.1,0.9,0.1,1.3,3,6.42,1725
Sékou Mara,19, FW,,,8(18),6,-,1.5,0.3,0.4,0.9,0.1,0.6,1.3,6.42,898
Nathanaël Mbuku,20, AM(CLR),FW,,18(13),2,1,1.1,0.3,0.8,1.3,0.1,0.8,1.2,6.42,1423
Zaydou Youssouf,22, M(CR),,,18(12),1,-,0.7,0.4,1.1,0.8,-,1,1.4,6.41,1558
Xavier Chavalerin,31, DMC,M(L),,2(1),-,-,1,1,0.7,-,-,0.3,0.7,6.41,219
Djibril Sidibé,29, D(CLR),M(R),,12(5),-,-,0.2,0.4,0.2,0.5,-,0.4,0.7,6.41,952
Junior Sambia,25, D(R),M(CR),,16(14),1,-,0.7,0.4,0.9,0.9,-,0.6,1.1,6.41,1528
Lamine Gueye,24, AM(R),FW,,7(7),-,3,1,1.1,0.5,0.7,0.2,1.1,1.6,6.41,557
Cédric Bakambu,31, AM(LR),FW,,5(7),4,-,1.6,0.6,0.1,0.2,0.4,0.1,0.8,6.41,356
Gideon Mensah,23, D(L),M(L),,13(10),-,2,0.1,0.7,1,0.2,0.1,0.7,1,6.41,1206
Houboulang Mendes,24, D(CR),,,36,-,1,0.6,0.4,0.4,0.5,0.1,0.2,1.2,6.41,3223
Paul Bernardoni,25, GK,,,19,-,-,-,-,-,0.2,-,-,-,6.41,1710
Etienne Green,21, GK,,,15,-,-,-,0.1,-,0.1,-,-,0.1,6.41,1200
Philippe Sandler,25, D(C),,,1(1),-,-,-,-,-,-,-,-,-,6.4,70
Jodel Dossou,30, AM(R),,,23(12),3,1,1.5,0.6,1.1,1.1,0.4,1.2,2,6.4,2017
Ouparine Djoco,24, GK,,,23(1),-,-,-,-,-,0.2,-,-,-,6.4,2113
Massadio Haïdara,29, D(CL),M(L),,12(8),1,1,0.3,0.2,0.2,0.6,-,0.4,0.5,6.4,1078
Bradley Locko,20, M(L),,,11(13),1,1,0.3,0.3,0.6,0.5,0.1,0.9,0.5,6.4,1011
Hatem Ben Arfa,35, M(CR),FW,,4(3),-,1,0.4,0.9,1,0.6,0.3,1.4,1.7,6.4,314
Morgan Schneiderlin,32, DMC,,,5(15),-,1,0.1,0.2,0.2,0.2,-,0.3,0.4,6.4,639
Yusuf Yazici,25, M(CLR),FW,,5(10),1,1,0.7,0.7,0.6,0.6,0.1,0.3,1.1,6.4,501
Youssouf Koné,26, D(CL),M(L),,11(10),-,1,0.4,0.4,0.7,1,0.1,0.5,0.2,6.39,981
Jérémy Le Douaron,24, AM(L),FW,,16(16),5,3,1.1,0.5,0.3,0.8,0.1,1,2.2,6.39,1446
Jean Eudes Aholou,28, DMC,,,11(14),1,1,0.7,0.2,0.4,0.8,-,0.4,0.8,6.39,1002
Sébastien Corchia,31, D(R),M(R),,13(15),-,3,0.4,0.4,0.3,0.9,-,0.3,0.8,6.39,1319
Pierrick Capelle,35, D(L),M(CLR),,12(18),-,1,0.6,0.4,0.5,0.2,-,0.6,1,6.39,1187
Eliaquim Mangala,31, D(C),,,14,1,-,0.2,0.1,0.3,0.8,-,0.2,0.7,6.39,1183
Jim Allevinah,27, AM(L),,,13(17),1,2,1.4,0.5,1.1,1.1,0.1,1.3,1.4,6.38,1481
Moritz Jenz,23, D(C),,,16(1),1,-,0.5,0.1,0.1,0.2,-,0.1,0.2,6.38,1384
Nordine Kandil,20, Midfielder,,,0(5),-,1,0.2,0.2,1,0.4,-,1,0.4,6.38,85
Calvin Stengs,23, AM(CR),,,11(13),1,1,0.9,1,0.8,0.3,0.1,1.3,1.8,6.38,1071
Ibrahima Niane,23, AM(L),FW,,20(6),3,1,1.7,0.4,0.3,0.9,0.4,0.6,2.4,6.38,1592
Vincent Manceau,32, D(CLR),,,25(3),-,-,0.1,0.1,0.1,0.5,-,0.2,0.4,6.38,2359
Charles Traoré,30, D(L),M(L),,7(9),-,-,-,-,0.3,0.4,-,0.1,0.6,6.38,716
Éric Ebimbe,21, AM(CR),,,4(6),-,-,0.4,0.1,0.6,0.4,-,0.6,0.7,6.38,315
Harold-Desty Moukoudi,24, D(C),,,17(7),-,-,0.3,0.1,0.4,0.2,-,0.2,0.3,6.37,1658
Marcus Coco,25, M(LR),FW,,9(15),1,1,0.5,0.3,0.6,1.3,0.2,1,1.1,6.37,925
Alexis Claude Maurice,24, AM(CL),,,0(10),-,2,0.6,0.8,0.3,0.5,-,0.5,0.5,6.37,200
Billal Brahimi,22, Forward,,,3(6),-,1,0.7,0.8,1.2,1,0.1,1.3,1.8,6.37,335
Jimmy Giraudon,30, D(C),,,18(1),-,-,-,0.2,0.1,0.3,-,0.1,0.2,6.36,1620
Opa Nguette,27, AM(LR),FW,,10(16),2,2,0.9,0.4,1,0.9,0.2,1.5,2.2,6.36,1043
Samuel Moutoussamy,25, M(CL),,,16(14),-,1,0.5,0.2,0.3,0.4,-,0.3,0.7,6.36,1503
Abdu Conté,24, D(L),M(L),,17,-,1,0.3,0.5,0.6,0.8,0.1,0.5,1.2,6.36,1356
Eliot Matazo,20, DMC,,,8(10),-,-,0.2,0.2,0.5,0.4,-,0.3,0.7,6.36,783
Ricardo Mangas,24, D(CL),M(L),,27(2),3,1,0.6,0.6,0.7,1,-,0.4,1.2,6.35,2357
Mauro Icardi,29, FW,,,10(14),4,-,1.2,0.4,0.1,0.3,0.4,0.4,0.6,6.35,1019
Abdel Jalil Zaim Idriss Medioub,24, D(C),,,6(4),-,-,0.3,-,0.3,0.1,-,0.1,0.3,6.35,620
Yoann Touzghar,35, FW,,,16(12),4,-,1,0.8,0.2,0.7,0.3,0.4,1,6.35,1462
Majeed Waris,30, AM(LR),FW,,2(13),2,-,0.5,0.3,0.8,0.9,0.1,0.3,0.7,6.35,316
Yvann Maçon,23, D(LR),M(R),,19(3),-,-,0.7,0.6,0.9,0.5,-,0.6,1.8,6.34,1538
Eric N'jo,18, Forward,,,0(2),-,-,-,-,0.5,-,-,0.5,1,6.34,95
Jemerson,29, D(CR),DMC,,15,-,-,0.3,0.1,0.2,0.5,-,0.3,0.7,6.34,1207
Yasser Larouci,21, Defender,,,2(10),-,-,0.3,0.3,0.7,0.7,-,0.3,0.7,6.34,335
Ignatius Ganago,23, AM(LR),FW,,11(17),5,1,1.1,0.4,0.4,0.4,0.4,0.8,1.5,6.34,1020
Fraser Hornby,22, FW,,,4(4),-,-,0.8,0.5,0.3,0.8,0.8,0.6,1.1,6.34,349
Timothée Pembélé,19, D(R),M(R),,17(9),1,1,0.7,0.5,1.6,0.7,-,0.8,2.5,6.34,1421
Roli Pereira De Sa,25, M(C),,,5(12),-,-,0.3,0.4,0.9,0.3,0.1,0.4,0.5,6.33,571
Mathieu Cafaro,25, AM(CLR),,,3(1),-,-,1.5,0.5,-,0.8,-,0.3,0.8,6.33,194
Jeff Reine-Adélaïde,24, AM(CLR),FW,,1(9),-,1,0.3,0.8,0.5,0.3,0.1,0.5,0.2,6.33,192
Stéphane Bahoken,30, FW,,,12(17),3,1,0.8,0.3,0.2,0.5,0.1,0.6,1.4,6.33,1096
Mohamed-Ali Cho,18, FW,,,21(11),4,1,1.3,0.4,0.8,1.4,0.3,1,2.8,6.33,1847
Evann Guessand,20, Forward,,,2(18),1,2,0.6,0.3,0.6,0.5,-,0.3,1,6.32,424
Saîf-Eddine Khaoui,27, AM(CR),,,9(14),1,-,0.8,0.6,0.5,0.7,-,0.6,1,6.32,926
Jean-Phillipe Krasso,24, FW,,,5(11),1,1,0.8,0.3,0.9,0.4,0.1,0.9,1.7,6.32,448
Julien Faussurier,35, D(LR),M(R),,4(12),-,1,0.3,0.8,0.1,0.4,0.3,0.1,0.6,6.32,483
Lebo Mothiba,26, FW,,,5(8),2,-,0.5,0.5,0.2,1.2,0.3,0.6,1.5,6.32,522
Irvin Cardona,24, AM(L),FW,,13(19),4,2,0.8,0.5,0.4,0.4,0.3,0.6,1.4,6.32,1333
Dylan Chambost,24, M(C),,,9(10),-,1,0.5,0.5,0.1,0.3,0.1,0.2,0.5,6.32,753
Dango Ouattara,20, AM(R),,,7(18),1,2,1,0.3,0.4,0.8,-,0.4,0.8,6.31,802
Rayan Cherki,18, AM(R),,,3(13),-,1,0.9,0.8,1.1,0.5,0.2,0.7,1,6.31,432
Islam Slimani,33, FW,,,6(6),1,1,1,0.5,-,0.4,0.9,0.6,1,6.31,577
M'Baye Niang,27, AM(LR),FW,,7(15),3,1,1.2,0.4,0.2,0.9,0.4,0.7,1.7,6.3,769
Mitchell van Bergen,22, AM(LR),FW,,11(9),-,-,0.6,0.9,0.7,0.2,0.5,0.4,1.8,6.3,987
Angel Gomes,21, AM(CL),FW,,12(12),1,1,0.6,0.6,0.2,0.6,-,0.5,0.7,6.3,955
Cesc Fàbregas,35, M(CL),FW,,0(2),-,-,-,1,-,1,-,-,-,6.3,36
Deiver Machado,28, M(L),,,5(17),-,1,0.1,0.4,0.4,0.5,0.1,0.4,0.5,6.29,513
Yvan Neyou,25, DMC,,,12(4),-,-,0.4,0.4,0.4,1.3,-,0.5,0.6,6.29,941
Enzo Ebosse,23, D(C),,,21(6),-,-,0.1,0.4,0.3,0.8,-,0.1,0.8,6.29,1888
Cheick Tidiane Sabaly,23, Forward,,,2(4),-,-,0.3,0.3,0.5,0.2,-,1.3,1.3,6.29,149
Quentin Boisgard,25, AM(CLR),,,9(16),1,1,0.6,0.4,0.4,0.4,-,0.8,1.3,6.28,953
Paul Nardi,28, GK,,,22,-,-,-,-,-,0.1,-,-,-,6.28,1980
Lucas Gourna-Douath,18, DMC,,,20(11),1,-,0.4,0.3,0.5,0.9,-,0.7,1,6.28,1808
Sambou Sissoko,23, Midfielder,,,0(8),-,-,0.4,0.4,0.3,0.5,-,0.3,0.8,6.28,170
Jean-Claude Billong,28, D(C),,,10(5),-,-,0.3,0.1,0.1,0.6,-,0.1,0.3,6.28,977
Tom Lacoux,20, DMC,M(R),,11(2),-,-,0.2,0.2,0.6,0.5,-,0.6,1.4,6.28,915
Igor Silva,25, D(R),M(R),,17(11),-,-,0.5,0.4,0.5,0.8,-,0.4,1.1,6.28,1572
Álvaro González,32, D(C),,,5(1),-,-,0.3,-,-,1.2,-,0.2,-,6.28,451
Karim Azamoum,32, M(CR),,,4(3),-,-,0.4,-,0.1,0.4,-,0.3,0.4,6.27,387
Papa Ndiaga Yade,22, AM(L),,,5(13),-,1,0.4,0.3,1,0.4,-,0.4,1.5,6.27,690
N'Dri Koffi,20, Forward,,,3(7),1,-,0.9,0.4,0.5,1.3,0.7,0.3,2.2,6.27,374
Kevin N'Doram,26, DMC,,,16(3),-,-,0.4,0.6,0.3,0.7,-,0.4,0.7,6.27,1239
Danijel Petkovic,29, GK,,,15,-,-,-,-,-,0.2,-,-,0.1,6.26,1350
Tinotenda Kadewere,26, AM(R),FW,,3(12),1,-,1.2,0.5,0.5,0.3,0.3,0.5,1.2,6.26,498
Hianga'a M'Bock,22, DMC,,,9(5),-,-,0.6,0.1,0.7,0.7,-,0.6,0.4,6.25,798
Amadou Salif Mbengue,20, Midfielder,,,5(7),-,-,0.3,0.2,0.2,0.1,-,0.2,0.4,6.25,606
Vágner,26, FW,,,0(3),-,-,0.3,0.7,1,0.3,-,0.3,1.7,6.25,84
Romain Hamouma,35, M(CLR),FW,,7(15),2,1,1,0.6,0.5,0.5,0.4,0.6,1.5,6.25,883
Eduardo Camavinga,19, DMC,,,1(3),-,-,-,0.3,-,1.5,-,0.3,0.8,6.25,142
Romain Del Castillo,26, AM(LR),FW,,0(3),-,-,0.3,0.3,0.7,1,-,0.3,0.3,6.25,26
Billal Brahimi,22, Forward,,,2(9),-,-,0.4,0.9,0.3,0.9,0.2,0.9,1,6.24,371
Jean-Armel Kana-Biyik,32, D(C),,,8(2),-,-,0.1,-,0.1,0.8,-,0.1,0.1,6.24,667
Adil Aouchiche,19, AM(CL),,,11(24),-,4,0.6,0.5,0.4,0.4,0.1,0.5,0.9,6.24,1068
Ambroise Oyongo,30, D(LR),M(L),,7(4),1,-,0.5,0.2,0.4,0.9,0.1,0.4,1,6.24,657
Mexer,33, D(C),,,14(2),1,-,0.3,-,0.2,0.4,-,0.3,0.4,6.24,1227
El Chadaille Bitshiabu,17, Defender,,,0(1),-,-,-,-,-,-,-,-,-,6.24,4
Sofiane Alakouch,23, D(R),,,0(4),-,-,0.3,0.3,0.5,1.8,-,0.5,1.5,6.24,157
Thibault Klidje,20, Forward,,,0(5),-,-,0.2,0.8,0.8,1,0.2,0.6,0.6,6.23,81
Domagoj Bradaric,22, D(L),,,2(13),-,-,0.1,0.4,0.1,0.5,-,0.3,0.3,6.23,409
Brandon Domingues,22, Midfielder,,,1(10),1,-,0.4,0.5,0.2,0.8,-,0.2,0.5,6.23,223
Brayann Pereira,19, Defender,,,0(2),-,-,-,0.5,-,-,-,-,-,6.23,13
Kaj Sierhuis,24, FW,,,1(1),-,-,1,1,-,-,-,-,0.5,6.23,80
Aïmen Moueffek,21, DMC,,,4(10),-,-,0.3,0.1,0.6,0.6,-,0.4,0.9,6.23,426
Gabriel Silva,31, D(LR),M(L),,9(4),-,-,0.1,0.2,-,1.2,-,0.2,0.6,6.23,714
Sambou Soumano,21, Forward,,,4(17),3,-,0.9,0.2,0.5,0.5,0.3,0.6,1,6.23,435
Myron Boadu,21, FW,,,7(24),4,1,0.7,0.2,0.3,0.4,0.4,0.4,1.5,6.22,945
Waniss Taibi,20, Midfielder,,,1(6),-,-,0.1,-,0.3,0.1,-,0.1,0.6,6.22,127
Bradley Barcola,19, Forward,,,2(9),-,1,0.5,0.5,0.2,-,0.1,0.3,0.5,6.21,258
Patrick Berg,24, M(C),,,2(12),-,-,0.1,0.1,-,0.1,-,-,0.2,6.21,297
Léo Leroy,22, DMC,,,7(17),-,-,0.3,0.2,0.3,0.2,-,0.3,0.5,6.21,620
Bryan Djile Nokoue,20, Defender,,,0(2),-,-,-,-,-,0.5,-,0.5,0.5,6.21,56
William Mikelbrencis,18, M(R),,,8(1),-,1,0.7,0.3,0.4,0.2,-,0.6,1.6,6.2,615
Issouf Sissokho,20, M(C),,,6(1),-,-,0.4,1.1,0.7,1,-,1,2,6.2,439
