Name,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Houssem Aouar,23, M(CL),,,29(7),6,4,2.1,1.1,1.9,1.1,0.1,1.4,2,6.93,2508
Jonas Omlin,28, GK,,,29,-,-,-,-,-,0.1,-,-,-,6.93,2589
Danilo Pereira,30, D(C),DMC,,22(5),5,-,0.7,0.2,0.3,0.9,-,0.2,0.7,6.93,2039
Achraf Hakimi,23, D(LR),M(R),,28(4),4,6,0.6,1,0.7,0.4,0.2,0.4,1,6.93,2486
Fabien Centonze,26, D(R),M(R),,18(1),4,1,0.8,0.6,1.5,1.6,-,0.7,1.9,6.92,1587
Emerson,27, D(L),M(L),,26(3),1,2,0.6,1.1,1,0.8,-,0.2,1.4,6.91,2267
Boubacar Kamara,22, D(CL),DMC,,31(3),1,-,0.6,0.7,0.5,1.2,-,0.4,0.9,6.91,2779
Sofiane Diop,21, AM(CLR),,,24(6),6,4,1.2,1.3,1.5,1.4,0.1,1.1,2.4,6.9,1959
Flavien Tait,29, M(CLR),,,24(4),5,3,1.5,1.1,1,1.7,0.1,1.1,1.6,6.9,2131
Steve Mounié,27, FW,,,25(10),9,2,2.1,0.5,0.2,0.8,0.3,0.6,2.5,6.89,2313
Sergio Rico,28, GK,,,0(1),-,-,-,-,-,-,-,-,-,6.89,22
Melvin Bard,21, D(L),,,30(3),2,2,0.2,0.7,0.7,0.9,-,0.5,1.2,6.89,2593
Gerson,25, M(CLR),,,29(6),9,4,1.3,0.9,0.9,1.9,0.1,0.9,1.2,6.89,2553
Nayef Aguerd,26, D(C),,,31,2,2,0.8,0.1,0.2,0.5,-,0.1,0.2,6.88,2738
Denis Bouanga,27, M(CLR),FW,,28(6),9,6,2.5,1,1.6,1.4,0.1,1.9,3.4,6.88,2449
William Saliba,21, D(C),,,36,-,-,0.5,0.2,0.9,0.3,-,0.4,0.7,6.87,3240
Mattéo Guendouzi,23, M(C),,,35(3),4,6,1.3,0.9,0.8,1.8,-,1.2,1.6,6.87,3154
Jean-Clair Todibo,22, D(C),,,35(1),1,-,0.5,0.4,0.4,0.3,-,0.2,0.6,6.87,3116
Brendan Chardonnet,27, D(C),,,31(1),3,-,0.4,0.3,-,0.8,-,-,0.2,6.87,2687
Steve Mandanda,37, GK,,,9,-,-,-,0.1,-,-,-,-,-,6.87,810
Anthony Mandréa,25, GK,,,10,-,-,-,-,-,0.2,-,-,-,6.87,900
Idrissa Gueye,32, M(C),,,18(8),3,1,0.9,0.6,0.8,0.6,-,0.6,0.7,6.86,1641
Marquinhos,28, D(CR),DMC,,32,5,-,0.7,0.2,0.1,0.3,-,0.1,0.3,6.86,2862
Youcef Belaïli,30, AM(L),,,11(2),3,2,1.3,1.4,1.8,1.5,0.2,1.2,1.6,6.86,832
Christopher Wooh,20, D(C),,,11(3),-,1,0.6,0.3,0.8,0.8,-,0.1,0.9,6.85,1051
Valentin Rongier,27, D(R),M(C),,25(7),-,1,0.9,0.5,0.9,0.9,-,0.5,0.9,6.85,2199
Predrag Rajkovic,26, GK,,,38,-,-,-,-,-,0.2,-,-,0.1,6.85,3420
Renato Sanches,24, M(CR),,,20(5),2,5,0.9,1.4,1.7,1.1,-,1.2,1.7,6.85,1657
Azor Matusiwa,24, DMC,,,29,1,1,0.3,0.6,0.5,1,-,0.3,0.9,6.84,2469
Jonathan Gradit,29, D(CR),,,35,-,-,0.1,0.4,0.5,1.1,-,0.3,0.4,6.84,3073
Ruben Aguilar,29, D(R),M(R),,22(6),-,2,0.4,0.4,0.2,1,-,0.2,1.1,6.84,2138
Ander Herrera,32, M(C),,,12(7),3,2,0.7,0.9,0.3,0.3,0.2,0.3,0.9,6.84,1093
Hugo Ekitike,19, FW,,,15(9),10,3,1.3,0.7,1,1.3,0.5,0.9,2.8,6.83,1275
Julien Laporte,28, D(C),,,33,2,-,0.5,0.2,0.2,0.8,-,0.1,0.2,6.83,2893
Mohamed Bayo,24, FW,,,27(5),14,5,2.1,1,0.9,0.2,0.4,1.2,1.8,6.83,2426
Ghislain Konan,26, D(L),M(L),,28,1,3,0.7,1.1,1.4,1.2,0.1,0.7,1.6,6.83,2422
Sven Botman,22, D(C),,,25,3,1,0.6,0.3,0.2,0.5,-,0.1,0.4,6.83,2250
Baptiste Santamaría,27, DMC,,,28(6),2,1,1,0.5,0.5,0.6,-,0.5,0.9,6.83,2520
Cengiz Ünder,24, AM(CLR),,,25(7),10,2,1.8,1.1,0.8,1,0.4,0.8,2,6.82,2209
Xherdan Shaqiri,30, M(CLR),,,9(2),2,3,1.2,1.4,0.5,0.2,0.3,1,0.8,6.82,686
Reinildo,28, D(CL),M(L),,18,1,-,0.3,0.2,0.8,1.5,0.1,0.5,0.9,6.81,1531
Jean Onana,22, DMC,,,23,3,2,0.9,0.7,0.7,1.6,-,0.9,2,6.81,1846
Eiji Kawashima,39, GK,,,1,-,-,-,-,-,-,-,-,-,6.81,90
Aleksandr Golovin,26, M(CLR),,,17(10),3,4,0.9,1.6,0.8,0.8,0.1,0.8,1,6.81,1505
Angelo Fulgini,25, AM(CLR),FW,,35(1),5,4,1.6,1.4,1.4,2.3,0.1,1.5,2.2,6.81,2947
Nicolas de Préville,31, AM(CLR),FW,,24(3),5,2,1.5,1,1.7,2,0.3,1.9,2.9,6.8,1982
Rominigue Kouamé,25, M(C),,,34,1,2,1.1,0.6,1.9,1.9,-,0.9,1.4,6.8,2977
