Player.1,Age,position1,position2,position3,Apps,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Mins
Pape Sarr Metz,19, AM(C),,,22(11),1,3,0.9,0.6,0.9,0.7,-,0.8,1.4,6.54,2130
Anel Ahmedhodzic Bordeaux,23, D(C),,,15,-,1,0.5,0.7,0.1,0.7,-,0.3,0.5,6.54,1350
Alfred Gomis Rennes,28, GK,,,25,-,-,-,-,-,0.1,-,-,0.1,6.54,2250
Farid Boulaya Metz,29, AM(CLR),FW,,18(6),4,2,0.8,1.3,0.8,0.7,-,1,1,6.54,1534
Henrique Lyon,28, D(L),M(L),,12(6),-,1,0.3,0.4,0.6,0.8,-,0.4,0.7,6.53,1105
David da Costa Lens,21, AM(C),,,16(17),3,5,0.8,1.2,0.7,0.4,-,0.7,0.9,6.53,1463
Martín Satriano Brest,21, FW,,,11(4),4,-,1.6,0.1,0.6,0.9,0.1,0.9,1.8,6.53,941
Remi Oudin Bordeaux,25, M(CLR),FW,,20(13),4,5,1.7,0.6,0.6,0.4,0.1,0.4,0.9,6.53,1744
Strahinja Pavlovic Monaco,21, D(C),,,5(2),-,-,0.7,0.1,0.4,1,-,0.1,0.9,6.53,450
Joris Chotard Montpellier,20, DMC,,,33(3),1,1,0.5,0.3,0.2,0.3,-,0.1,0.8,6.53,2942
Pablo Sarabia PSG,30, D(L),M(CLR),FW,0(2),1,-,0.5,-,0.5,0.5,-,-,1,6.53,21
Leonardo Balerdi Marseille,23, D(C),,,10(7),-,-,0.1,0.1,0.6,0.3,-,0.4,0.5,6.52,950
Konrad De la Fuente Marseille,20, AM(L),,,9(7),-,2,0.9,0.6,1.3,0.4,0.1,1.3,1.1,6.52,788
Lilian Brassier Brest,22, D(CL),,,23(8),1,-,0.4,0.3,0.2,0.5,-,0.1,0.6,6.52,2258
Amadou Mvom Onana Lille,20, DMC,,,11(21),1,-,0.5,0.5,0.4,0.8,0.1,0.3,0.6,6.52,1352
Jean Lucas Monaco,23, M(C),,,18(10),1,1,0.9,0.6,1,0.9,0.1,0.9,1.6,6.52,1451
Thomas Foket Reims,27, D(R),M(R),,26(3),1,-,0.3,0.7,0.4,0.9,0.2,0.6,1.2,6.52,2243
Fábio Nantes,31, D(LR),M(R),,21(6),-,2,0.4,0.4,0.5,0.7,-,0.3,0.7,6.52,1679
Flavius Daniliuc Nice,21, D(CR),,,14(10),-,-,0.2,0.1,0.3,0.2,-,0.1,0.5,6.52,1291
Iké Ugbo Troyes,23, FW,,,11(3),5,-,1.1,0.4,0.2,1.1,0.1,0.6,1.4,6.51,820
Valère Germain Montpellier,32, AM(LR),FW,,22(12),4,3,0.9,0.6,0.1,0.8,0.2,0.6,0.9,6.51,1978
