,Name,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
146,Lucas Digne,28, D(CL),M(L),,13,1170,-,39.1,76,1.2,1,-,6.8,1.7
147,Calum Chambers,27, D(CR),DMC,,9(2),829,-,43.5,82.8,0.1,2.9,0.1,6.79,0.2
148,Pascal Groß,30, M(CR),FW,,24(5),2043,4,38.3,82.8,2,2.1,0.1,6.79,2.1
149,Harvey Barnes,24, AM(CL),,,24(8),2107,10,22,76.4,0.2,0.3,0.1,6.79,0.9
150,Naby Keïta,27, M(C),,,14(9),1175,1,32.3,86,-,0.6,-,6.79,0.7
151,Hugo Lloris,35, GK,,,38,3420,-,20.9,76.8,-,4.1,-,6.78,0.1
152,Raphaël Varane,29, D(C),,,20(2),1829,1,52.3,87.8,-,3.6,-,6.78,0.2
153,Demarai Gray,25, AM(CLR),FW,,28(6),2352,4,18.6,81.5,1,0.8,-,6.78,1.2
154,Stuart Dallas,31, D(LR),M(CLR),,34,2929,1,39.8,78.8,0.7,1.6,0.1,6.78,0.9
155,João Pedro,20, AM(L),FW,,15(13),1639,1,19.6,69.9,0.1,0.9,0.1,6.78,0.7
156,Daniel Podence,26, AM(CLR),FW,,15(11),1486,3,22.2,74.1,0.5,1,0.1,6.78,1.4
157,Benjamin White,24, D(CR),DMC,,32,2880,-,56.6,84.6,-,2.8,0.1,6.78,0.4
158,Douglas Luiz,24, M(C),,,31(3),2720,3,42.7,86.8,0.6,1.6,0.1,6.77,1.1
159,Ben Davies,29, D(CL),M(L),,28(1),2540,1,54.6,85,0.2,1.6,-,6.77,0.4
160,Callum Hudson-Odoi,21, M(CLR),,,11(4),966,2,23.6,85.3,0.3,0.6,-,6.77,1.7
161,Jacob Ramsey,21, AM(C),,,29(5),2477,1,29.8,87,0.1,0.7,-,6.77,0.6
162,Kieran Tierney,25, D(CL),M(L),,22,1919,3,41.1,82.5,0.7,2,-,6.77,0.9
163,Marc Guéhi,21, D(C),,,36,3223,1,65.2,87.4,-,4.4,-,6.76,0.2
164,Pontus Jansson,31, D(C),,,37,3322,1,40.2,80.9,-,1,-,6.76,0.1
165,Eric Dier,28, D(CR),DMC,,35,3072,-,66.4,88.1,-,3.7,0.1,6.76,0.2
166,Lukasz Fabianski,37, GK,,,37,3330,-,22.9,59.2,-,5.9,-,6.76,-
167,Jonny Evans,34, D(CL),,,16(2),1350,1,55.9,83.2,-,3.4,0.1,6.76,0.2
168,Malang Sarr,23, D(CL),,,6(2),546,-,58.4,88.2,0.1,1.8,0.1,6.76,0.4
169,Tyrick Mitchell,22, D(L),,,35(1),3103,2,41.5,71.9,0.6,1.8,-,6.75,0.6
170,Alexis Mac Allister,23, M(CL),FW,,22(11),2118,2,30.2,84.4,0.5,1.5,0.1,6.75,0.9
171,Marçal,33, D(CL),M(L),,17(1),1453,-,38.3,77.7,0.6,1.1,-,6.75,0.6
172,Aaron Cresswell,32, D(CL),M(L),,31,2728,3,55.1,82.6,1.1,2.6,-,6.75,1
173,Emiliano Buendía,25, M(CLR),,,22(13),1902,6,24.3,81.6,0.1,0.8,0.3,6.75,1.4
174,Gabriel Magalhães,24, D(C),,,35,3068,-,58.2,89.5,-,2.5,-,6.74,0.3
175,Kurt Zouma,27, D(CR),,,24,2080,-,41.5,87.7,-,1.8,-,6.74,0.1
176,Luke Thomas,20, D(L),M(L),,21(1),1912,1,46.4,80.3,0.2,1.1,0.1,6.74,0.5
177,Emile Smith Rowe,21, AM(CL),,,21(12),1922,2,23.2,87.4,0.2,0.4,0.1,6.74,0.9
178,Pierre-Emerick Aubameyang,32, M(CLR),FW,,12(2),1040,1,13.9,70.1,-,0.2,0.1,6.74,0.6
179,Jonny,28, D(CLR),M(LR),,10(3),1023,-,39,83,0.5,1.5,0.1,6.74,0.8
180,Asmir Begovic,34, GK,,,3,270,-,26.7,43.8,-,6.7,-,6.74,-
181,Bryan Mbeumo,22, AM(LR),FW,,34(1),2916,7,20.9,69,0.5,0.7,-,6.74,1
182,Çaglar Söyüncü,26, D(C),,,28,2498,-,68.6,84.6,0.1,3.1,-,6.74,0.1
183,Kasper Schmeichel,35, GK,,,37,3330,-,30.4,69.7,-,7.1,-,6.74,-
184,Tyrone Mings,29, D(CL),,,35(1),3188,3,46.1,79.6,-,2.8,0.1,6.74,0.3
185,Alexandre Lacazette,31, M(CLR),FW,,20(10),1789,7,14.8,76.4,0.1,0.3,0.1,6.74,1
186,Valentino Livramento,19, D(R),,,25(3),2203,1,32.4,78.6,0.4,1,-,6.73,0.7
187,Lewis Dunk,30, D(C),,,29,2574,-,67.1,88.4,-,4.7,-,6.73,0.1
188,Kyle Walker,32, D(CR),M(R),,20,1756,2,75,90.3,0.3,3.8,0.1,6.73,0.6
189,Kristoffer Ajer,24, D(CR),DMC,,23(1),1987,3,30.1,69.7,0.1,1.3,0.1,6.73,0.3
190,Vitaly Janelt,24, DMC,,,27(4),2309,-,30.6,77.9,0.2,1.7,0.1,6.73,0.7
191,Cheikhou Kouyaté,32, D(CR),DMC,,23(4),1978,1,29.6,82,-,1.1,-,6.73,0.2
192,Grant Hanley,30, D(C),,,33,2899,-,39.7,83.1,-,2.1,-,6.73,0.2
193,Abdoulaye Doucouré,29, M(C),,,29(1),2538,4,36.1,79.6,-,1,0.1,6.72,0.6
194,Jeffrey Schlupp,29, D(L),M(CLR),,20(12),1846,1,20,76.3,0.1,0.6,0.1,6.72,0.6
195,Che Adams,25, AM(CL),FW,,23(7),2043,3,15.4,65.7,-,0.4,0.1,6.72,0.9
196,Michael Keane,29, D(CR),,,31(1),2793,2,37.8,76.5,-,3.9,-,6.72,0.3
197,Chris Wood,30, FW,,,15(2),1328,-,18.9,52.5,-,0.2,0.1,6.72,0.6
198,Joel Ward,32, D(LR),DMC,M(R),27(1),2486,-,51.6,79.2,0.1,2.4,-,6.72,0.3
199,Adam Webster,27, D(C),,,16(6),1432,-,52.4,81,-,3,-,6.72,-
200,Matt Targett,26, D(L),M(L),,17,1434,1,37.8,73.7,0.9,1.9,-,6.71,1.2
201,Timothy Castagne,26, D(CLR),M(LR),,22(5),2126,-,40.8,82,0.4,1.3,-,6.71,0.6
202,Andros Townsend,30, AM(LR),FW,,17(4),1459,2,18.7,78.1,1.3,0.3,-,6.71,1.5
203,Erik Pieters,33, D(L),M(L),,8(4),727,1,21.2,67.7,0.2,1.2,0.1,6.71,0.2
204,James Justin,24, D(CLR),M(LR),,11(2),997,-,42.9,80.6,0.2,1.2,-,6.7,0.7
205,Ederson,28, GK,,,37,3330,-,25.9,88.8,-,4,-,6.7,-
206,Craig Dawson,32, D(CR),,,30(4),2754,2,37.5,80.9,-,3,-,6.7,0.1
207,Fraser Forster,34, GK,,,19,1710,-,27.9,54.7,-,6.4,-,6.7,-
208,Fernandinho,37, D(CR),DMC,,10(9),960,1,44.1,88.8,0.1,1.8,0.1,6.7,0.5
209,Fabian Schär,30, D(C),,,25,2161,2,39.4,69.6,-,5.1,-,6.7,0.4
210,Anthony Gordon,21, AM(LR),,,25(10),2285,2,17.5,74.2,0.7,0.2,-,6.7,1
211,Leo Fuhr Hjelde,18, D(C),,,0(2),148,-,40,68.8,-,1.5,-,6.7,0.5
212,Vitalii Mykolenko,23, D(CL),M(L),,12(1),1056,-,24.6,73.4,0.6,1,0.1,6.69,0.6
213,Joshua King,30, AM(CLR),FW,,27(5),2251,3,15.6,72.9,0.1,0.1,0.1,6.69,1.1
214,Danny Welbeck,31, AM(CLR),FW,,15(10),1477,2,10.9,77.7,-,0.1,-,6.69,0.7
215,João Moutinho,35, M(C),,,34(1),2975,1,54.9,86.7,0.8,3.8,-,6.69,1.1
216,Maxwel Cornet,25, D(L),M(LR),FW,21(5),1778,1,14.5,70.6,0.4,0.2,-,6.69,0.6
217,Moussa Sissoko,32, M(CR),,,36,3221,1,31.8,78.3,0.4,1.6,0.1,6.68,1
218,Vicente Guaita,35, GK,,,30,2656,-,26.6,74.9,-,4.5,-,6.68,-
219,Arthur Masuaku,28, D(L),M(L),,6(7),645,1,24.5,79.9,0.2,0.5,-,6.68,0.2
220,Ryan Sessegnon,22, D(L),M(LR),,13(2),1054,2,21.5,76.8,0.5,0.4,-,6.68,0.9
221,Kiernan Dewsbury-Hall,23, M(C),,,23(5),2106,2,41,81.2,0.3,1.1,0.1,6.68,1.3
222,Christian Pulisic,23, M(CLR),FW,,13(9),1286,2,19.9,80.3,0.1,0.3,-,6.67,0.7
223,Jordan Ayew,30, AM(CLR),FW,,23(8),2024,3,21.6,83.6,0.3,0.3,0.2,6.67,0.7
224,Granit Xhaka,29, D(L),M(C),,27,2331,2,57.1,86.8,0.3,2,0.2,6.67,1.2
225,Jack Harrison,25, AM(CLR),FW,,32(3),2652,1,24.9,70.5,0.5,0.6,0.1,6.67,1.2
226,Chris Wood,30, FW,,,17,1378,-,17.9,58.6,-,0.2,-,6.66,0.5
227,Joachim Andersen,26, D(C),,,32(2),2915,3,68.6,81.6,0.1,7.4,0.1,6.66,0.6
228,Angelo Ogbonna,34, D(C),,,11,922,-,43.1,85.2,-,1.5,-,6.66,-
229,Raúl Jiménez,31, FW,,,30(4),2640,4,22.1,71.8,0.1,0.7,0.1,6.66,1.1
230,Enock Mwepu,24, M(CR),,,12(6),997,4,21.4,74.5,0.1,0.3,0.1,6.66,0.5
231,Michael Olise,20, AM(CLR),,,12(14),1138,5,21,81.4,0.7,1.1,0.1,6.66,0.9
232,Odsonne Édouard,24, AM(L),FW,,18(10),1567,3,14.8,73.7,-,0.1,-,6.66,0.8
233,Jadon Sancho,22, AM(CLR),,,20(9),1904,3,32.2,83.5,0.3,0.4,0.1,6.66,1.4
234,Christian Benteke,31, FW,,,11(14),1136,1,11.9,64.4,-,0.3,-,6.66,0.5
235,Édouard Mendy,30, GK,,,34,3060,-,23.6,82,-,3.5,-,6.65,-
236,Ben Johnson,22, D(LR),M(L),,16(4),1401,-,28.1,70.8,0.7,1.8,-,6.65,0.5
237,Martin Dúbravka,33, GK,,,26,2340,-,29,59.4,-,8.6,-,6.65,0.1
238,Pablo Marí,28, D(C),,,2,180,-,46,85.9,-,2,-,6.65,0.5
239,Aaron Ramsdale,24, GK,,,34,3060,-,29.7,62.6,-,4.7,-,6.65,-
240,Manuel Lanzini,29, M(CLR),,,19(11),1789,3,40.1,91.9,0.2,1.1,-,6.65,0.8
241,Harry Maguire,29, D(C),,,28(2),2514,-,52.1,86.4,-,4,-,6.65,0.1
242,Danny Ings,29, AM(C),FW,,22(8),1906,6,12,69.3,-,0.3,-,6.65,0.5
243,Jean-Philippe Mateta,24, FW,,,13(9),1152,1,10.5,67.8,0.1,-,-,6.64,0.3
244,David de Gea,31, GK,,,38,3420,-,20.7,68.9,-,3.1,-,6.64,-
245,Ademola Lookman,24, AM(CLR),FW,,16(10),1459,-,19.5,78.3,0.1,0.1,0.1,6.64,0.9
246,Conor Coady,29, D(CR),DMC,,38,3364,-,44.4,89.7,-,3.8,-,6.64,0.1
247,Luke Shaw,26, D(CL),M(L),,19(1),1603,3,46.2,84.1,1.5,1.6,0.2,6.64,2
248,Robert Sánchez,24, GK,,,37,3330,-,36,67.4,-,5.5,-,6.63,0.1
249,Nemanja Matic,33, DMC,,,16(7),1384,4,45.2,87.1,0.1,2.2,0.2,6.63,0.6
250,Emiliano Martínez,29, GK,,,36,3240,-,26,70.4,-,4.8,-,6.63,-
251,Juraj Kucka,35, M(CLR),,,22(4),1924,1,26.1,68.7,0.2,1,-,6.63,0.4
252,Alex McCarthy,32, GK,,,17,1530,-,25.3,56.5,-,4.8,-,6.63,0.1
