Player.1,Age,position1,position2,position3,Apps,Mins,Assists,AvgP,PS%,Crosses,LongB,ThrB,Rating,KeyP
Abdoulaye Doucouré Everton,29, M(C),,,29(1),2538,4,36.1,79.6,-,1,0.1,6.72,0.6
Jeffrey Schlupp Crystal Palace,29, D(L),M(CLR),,20(12),1846,1,20,76.3,0.1,0.6,0.1,6.72,0.6
Che Adams Southampton,25, AM(CL),FW,,23(7),2043,3,15.4,65.7,-,0.4,0.1,6.72,0.9
Michael Keane Everton,29, D(CR),,,31(1),2793,2,37.8,76.5,-,3.9,-,6.72,0.3
Chris Wood Newcastle,30, FW,,,15(2),1328,-,18.9,52.5,-,0.2,0.1,6.72,0.6
Joel Ward Crystal Palace,32, D(LR),DMC,M(R),27(1),2486,-,51.6,79.2,0.1,2.4,-,6.72,0.3
Adam Webster Brighton,27, D(C),,,16(6),1432,-,52.4,81,-,3,-,6.72,-
Matt Targett Aston Villa,26, D(L),M(L),,17,1434,1,37.8,73.7,0.9,1.9,-,6.71,1.2
Timothy Castagne Leicester,26, D(CLR),M(LR),,22(5),2126,-,40.8,82,0.4,1.3,-,6.71,0.6
Andros Townsend Everton,30, AM(LR),FW,,17(4),1459,2,18.7,78.1,1.3,0.3,-,6.71,1.5
Erik Pieters Burnley,33, D(L),M(L),,8(4),727,1,21.2,67.7,0.2,1.2,0.1,6.71,0.2
James Justin Leicester,24, D(CLR),M(LR),,11(2),997,-,42.9,80.6,0.2,1.2,-,6.7,0.7
Ederson Man City,28, GK,,,37,3330,-,25.9,88.8,-,4,-,6.7,-
Craig Dawson West Ham,32, D(CR),,,30(4),2754,2,37.5,80.9,-,3,-,6.7,0.1
Fraser Forster Southampton,34, GK,,,19,1710,-,27.9,54.7,-,6.4,-,6.7,-
Fernandinho Man City,37, D(CR),DMC,,10(9),960,1,44.1,88.8,0.1,1.8,0.1,6.7,0.5
Fabian Schär Newcastle,30, D(C),,,25,2161,2,39.4,69.6,-,5.1,-,6.7,0.4
Anthony Gordon Everton,21, AM(LR),,,25(10),2285,2,17.5,74.2,0.7,0.2,-,6.7,1
Leo Fuhr Hjelde Leeds,18, D(C),,,0(2),148,-,40,68.8,-,1.5,-,6.7,0.5
Vitalii Mykolenko Everton,23, D(CL),M(L),,12(1),1056,-,24.6,73.4,0.6,1,0.1,6.69,0.6
Joshua King Watford,30, AM(CLR),FW,,27(5),2251,3,15.6,72.9,0.1,0.1,0.1,6.69,1.1
Danny Welbeck Brighton,31, AM(CLR),FW,,15(10),1477,2,10.9,77.7,-,0.1,-,6.69,0.7
João Moutinho Wolves,35, M(C),,,34(1),2975,1,54.9,86.7,0.8,3.8,-,6.69,1.1
Maxwel Cornet Burnley,25, D(L),M(LR),FW,21(5),1778,1,14.5,70.6,0.4,0.2,-,6.69,0.6
Moussa Sissoko Watford,32, M(CR),,,36,3221,1,31.8,78.3,0.4,1.6,0.1,6.68,1
Vicente Guaita Crystal Palace,35, GK,,,30,2656,-,26.6,74.9,-,4.5,-,6.68,-
Arthur Masuaku West Ham,28, D(L),M(L),,6(7),645,1,24.5,79.9,0.2,0.5,-,6.68,0.2
Ryan Sessegnon Tottenham,22, D(L),M(LR),,13(2),1054,2,21.5,76.8,0.5,0.4,-,6.68,0.9
Kiernan Dewsbury-Hall Leicester,23, M(C),,,23(5),2106,2,41,81.2,0.3,1.1,0.1,6.68,1.3
Christian Pulisic Chelsea,23, M(CLR),FW,,13(9),1286,2,19.9,80.3,0.1,0.3,-,6.67,0.7
Jordan Ayew Crystal Palace,30, AM(CLR),FW,,23(8),2024,3,21.6,83.6,0.3,0.3,0.2,6.67,0.7
Granit Xhaka Arsenal,29, D(L),M(C),,27,2331,2,57.1,86.8,0.3,2,0.2,6.67,1.2
Jack Harrison Leeds,25, AM(CLR),FW,,32(3),2652,1,24.9,70.5,0.5,0.6,0.1,6.67,1.2
Chris Wood Burnley,30, FW,,,17,1378,-,17.9,58.6,-,0.2,-,6.66,0.5
Joachim Andersen Crystal Palace,26, D(C),,,32(2),2915,3,68.6,81.6,0.1,7.4,0.1,6.66,0.6
Angelo Ogbonna West Ham,34, D(C),,,11,922,-,43.1,85.2,-,1.5,-,6.66,-
Raúl Jiménez Wolves,31, FW,,,30(4),2640,4,22.1,71.8,0.1,0.7,0.1,6.66,1.1
Enock Mwepu Brighton,24, M(CR),,,12(6),997,4,21.4,74.5,0.1,0.3,0.1,6.66,0.5
Michael Olise Crystal Palace,20, AM(CLR),,,12(14),1138,5,21,81.4,0.7,1.1,0.1,6.66,0.9
Odsonne Édouard Crystal Palace,24, AM(L),FW,,18(10),1567,3,14.8,73.7,-,0.1,-,6.66,0.8
Jadon Sancho Man Utd,22, AM(CLR),,,20(9),1904,3,32.2,83.5,0.3,0.4,0.1,6.66,1.4
Christian Benteke Crystal Palace,31, FW,,,11(14),1136,1,11.9,64.4,-,0.3,-,6.66,0.5
Édouard Mendy Chelsea,30, GK,,,34,3060,-,23.6,82,-,3.5,-,6.65,-
Ben Johnson West Ham,22, D(LR),M(L),,16(4),1401,-,28.1,70.8,0.7,1.8,-,6.65,0.5
Martin Dúbravka Newcastle,33, GK,,,26,2340,-,29,59.4,-,8.6,-,6.65,0.1
Pablo Marí Arsenal,28, D(C),,,2,180,-,46,85.9,-,2,-,6.65,0.5
Aaron Ramsdale Arsenal,24, GK,,,34,3060,-,29.7,62.6,-,4.7,-,6.65,-
Manuel Lanzini West Ham,29, M(CLR),,,19(11),1789,3,40.1,91.9,0.2,1.1,-,6.65,0.8
Harry Maguire Man Utd,29, D(C),,,28(2),2514,-,52.1,86.4,-,4,-,6.65,0.1
