,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
170,"171Gerrit HoltmannBochum, 27, D(L),M(LR)",Gerrit Holtmann,27, D(L),M(LR),,22(6),1765,5,4,-,-,1.5,75.5,0.2,2,6.65
171,"172Lee Jae-SungMainz, 29, AM(CL),FW",Lee Jae-Sung,29, AM(CL),FW,,19(8),1449,4,3,3,-,1,74.2,1.3,-,6.65
172,"173Mitchel BakkerLeverkusen, 21, D(L),M(L)",Mitchel Bakker,21, D(L),M(L),,19(6),1825,1,4,6,-,0.4,80.6,0.5,-,6.65
173,"174Lars StindlBorussia M.Gladbach, 33, M(CLR),FW",Lars Stindl,33, M(CLR),FW,,20(6),1637,4,5,10,-,1.7,82.3,0.5,1,6.64
174,"175Hiroki ItoStuttgart, 23, D(C)",Hiroki Ito,23, D(C),,,26(3),2348,1,1,2,-,0.4,81.8,1.4,1,6.64
175,"176Kevin MbabuWolfsburg, 27, D(R),M(R)",Kevin Mbabu,27, D(R),M(R),,14(10),1389,-,-,4,-,0.2,72.7,1.3,1,6.64
176,"177Stevan JoveticHertha Berlin, 32, AM(CL),FW",Stevan Jovetic,32, AM(CL),FW,,13(5),1020,6,1,4,-,2.4,66.1,1.2,1,6.64
177,"178Robin ZentnerMainz, 27, GK",Robin Zentner,27, GK,,,32,2880,-,-,1,-,-,63.9,0.3,2,6.64
178,"179Max ChristiansenGreuther Fuerth, 25, DMC",Max Christiansen,25, DMC,,,22(5),2056,-,-,5,-,0.4,79.3,1.5,-,6.63
179,"180Vasilios LampropoulosBochum, 32, D(C)",Vasilios Lampropoulos,32, D(C),,,13,1169,-,-,1,-,0.3,81.5,2.3,-,6.63
180,"181Bastian OczipkaUnion Berlin, 33, D(CL),M(L)",Bastian Oczipka,33, D(CL),M(L),,9(9),929,-,1,1,-,0.3,73.7,0.6,1,6.63
181,"182Daichi KamadaEintracht Frankfurt, 25, AM(CLR),FW",Daichi Kamada Eintracht,25, AM(CLR),FW,,23(9),2146,4,3,-,-,1.1,79.4,0.5,-,6.63
182,"183Axel WitselBorussia Dortmund, 33, D(C),M(C)",Axel Witsel,33, D(C),M(C),,22(7),1946,2,-,4,-,0.3,93.2,1.1,1,6.62
183,"184Erhan MasovicBochum, 23, D(C)",Erhan Masovic,23, D(C),,,16(3),1461,-,-,6,-,0.2,77.7,1.3,-,6.62
184,"185Marc Oliver KempfHertha Berlin, 27, D(C)",Marc Oliver Kempf,27, D(C),,,12,1052,-,1,1,1,0.7,73,3,1,6.61
185,"186Christoph BaumgartnerHoffenheim, 22, AM(CLR),FW",Christoph Baumgartner,22, AM(CLR),FW,,23(6),1899,7,2,5,-,1.4,72.6,1.3,1,6.61
186,"187André HahnAugsburg, 31, AM(CLR),FW",André Hahn,31, AM(CLR),FW,,25(7),2112,5,2,5,-,1.4,53.9,1.8,1,6.61
187,"188Tiago TomásStuttgart, 19, AM(CR),FW",Tiago Tomás,19, AM(CR),FW,,13(1),1080,4,-,2,-,2,71,0.4,-,6.61
188,"189Exequiel PalaciosLeverkusen, 23, M(C)",Exequiel Palacios,23, M(C),,,12(11),1094,2,2,2,-,0.4,86.4,0.3,1,6.61
189,"190Maximilian EggesteinFreiburg, 25, M(CR)",Maximilian Eggestein,25, M(CR),,,26(5),2205,1,2,2,-,0.7,74.4,1.5,-,6.6
190,"191Dennis GeigerHoffenheim, 23, M(C)",Dennis Geiger,23, M(C),,,17(3),1385,2,2,6,-,0.7,85.6,-,-,6.6
191,"192Amine AdliLeverkusen, 22, AM(CL),FW",Amine Adli,22, AM(CL),FW,,13(12),1256,3,2,3,-,1.5,76,0.5,-,6.6
192,"193Maxim LeitschBochum, 24, D(C)",Maxim Leitsch,24, D(C),,,17(2),1537,1,-,2,-,0.3,82.6,1.6,-,6.6
193,"194Frederik RønnowUnion Berlin, 29, GK",Frederik Rønnow,29, GK,,,7,630,-,-,1,-,-,61.4,0.6,-,6.6
194,"195Paulo OtávioWolfsburg, 27, D(L),M(L)",Paulo Otávio,27, D(L),M(L),,5(2),365,-,1,-,-,0.6,78.9,0.7,-,6.6
195,"196Eduard LöwenBochum, 25, D(C),M(C)",Eduard Löwen,25, D(C),M(C),,14(11),1346,2,2,-,-,1.4,72.1,0.7,-,6.6
196,"197Simon ZollerBochum, 30, AM(LR),FW",Simon Zoller,30, AM(LR),FW,,6(4),595,3,2,3,-,1.1,78.1,0.6,-,6.6
197,"198Leandro BarreiroMainz, 22, DMC",Leandro Barreiro,22, DMC,,,20(11),1790,1,2,3,-,1,71.6,0.8,-,6.6
198,"199Genki HaraguchiUnion Berlin, 31, M(CLR)",Genki Haraguchi,31, M(CLR),,,23(7),1770,2,6,2,-,1,73.8,0.5,-,6.6
199,"200Martin HintereggerEintracht Frankfurt, 29, D(C)",Martin Hinteregger Eintracht,29, D(C),,,25(2),2222,1,-,6,-,0.6,76.9,2.2,-,6.6
200,"201Josip StanisicBayern, 22, D(R)",Josip Stanisic,22, D(R),,,6(7),646,1,-,1,-,0.3,87,0.5,1,6.59
201,"202Frederik WintherAugsburg, 21, Defender",Frederik Winther,21, Defender,,,3(1),327,-,-,1,-,-,75.2,2.5,-,6.59
202,"203Konstantinos StafylidisBochum, 28, D(LR),DMC,M(L)",Konstantinos Stafylidis,28, D(LR),DMC,M(L),14(9),1299,-,1,3,1,0.7,73.4,1,-,6.59
203,"204Sebastiaan BornauwWolfsburg, 23, D(C)",Sebastiaan Bornauw,23, D(C),,,23(4),2008,1,-,3,-,0.5,85.9,2.4,-,6.59
204,"205Dejan LjubicicFC Koln, 24, M(CR)",Dejan Ljubicic,24, M(CR),,,22(8),1975,3,1,4,-,1,73.8,0.4,-,6.59
205,"206Michaël CuisanceBayern, 22, AM(C)",Michaël Cuisance,22, AM(C),,,0(1),12,-,-,-,-,-,90.9,-,-,6.59
206,"207Niklas StarkHertha Berlin, 27, D(C),DMC",Niklas Stark,27, D(C),DMC,,22(4),2028,1,-,3,-,0.4,82.4,1.9,-,6.59
207,"208Emil ForsbergRBL, 30, AM(CLR),FW",Emil Forsberg,30, AM(CLR),FW,,20(11),1709,6,2,2,-,1.4,84.3,0.3,-,6.58
208,"209Jessic NgankamGreuther Fuerth, 21, FW",Jessic Ngankam,21, FW,,,4(2),342,2,1,-,-,1.5,58.1,1.3,-,6.58
209,"210Yannick GerhardtWolfsburg, 28, D(L),M(CL)",Yannick Gerhardt,28, D(L),M(CL),,17(10),1577,1,3,2,-,0.5,75.1,1,1,6.58
210,"211Kevin KamplRBL, 31, M(CLR)",Kevin Kampl,31, M(CLR),,,25(2),1913,-,1,4,-,0.3,91.4,0.3,-,6.58
211,"212Pavel KaderábekHoffenheim, 30, D(R),M(LR)",Pavel Kaderábek,30, D(R),M(LR),,14(5),1202,1,2,5,-,0.6,72.3,2.2,-,6.58
212,"213Kevin SchadeFreiburg, 20, M(R)",Kevin Schade,20, M(R),,,7(14),826,4,1,2,-,0.9,56.4,1.9,1,6.58
213,"214Benno SchmitzFC Koln, 27, D(CLR)",Benno Schmitz,27, D(CLR),,,29(2),2433,-,5,5,-,0.4,68.5,0.9,1,6.58
214,"215Dominik KohrMainz, 28, DMC",Dominik Kohr,28, DMC,,,19(3),1626,-,3,6,2,0.8,74.3,1.2,1,6.58
215,"216Péter GulácsiRBL, 32, GK",Péter Gulácsi,32, GK,,,33,2967,-,-,1,-,-,77.9,0.2,1,6.58
216,"217Fabian BredlowStuttgart, 27, GK",Fabian Bredlow,27, GK,,,4,360,-,-,-,-,-,87.9,0.3,-,6.58
217,"218Makoto HasebeEintracht Frankfurt, 38, D(CR),M(CR)",Makoto Hasebe Eintracht,38, D(CR),M(CR),,12(6),1184,-,-,1,-,-,86.6,1.1,-,6.57
218,"219Arne MaierAugsburg, 23, DMC",Arne Maier,23, DMC,,,21(8),1871,1,6,-,-,0.6,77.1,0.6,-,6.57
219,"220Branimir HrgotaGreuther Fuerth, 29, AM(LR),FW",Branimir Hrgota,29, AM(LR),FW,,33(1),2789,9,5,4,-,1.9,75,0.5,3,6.57
220,"221Fabian KlosArminia Bielefeld, 34, FW",Fabian Klos,34, FW,,,14(11),1423,3,1,2,1,1.6,51.1,4.6,1,6.57
221,"222Erik DurmEintracht Frankfurt, 30, D(LR),M(LR)",Erik Durm Eintracht,30, D(LR),M(LR),,7,478,-,1,1,-,0.1,66.8,0.4,-,6.57
222,"223Stefan PoschHoffenheim, 25, D(CR)",Stefan Posch,25, D(CR),,,26(2),2203,2,-,5,-,0.5,80.9,1.5,-,6.57
223,"224Armel Bella KotchapBochum, 20, D(C)",Armel Bella Kotchap,20, D(C),,,19(2),1679,-,-,4,-,0.4,76.5,1.7,1,6.56
224,"225Ishak BelfodilHertha Berlin, 30, AM(LR),FW",Ishak Belfodil,30, AM(LR),FW,,17(9),1643,5,2,1,-,1.2,71.1,1.5,-,6.56
225,"226Timo HornFC Koln, 29, GK",Timo Horn,29, GK,,,13,1170,-,-,-,-,-,76.5,0.2,1,6.56
226,"227Nico ElvediBorussia M.Gladbach, 25, D(CLR)",Nico Elvedi,25, D(CLR),,,28,2432,1,-,3,1,0.5,92.1,2.6,-,6.55
227,"228Vladimír DaridaHertha Berlin, 31, M(CLR),FW",Vladimír Darida,31, M(CLR),FW,,23(2),1799,2,5,6,-,1,75.8,0.6,1,6.55
228,"229Luca KilianFC Koln, 22, D(C)",Luca Kilian,22, D(C),,,25(5),2282,1,-,3,-,0.2,84,1.5,-,6.55
229,"230Marco MeyerhöferGreuther Fuerth, 26, D(R),M(R)",Marco Meyerhöfer,26, D(R),M(R),,25(1),2281,1,-,-,-,0.4,73.1,0.9,-,6.55
230,"231Odilon KossounouLeverkusen, 21, D(CR)",Odilon Kossounou,21, D(CR),,,20(7),1791,-,1,3,-,0.1,82.4,1.1,-,6.55
231,"232Yussuf PoulsenRBL, 27, AM(R),FW",Yussuf Poulsen,27, AM(R),FW,,12(13),1078,6,-,2,-,1.1,66.3,1.1,-,6.55
232,"233Munas DabburHoffenheim, 30, AM(C),FW",Munas Dabbur,30, AM(C),FW,,17(10),1317,3,3,5,-,1.2,73.5,0.7,-,6.54
233,"234Hamadi Al GhaddiouiStuttgart, 31, FW",Hamadi Al Ghaddioui,31, FW,,,7(3),500,2,2,2,-,1.2,68.5,1.7,1,6.54
234,"235Andreas LindeGreuther Fuerth, 28, GK",Andreas Linde,28, GK,,,12,1080,-,-,-,-,-,60.1,0.4,-,6.54
235,"236Rafal GikiewiczAugsburg, 34, GK",Rafal Gikiewicz,34, GK,,,34,3060,-,-,-,-,-,62.9,0.4,1,6.54
236,"237Jean-Paul BoëtiusMainz, 28, AM(CL),FW",Jean-Paul Boëtius,28, AM(CL),FW,,19(14),1802,2,2,3,-,0.7,77.6,0.2,-,6.54
237,"238Rafael CzichosFC Koln, 32, D(C)",Rafael Czichos,32, D(C),,,16(1),1404,-,1,4,-,0.1,81.8,2.5,-,6.54
238,"239Marcus ThuramBorussia M.Gladbach, 24, AM(L),FW",Marcus Thuram,24, AM(L),FW,,8(12),885,3,-,2,-,1.6,72.9,1.6,2,6.54
239,"240Alessandro SchöpfArminia Bielefeld, 28, M(CLR)",Alessandro Schöpf,28, M(CLR),,,27(4),2407,1,-,1,1,1.1,79.9,0.7,-,6.54
240,"241Omar RichardsBayern, 24, D(L),M(L)",Omar Richards,24, D(L),M(L),,5(7),437,-,-,1,-,0.3,86.5,0.2,-,6.54
241,"242Orel MangalaStuttgart, 24, M(C)",Orel Mangala,24, M(C),,,22(6),1863,1,3,4,-,0.6,83.6,0.4,-,6.53
242,"243Andrés AndradeArminia Bielefeld, 23, D(CL)",Andrés Andrade,23, D(CL),,,12(5),1046,-,-,4,-,0.4,69.4,1.6,-,6.53
243,"244Roland SallaiFreiburg, 25, AM(CLR),FW",Roland Sallai,25, AM(CLR),FW,,18(13),1560,4,4,1,-,1.5,70.2,0.7,1,6.53
244,"245Timothy TillmanGreuther Fuerth, 23, AM(C)",Timothy Tillman,23, AM(C),,,23(6),2018,1,2,3,-,0.8,76.7,0.4,-,6.53
245,"246Sardar AzmounLeverkusen, 27, FW",Sardar Azmoun,27, FW,,,4(5),358,1,1,-,-,1.2,76,0.8,1,6.53
246,"247Masaya OkugawaArminia Bielefeld, 26, AM(CL),FW",Masaya Okugawa,26, AM(CL),FW,,30(3),2545,8,1,-,-,1,62.6,0.7,-,6.52
247,"248Tanguy NianzouBayern, 19, D(C)",Tanguy Nianzou,19, D(C),,,6(11),577,1,1,4,-,0.4,91.2,1.2,-,6.52
248,"249Dedryck BoyataHertha Berlin, 31, D(C)",Dedryck Boyata,31, D(C),,,22(1),1900,-,-,1,1,0.4,84.1,2.3,-,6.52
249,"250Julian RyersonUnion Berlin, 24, D(R),M(CR)",Julian Ryerson,24, D(R),M(CR),,13(15),1421,2,-,3,-,0.6,74.6,0.6,1,6.52
250,"251Micky van de VenWolfsburg, 21, Defender",Micky van de Ven,21, Defender,,,2(3),189,-,1,-,-,-,85.9,1.2,-,6.52
251,"252Kingsley EhizibueFC Koln, 27, D(R),M(R)",Kingsley Ehizibue,27, D(R),M(R),,6(10),675,-,1,2,-,0.4,72.6,0.8,-,6.52
252,"253Marc RocaBayern, 25, DMC",Marc Roca,25, DMC,,,4(5),378,-,-,-,-,0.6,88,-,-,6.51
253,"254Milos PantovicBochum, 25, AM(CLR)",Milos Pantovic,25, AM(CLR),,,18(10),1539,4,3,2,-,0.8,68.2,0.4,2,6.51
254,"255Christopher LenzEintracht Frankfurt, 27, D(L),M(L)",Christopher Lenz Eintracht,27, D(L),M(L),,6(9),659,-,1,6,-,0.4,76.2,0.9,-,6.51
255,"256Dan-Axel ZagadouBorussia Dortmund, 23, D(CL)",Dan-Axel Zagadou,23, D(CL),,,10(5),950,-,-,2,-,0.3,88.2,2.5,-,6.51
256,"257Aster VranckxWolfsburg, 19, M(C)",Aster Vranckx,19, M(C),,,12(12),1139,2,-,2,-,1,79.6,0.5,-,6.51
257,"258Jeong Woo-YeongFreiburg, 22, AM(CR),FW",Jeong Woo-Yeong,22, AM(CR),FW,,23(9),1795,5,2,1,-,1.6,74.5,0.5,1,6.51
258,"259Jérôme RoussillonWolfsburg, 29, D(L),M(L)",Jérôme Roussillon,29, D(L),M(L),,18(8),1779,1,-,5,-,0.5,75.1,0.5,1,6.5
259,"260Marco RichterHertha Berlin, 24, AM(CLR),FW",Marco Richter,24, AM(CLR),FW,,19(11),1716,5,1,6,-,1.5,70.5,0.3,2,6.5
260,"261Nico SchulzBorussia Dortmund, 29, D(L),M(L)",Nico Schulz,29, D(L),M(L),,9(7),834,-,2,2,-,0.2,84.8,0.5,-,6.5
261,"262Michael EsserBochum, 34, GK",Michael Esser,34, GK,,,3,270,-,-,-,-,-,57.3,0.3,-,6.49
262,"263Pavao PervanWolfsburg, 34, GK",Pavao Pervan,34, GK,,,6,540,-,-,-,-,-,72.7,0.5,1,6.49
263,"264Marvin FriedrichBorussia M.Gladbach, 26, D(C)",Marvin Friedrich,26, D(C),,,7(1),600,-,-,1,-,0.6,89,2.4,-,6.49
264,"265Ondrej DudaFC Koln, 27, AM(C),FW",Ondrej Duda,27, AM(C),FW,,20(11),1618,2,-,5,-,1.4,75.2,0.5,1,6.49
265,"266Eric Choupo-MotingBayern, 33, M(CLR),FW",Eric Choupo-Moting,33, M(CLR),FW,,1(19),363,4,2,-,-,0.8,75,0.5,-,6.49
266,"267Pascal StenzelStuttgart, 26, D(CR),M(R)",Pascal Stenzel,26, D(CR),M(R),,9(7),894,-,-,1,-,0.4,82.6,0.8,-,6.49
267,"268Lucas TousartHertha Berlin, 25, DMC",Lucas Tousart,25, DMC,,,22(8),1961,2,-,3,-,0.8,72.8,1.3,-,6.49
268,"269Angelo StillerHoffenheim, 21, DMC",Angelo Stiller,21, DMC,,,18(8),1692,2,1,1,-,0.6,83.8,1.1,-,6.48
269,"270Dodi LukébakioWolfsburg, 24, AM(CLR),FW",Dodi Lukébakio,24, AM(CLR),FW,,7(12),873,1,2,2,-,0.9,79,0.6,-,6.48
270,"271Danny BlumBochum, 31, AM(LR),FW",Danny Blum,31, AM(LR),FW,,2(11),339,2,-,-,-,0.8,69.7,1.1,-,6.48
271,"272Alfred FinnbogasonAugsburg, 33, FW",Alfred Finnbogason,33, FW,,,3(7),288,2,1,-,-,0.6,62.1,0.4,1,6.48
272,"273Joe ScallyBorussia M.Gladbach, 19, D(R),M(R)",Joe Scally,19, D(R),M(R),,20(10),1905,1,2,4,-,0.6,78.5,0.6,-,6.48
273,"274Rubén VargasAugsburg, 23, AM(CLR),FW",Rubén Vargas,23, AM(CLR),FW,,26(3),2005,1,3,4,-,1.4,71.8,0.4,-,6.48
274,"275Jonathan SchmidFreiburg, 31, D(R),M(CLR)",Jonathan Schmid,31, D(R),M(CLR),,6(7),583,-,1,-,-,0.4,78.9,0.6,-,6.47
275,"276Kevin AkpogumaHoffenheim, 27, D(CR),M(R)",Kevin Akpoguma,27, D(CR),M(R),,19(7),1535,2,2,5,-,0.5,75.3,0.7,-,6.47
276,"277Delano BurgzorgMainz, 23, AM(L)",Delano Burgzorg,23, AM(L),,,0(3),24,1,-,-,-,0.7,100,-,-,6.47
277,"278Bouna SarrBayern, 30, D(R),M(CLR)",Bouna Sarr,30, D(R),M(CLR),,0(5),59,-,-,-,-,0.2,75,-,-,6.46
278,"279Anderson LucoquiMainz, 24, D(L),M(L)",Anderson Lucoqui,24, D(L),M(L),,9(4),743,1,-,2,-,0.6,60.3,0.5,1,6.46
279,"280Andreas LutheUnion Berlin, 35, GK",Andreas Luthe,35, GK,,,27,2430,-,-,3,-,-,61.8,0.3,1,6.45
280,"281Marius WolfBorussia Dortmund, 27, D(R),M(CLR)",Marius Wolf,27, D(R),M(CLR),,15(12),1324,3,1,4,-,0.7,78.1,0.3,-,6.45
281,"282Takuma AsanoBochum, 27, AM(CLR),FW",Takuma Asano,27, AM(CLR),FW,,20(7),1618,3,4,1,-,1.2,68.7,0.6,1,6.45
282,"283Jacob LaursenArminia Bielefeld, 27, D(L)",Jacob Laursen,27, D(L),,,20(4),1641,2,-,1,-,0.3,71.3,0.8,1,6.45
283,"284Manuel PrietlArminia Bielefeld, 30, M(C)",Manuel Prietl,30, M(C),,,23(3),2122,-,1,3,-,0.7,78.8,1,-,6.45
284,"285Jan ThielmannFC Koln, 20, AM(CLR),FW",Jan Thielmann,20, AM(CLR),FW,,10(19),1182,3,3,6,-,0.5,62.5,0.7,-,6.45
285,"286Peter PekaríkHertha Berlin, 35, D(LR),M(R)",Peter Pekarík,35, D(LR),M(R),,26(1),2239,-,-,1,-,0.4,76.8,1,-,6.44
286,"287Gian-Luca ItterGreuther Fuerth, 23, D(CL)",Gian-Luca Itter,23, D(CL),,,16(8),1453,-,1,3,-,0.2,76.1,0.7,-,6.44
287,"288Sebastian VasiliadisArminia Bielefeld, 24, M(C)",Sebastian Vasiliadis,24, M(C),,,16(3),1199,-,-,3,-,0.6,64.8,0.9,-,6.44
288,"289Steffen TiggesBorussia Dortmund, 23, Forward",Steffen Tigges,23, Forward,,,0(9),105,3,-,-,-,0.4,53.8,0.3,-,6.43
289,"290Jamie LewelingGreuther Fuerth, 21, AM(R),FW",Jamie Leweling,21, AM(R),FW,,22(11),1959,5,1,3,-,1.3,65.9,0.4,1,6.43
290,"291Luca NetzBorussia M.Gladbach, 19, D(L),M(L)",Luca Netz,19, D(L),M(L),,16(7),1313,-,3,1,-,0.6,74.6,0.3,-,6.43
291,"292Kristijan JakicEintracht Frankfurt, 25, DMC",Kristijan Jakic Eintracht,25, DMC,,,21(5),1883,1,-,6,-,1.2,74.9,1.3,-,6.43
292,"293Elvis RexhbecajBochum, 24, M(C)",Elvis Rexhbecaj,24, M(C),,,29(2),2469,-,-,5,-,1,68.2,0.9,-,6.43
293,"294Jürgen LocadiaBochum, 28, AM(LR),FW",Jürgen Locadia,28, AM(LR),FW,,4(7),442,2,1,-,-,1.6,75.8,0.6,-,6.43
294,"295Florian NiederlechnerAugsburg, 31, AM(CR),FW",Florian Niederlechner,31, AM(CR),FW,,13(13),1153,5,3,1,-,1.1,71.8,0.8,-,6.43
295,"296Alexander SchwolowHertha Berlin, 30, GK",Alexander Schwolow,30, GK,,,25,2176,-,-,1,-,-,67.6,0.2,1,6.43
296,"297Sebastian RodeEintracht Frankfurt, 31, D(R),M(C)",Sebastian Rode Eintracht,31, D(R),M(C),,10(7),763,1,-,1,-,0.4,81.6,0.5,-,6.42
297,"298Clinton MolaStuttgart, 21, D(L)",Clinton Mola,21, D(L),,,1(2),113,-,-,-,-,-,89,1.7,-,6.42
298,"299Hannes WolfBorussia M.Gladbach, 23, M(CLR)",Hannes Wolf,23, M(CLR),,,2(5),306,-,-,2,-,0.9,72.8,0.3,-,6.42
299,"300Aymen BarkokEintracht Frankfurt, 24, AM(CR)",Aymen Barkok Eintracht,24, AM(CR),,,2(3),159,-,-,-,-,0.4,78,1.4,-,6.42
300,"301Nils PetersenFreiburg, 33, FW",Nils Petersen,33, FW,,,3(19),568,5,1,-,-,0.6,61.7,1,-,6.42
301,"302Sebastian GriesbeckGreuther Fuerth, 31, D(C),DMC",Sebastian Griesbeck,31, D(C),DMC,,28(1),2441,1,-,7,-,0.2,78.7,1.9,-,6.42
302,"303Tyler AdamsRBL, 23, D(R),M(CR)",Tyler Adams,23, D(R),M(CR),,12(12),1345,-,1,5,-,0.1,87.1,0.8,-,6.41
303,"304Stefan LainerBorussia M.Gladbach, 29, D(R),M(R)",Stefan Lainer,29, D(R),M(R),,18(2),1389,1,1,2,-,0.6,73.1,0.7,-,6.41
304,"305Jorge MeréFC Koln, 25, D(C)",Jorge Meré,25, D(C),,,5(3),489,-,-,2,-,-,84.2,1.8,-,6.41
305,"306Manuel GuldeFreiburg, 31, D(C)",Manuel Gulde,31, D(C),,,14(6),1230,-,-,2,-,-,83.2,1.3,-,6.41
306,"307Philipp FörsterStuttgart, 27, M(CLR),FW",Philipp Förster,27, M(CLR),FW,,11(9),970,2,1,4,-,1.5,85.9,0.5,-,6.41
307,"308Lucas AlarioLeverkusen, 29, FW",Lucas Alario,29, FW,,,5(22),642,6,-,2,-,0.9,67.3,0.7,-,6.4
308,"309Fabian KunzeArminia Bielefeld, 23, DMC",Fabian Kunze,23, DMC,,,13(9),1260,-,-,9,-,0.5,75.7,1.7,-,6.4
309,"310Maximilian PhilippWolfsburg, 28, AM(CLR),FW",Maximilian Philipp,28, AM(CLR),FW,,12(10),969,1,4,2,-,0.7,81.4,0.4,-,6.4
310,"311Paul SeguinGreuther Fuerth, 27, D(R),DMC",Paul Seguin,27, D(R),DMC,,23(4),2110,-,3,9,-,0.4,78.3,1.1,-,6.4
311,"312Florian MüllerStuttgart, 24, GK",Florian Müller,24, GK,,,30,2700,-,-,-,-,-,81.6,0.3,-,6.4
312,"313Philipp PentkeHoffenheim, 37, GK",Philipp Pentke,37, GK,,,1,90,-,-,-,-,-,76.5,-,-,6.4
313,"314Mads PedersenAugsburg, 25, D(L),M(L)",Mads Pedersen,25, D(L),M(L),,15(14),1392,2,1,5,-,0.7,66.4,0.2,-,6.4
314,"315Renato SteffenWolfsburg, 30, M(CLR)",Renato Steffen,30, M(CLR),,,13(7),972,-,1,6,-,0.7,76.4,0.9,-,6.39
315,"316Nick ViergeverGreuther Fuerth, 32, D(CL),DMC",Nick Viergever,32, D(CL),DMC,,24,2134,-,-,2,-,0.1,80.6,1.1,1,6.39
316,"317Robert GumnyAugsburg, 24, D(CLR)",Robert Gumny,24, D(CLR),,,27(1),2278,-,-,3,-,0.3,76,1.3,-,6.39
317,"318Herbert BockhornBochum, 27, D(R),M(R)",Herbert Bockhorn,27, D(R),M(R),,6(11),751,-,-,1,-,0.4,69.4,0.6,-,6.39
318,"319Felix PasslackBorussia Dortmund, 24, D(LR),M(CR)",Felix Passlack,24, D(LR),M(CR),,5(5),470,1,-,-,-,0.3,81.9,0.1,-,6.39
319,"320Marin PongracicBorussia Dortmund, 24, D(C)",Marin Pongracic,24, D(C),,,9(8),823,-,-,3,-,-,85.9,0.6,-,6.39
320,"321Sascha BurchertGreuther Fuerth, 32, GK",Sascha Burchert,32, GK,,,14,1260,-,-,-,-,-,56.2,0.2,2,6.38
321,"322Dominique HeintzUnion Berlin, 28, D(CL)",Dominique Heintz,28, D(CL),,,7,474,-,-,-,-,0.1,79.7,1,-,6.38
322,"323Sebastian AnderssonFC Koln, 30, FW",Sebastian Andersson,30, FW,,,13(13),1254,3,1,3,-,1.3,65.2,2,1,6.38
323,"324Patrick HerrmannBorussia M.Gladbach, 31, M(LR),FW",Patrick Herrmann,31, M(LR),FW,,5(18),744,-,4,1,-,0.6,75.7,0.2,-,6.38
324,"325Marcel SabitzerBayern, 28, M(CLR),FW",Marcel Sabitzer,28, M(CLR),FW,,8(17),900,1,1,-,-,0.8,82.4,0.5,-,6.38
325,"326Justin HoogmaGreuther Fuerth, 23, D(C)",Justin Hoogma,23, D(C),,,3,270,-,-,1,-,0.3,79.5,3.3,-,6.38
326,"327Jeremy DudziakGreuther Fuerth, 26, D(LR),M(CL)",Jeremy Dudziak,26, D(LR),M(CL),,15(7),1139,2,-,1,-,0.7,70.6,0.4,1,6.38
327,"328Edimilson FernandesArminia Bielefeld, 26, M(CR)",Edimilson Fernandes,26, M(CR),,,2(5),282,-,-,-,-,0.6,80.2,0.7,-,6.38
328,"329Dodi LukébakioHertha Berlin, 24, AM(CLR),FW",Dodi Lukébakio,24, AM(CLR),FW,,2(1),176,1,-,-,-,1.3,65.7,0.3,-,6.37
329,"330Roberto MassimoStuttgart, 21, M(R)",Roberto Massimo,21, M(R),,,11(8),879,2,-,-,-,1.1,76.8,0.2,-,6.37
330,"331Julian ChabotFC Koln, 24, D(C)",Julian Chabot,24, D(C),,,2(2),208,-,-,1,-,-,78.3,2.3,-,6.37
331,"332Ajdin HrusticEintracht Frankfurt, 25, M(CLR)",Ajdin Hrustic Eintracht,25, M(CLR),,,9(14),960,2,-,2,-,1.3,81.8,0.3,1,6.37
332,"333Andreas VoglsammerUnion Berlin, 30, AM(LR),FW",Andreas Voglsammer,30, AM(LR),FW,,5(27),865,2,1,1,-,1,62.6,1.1,-,6.37
333,"334Tobias StroblAugsburg, 32, D(CR),DMC",Tobias Strobl,32, D(CR),DMC,,4(1),325,-,-,1,-,0.4,70.7,1.4,-,6.37
334,"335Hans Nunoo SarpeiGreuther Fuerth, 23, D(C),DMC",Hans Nunoo Sarpei,23, D(C),DMC,,7(1),643,-,-,2,-,0.4,81.1,1.3,-,6.36
335,"336Timothy ChandlerEintracht Frankfurt, 32, D(R),M(LR)",Timothy Chandler Eintracht,32, D(R),M(LR),,15(2),1218,-,-,4,-,0.8,62.4,0.8,-,6.36
336,"337Marcus IngvartsenMainz, 26, AM(CR),FW",Marcus Ingvartsen,26, AM(CR),FW,,6(20),668,6,-,2,-,1,70.2,0.7,1,6.36
337,"338Mike van der HoornArminia Bielefeld, 29, D(C)",Mike van der Hoorn,29, D(C),,,0(1),13,-,-,-,-,-,100,-,-,6.36
338,"339Sebastian RudyHoffenheim, 32, D(R),M(CR)",Sebastian Rudy,32, D(R),M(CR),,7(14),764,3,1,5,-,0.7,77.8,0.3,-,6.36
339,"340Marcel LotkaHertha Berlin, 21, GK",Marcel Lotka,21, GK,,,9(1),884,-,-,1,-,-,54.9,0.7,1,6.36
340,"341Jetro WillemsGreuther Fuerth, 28, D(L),DMC,M(L)",Jetro Willems,28, D(L),DMC,M(L),20(4),1612,1,-,5,-,0.5,75.9,0.8,-,6.36
341,"342Sven MichelUnion Berlin, 31, AM(L),FW",Sven Michel,31, AM(L),FW,,2(11),330,3,1,2,-,0.7,59,1,-,6.35
