,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
39,"40Mark UthFC Koln, 30, AM(CR),FW",Mark Uth,30, AM(CR),FW,,24(6),2041,5,8,3,-,2.3,75.6,0.7,2,7.0
40,"41Kouadio KonéBorussia M.Gladbach, 21, DMC",Kouadio Koné,21, DMC,,,25(1),2107,2,-,9,-,1.1,85.5,0.8,1,6.99
41,"42Maximilian ArnoldWolfsburg, 28, M(CR)",Maximilian Arnold,28, M(CR),,,34,2996,4,2,4,-,1.1,83.2,1,2,6.99
42,"43Ellyes SkhiriFC Koln, 27, DMC",Ellyes Skhiri,27, DMC,,,20(2),1820,4,1,3,-,1,84.6,1.6,2,6.98
43,"44Kerem DemirbayLeverkusen, 28, M(C)",Kerem Demirbay,28, M(C),,,23(6),2053,1,4,10,-,1.3,81.6,0.4,2,6.98
44,"45Dayot UpamecanoBayern, 23, D(C)",Dayot Upamecano,23, D(C),,,25(3),2210,1,6,4,-,0.4,90.1,2.2,2,6.98
45,"46Alexander HackMainz, 28, D(C)",Alexander Hack,28, D(C),,,24(4),2078,3,1,6,1,0.8,79.3,2.4,2,6.97
46,"47Jonas HectorFC Koln, 32, D(L),M(CL)",Jonas Hector,32, D(L),M(CL),,30,2556,-,6,3,-,0.6,77.7,1.7,1,6.97
47,"48Christopher TrimmelUnion Berlin, 35, D(CR),M(R)",Christopher Trimmel,35, D(CR),M(R),,23(2),1996,2,-,5,-,0.8,68.1,1.2,1,6.97
48,"49Benjamin HübnerHoffenheim, 32, D(C)",Benjamin Hübner,32, D(C),,,5,378,1,-,2,-,1.6,84.6,2.8,-,6.96
49,"50Anthony LosillaBochum, 36, D(C),DMC",Anthony Losilla,36, D(C),DMC,,32,2847,2,-,5,-,1.1,76.9,3.7,2,6.96
50,"51AngeliñoRBL, 25, D(L),M(L)",Angeliño,25, D(L),M(L),,26(3),2299,2,5,3,-,0.4,76.7,0.4,-,6.95
51,"52Omar MarmoushStuttgart, 23, AM(L),FW",Omar Marmoush,23, AM(L),FW,,19(2),1584,3,5,3,-,2.3,71.2,1.3,1,6.95
52,"53Jamal MusialaBayern, 19, M(CL)",Jamal Musiala,19, M(CL),,,12(18),1458,5,5,2,-,1.4,84.8,0.2,-,6.94
53,"54Jonathan TahLeverkusen, 26, D(C)",Jonathan Tah,26, D(C),,,33,2882,2,3,4,-,0.5,88.2,2.9,2,6.94
54,"55Lucas HernándezBayern, 26, D(CL)",Lucas Hernández,26, D(CL),,,25,2041,-,1,7,-,0.2,89.6,1.6,-,6.94
55,"56Max KruseWolfsburg, 34, M(CLR),FW",Max Kruse,34, M(CLR),FW,,14,1138,7,1,-,-,1.5,74.7,0.7,1,6.94
56,"57Anton StachMainz, 23, DMC",Anton Stach,23, DMC,,,20(9),1864,1,6,6,-,1.7,72.7,1.9,4,6.93
57,"58Marcel HalstenbergRBL, 30, D(CL),M(L)",Marcel Halstenberg,30, D(CL),M(L),,5(3),506,1,-,-,-,0.6,87.3,1,-,6.93
