,Player,Name,Age,position1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
178,"179Pierre-Emerick AubameyangArsenal, 32, M(CLR),FW",Pierre-Emerick Aubameyang,32, M(CLR),FW,,12(2),1040,4,1,3,-,2.5,70.1,1.8,1,6.74
179,"180JonnyWolves, 28, D(CLR),M(LR)",Jonny,28, D(CLR),M(LR),,10(3),1023,2,-,1,-,0.8,83,0.8,-,6.74
180,"181Asmir BegovicEverton, 34, GK",Asmir Begovic,34, GK,,,3,270,-,-,-,-,-,43.8,1.7,1,6.74
181,"182Bryan MbeumoBrentford, 22, AM(LR),FW",Bryan Mbeumo,22, AM(LR),FW,,34(1),2916,4,7,4,-,2.2,69,0.8,1,6.74
182,"183Çaglar SöyüncüLeicester, 26, D(C)",Çaglar Söyüncü,26, D(C),,,28,2498,1,-,5,-,0.3,84.6,3.3,1,6.74
183,"184Kasper SchmeichelLeicester, 35, GK",Kasper Schmeichel,35, GK,,,37,3330,-,-,2,-,-,69.7,0.3,2,6.74
184,"185Tyrone MingsAston Villa, 29, D(CL)",Tyrone Mings,29, D(CL),,,35(1),3188,1,3,11,-,0.6,79.6,2.3,2,6.74
185,"186Alexandre LacazetteArsenal, 31, M(CLR),FW",Alexandre Lacazette,31, M(CLR),FW,,20(10),1789,4,7,-,-,1.5,76.4,0.7,2,6.74
186,"187Valentino LivramentoSouthampton, 19, D(R)",Valentino Livramento,19, D(R),,,25(3),2203,1,1,2,-,0.4,78.6,0.9,1,6.73
187,"188Lewis DunkBrighton, 30, D(C)",Lewis Dunk,30, D(C),,,29,2574,1,-,2,1,0.7,88.4,2.8,1,6.73
188,"189Kyle WalkerMan City, 32, D(CR),M(R)",Kyle Walker,32, D(CR),M(R),,20,1756,-,2,1,-,0.4,90.3,1,-,6.73
189,"190Kristoffer AjerBrentford, 24, D(CR),DMC",Kristoffer Ajer,24, D(CR),DMC,,23(1),1987,1,3,5,-,0.3,69.7,2,-,6.73
190,"191Vitaly JaneltBrentford, 24, DMC",Vitaly Janelt,24, DMC,,,27(4),2309,4,-,3,-,1,77.9,1.1,2,6.73
191,"192Cheikhou KouyatéCrystal Palace, 32, D(CR),DMC",Cheikhou Kouyaté,32, D(CR),DMC,,23(4),1978,-,1,3,-,0.3,82,1.9,-,6.73
192,"193Grant HanleyNorwich, 30, D(C)",Grant Hanley,30, D(C),,,33,2899,1,-,2,-,0.6,83.1,3.1,3,6.73
193,"194Abdoulaye DoucouréEverton, 29, M(C)",Abdoulaye Doucouré,29, M(C),,,29(1),2538,2,4,6,-,1.1,79.6,1.2,1,6.72
194,"195Jeffrey SchluppCrystal Palace, 29, D(L),M(CLR)",Jeffrey Schlupp,29, D(L),M(CLR),,20(12),1846,4,1,1,-,1,76.3,1,1,6.72
195,"196Che AdamsSouthampton, 25, AM(CL),FW",Che Adams,25, AM(CL),FW,,23(7),2043,7,3,-,-,1.6,65.7,2.1,1,6.72
196,"197Michael KeaneEverton, 29, D(CR)",Michael Keane,29, D(CR),,,31(1),2793,3,2,2,1,0.6,76.5,3,1,6.72
197,"198Chris WoodNewcastle, 30, FW",Chris Wood,30, FW,,,15(2),1328,2,-,-,-,1.2,52.5,6.6,-,6.72
198,"199Joel WardCrystal Palace, 32, D(LR),DMC,M(R)",Joel Ward,32, D(LR),DMC,M(R),27(1),2486,-,-,8,-,0.4,79.2,2.1,-,6.72
199,"200Adam WebsterBrighton, 27, D(C)",Adam Webster,27, D(C),,,16(6),1432,2,-,5,-,0.4,81,2.5,2,6.72
200,"201Matt TargettAston Villa, 26, D(L),M(L)",Matt Targett,26, D(L),M(L),,17,1434,1,1,2,-,0.4,73.7,1.9,-,6.71
201,"202Timothy CastagneLeicester, 26, D(CLR),M(LR)",Timothy Castagne,26, D(CLR),M(LR),,22(5),2126,1,-,1,-,0.3,82,1.4,-,6.71
202,"203Andros TownsendEverton, 30, AM(LR),FW",Andros Townsend,30, AM(LR),FW,,17(4),1459,3,2,3,-,1,78.1,0.3,2,6.71
203,"204Erik PietersBurnley, 33, D(L),M(L)",Erik Pieters,33, D(L),M(L),,8(4),727,-,1,1,-,0.6,67.7,1,-,6.71
204,"205James JustinLeicester, 24, D(CLR),M(LR)",James Justin,24, D(CLR),M(LR),,11(2),997,-,-,-,-,0.4,80.6,1,-,6.7
205,"206EdersonMan City, 28, GK",Ederson,28, GK,,,37,3330,-,-,3,-,-,88.8,0.3,-,6.7
206,"207Craig DawsonWest Ham, 32, D(CR)",Craig Dawson,32, D(CR),,,30(4),2754,2,2,4,1,0.7,80.9,2.8,-,6.7
207,"208Fraser ForsterSouthampton, 34, GK",Fraser Forster,34, GK,,,19,1710,-,-,1,-,-,54.7,0.4,1,6.7
208,"209FernandinhoMan City, 37, D(CR),DMC",Fernandinho,37, D(CR),DMC,,10(9),960,2,1,1,-,0.9,88.8,1.2,-,6.7
209,"210Fabian SchärNewcastle, 30, D(C)",Fabian Schär,30, D(C),,,25,2161,2,2,4,-,0.8,69.6,1.8,1,6.7
210,"211Anthony GordonEverton, 21, AM(LR)",Anthony Gordon,21, AM(LR),,,25(10),2285,4,2,4,-,1.3,74.2,0.5,2,6.7
211,"212Leo Fuhr HjeldeLeeds, 18, D(C)",Leo Fuhr Hjelde,18, D(C),,,0(2),148,-,-,-,-,-,68.8,1.5,-,6.7
212,"213Vitalii MykolenkoEverton, 23, D(CL),M(L)",Vitalii Mykolenko,23, D(CL),M(L),,12(1),1056,1,-,-,-,0.6,73.4,0.8,1,6.69
213,"214Joshua KingWatford, 30, AM(CLR),FW",Joshua King,30, AM(CLR),FW,,27(5),2251,5,3,5,-,1.6,72.9,3.1,2,6.69
214,"215Danny WelbeckBrighton, 31, AM(CLR),FW",Danny Welbeck,31, AM(CLR),FW,,15(10),1477,6,2,-,-,1.7,77.7,1.9,-,6.69
215,"216João MoutinhoWolves, 35, M(C)",João Moutinho,35, M(C),,,34(1),2975,2,1,4,-,0.6,86.7,0.4,2,6.69
216,"217Maxwel CornetBurnley, 25, D(L),M(LR),FW",Maxwel Cornet,25, D(L),M(LR),FW,21(5),1778,9,1,2,-,1.8,70.6,0.9,1,6.69
217,"218Moussa SissokoWatford, 32, M(CR)",Moussa Sissoko,32, M(CR),,,36,3221,2,1,5,-,0.7,78.3,1.8,-,6.68
218,"219Vicente GuaitaCrystal Palace, 35, GK",Vicente Guaita,35, GK,,,30,2656,-,-,2,-,-,74.9,0.3,1,6.68
219,"220Arthur MasuakuWest Ham, 28, D(L),M(L)",Arthur Masuaku,28, D(L),M(L),,6(7),645,1,1,1,-,0.3,79.9,1.2,-,6.68
220,"221Ryan SessegnonTottenham, 22, D(L),M(LR)",Ryan Sessegnon,22, D(L),M(LR),,13(2),1054,-,2,2,-,0.4,76.8,0.7,-,6.68
221,"222Kiernan Dewsbury-HallLeicester, 23, M(C)",Kiernan Dewsbury-Hall,23, M(C),,,23(5),2106,1,2,4,-,0.8,81.2,0.6,1,6.68
222,"223Christian PulisicChelsea, 23, M(CLR),FW",Christian Pulisic,23, M(CLR),FW,,13(9),1286,6,2,2,-,1.3,80.3,0.5,1,6.67
223,"224Jordan AyewCrystal Palace, 30, AM(CLR),FW",Jordan Ayew,30, AM(CLR),FW,,23(8),2024,3,3,2,-,1.1,83.6,1,-,6.67
224,"225Granit XhakaArsenal, 29, D(L),M(C)",Granit Xhaka,29, D(L),M(C),,27,2331,1,2,10,1,1,86.8,1,1,6.67
225,"226Jack HarrisonLeeds, 25, AM(CLR),FW",Jack Harrison,25, AM(CLR),FW,,32(3),2652,8,1,3,-,1.2,70.5,0.5,3,6.67
226,"227Chris WoodBurnley, 30, FW",Chris Wood,30, FW,,,17,1378,3,-,1,-,1.8,58.6,5.5,-,6.66
227,"228Joachim AndersenCrystal Palace, 26, D(C)",Joachim Andersen,26, D(C),,,32(2),2915,-,3,4,-,0.2,81.6,1.6,-,6.66
228,"229Angelo OgbonnaWest Ham, 34, D(C)",Angelo Ogbonna,34, D(C),,,11,922,1,-,1,-,0.3,85.2,2.5,1,6.66
229,"230Raúl JiménezWolves, 31, FW",Raúl Jiménez,31, FW,,,30(4),2640,6,4,5,2,1.7,71.8,1.9,1,6.66
230,"231Enock MwepuBrighton, 24, M(CR)",Enock Mwepu,24, M(CR),,,12(6),997,2,4,2,-,1.1,74.5,0.5,2,6.66
231,"232Michael OliseCrystal Palace, 20, AM(CLR)",Michael Olise,20, AM(CLR),,,12(14),1138,2,5,4,-,0.7,81.4,0.3,1,6.66
232,"233Odsonne ÉdouardCrystal Palace, 24, AM(L),FW",Odsonne Édouard,24, AM(L),FW,,18(10),1567,6,3,4,-,1.4,73.7,1.4,-,6.66
233,"234Jadon SanchoMan Utd, 22, AM(CLR)",Jadon Sancho,22, AM(CLR),,,20(9),1904,3,3,-,-,0.9,83.5,0.1,1,6.66
234,"235Christian BentekeCrystal Palace, 31, FW",Christian Benteke,31, FW,,,11(14),1136,4,1,3,-,1.6,64.4,3.4,3,6.66
235,"236Édouard MendyChelsea, 30, GK",Édouard Mendy,30, GK,,,34,3060,-,-,3,-,-,82,0.3,1,6.65
236,"237Ben JohnsonWest Ham, 22, D(LR),M(L)",Ben Johnson,22, D(LR),M(L),,16(4),1401,1,-,1,-,0.3,70.8,0.8,-,6.65
237,"238Martin DúbravkaNewcastle, 33, GK",Martin Dúbravka,33, GK,,,26,2340,-,-,1,-,-,59.4,0.2,1,6.65
238,"239Pablo MaríArsenal, 28, D(C)",Pablo Marí,28, D(C),,,2,180,-,-,1,-,0.5,85.9,2.5,-,6.65
239,"240Aaron RamsdaleArsenal, 24, GK",Aaron Ramsdale,24, GK,,,34,3060,-,-,1,-,-,62.6,0.2,2,6.65
240,"241Manuel LanziniWest Ham, 29, M(CLR)",Manuel Lanzini,29, M(CLR),,,19(11),1789,5,3,2,-,0.5,91.9,0.2,1,6.65
241,"242Harry MaguireMan Utd, 29, D(C)",Harry Maguire,29, D(C),,,28(2),2514,1,-,7,1,0.8,86.4,2.5,-,6.65
242,"243Danny IngsAston Villa, 29, AM(C),FW",Danny Ings,29, AM(C),FW,,22(8),1906,7,6,4,-,1.6,69.3,0.9,2,6.65
243,"244Jean-Philippe MatetaCrystal Palace, 24, FW",Jean-Philippe Mateta,24, FW,,,13(9),1152,5,1,2,-,1.7,67.8,1.8,1,6.64
244,"245David de GeaMan Utd, 31, GK",David de Gea,31, GK,,,38,3420,-,-,-,-,-,68.9,0.2,1,6.64
245,"246Ademola LookmanLeicester, 24, AM(CLR),FW",Ademola Lookman,24, AM(CLR),FW,,16(10),1459,6,-,2,-,1,78.3,0.1,1,6.64
246,"247Conor CoadyWolves, 29, D(CR),DMC",Conor Coady,29, D(CR),DMC,,38,3364,4,-,5,-,0.3,89.7,0.8,-,6.64
247,"248Luke ShawMan Utd, 26, D(CL),M(L)",Luke Shaw,26, D(CL),M(L),,19(1),1603,-,3,8,-,0.3,84.1,1,-,6.64
248,"249Robert SánchezBrighton, 24, GK",Robert Sánchez,24, GK,,,37,3330,-,-,4,1,-,67.4,0.5,-,6.63
249,"250Nemanja MaticMan Utd, 33, DMC",Nemanja Matic,33, DMC,,,16(7),1384,-,4,3,-,0.3,87.1,1.2,-,6.63
250,"251Emiliano MartínezAston Villa, 29, GK",Emiliano Martínez,29, GK,,,36,3240,-,-,4,-,-,70.4,0.3,-,6.63
251,"252Juraj KuckaWatford, 35, M(CLR)",Juraj Kucka,35, M(CLR),,,22(4),1924,1,1,3,1,1.8,68.7,2.2,1,6.63
252,"253Alex McCarthySouthampton, 32, GK",Alex McCarthy,32, GK,,,17,1530,-,-,1,-,-,56.5,0.4,-,6.63
253,"254Wout WeghorstBurnley, 29, FW",Wout Weghorst,29, FW,,,17(3),1457,2,3,3,-,1.5,64.3,2.8,-,6.62
254,"255Adam MasinaWatford, 28, D(L),M(L)",Adam Masina,28, D(L),M(L),,13(2),1077,-,1,-,-,0.3,69.7,1.9,-,6.62
255,"256Mohamed ElyounoussiSouthampton, 27, AM(CLR),FW",Mohamed Elyounoussi,27, AM(CLR),FW,,23(7),2046,4,2,4,-,1.4,70.7,1.3,-,6.62
256,"257Yerry MinaEverton, 27, D(C)",Yerry Mina,27, D(C),,,11(2),847,-,-,3,-,0.5,80.1,2.3,-,6.61
257,"258Fabian DelphEverton, 32, D(L),M(CL)",Fabian Delph,32, D(L),M(CL),,8(3),666,-,-,2,-,0.2,84.3,0.5,-,6.61
258,"259Séamus ColemanEverton, 33, D(CR),M(R)",Séamus Coleman,33, D(CR),M(R),,30,2658,1,-,4,-,0.3,74.2,0.8,1,6.61
259,"260Dimitris GiannoulisNorwich, 26, D(L),M(L)",Dimitris Giannoulis,26, D(L),M(L),,14(4),1169,-,1,2,-,0.1,76.5,0.4,-,6.61
260,"261Illan MeslierLeeds, 22, GK",Illan Meslier,22, GK,,,38,3385,-,-,2,-,-,69,0.4,-,6.61
261,"262Connor RobertsBurnley, 26, D(LR),M(R)",Connor Roberts,26, D(LR),M(R),,19(2),1693,1,1,2,-,0.3,72.9,0.6,-,6.61
262,"263Jordan PickfordEverton, 28, GK",Jordan Pickford,28, GK,,,35,3150,-,-,2,-,-,48.1,0.3,3,6.6
263,"264Eddie NketiahArsenal, 23, FW",Eddie Nketiah,23, FW,,,8(13),825,5,1,3,-,1.4,77.7,0.4,2,6.6
264,"265James MilnerLiverpool, 36, D(LR),M(CLR)",James Milner,36, D(LR),M(CLR),,9(15),851,-,1,2,-,0.4,86,0.5,-,6.6
265,"266Divock OrigiLiverpool, 27, AM(LR),FW",Divock Origi,27, AM(LR),FW,,0(7),127,3,-,-,-,1.4,75.7,0.3,-,6.6
266,"267Benjamin MendyMan City, 27, D(L),DMC,M(L)",Benjamin Mendy,27, D(L),DMC,M(L),1,79,-,-,-,-,-,92.2,-,-,6.6
267,"268Nathan RedmondSouthampton, 28, AM(CLR),FW",Nathan Redmond,28, AM(CLR),FW,,20(7),1834,1,5,-,-,1,73.1,0.5,1,6.6
268,"269Hamza ChoudhuryLeicester, 24, DMC",Hamza Choudhury,24, DMC,,,4(2),287,-,-,1,-,0.2,82.6,1.7,-,6.6
269,"270Armando BrojaSouthampton, 20, FW",Armando Broja,20, FW,,,21(11),1981,6,-,2,-,1.4,61.4,2.8,1,6.59
270,"271Joseph WillockNewcastle, 22, M(C)",Joseph Willock,22, M(C),,,24(5),2047,2,-,-,-,1.2,81.6,0.6,1,6.59
271,"272Solly MarchBrighton, 27, M(CLR)",Solly March,27, M(CLR),,,17(14),1739,-,2,1,-,0.6,77.4,0.5,-,6.59
272,"273Emil KrafthNewcastle, 27, D(CR)",Emil Krafth,27, D(CR),,,18(2),1638,-,1,5,-,0.3,73.3,1.1,-,6.59
273,"274Matthew LowtonBurnley, 32, D(LR),M(R)",Matthew Lowton,32, D(LR),M(R),,20(5),1772,1,2,3,1,0.4,67.4,1,-,6.59
274,"275Diego LlorenteLeeds, 28, D(C),DMC",Diego Llorente,28, D(C),DMC,,28,2344,3,-,7,-,0.4,81.4,1.8,1,6.58
275,"276Callum WilsonNewcastle, 30, FW",Callum Wilson,30, FW,,,16(2),1395,8,-,4,-,1.9,68.2,1.6,3,6.58
276,"277Ismaïla SarrWatford, 24, AM(LR),FW",Ismaïla Sarr,24, AM(LR),FW,,21(1),1865,5,2,2,-,1.8,77.5,0.5,1,6.58
277,"278Alexander IwobiEverton, 26, M(CLR)",Alexander Iwobi,26, M(CLR),,,22(6),2037,2,2,1,-,0.9,79.6,0.3,1,6.58
278,"279TrincãoWolves, 22, AM(CR)",Trincão,22, AM(CR),,,16(12),1340,2,1,-,-,1.1,80.8,0.2,1,6.58
279,"280Kortney HauseAston Villa, 26, D(CL)",Kortney Hause,26, D(CL),,,4(3),397,1,-,-,-,0.3,78.8,2.9,1,6.58
280,"281Willy BolyWolves, 31, D(C)",Willy Boly,31, D(C),,,10,900,-,-,1,-,0.2,84,2,-,6.58
281,"282Francisco SierraltaWatford, 25, D(C)",Francisco Sierralta,25, D(C),,,5,428,-,-,-,-,0.2,78,3,-,6.57
282,"283RodrigoLeeds, 31, M(CLR),FW",Rodrigo,31, M(CLR),FW,,27(4),2275,6,1,9,-,1.5,75.5,0.5,1,6.57
283,"284Oliver SkippTottenham, 21, DMC",Oliver Skipp,21, DMC,,,14(4),1349,-,-,6,-,0.2,90.1,0.7,-,6.57
284,"285Jonjo ShelveyNewcastle, 30, M(C)",Jonjo Shelvey,30, M(C),,,22(2),1986,2,1,5,1,1.3,81.3,0.4,1,6.57
285,"286Vladimír CoufalWest Ham, 29, D(R),M(R)",Vladimír Coufal,29, D(R),M(R),,25(3),2211,-,4,3,1,0.4,71.4,1.2,-,6.57
286,"287Harvey ElliottLiverpool, 19, AM(CR)",Harvey Elliott,19, AM(CR),,,4(2),346,-,-,-,-,1.7,84.2,0.3,-,6.57
287,"288Kalvin PhillipsLeeds, 26, D(C),DMC",Kalvin Phillips,26, D(C),DMC,,18(2),1596,-,1,4,-,0.8,82,0.9,-,6.56
288,"289Angus GunnNorwich, 26, GK",Angus Gunn,26, GK,,,9,810,-,-,-,-,-,62.8,0.2,-,6.56
289,"290Alex Oxlade ChamberlainLiverpool, 28, M(CLR)",Alex Oxlade Chamberlain,28, M(CLR),,,9(8),787,2,1,-,-,1.2,82.3,0.3,-,6.56
290,"291Joe GomezLiverpool, 25, D(CLR)",Joe Gomez,25, D(CLR),,,4(4),331,-,1,2,-,0.1,83.3,1.3,-,6.56
291,"292Alphonse AreolaWest Ham, 29, GK",Alphonse Areola,29, GK,,,1,90,-,-,-,-,-,48.6,-,-,6.56
292,"293Anthony ElangaMan Utd, 20, AM(LR)",Anthony Elanga,20, AM(LR),,,14(7),1217,2,2,-,-,1,78.2,1.1,-,6.56
293,"294Mathias NormannNorwich, 26, M(C)",Mathias Normann,26, M(C),,,20(3),1653,1,2,6,-,1.1,71.8,1.2,1,6.56
294,"295Nathaniel ClyneCrystal Palace, 31, D(LR),M(R)",Nathaniel Clyne,31, D(LR),M(R),,15(1),1351,-,1,1,-,0.2,79.2,0.6,-,6.55
295,"296ChiquinhoWolves, 22, AM(R)",Chiquinho,22, AM(R),,,1(7),204,-,3,-,-,0.6,73.3,0.5,-,6.55
296,"297Charlie GoodeBrentford, 26, D(C)",Charlie Goode,26, D(C),,,4(2),448,-,-,3,-,0.3,70,2.5,-,6.55
297,"298Marc AlbrightonLeicester, 32, D(R),M(LR)",Marc Albrighton,32, D(R),M(LR),,11(6),1128,1,2,3,-,0.2,67.2,0.2,-,6.54
298,"299Yan ValerySouthampton, 23, D(CR),M(R)",Yan Valery,23, D(CR),M(R),,3(2),369,-,-,-,-,0.4,72.7,2.2,-,6.54
299,"300Imrân LouzaWatford, 23, M(CLR)",Imrân Louza,23, M(CLR),,,17(3),1423,-,-,6,-,0.9,77.5,0.6,-,6.54
300,"301Brandon WilliamsNorwich, 21, D(L),M(L)",Brandon Williams,21, D(L),M(L),,23(3),2123,-,1,8,-,0.2,81.8,0.5,-,6.54
301,"302Rico HenryBrentford, 24, D(L),M(L)",Rico Henry,24, D(L),M(L),,33(1),2784,3,-,2,-,0.4,74.4,0.8,-,6.54
302,"303Tariq LampteyBrighton, 21, D(R),M(R)",Tariq Lamptey,21, D(R),M(R),,16(14),1558,-,2,4,-,0.6,85.8,0.2,-,6.54
303,"304Dele AlliTottenham, 26, M(CL),FW",Dele Alli,26, M(CL),FW,,8(2),658,1,-,1,-,0.4,78.9,0.7,-,6.53
304,"305Timo WernerChelsea, 26, AM(CLR),FW",Timo Werner,26, AM(CLR),FW,,15(6),1286,4,1,1,-,2.1,78.2,0.3,-,6.53
305,"306Mason HolgateEverton, 25, D(CR),DMC,M(R)",Mason Holgate,25, D(CR),DMC,M(R),23(2),2134,2,1,7,1,0.3,68.4,2.5,-,6.53
306,"307Eberechi EzeCrystal Palace, 23, AM(CLR)",Eberechi Eze,23, AM(CLR),,,6(7),603,1,1,1,-,0.8,82.4,0.5,-,6.53
307,"308SamirWatford, 27, D(CL)",Samir,27, D(CL),,,19,1676,-,-,4,-,0.4,80.7,2.5,-,6.53
308,"309Hwang Hee-ChanWolves, 26, AM(CLR),FW",Hwang Hee-Chan,26, AM(CLR),FW,,20(10),1822,5,1,2,-,0.9,81,0.3,1,6.53
309,"310Daniel JamesMan Utd, 24, AM(LR),FW",Daniel James,24, AM(LR),FW,,2,128,-,-,-,-,2,69,0.5,-,6.53
310,"311Will HughesCrystal Palace, 27, M(CLR)",Will Hughes,27, M(CLR),,,13(3),1058,-,1,6,-,0.4,85.6,0.7,-,6.53
311,"312Andrew OmobamideleNorwich, 19, D(C)",Andrew Omobamidele,19, D(C),,,4(1),381,1,-,1,-,0.4,84.1,1,-,6.53
312,"313Cédric SoaresArsenal, 30, D(LR),M(R)",Cédric Soares,30, D(LR),M(R),,16(5),1487,1,1,3,-,0.6,83.5,0.6,1,6.53
313,"314Yoane WissaBrentford, 25, AM(L),FW",Yoane Wissa,25, AM(L),FW,,12(18),1275,7,1,-,-,1.1,68.1,0.7,-,6.52
314,"315Kelechi IheanachoLeicester, 25, AM(C),FW",Kelechi Iheanacho,25, AM(C),FW,,13(13),1263,4,5,1,-,1.2,77.4,0.6,1,6.52
315,"316Japhet TangangaTottenham, 23, D(CR)",Japhet Tanganga,23, D(CR),,,10(1),740,-,-,2,1,0.6,84.1,1.4,-,6.52
316,"317Paul DummettNewcastle, 30, D(CL)",Paul Dummett,30, D(CL),,,2(1),194,-,-,2,-,-,73.1,1.7,-,6.52
317,"318Cucho HernándezWatford, 23, AM(LR),FW",Cucho Hernández,23, AM(LR),FW,,11(14),1143,5,2,3,-,1.4,65.6,1.3,2,6.51
318,"319Stuart ArmstrongSouthampton, 30, AM(CLR)",Stuart Armstrong,30, AM(CLR),,,15(10),1470,2,-,1,-,1.5,82,0.2,-,6.51
319,"320Ben GodfreyEverton, 24, D(CLR)",Ben Godfrey,24, D(CLR),,,23,2031,-,-,6,-,0.8,76.6,1.6,-,6.51
320,"321Albert Sambi LokongaArsenal, 22, DMC",Albert Sambi Lokonga,22, DMC,,,12(7),1133,-,-,5,-,1.1,88.4,0.8,-,6.51
321,"322Adam LallanaBrighton, 34, M(CLR)",Adam Lallana,34, M(CLR),,,18(6),1561,-,1,4,-,0.8,87.1,0.6,-,6.5
322,"323Jamaal LascellesNewcastle, 28, D(C)",Jamaal Lascelles,28, D(C),,,22(4),2055,1,-,5,-,0.7,74.6,3.4,-,6.5
323,"324AllanEverton, 31, DMC",Allan,31, DMC,,,25(3),2188,-,2,7,1,0.3,80,0.4,-,6.5
324,"325Jack StephensSouthampton, 28, D(CR)",Jack Stephens,28, D(CR),,,9(2),811,-,-,3,-,-,77.3,1.2,-,6.5
325,"326Victor LindelöfMan Utd, 27, D(CR)",Victor Lindelöf,27, D(CR),,,26(2),2355,-,2,4,-,0.1,87.8,1.9,-,6.5
326,"327Daniel BachmannWatford, 27, GK",Daniel Bachmann,27, GK,,,12,1080,-,-,-,-,-,54.3,0.2,-,6.49
327,"328Junior FirpoLeeds, 25, D(L),M(L)",Junior Firpo,25, D(L),M(L),,19(5),1716,-,2,11,-,0.5,81.4,1.1,-,6.49
328,"329Liam DelapMan City, 19, Forward",Liam Delap,19, Forward,,,0(1),9,-,-,-,-,-,100,-,-,6.49
329,"330Saúl ÑíguezChelsea, 27, D(CL),M(CLR)",Saúl Ñíguez,27, D(CL),M(CLR),,5(5),480,-,-,1,-,0.5,88.9,0.8,-,6.49
330,"331Sergi CanósBrentford, 25, M(LR)",Sergi Canós,25, M(LR),,,25(6),2094,3,2,6,1,1.1,62.9,0.3,1,6.49
331,"332Neal MaupayBrighton, 25, AM(C),FW",Neal Maupay,25, AM(C),FW,,25(7),2276,8,2,7,-,1.9,77.8,0.7,-,6.49
332,"333Luke AylingLeeds, 30, D(CR),M(R)",Luke Ayling,30, D(CR),M(R),,26,2275,2,2,4,1,0.7,77.4,1.3,-,6.48
333,"334Rob HoldingArsenal, 26, D(CR)",Rob Holding,26, D(CR),,,9(6),840,1,-,2,1,0.3,86.8,1.9,1,6.48
334,"335Pierre Lees-MelouNorwich, 29, M(CLR)",Pierre Lees-Melou,29, M(CLR),,,27(6),2273,1,-,5,-,1,79.6,0.4,-,6.48
335,"336Edo KayembeWatford, 24, DMC",Edo Kayembe,24, DMC,,,9(4),801,-,-,-,-,0.5,85.9,1,-,6.48
336,"337Patrick BamfordLeeds, 28, AM(CLR),FW",Patrick Bamford,28, AM(CLR),FW,,7(2),560,2,2,2,-,2.2,81.7,0.6,-,6.48
337,"338Javier ManquilloNewcastle, 28, D(LR),M(R)",Javier Manquillo,28, D(LR),M(R),,15(4),1267,1,2,5,-,0.2,73,0.8,-,6.48
338,"339Nicolas NkoulouWatford, 32, D(C)",Nicolas Nkoulou,32, D(C),,,2(1),168,-,-,-,-,-,87.7,0.7,-,6.47
339,"340Teemu PukkiNorwich, 32, AM(C),FW",Teemu Pukki,32, AM(C),FW,,37,3261,11,3,4,-,1.9,75.2,0.4,1,6.47
340,"341ZankaBrentford, 32, D(C)",Zanka,32, D(C),,,6(2),517,1,-,2,-,0.3,80.7,1.3,-,6.47
341,"342Donny van de BeekEverton, 25, M(C)",Donny van de Beek,25, M(C),,,5(2),484,1,-,1,-,0.7,84.7,1,-,6.47
342,"343Tim IroegbunamAston Villa, 18, Midfielder",Tim Iroegbunam,18, Midfielder,,,1(2),91,-,-,1,-,0.3,81.5,1,-,6.46
343,"344Sam ByramNorwich, 28, D(CLR),M(R)",Sam Byram,28, D(CLR),M(R),,11(4),1024,-,-,3,-,0.5,77.1,1.9,-,6.46
344,"345Mohamed ElnenyArsenal, 29, DMC",Mohamed Elneny,29, DMC,,,8(6),802,-,2,1,-,0.6,93.5,0.4,-,6.46
345,"346Daniel AmarteyLeicester, 27, D(CR),DMC",Daniel Amartey,27, D(CR),DMC,,23(5),2120,-,-,4,-,0.1,90.7,1.2,-,6.46
346,"347Finley StevensBrentford, 19, Defender",Finley Stevens,19, Defender,,,0(1),14,-,-,-,-,-,83.3,1,-,6.46
347,"348Álvaro FernándezBrentford, 24, GK",Álvaro Fernández,24, GK,,,12,1080,-,-,-,-,-,60.5,0.2,1,6.46
348,"349Ryan FraserNewcastle, 28, M(CLR),FW",Ryan Fraser,28, M(CLR),FW,,18(9),1471,2,3,3,-,0.9,77.5,0.2,-,6.46
349,"350Tanguy NdombeleTottenham, 25, M(C)",Tanguy Ndombele,25, M(C),,,6(3),486,1,1,1,-,1,87.1,0.2,1,6.46
350,"351Saman GhoddosBrentford, 28, AM(CLR),FW",Saman Ghoddos,28, AM(CLR),FW,,4(13),528,1,1,2,-,0.5,71.6,0.6,-,6.46
351,"352Issa DiopWest Ham, 25, D(C)",Issa Diop,25, D(C),,,10(3),962,-,1,-,-,0.2,85.1,1.2,-,6.46
352,"353Jeremy NgakiaWatford, 21, D(R)",Jeremy Ngakia,21, D(R),,,9(7),900,-,-,-,-,0.3,73.8,1,-,6.45
353,"354Patson DakaLeicester, 23, FW",Patson Daka,23, FW,,,13(10),1163,5,3,2,-,1.1,74.5,0.7,-,6.45
354,"355Jamie ShackletonLeeds, 22, D(R),DMC",Jamie Shackleton,22, D(R),DMC,,7(7),709,-,-,4,-,0.3,86.4,0.4,-,6.45
355,"356Marvelous NakambaAston Villa, 28, DMC",Marvelous Nakamba,28, DMC,,,10(6),905,-,-,5,-,-,85.2,0.6,-,6.45
356,"357Dan GoslingWatford, 32, M(C)",Dan Gosling,32, M(C),,,2(2),165,1,-,-,-,0.5,85.7,1.3,-,6.45
357,"358Jack ButlandCrystal Palace, 29, GK",Jack Butland,29, GK,,,8(1),765,-,-,-,-,-,70.4,0.1,1,6.45
