,Unnamed: 0,Player,Name,Age,position1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
38,38,"39Olivier GiroudAC Milan, 35, FW",Olivier Giroud,35, FW,,,22(7),1905,11,3,4,-,2.2,67.6,3.2,4,6.99
39,39,"40Fikayo TomoriAC Milan, 24, D(CR)",Fikayo Tomori,24, D(CR),,,30(1),2719,-,-,4,-,0.4,87.9,1.6,-,6.98
40,40,"41Mário RuiNapoli, 31, D(L),M(L)",Mário Rui,31, D(L),M(L),,34,3002,-,6,7,-,0.9,86.1,0.4,1,6.98
41,41,"42Milan DjuricSalernitana, 32, FW",Milan Djuric,32, FW,,,23(10),2173,5,3,6,-,1.5,60.2,7.4,3,6.97
42,42,"43Luis AlbertoLazio, 29, AM(CL),FW",Luis Alberto,29, AM(CL),FW,,27(7),2363,5,10,5,-,1.4,87.7,0.2,2,6.96
43,43,"44Francesco BardiBologna, 30, GK",Francesco Bardi,30, GK,,,2,178,-,-,-,-,-,64.3,0.5,-,6.96
44,44,"45Federico ChiesaJuventus, 24, M(CLR),FW",Federico Chiesa,24, M(CLR),FW,,11(3),868,2,2,-,-,2,79.1,-,3,6.94
45,45,"46Bryan CristanteRoma, 27, D(C),M(C)",Bryan Cristante,27, D(C),M(C),,29(5),2674,2,-,9,-,1.2,82.2,2.6,1,6.94
46,46,"47Antonio CandrevaSampdoria, 35, M(CLR)",Antonio Candreva,35, M(CLR),,,36,3132,7,10,6,1,2.1,76.2,0.1,4,6.94
47,47,"48Franck KessiéAC Milan, 25, M(C)",Franck Kessié,25, M(C),,,25(6),2312,6,-,2,-,1.1,88.5,1,2,6.94
48,48,"49DaniloJuventus, 30, D(CLR),DMC",Danilo,30, D(CLR),DMC,,22,1895,1,1,6,-,0.6,86.3,1.7,-,6.93
49,49,"50Sergio RomeroVenezia, 35, GK",Sergio Romero,35, GK,,,16,1440,-,-,2,-,-,65.4,0.4,2,6.93
50,50,"51Mike MaignanAC Milan, 26, GK",Mike Maignan,26, GK,,,32,2880,-,1,1,-,-,75.8,0.2,1,6.92
51,51,"52Robin GosensAtalanta, 27, D(L),M(CL)",Robin Gosens,27, D(L),M(CL),,5(1),462,1,-,2,-,2.5,81.1,2,-,6.92
52,52,"53Antonin BarakVerona, 27, AM(C)",Antonin Barak,27, AM(C),,,27(2),2348,11,4,4,-,1.8,80.5,1.4,1,6.91
