,Player,Name,Age,postion1,position2,position3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
99,"100Rominigue KouaméTroyes, 25, M(C)",Rominigue Kouamé,25, M(C),,,34,2977,1,2,5,-,1.1,88.2,0.5,1,6.8
100,"101Luan PeresMarseille, 27, D(CL)",Luan Peres,27, D(CL),,,29(5),2677,-,2,7,-,0.1,88.1,1.2,1,6.8
101,"102Ronaël Pierre-GabrielBrest, 23, D(LR)",Ronaël Pierre-Gabriel,23, D(LR),,,29(1),2555,-,1,6,-,0.2,84,0.5,-,6.8
102,"103Justin KluivertNice, 23, AM(LR)",Justin Kluivert,23, AM(LR),,,25(3),1883,4,5,7,1,1.1,76.3,0.5,2,6.79
103,"104Mario LeminaNice, 28, DMC",Mario Lemina,28, DMC,,,24(8),1972,2,-,6,1,0.5,87.8,0.7,1,6.79
104,"105VandersonMonaco, 20, D(R),M(R)",Vanderson,20, D(R),M(R),,12(5),1122,2,1,3,-,0.8,73.3,0.8,1,6.79
105,"106Ryad BoudebouzSaint-Etienne, 32, M(CLR),FW",Ryad Boudebouz,32, M(CLR),FW,,27(3),2267,3,4,2,-,0.9,81.9,0.4,1,6.79
106,"107Steven FortèsLens, 30, D(C)",Steven Fortès,30, D(C),,,1,90,-,-,-,-,-,96.4,1,-,6.79
107,"108Kevin VollandMonaco, 29, AM(CLR),FW",Kevin Volland,29, AM(CLR),FW,,29(5),2450,9,9,10,-,1.5,67.9,0.9,1,6.79
108,"109Ibrahima SissokoStrasbourg, 24, D(C),DMC",Ibrahima Sissoko,24, D(C),DMC,,26(9),2306,2,5,6,-,0.7,80.9,1.7,2,6.79
109,"110Walter BenítezNice, 29, GK",Walter Benítez,29, GK,,,37,3330,-,-,2,-,-,71,0.4,3,6.79
110,"111Romain ThomasAngers, 33, D(C)",Romain Thomas,33, D(C),,,29(1),2566,2,-,10,-,0.5,86.3,2.3,1,6.78
111,"112Keylor NavasPSG, 35, GK",Keylor Navas,35, GK,,,21,1858,-,-,-,1,-,89.9,0.1,-,6.78
112,"113Sergio RamosPSG, 36, D(CR)",Sergio Ramos,36, D(CR),,,8(4),799,2,-,1,1,1,93.7,1.2,-,6.78
113,"114Laurent AbergelLorient, 29, DMC",Laurent Abergel,29, DMC,,,34,2963,-,3,9,-,0.9,82.4,0.3,-,6.78
114,"115Sanjin PrcicStrasbourg, 28, M(C)",Sanjin Prcic,28, M(C),,,27(5),2197,1,-,4,-,1.4,86.3,0.5,-,6.77
115,"116Mahdi CamaraSaint-Etienne, 23, D(CR),DMC",Mahdi Camara,23, D(CR),DMC,,34(1),3074,3,-,8,-,0.8,83.4,0.9,2,6.77
116,"117Alban LafontNantes, 23, GK",Alban Lafont,23, GK,,,38,3420,-,-,3,-,-,56.2,0.6,1,6.77
117,"118Kevin DansoLens, 23, D(C)",Kevin Danso,23, D(C),,,32(1),2793,2,2,7,2,0.4,86.3,2.2,2,6.77
