,Player,Name,Age,postion1,postion2,postion3,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
174,"175Gonzalo EscalanteDeportivo Alaves, 29, DMC",Gonzalo Escalante,29, DMC,,,15(2),1307,5,-,6,1,0.9,66.8,2.1,-,6.67
175,"176Marcos LlorenteAtletico, 27, D(R),M(CR),FW",Marcos Llorente,27, D(R),M(CR),FW,29,2456,-,2,5,-,0.6,84.8,0.6,-,6.67
176,"177Ángel CorreaAtletico, 27, AM(CLR),FW",Ángel Correa,27, AM(CLR),FW,,21(15),1860,12,5,3,1,1.4,76.5,0.2,2,6.67
177,"178Raúl AlbiolVillarreal, 36, D(C)",Raúl Albiol,36, D(C),,,28,2467,-,-,8,-,0.2,86,1.5,-,6.67
178,"179Nemanja MaksimovicGetafe, 27, M(C)",Nemanja Maksimovic,27, M(C),,,34(1),2943,1,1,4,-,0.9,77.7,1.3,1,6.67
179,"180Isi PalazónRayo Vallecano, 27, AM(R)",Isi Palazón,27, AM(R),,,27(7),2301,2,4,7,-,1.7,74.3,1.4,3,6.67
180,"181FidelElche, 32, M(CLR)",Fidel,32, M(CLR),,,29(4),2283,5,6,9,-,0.5,78.7,0.2,1,6.67
181,"182KokeAtletico, 30, M(CLR)",Koke,30, M(CLR),,,29(2),2512,1,2,6,-,0.4,86.5,0.4,1,6.66
182,"183Andoni GorosabelReal Sociedad, 25, D(R)",Andoni Gorosabel,25, D(R),,,25(7),2298,-,4,4,-,0.3,84.9,0.7,-,6.66
183,"184RodrygoReal Madrid, 21, AM(CLR)",Rodrygo,21, AM(CLR),,,17(16),1528,4,4,3,-,1,86.1,0.4,2,6.66
184,"185Óscar ValentínRayo Vallecano, 27, DMC",Óscar Valentín,27, DMC,,,29(6),2580,-,-,8,-,0.3,83.8,1.1,-,6.65
185,"186Thierry CorreiaValencia, 23, D(R),M(R)",Thierry Correia,23, D(R),M(R),,18(1),1424,-,1,5,-,0.2,70.7,1,-,6.65
186,"187Rubén DuarteDeportivo Alaves, 26, D(CL)",Rubén Duarte,26, D(CL),,,31(3),2630,-,4,10,1,0.3,67.7,1.6,-,6.65
187,"188NachoReal Madrid, 32, D(CLR)",Nacho,32, D(CLR),,,17(11),1549,3,-,7,-,0.4,93,1,-,6.65
188,"189Fran GarcíaRayo Vallecano, 22, D(L)",Fran García,22, D(L),,,34,3027,1,-,4,-,0.7,80.1,0.7,-,6.65
189,"190Francis CoquelinVillarreal, 31, M(CLR)",Francis Coquelin,31, M(CLR),,,8(12),828,2,1,3,-,0.3,86,0.8,1,6.65
190,"191Jesús NavasSevilla, 36, D(R),M(R)",Jesús Navas,36, D(R),M(R),,19(6),1788,-,3,4,-,0.4,81,0.6,1,6.64
191,"192Alberto MorenoVillarreal, 29, D(L),M(L)",Alberto Moreno,29, D(L),M(L),,13(11),1223,3,2,3,-,0.9,85.6,0.3,1,6.64
192,"193David SoriaGetafe, 29, GK",David Soria,29, GK,,,38,3415,-,-,4,-,-,51,0.4,1,6.64
193,"194Shkodran MustafiLevante, 30, D(CR)",Shkodran Mustafi,30, D(CR),,,8(3),658,1,-,1,-,0.4,78.4,2.2,1,6.64
194,"195Yangel HerreraEspanyol, 24, M(C)",Yangel Herrera,24, M(C),,,19(4),1650,1,1,5,1,0.7,81.7,2.4,3,6.64
195,"196Matías DituroCelta Vigo, 35, GK",Matías Dituro,35, GK,,,38,3420,-,-,1,-,-,60.2,0.2,2,6.64
196,"197Yeremi PinoVillarreal, 19, AM(R)",Yeremi Pino,19, AM(R),,,21(10),1688,6,4,2,-,0.9,78.9,0.5,2,6.63
197,"198Youssouf SabalyReal Betis, 29, D(LR),M(R)",Youssouf Sabaly,29, D(LR),M(R),,9(1),789,-,1,1,-,0.4,84.6,1,-,6.63
198,"199José GayàValencia, 27, D(L),M(L)",José Gayà,27, D(L),M(L),,22(2),1875,2,4,6,2,0.8,75.7,0.3,1,6.63
199,"200Pedro BigasElche, 32, D(CL)",Pedro Bigas,32, D(CL),,,19,1556,1,-,6,-,0.6,86.9,1.9,-,6.63
200,"201Aïssa MandiVillarreal, 30, D(CLR)",Aïssa Mandi,30, D(CLR),,,14(3),1374,1,-,3,-,0.6,93,1.5,-,6.63
201,"202Iddrisu BabaMallorca, 26, DMC",Iddrisu Baba,26, DMC,,,23(3),1945,1,1,9,-,0.9,79.8,1.6,3,6.63
202,"203Eric GarcíaBarcelona, 21, D(C)",Eric García,21, D(C),,,23(3),2044,-,-,5,1,0.2,93.2,1.2,-,6.62
203,"204Iván AlejoCadiz, 27, AM(R)",Iván Alejo,27, AM(R),,,11(9),1071,2,2,7,-,0.6,72,0.6,1,6.62
204,"205Joan JordánSevilla, 27, M(C)",Joan Jordán,27, M(C),,,31(5),2530,-,1,9,-,0.4,88.5,0.3,-,6.62
205,"206Boulaye DiaVillarreal, 25, AM(R),FW",Boulaye Dia,25, AM(R),FW,,13(12),1267,5,5,3,-,1.5,75.3,1.2,-,6.62
206,"207José Manuel CalderónReal Betis, 22, Forward",José Manuel Calderón,22, Forward,,,0(1),64,-,-,-,-,-,97.4,-,-,6.62
207,"208Óscar DuarteLevante, 33, D(C),DMC",Óscar Duarte,33, D(C),DMC,,20(3),1775,2,-,5,-,0.8,83.6,3,-,6.62
208,"209Hugo MalloCelta Vigo, 30, D(CR),M(R)",Hugo Mallo,30, D(CR),M(R),,21,1830,1,1,3,2,0.8,76.8,2,-,6.62
209,"210Leo RománMallorca, 21, Goalkeeper",Leo Román,21, Goalkeeper,,,2,180,-,-,-,-,-,66.7,-,-,6.62
210,"211Óscar GilEspanyol, 24, D(R)",Óscar Gil,24, D(R),,,20(2),1698,-,2,7,-,0.3,85.3,0.3,1,6.61
211,"212Jens JønssonCadiz, 29, D(C),DMC",Jens Jønsson,29, D(C),DMC,,17(5),1315,-,1,3,-,0.3,76.1,1.3,-,6.61
212,"213Jon MoncayolaOsasuna, 24, DMC",Jon Moncayola,24, DMC,,,33(3),2923,2,3,3,-,1.1,82.1,0.5,-,6.61
213,"214Fran BeltránCelta Vigo, 23, DMC",Fran Beltrán,23, DMC,,,31(6),2611,1,-,4,-,0.5,91.2,0.4,1,6.61
214,"215PepeluLevante, 23, DMC",Pepelu,23, DMC,,,23(6),2016,-,-,9,-,0.5,81.1,1.1,-,6.61
215,"216Maxime GonalonsGranada, 33, D(C),M(C)",Maxime Gonalons,33, D(C),M(C),,20(5),1556,-,2,6,-,0.4,84.5,1.4,2,6.61
216,"217Jon BautistaReal Sociedad, 26, FW",Jon Bautista,26, FW,,,0(1),45,-,-,-,-,1,85.7,1,-,6.61
217,"218Djené DakonamGetafe, 30, D(C)",Djené Dakonam,30, D(C),,,35,3117,-,1,11,1,0.1,77.5,1.5,1,6.61
218,"219Kiko CasillaElche, 35, GK",Kiko Casilla,35, GK,,,14,1260,-,-,3,-,-,61.9,0.2,-,6.61
219,"220Rubén RochinaGranada, 31, M(CLR)",Rubén Rochina,31, M(CLR),,,8(7),739,1,3,3,-,1,72.8,0.4,1,6.61
220,"221Jaume CostaMallorca, 34, D(LR),M(L)",Jaume Costa,34, D(LR),M(L),,21(4),1831,-,4,5,1,0.4,75.4,1,-,6.61
221,"222Jesús VázquezValencia, 19, Defender",Jesús Vázquez,19, Defender,,,8(7),813,-,-,-,-,0.3,72.8,0.8,-,6.6
222,"223Luis AbramGranada, 26, D(C)",Luis Abram,26, D(C),,,6(2),560,-,-,2,-,0.3,84.8,0.9,-,6.6
223,"224IscoReal Madrid, 30, M(CLR),FW",Isco,30, M(CLR),FW,,3(11),323,1,-,1,-,0.6,90.7,0.3,-,6.6
224,"225Unai SimónAthletic Bilbao, 24, GK",Unai Simón,24, GK,,,34,3060,-,-,3,-,-,66.6,0.2,-,6.6
225,"226Maximiliano GómezValencia, 25, FW",Maximiliano Gómez,25, FW,,,21(8),1961,5,1,5,1,1.5,64.8,2.9,1,6.6
226,"227Antonio PuertasGranada, 30, M(LR)",Antonio Puertas,30, M(LR),,,25(8),2272,6,1,4,-,1,72.5,1.5,1,6.59
227,"228Anthony LozanoCadiz, 29, AM(L),FW",Anthony Lozano,29, AM(L),FW,,21(10),1680,7,2,8,-,1.6,67.1,1.4,2,6.59
228,"229Rubén SobrinoValencia, 30, AM(LR),FW",Rubén Sobrino,30, AM(LR),FW,,0(1),13,-,-,-,-,-,100,1,-,6.59
229,"230Eden HazardReal Madrid, 31, M(CLR),FW",Eden Hazard,31, M(CLR),FW,,7(11),714,-,1,2,-,0.7,90.9,0.1,-,6.59
230,"231Íñigo LekueAthletic Bilbao, 29, D(LR),M(LR)",Íñigo Lekue,29, D(LR),M(LR),,22(3),1928,-,2,3,-,0.3,72.5,0.7,-,6.59
231,"232Willian JoséReal Betis, 30, FW",Willian José,30, FW,,,19(13),1612,8,4,1,-,1.1,78.3,0.7,1,6.59
232,"233Daniel WassValencia, 33, D(LR),M(CLR)",Daniel Wass,33, D(LR),M(CLR),,19,1592,1,1,6,-,1.5,81.2,1.5,-,6.59
233,"234Martín MerquelanzRayo Vallecano, 26, Forward",Martín Merquelanz,26, Forward,,,3(1),176,-,-,-,-,0.5,73.7,0.8,-,6.58
234,"235Matt MiazgaDeportivo Alaves, 26, D(C)",Matt Miazga,26, D(C),,,9(2),831,-,-,2,-,0.6,75.9,2.9,-,6.58
235,"236Joseph AidooCelta Vigo, 26, D(C)",Joseph Aidoo,26, D(C),,,30(2),2641,-,-,1,-,0.2,81.2,1.9,1,6.58
236,"237Álex ColladoGranada, 23, AM(C)",Álex Collado,23, AM(C),,,13(4),1027,2,1,1,-,1,81.2,0.4,1,6.58
237,"238Paul AkouokouReal Betis, 24, DMC",Paul Akouokou,24, DMC,,,6(2),518,-,-,2,1,0.3,87.6,0.8,-,6.58
238,"239Unai GarcíaOsasuna, 30, D(C)",Unai García,30, D(C),,,15(3),1407,-,-,5,-,0.4,75.1,1.9,-,6.58
239,"240Youssef En-NesyriSevilla, 25, FW",Youssef En-Nesyri,25, FW,,,15(8),1282,5,1,1,-,1.6,66.5,2,-,6.58
240,"241Adnan JanuzajReal Sociedad, 27, AM(CLR)",Adnan Januzaj,27, AM(CLR),,,17(16),1626,3,-,5,-,1.3,75.6,0.3,1,6.57
241,"242Kieran TrippierAtletico, 31, D(R),M(R)",Kieran Trippier,31, D(R),M(R),,12(3),979,-,-,1,-,0.1,78.7,1.9,-,6.57
242,"243IzaCadiz, 29, D(R)",Iza,29, D(R),,,17(8),1546,-,1,2,-,0.4,78,0.6,2,6.57
243,"244Alexander SørlothReal Sociedad, 26, FW",Alexander Sørloth,26, FW,,,20(13),1760,4,-,2,-,1.1,73.6,1.5,1,6.56
244,"245Jofre CarrerasEspanyol, 20, Forward",Jofre Carreras,20, Forward,,,0(3),17,-,1,-,-,-,80,0.3,-,6.56
245,"246Omar MascarellElche, 29, DMC",Omar Mascarell,29, DMC,,,30(2),2504,-,-,6,-,0.4,85.4,1.3,-,6.56
246,"247Luis RiojaDeportivo Alaves, 28, AM(L)",Luis Rioja,28, AM(L),,,36(1),3128,1,3,3,-,1.2,69.6,0.5,-,6.56
247,"248Gareth BaleReal Madrid, 32, M(CLR),FW",Gareth Bale,32, M(CLR),FW,,4(1),283,1,-,2,-,3,72.9,1.4,-,6.56
248,"249Jasper CillessenValencia, 33, GK",Jasper Cillessen,33, GK,,,17,1458,-,1,1,-,-,61.2,0.1,-,6.56
249,"250NetoBarcelona, 32, GK",Neto,32, GK,,,3,270,-,-,-,-,-,79.5,-,-,6.56
250,"251Iván BalliuRayo Vallecano, 30, D(R)",Iván Balliu,30, D(R),,,35,3148,1,2,10,1,0.4,76.3,0.7,-,6.56
251,"252Raúl GarcíaAthletic Bilbao, 35, M(CLR),FW",Raúl García,35, M(CLR),FW,,24(11),1816,6,2,4,-,1.3,62,1.6,-,6.56
252,"253Mikel BalenziagaAthletic Bilbao, 34, D(L)",Mikel Balenziaga,34, D(L),,,23(3),2027,-,-,2,-,0.3,77.6,1.3,-,6.55
253,"254Manu SánchezOsasuna, 21, D(L)",Manu Sánchez,21, D(L),,,25(8),2260,1,3,5,-,0.2,74.7,0.3,1,6.55
254,"255Borja IglesiasReal Betis, 29, FW",Borja Iglesias,29, FW,,,18(15),1574,10,-,4,-,1.2,71.1,0.7,3,6.55
255,"256Rafa MirSevilla, 24, FW",Rafa Mir,24, FW,,,18(16),1804,10,-,6,-,1.8,67.6,1.7,1,6.54
256,"257Luis SuárezAtletico, 35, AM(CLR),FW",Luis Suárez,35, AM(CLR),FW,,20(15),1837,11,2,7,-,1.5,73.7,0.6,2,6.54
257,"258Ander BarrenetxeaReal Sociedad, 20, AM(LR)",Ander Barrenetxea,20, AM(LR),,,6(5),549,1,1,-,-,0.7,73.3,0.4,-,6.54
258,"259Luuk de JongBarcelona, 31, AM(C),FW",Luuk de Jong,31, AM(C),FW,,6(15),643,6,-,1,-,1.1,72,1.6,-,6.54
259,"260Takefusa KuboMallorca, 21, AM(CLR),FW",Takefusa Kubo,21, AM(CLR),FW,,17(11),1610,1,-,4,-,1.7,74.9,0.4,-,6.54
260,"261MarianoReal Madrid, 28, FW",Mariano,28, FW,,,3(6),340,1,1,2,-,1.6,70,1,-,6.54
261,"262Enis BardhiLevante, 26, M(CLR)",Enis Bardhi,26, M(CLR),,,17(13),1699,3,3,3,-,1.4,76.9,0.2,1,6.54
262,"263Lluís RecasensEspanyol, 20, Defender",Lluís Recasens,20, Defender,,,0(1),45,-,-,-,-,-,54.5,1,-,6.54
263,"264Álex FernándezCadiz, 29, AM(CL)",Álex Fernández,29, AM(CL),,,22(10),2051,3,2,2,-,0.7,81.8,0.6,1,6.54
264,"265Javier PuadoEspanyol, 24, AM(LR),FW",Javier Puado,24, AM(LR),FW,,26(4),2258,4,1,5,-,1.3,83.7,0.4,1,6.54
265,"266FaliCadiz, 28, D(C),DMC",Fali,28, D(C),DMC,,23(5),1813,-,2,6,-,0.5,76.7,1.1,-,6.54
266,"267Mario HermosoAtletico, 26, D(CL)",Mario Hermoso,26, D(CL),,,22(5),1872,2,1,6,1,0.6,87,1.8,1,6.54
267,"268Serge AurierVillarreal, 29, D(CLR),M(R)",Serge Aurier,29, D(CLR),M(R),,10(9),1003,-,1,4,-,0.6,85.9,1.1,-,6.53
268,"269Esteban SaveljichRayo Vallecano, 31, D(C)",Esteban Saveljich,31, D(C),,,21,1708,-,-,4,-,0.4,82.5,2.7,-,6.53
269,"270Sime VrsaljkoAtletico, 30, D(LR),M(R)",Sime Vrsaljko,30, D(LR),M(R),,10(11),910,1,2,4,-,0.2,77.2,1.6,1,6.53
270,"271Roger MartíLevante, 31, FW",Roger Martí,31, FW,,,25(4),2124,7,3,8,-,1.7,69.6,1.1,1,6.53
271,"272Samuel UmtitiBarcelona, 28, D(CL)",Samuel Umtiti,28, D(CL),,,1,90,-,-,1,-,-,87.2,3,-,6.53
272,"273Matheus CunhaAtletico, 23, AM(CL),FW",Matheus Cunha,23, AM(CL),FW,,8(21),1053,6,4,3,-,1.3,71,0.7,-,6.53
273,"274Nico GonzálezBarcelona, 20, M(C)",Nico González,20, M(C),,,12(15),1111,2,1,6,-,0.6,90,0.2,-,6.53
274,"275Sergi RobertoBarcelona, 30, D(R),M(CR)",Sergi Roberto,30, D(R),M(CR),,4(5),400,2,1,1,-,0.4,92,0.2,-,6.53
275,"276Antonio RaílloMallorca, 30, D(C)",Antonio Raíllo,30, D(C),,,17,1530,2,-,8,-,0.5,85.6,1.6,-,6.53
276,"277Kike PérezElche, 25, AM(C)",Kike Pérez,25, AM(C),,,5(7),518,2,-,1,-,0.8,74.9,1.2,-,6.53
277,"278Jonás RamalhoOsasuna, 28, D(CR)",Jonás Ramalho,28, D(CR),,,3,245,-,-,-,-,0.7,79.6,2.3,-,6.52
278,"279Ferran JutglàBarcelona, 23, Forward",Ferran Jutglà,23, Forward,,,4(2),303,1,-,1,-,1.7,85,1,-,6.52
279,"280FelipeAtletico, 33, D(C)",Felipe,33, D(C),,,15(11),1499,2,1,5,1,0.4,81.8,1.7,-,6.52
280,"281Salva SevillaMallorca, 38, M(CL)",Salva,38, M(CL),,,17(11),1510,5,3,2,-,0.9,84.2,0.1,-,6.52
281,"282Sergi GómezEspanyol, 30, D(CR)",Sergi Gómez,30, D(CR),,,31,2724,1,2,1,1,0.3,84.8,1.3,-,6.52
282,"283Pervis EstupiñánVillarreal, 24, D(L)",Pervis Estupiñán,24, D(L),,,17(11),1574,-,1,3,-,0.5,81.5,0.8,-,6.52
283,"284Pere MillaElche, 29, AM(CL),FW",Pere Milla,29, AM(CL),FW,,18(15),1640,8,3,5,-,0.9,72.4,1,2,6.51
284,"285Nemanja GudeljSevilla, 30, D(C),M(C)",Nemanja Gudelj,30, D(C),M(C),,9(12),1040,-,-,5,-,0.2,89.3,1.4,-,6.51
285,"286Néstor AraújoCelta Vigo, 30, D(C)",Néstor Araújo,30, D(C),,,29(5),2617,-,-,4,-,0.2,85.6,1.9,-,6.51
286,"287Óscar RodríguezGetafe, 23, AM(CLR)",Óscar Rodríguez,23, AM(CLR),,,9(9),946,-,1,3,-,1.4,79,0.5,-,6.51
287,"288Marc-André ter StegenBarcelona, 30, GK",Marc-André ter Stegen,30, GK,,,35,3150,-,-,3,-,-,85.9,0.2,-,6.51
288,"289Rubén SánchezEspanyol, 21, Defender",Rubén Sánchez,21, Defender,,,1(3),148,-,1,-,-,0.3,71.7,1.3,1,6.51
289,"290Sergio EscuderoGranada, 32, D(L),M(L)",Sergio Escudero,32, D(L),M(L),,15(12),1429,2,1,6,-,0.8,71.5,1.2,-,6.5
290,"291Gonzalo MeleroLevante, 28, AM(C),FW",Gonzalo Melero,28, AM(C),FW,,20(9),1697,7,2,5,-,0.8,85,1,2,6.5
291,"292Aridane HernándezOsasuna, 33, D(C)",Aridane Hernández,33, D(C),,,12(3),1159,-,-,1,-,0.1,79.7,1.5,-,6.5
292,"293Florian LejeuneDeportivo Alaves, 31, D(C)",Florian Lejeune,31, D(C),,,30,2700,-,-,7,1,0.7,78,2.4,-,6.5
293,"294Domingos DuarteGranada, 27, D(C)",Domingos Duarte,27, D(C),,,19(2),1689,1,-,7,1,0.3,77.3,1.9,-,6.5
294,"295Rubén SobrinoCadiz, 30, AM(LR),FW",Rubén Sobrino,30, AM(LR),FW,,19(14),1856,4,1,4,-,1,73.6,1.2,1,6.5
295,"296Víctor LaguardiaDeportivo Alaves, 32, D(C)",Víctor Laguardia,32, D(C),,,34,3044,3,2,9,-,0.4,75.2,1.9,1,6.5
296,"297Okay YokusluGetafe, 28, D(C),DMC",Okay Yokuslu,28, D(C),DMC,,5(6),463,-,-,1,-,0.4,79.5,0.9,1,6.49
297,"298JosanElche, 32, D(R),M(R)",Josan,32, D(R),M(R),,10(21),1200,2,3,2,-,0.4,78.7,0.1,-,6.49
298,"299Fernando PachecoDeportivo Alaves, 30, GK",Fernando Pacheco,30, GK,,,34,3054,-,-,1,-,-,59.7,0.1,1,6.49
299,"300Jorge MiramónLevante, 33, D(R),M(R)",Jorge Miramón,33, D(R),M(R),,22(7),1976,1,-,5,-,0.2,74.7,0.6,-,6.49
300,"301Héctor HerreraAtletico, 32, M(C)",Héctor Herrera,32, M(C),,,8(13),852,-,-,4,-,0.4,84.8,1.1,-,6.49
301,"302QuiniGranada, 32, D(LR)",Quini,32, D(LR),,,27(5),2305,-,1,11,-,0.5,69.6,0.8,-,6.49
302,"303Hugo DuroValencia, 22, AM(L),FW",Hugo Duro,22, AM(L),FW,,22(8),1847,7,1,2,1,1,71.8,1.3,-,6.49
303,"304Martin ValjentMallorca, 26, D(C)",Martin Valjent,26, D(C),,,36,3183,-,-,4,-,0.3,81.2,1.7,-,6.49
304,"305Óscar MinguezaBarcelona, 23, D(CR)",Óscar Mingueza,23, D(CR),,,9(10),892,-,1,2,-,0.1,89.3,0.5,-,6.49
305,"306Varazdat HaroyanCadiz, 29, D(C)",Varazdat Haroyan,29, D(C),,,16(1),1439,1,-,9,-,0.2,77.1,1.7,-,6.49
306,"307Sergi GuardiolaRayo Vallecano, 31, FW",Sergi Guardiola,31, FW,,,20(12),1716,8,2,3,-,1.6,69,0.8,1,6.49
307,"308Luis HernándezCadiz, 33, D(CR)",Luis Hernández,33, D(CR),,,15(1),1366,-,-,5,-,0.4,84.5,1,-,6.49
308,"309Aitor FernándezLevante, 31, GK",Aitor Fernández,31, GK,,,13,1167,-,-,1,1,-,65.1,0.2,1,6.49
309,"310Carlos NevaGranada, 25, D(L),M(L)",Carlos Neva,25, D(L),M(L),,24(2),2115,-,-,1,-,0.2,72.2,0.8,-,6.48
310,"311Antonio SiveraDeportivo Alaves, 25, GK",Antonio Sivera,25, GK,,,3(1),276,-,-,1,-,-,58.2,-,-,6.48
311,"312Unai VencedorAthletic Bilbao, 21, DMC",Unai Vencedor,21, DMC,,,29(5),2397,-,-,4,-,0.6,80.1,0.7,-,6.48
312,"313Aihen MuñozReal Sociedad, 24, D(L)",Aihen Muñoz,24, D(L),,,15(5),1345,-,-,2,1,0.4,78.6,1.3,-,6.48
313,"314Enzo RocoElche, 29, D(C)",Enzo Roco,29, D(C),,,29(1),2555,1,-,10,-,0.4,82.4,2,-,6.48
314,"315Germán SánchezGranada, 35, D(C)",Germán Sánchez,35, D(C),,,25(7),2298,2,1,9,1,0.4,74.5,2,-,6.47
315,"316Kike GarcíaOsasuna, 32, FW",Kike García,32, FW,,,18(15),1860,5,1,2,-,1.6,67.6,2.3,1,6.47
316,"317Karim RekikSevilla, 27, D(CL)",Karim Rekik,27, D(CL),,,11(7),1095,-,2,2,-,0.2,90.4,1.3,-,6.47
317,"318RodriReal Betis, 22, AM(R)",Rodri,22, AM(R),,,10(11),882,1,2,-,-,0.7,82.9,-,-,6.47
318,"319Mario GilaReal Madrid, 21, Defender",Mario Gila,21, Defender,,,0(2),24,-,-,-,-,-,86.4,-,-,6.47
319,"320Vicente IborraVillarreal, 34, M(C)",Vicente Iborra,34, M(C),,,12(8),1032,-,1,4,-,0.4,85.8,1.3,-,6.47
320,"321Renan LodiAtletico, 24, D(L),M(L)",Renan Lodi,24, D(L),M(L),,13(16),1181,2,2,5,-,0.3,81.6,1,2,6.47
321,"322Tete MorenteElche, 25, AM(CR)",Tete Morente,25, AM(CR),,,18(14),1636,3,3,4,-,0.9,74.4,0.7,2,6.47
322,"323Manolo ReinaMallorca, 37, GK",Manolo Reina,37, GK,,,23,1892,-,-,5,1,-,60.3,0.3,3,6.47
323,"324Juan CruzOsasuna, 29, D(CL)",Juan Cruz,29, D(CL),,,22(1),1935,-,-,4,-,0.1,82.9,1,-,6.46
324,"325Dimitri FoulquierValencia, 29, D(CLR),M(R)",Dimitri Foulquier,29, D(CLR),M(R),,25(4),2337,-,1,11,-,0.6,67.7,0.7,1,6.46
325,"326Gerard GumbauElche, 27, DMC",Gerard Gumbau,27, DMC,,,20(11),1891,-,4,8,1,0.7,84.1,0.6,1,6.46
326,"327Carlos DomínguezCelta Vigo, 21, D(C)",Carlos Domínguez,21, D(C),,,3(5),341,-,-,1,-,0.1,79.4,1.3,-,6.46
327,"328Chimy AvilaOsasuna, 28, AM(LR),FW",Chimy Avila,28, AM(LR),FW,,22(14),1875,6,1,7,1,1.8,60,1.4,1,6.46
328,"329Oussama IdrissiSevilla, 26, AM(LR)",Oussama Idrissi,26, AM(LR),,,2(3),127,-,-,1,-,0.8,82.2,-,-,6.46
329,"330Philippe CoutinhoBarcelona, 29, M(CLR)",Philippe Coutinho,29, M(CLR),,,5(7),500,2,-,1,-,2,86.8,0.2,-,6.46
330,"331Pathé CissRayo Vallecano, 28, DMC",Pathé Ciss,28, DMC,,,11(20),1087,2,1,5,-,0.6,83.3,1.1,1,6.46
331,"332Raúl TorrenteGranada, 21, D(C)",Raúl Torrente,21, D(C),,,15(3),1283,-,-,5,-,0.2,72.4,1.2,-,6.46
332,"333Dimitri FoulquierGranada, 29, D(CLR),M(R)",Dimitri Foulquier,29, D(CLR),M(R),,2,180,-,-,-,-,-,60.5,0.5,-,6.46
333,"334Jon PachecoReal Sociedad, 21, D(C)",Jon Pacheco,21, D(C),,,4(6),376,-,-,1,-,-,84.5,1.2,-,6.45
334,"335Hugo GuillamónValencia, 22, D(C),DMC",Hugo Guillamón,22, D(C),DMC,,28(3),2368,1,-,8,2,0.2,80.5,1.5,-,6.45
335,"336Óliver TorresSevilla, 27, M(CLR)",Óliver Torres,27, M(CLR),,,11(15),1008,2,3,2,-,0.5,82.1,0.2,-,6.45
336,"337Rúben VezoLevante, 28, D(CR)",Rúben Vezo,28, D(CR),,,27(5),2420,-,-,4,-,0.6,83.6,1.6,-,6.45
337,"338Renato TapiaCelta Vigo, 26, D(C),DMC",Renato Tapia,26, D(C),DMC,,13(16),1406,-,-,10,-,0.4,80,1,1,6.45
338,"339Gonzalo MontielSevilla, 25, D(CR),M(R)",Gonzalo Montiel,25, D(CR),M(R),,15(3),1073,1,2,7,-,0.3,78.4,0.6,-,6.45
339,"340Manu GarcíaDeportivo Alaves, 24, M(CL)",Manu García,24, M(CL),,,10(14),1075,-,1,3,-,0.3,78.7,0.1,-,6.45
340,"341Darío BenedettoElche, 32, FW",Darío Benedetto,32, FW,,,6(8),585,2,1,1,-,1.3,68.3,0.9,1,6.45
341,"342Stefan MitrovicGetafe, 32, D(C)",Stefan Mitrovic,32, D(C),,,31(1),2673,-,-,8,1,0.1,78.6,1.8,-,6.45
342,"343Paco AlcácerVillarreal, 28, AM(R),FW",Paco Alcácer,28, AM(R),FW,,10(8),792,1,3,1,-,1,71.2,0.6,-,6.45
343,"344Asier IllarramendiReal Sociedad, 32, M(C)",Asier Illarramendi,32, M(C),,,6(2),379,-,-,1,-,-,87.4,1.5,-,6.44
344,"345Carlos ClercLevante, 30, D(L),M(L)",Carlos Clerc,30, D(L),M(L),,18(1),1518,-,-,6,-,0.1,77.4,0.8,1,6.44
345,"346Tonny VilhenaEspanyol, 27, D(L),M(CL)",Tonny Vilhena,27, D(L),M(CL),,13(4),937,1,1,4,-,0.9,74,0.6,1,6.44
346,"347Radamel FalcaoRayo Vallecano, 36, FW",Radamel Falcao,36, FW,,,8(14),832,6,-,1,-,1.5,77.8,1.2,-,6.44
347,"348Claudio BravoReal Betis, 39, GK",Claudio Bravo,39, GK,,,17,1457,-,-,2,-,-,62.3,0.4,-,6.44
348,"349Nikola MarasRayo Vallecano, 26, D(C)",Nikola Maras,26, D(C),,,11(5),1041,-,-,4,-,0.1,81.1,1.9,-,6.44
349,"350Pedro OrtizSevilla, 21, Midfielder",Pedro Ortiz,21, Midfielder,,,0(1),6,-,-,-,-,1,100,-,-,6.44
350,"351Robert NavarroReal Sociedad, 20, Midfielder",Robert Navarro,20, Midfielder,,,3(3),199,-,-,-,-,1.2,85.2,0.2,-,6.44
351,"352Tomás AlarcónCadiz, 23, DMC",Tomás Alarcón,23, DMC,,,16(7),1425,-,1,5,-,0.7,76.2,0.7,-,6.44
352,"353Alberto PereaCadiz, 31, AM(LR)",Alberto Perea,31, AM(LR),,,8(10),776,-,1,2,-,0.9,80.7,0.1,-,6.44
353,"354Carles AleñáGetafe, 24, AM(CLR)",Carles Aleñá,24, AM(CLR),,,30(3),2344,1,2,6,1,1.4,81.5,0.4,-,6.44
354,"355CokeLevante, 35, D(CLR),M(R)",Coke,35, D(CLR),M(R),,1(5),114,1,-,1,-,0.2,80.7,0.7,-,6.44
355,"356Daniel CárdenasLevante, 25, GK",Daniel Cárdenas,25, GK,,,24,2160,-,-,3,-,-,64.4,0.1,-,6.43
356,"357Toni LatoValencia, 24, D(L)",Toni Lato,24, D(L),,,7(4),591,-,1,5,-,-,76.5,0.4,-,6.43
