,Name,Market value
570,Marc Guéhi,€30.00m
573,Joachim Andersen,€22.00m
576,Nathan Ferguson,€4.00m
579,James Tomkins,€2.00m
582,Jaroslaw Jach,€650Th.
585,Tyrick Mitchell,€17.00m
588,Joel Ward,€2.00m
591,Nathaniel Clyne,€2.00m
594,Martin Kelly,€1.00m
597,Jairo Riedewald,€6.00m
600,Luka Milivojevic,€5.00m
603,Cheikhou Kouyaté,€4.00m
606,Will Hughes,€6.00m
609,James McArthur,€1.50m
612,Michael Olise,€22.00m
615,Jeffrey Schlupp,€8.00m
618,Eberechi Eze,€20.00m
621,Wilfried Zaha,€40.00m
624,Odsonne Edouard,€17.00m
627,Jean-Philippe Mateta,€8.00m
630,Christian Benteke,€7.00m
633,Jordan Ayew,€6.00m
636,Luke Plange,€800Th.
639,Danny Ward,€6.00m
642,Kasper Schmeichel,€4.00m
645,Eldin Jakupovic,€300Th.
648,Caglar Söyüncü,€45.00m
651,Wesley Fofana,€40.00m
654,Jannik Vestergaard,€15.00m
657,Daniel Amartey,€7.00m
660,Jonny Evans,€5.00m
666,Luke Thomas,€8.00m
669,Ryan Bertrand,€5.00m
672,Timothy Castagne,€28.00m
675,Ricardo Pereira,€25.00m
678,James Justin,€17.00m
681,Wilfred Ndidi,€60.00m
684,Boubakary Soumaré,€28.00m
687,Nampalys Mendy,€4.00m
690,Youri Tielemans,€55.00m
693,Hamza Choudhury,€5.00m
696,Kiernan Dewsbury-Hall,€5.00m
699,Marc Albrighton,€2.50m
702,Harvey Barnes,€32.00m
705,James Maddison,€50.00m
708,Ademola Lookman,€9.00m
711,Ayoze Pérez,€12.00m
714,Patson Daka,€22.00m
717,Kelechi Iheanacho,€20.00m
720,Jamie Vardy,€5.00m
723,Robert Sánchez,€14.00m
726,Jason Steele,€800Th.
729,Lewis Dunk,€22.00m
732,Adam Webster,€18.00m
735,Jan Paul van Hecke,€5.00m
738,Shane Duffy,€5.00m
741,Matt Clarke,€3.00m
744,Haydon Roberts,€500Th.
747,Marc Cucurella,€20.00m
750,Tariq Lamptey,€18.00m
753,Joël Veltman,€8.00m
756,Tudor Baluta,€2.00m
759,Yves Bissouma,€35.00m
762,Enock Mwepu,€20.00m
765,Jakub Moder,€12.00m
768,Pascal Groß,€7.00m
771,Steven Alzate,€6.00m
774,Moisés Caicedo,€4.50m
777,Solly March,€9.00m
780,Alexis Mac Allister,€10.00m
783,Adam Lallana,€2.50m
786,Taylor Richards,€400Th.
789,Jeremy Sarmiento,€300Th.
792,Leandro Trossard,€17.00m
795,Abdallah Sima,€8.00m
798,Neal Maupay,€20.00m
801,Aaron Connolly,€6.00m
804,Danny Welbeck,€3.00m
807,Evan Ferguson,€400Th.
810,José Sá,€14.00m
813,Matija Sarkic,€1.80m
816,John Ruddy,€500Th.
822,Conor Coady,€25.00m
825,Max Kilman,€16.00m
828,Romain Saïss,€9.00m
831,Willy Boly,€8.00m
834,Yerson Mosquera,€3.00m
837,Toti,€1.00m
840,Rayan Aït-Nouri,€15.00m
843,Jonny Otto,€15.00m
846,Marçal,€1.50m
849,Nélson Semedo,€25.00m
