,Unnamed: 0,Name,Market value
177,534,Juan Mata,3.00m
178,537,Jadon Sancho,80.00m
179,540,Marcus Rashford,70.00m
180,543,Anthony Elanga,15.00m
181,546,Amad Diallo,18.00m
182,549,Shola Shoretire,3.00m
183,555,Cristiano Ronaldo,35.00m
184,558,Edinson Cavani,4.00m
185,561,Jack Butland,2.00m
186,564,Vicente Guaita,1.50m
187,567,Remi Matthews,300Th.
188,570,Marc Guéhi,30.00m
189,573,Joachim Andersen,22.00m
190,576,Nathan Ferguson,4.00m
191,579,James Tomkins,2.00m
192,582,Jaroslaw Jach,650Th.
193,585,Tyrick Mitchell,17.00m
194,588,Joel Ward,2.00m
195,591,Nathaniel Clyne,2.00m
196,594,Martin Kelly,1.00m
197,597,Jairo Riedewald,6.00m
198,600,Luka Milivojevic,5.00m
199,603,Cheikhou Kouyaté,4.00m
200,606,Will Hughes,6.00m
201,609,James McArthur,1.50m
202,612,Michael Olise,22.00m
203,615,Jeffrey Schlupp,8.00m
204,618,Eberechi Eze,20.00m
205,621,Wilfried Zaha,40.00m
206,624,Odsonne Edouard,17.00m
207,627,Jean-Philippe Mateta,8.00m
208,630,Christian Benteke,7.00m
209,633,Jordan Ayew,6.00m
210,636,Luke Plange,800Th.
211,639,Danny Ward,6.00m
212,642,Kasper Schmeichel,4.00m
213,645,Eldin Jakupovic,300Th.
214,648,Caglar Söyüncü,45.00m
215,651,Wesley Fofana,40.00m
216,654,Jannik Vestergaard,15.00m
217,657,Daniel Amartey,7.00m
218,660,Jonny Evans,5.00m
219,666,Luke Thomas,8.00m
220,669,Ryan Bertrand,5.00m
221,672,Timothy Castagne,28.00m
222,675,Ricardo Pereira,25.00m
223,678,James Justin,17.00m
224,681,Wilfred Ndidi,60.00m
225,684,Boubakary Soumaré,28.00m
226,687,Nampalys Mendy,4.00m
227,690,Youri Tielemans,55.00m
228,693,Hamza Choudhury,5.00m
229,696,Kiernan Dewsbury-Hall,5.00m
230,699,Marc Albrighton,2.50m
231,702,Harvey Barnes,32.00m
232,705,James Maddison,50.00m
233,708,Ademola Lookman,9.00m
234,711,Ayoze Pérez,12.00m
235,714,Patson Daka,22.00m
236,717,Kelechi Iheanacho,20.00m
237,720,Jamie Vardy,5.00m
238,723,Robert Sánchez,14.00m
239,726,Jason Steele,800Th.
240,729,Lewis Dunk,22.00m
241,732,Adam Webster,18.00m
242,735,Jan Paul van Hecke,5.00m
243,738,Shane Duffy,5.00m
244,741,Matt Clarke,3.00m
245,744,Haydon Roberts,500Th.
246,747,Marc Cucurella,20.00m
247,750,Tariq Lamptey,18.00m
248,753,Joël Veltman,8.00m
249,756,Tudor Baluta,2.00m
250,759,Yves Bissouma,35.00m
251,762,Enock Mwepu,20.00m
252,765,Jakub Moder,12.00m
253,768,Pascal Groß,7.00m
254,771,Steven Alzate,6.00m
255,774,Moisés Caicedo,4.50m
256,777,Solly March,9.00m
257,780,Alexis Mac Allister,10.00m
258,783,Adam Lallana,2.50m
259,786,Taylor Richards,400Th.
260,789,Jeremy Sarmiento,300Th.
261,792,Leandro Trossard,17.00m
262,795,Abdallah Sima,8.00m
263,798,Neal Maupay,20.00m
264,801,Aaron Connolly,6.00m
265,804,Danny Welbeck,3.00m
266,807,Evan Ferguson,400Th.
267,810,José Sá,14.00m
268,813,Matija Sarkic,1.80m
269,816,John Ruddy,500Th.
270,822,Conor Coady,25.00m
271,825,Max Kilman,16.00m
272,828,Romain Saïss,9.00m
273,831,Willy Boly,8.00m
274,834,Yerson Mosquera,3.00m
275,837,Toti,1.00m
276,840,Rayan Aït-Nouri,15.00m
277,843,Jonny Otto,15.00m
278,846,Marçal,1.50m
279,849,Nélson Semedo,25.00m
280,852,Ki-Jana Hoever,7.00m
281,855,Rúben Neves,40.00m
282,858,Leander Dendoncker,30.00m
283,861,João Moutinho,2.50m
284,864,Connor Ronan,500Th.
285,867,Luke Cundle,200Th.
286,870,Morgan Gibbs-White,11.00m
287,873,Pedro Neto,35.00m
288,876,Chiquinho,2.50m
289,879,Daniel Podence,22.00m
290,882,Francisco Trincão,22.00m
